Rainfall - (MM), Year, Statistics, Country, ISO3
40.5824, 1901, Jan Average, Republic of Serbia, SRB
53.546, 1901, Feb Average, Republic of Serbia, SRB
62.9841, 1901, Mar Average, Republic of Serbia, SRB
47.893, 1901, Apr Average, Republic of Serbia, SRB
46.9509, 1901, May Average, Republic of Serbia, SRB
116.938, 1901, Jun Average, Republic of Serbia, SRB
94.6506, 1901, Jul Average, Republic of Serbia, SRB
62.3439, 1901, Aug Average, Republic of Serbia, SRB
62.6214, 1901, Sep Average, Republic of Serbia, SRB
99.0082, 1901, Oct Average, Republic of Serbia, SRB
36.9682, 1901, Nov Average, Republic of Serbia, SRB
71.4328, 1901, Dec Average, Republic of Serbia, SRB
31.7011, 1902, Jan Average, Republic of Serbia, SRB
73.8335, 1902, Feb Average, Republic of Serbia, SRB
69.0217, 1902, Mar Average, Republic of Serbia, SRB
63.0406, 1902, Apr Average, Republic of Serbia, SRB
93.7987, 1902, May Average, Republic of Serbia, SRB
74.617, 1902, Jun Average, Republic of Serbia, SRB
53.4417, 1902, Jul Average, Republic of Serbia, SRB
70.0136, 1902, Aug Average, Republic of Serbia, SRB
66.1113, 1902, Sep Average, Republic of Serbia, SRB
94.4006, 1902, Oct Average, Republic of Serbia, SRB
15.5001, 1902, Nov Average, Republic of Serbia, SRB
60.6229, 1902, Dec Average, Republic of Serbia, SRB
23.4162, 1903, Jan Average, Republic of Serbia, SRB
15.8057, 1903, Feb Average, Republic of Serbia, SRB
25.2644, 1903, Mar Average, Republic of Serbia, SRB
85.0587, 1903, Apr Average, Republic of Serbia, SRB
81.6542, 1903, May Average, Republic of Serbia, SRB
95.7308, 1903, Jun Average, Republic of Serbia, SRB
83.3282, 1903, Jul Average, Republic of Serbia, SRB
21.6378, 1903, Aug Average, Republic of Serbia, SRB
43.6411, 1903, Sep Average, Republic of Serbia, SRB
87.9696, 1903, Oct Average, Republic of Serbia, SRB
59.4983, 1903, Nov Average, Republic of Serbia, SRB
44.3574, 1903, Dec Average, Republic of Serbia, SRB
34.1936, 1904, Jan Average, Republic of Serbia, SRB
59.156, 1904, Feb Average, Republic of Serbia, SRB
42.2127, 1904, Mar Average, Republic of Serbia, SRB
36.8662, 1904, Apr Average, Republic of Serbia, SRB
44.0826, 1904, May Average, Republic of Serbia, SRB
77.7643, 1904, Jun Average, Republic of Serbia, SRB
34.5585, 1904, Jul Average, Republic of Serbia, SRB
38.5968, 1904, Aug Average, Republic of Serbia, SRB
78.7287, 1904, Sep Average, Republic of Serbia, SRB
79.0432, 1904, Oct Average, Republic of Serbia, SRB
43.2417, 1904, Nov Average, Republic of Serbia, SRB
42.7167, 1904, Dec Average, Republic of Serbia, SRB
36.5788, 1905, Jan Average, Republic of Serbia, SRB
35.5744, 1905, Feb Average, Republic of Serbia, SRB
39.6165, 1905, Mar Average, Republic of Serbia, SRB
77.6826, 1905, Apr Average, Republic of Serbia, SRB
91.4579, 1905, May Average, Republic of Serbia, SRB
106.356, 1905, Jun Average, Republic of Serbia, SRB
62.1432, 1905, Jul Average, Republic of Serbia, SRB
29.2703, 1905, Aug Average, Republic of Serbia, SRB
47.3721, 1905, Sep Average, Republic of Serbia, SRB
156.077, 1905, Oct Average, Republic of Serbia, SRB
64.0354, 1905, Nov Average, Republic of Serbia, SRB
14.7432, 1905, Dec Average, Republic of Serbia, SRB
46.9343, 1906, Jan Average, Republic of Serbia, SRB
38.4124, 1906, Feb Average, Republic of Serbia, SRB
56.0341, 1906, Mar Average, Republic of Serbia, SRB
31.1954, 1906, Apr Average, Republic of Serbia, SRB
80.8405, 1906, May Average, Republic of Serbia, SRB
127.248, 1906, Jun Average, Republic of Serbia, SRB
57.7448, 1906, Jul Average, Republic of Serbia, SRB
60.017, 1906, Aug Average, Republic of Serbia, SRB
91.5792, 1906, Sep Average, Republic of Serbia, SRB
28.6097, 1906, Oct Average, Republic of Serbia, SRB
58.0948, 1906, Nov Average, Republic of Serbia, SRB
102.22, 1906, Dec Average, Republic of Serbia, SRB
44.0332, 1907, Jan Average, Republic of Serbia, SRB
33.2329, 1907, Feb Average, Republic of Serbia, SRB
27.7127, 1907, Mar Average, Republic of Serbia, SRB
82.1623, 1907, Apr Average, Republic of Serbia, SRB
34.879, 1907, May Average, Republic of Serbia, SRB
80.1065, 1907, Jun Average, Republic of Serbia, SRB
44.2505, 1907, Jul Average, Republic of Serbia, SRB
20.5161, 1907, Aug Average, Republic of Serbia, SRB
25.3583, 1907, Sep Average, Republic of Serbia, SRB
25.3908, 1907, Oct Average, Republic of Serbia, SRB
50.8555, 1907, Nov Average, Republic of Serbia, SRB
65.8787, 1907, Dec Average, Republic of Serbia, SRB
49.488, 1908, Jan Average, Republic of Serbia, SRB
67.5224, 1908, Feb Average, Republic of Serbia, SRB
46.0231, 1908, Mar Average, Republic of Serbia, SRB
74.0618, 1908, Apr Average, Republic of Serbia, SRB
27.4986, 1908, May Average, Republic of Serbia, SRB
34.4427, 1908, Jun Average, Republic of Serbia, SRB
49.6396, 1908, Jul Average, Republic of Serbia, SRB
64.5865, 1908, Aug Average, Republic of Serbia, SRB
31.666, 1908, Sep Average, Republic of Serbia, SRB
28.4409, 1908, Oct Average, Republic of Serbia, SRB
81.6416, 1908, Nov Average, Republic of Serbia, SRB
39.5449, 1908, Dec Average, Republic of Serbia, SRB
35.7875, 1909, Jan Average, Republic of Serbia, SRB
36.722, 1909, Feb Average, Republic of Serbia, SRB
59.0439, 1909, Mar Average, Republic of Serbia, SRB
29.7189, 1909, Apr Average, Republic of Serbia, SRB
112.415, 1909, May Average, Republic of Serbia, SRB
73.4714, 1909, Jun Average, Republic of Serbia, SRB
63.7929, 1909, Jul Average, Republic of Serbia, SRB
72.1541, 1909, Aug Average, Republic of Serbia, SRB
101.836, 1909, Sep Average, Republic of Serbia, SRB
40.8003, 1909, Oct Average, Republic of Serbia, SRB
