Rainfall - (MM), Year, Statistics, Country, ISO3
3.22874, 1901, Jan Average, South Sudan, SSD
3.54735, 1901, Feb Average, South Sudan, SSD
47.9345, 1901, Mar Average, South Sudan, SSD
60.0859, 1901, Apr Average, South Sudan, SSD
121.822, 1901, May Average, South Sudan, SSD
145.031, 1901, Jun Average, South Sudan, SSD
117.648, 1901, Jul Average, South Sudan, SSD
146.779, 1901, Aug Average, South Sudan, SSD
91.7433, 1901, Sep Average, South Sudan, SSD
82.5506, 1901, Oct Average, South Sudan, SSD
59.3186, 1901, Nov Average, South Sudan, SSD
1.39051, 1901, Dec Average, South Sudan, SSD
0.90769, 1902, Jan Average, South Sudan, SSD
2.1885, 1902, Feb Average, South Sudan, SSD
36.1376, 1902, Mar Average, South Sudan, SSD
69.6479, 1902, Apr Average, South Sudan, SSD
104.76, 1902, May Average, South Sudan, SSD
118.964, 1902, Jun Average, South Sudan, SSD
164.845, 1902, Jul Average, South Sudan, SSD
134.252, 1902, Aug Average, South Sudan, SSD
274.527, 1902, Sep Average, South Sudan, SSD
180.812, 1902, Oct Average, South Sudan, SSD
32.5727, 1902, Nov Average, South Sudan, SSD
15.5214, 1902, Dec Average, South Sudan, SSD
1.1809, 1903, Jan Average, South Sudan, SSD
1.55407, 1903, Feb Average, South Sudan, SSD
13.9133, 1903, Mar Average, South Sudan, SSD
62.5377, 1903, Apr Average, South Sudan, SSD
131.108, 1903, May Average, South Sudan, SSD
124.221, 1903, Jun Average, South Sudan, SSD
236.697, 1903, Jul Average, South Sudan, SSD
182.415, 1903, Aug Average, South Sudan, SSD
140.831, 1903, Sep Average, South Sudan, SSD
124.031, 1903, Oct Average, South Sudan, SSD
14.8023, 1903, Nov Average, South Sudan, SSD
2.18248, 1903, Dec Average, South Sudan, SSD
1.04763, 1904, Jan Average, South Sudan, SSD
13.3604, 1904, Feb Average, South Sudan, SSD
44.6753, 1904, Mar Average, South Sudan, SSD
40.3103, 1904, Apr Average, South Sudan, SSD
145.26, 1904, May Average, South Sudan, SSD
111.741, 1904, Jun Average, South Sudan, SSD
118.42, 1904, Jul Average, South Sudan, SSD
169.177, 1904, Aug Average, South Sudan, SSD
102.11, 1904, Sep Average, South Sudan, SSD
74.0957, 1904, Oct Average, South Sudan, SSD
23.2712, 1904, Nov Average, South Sudan, SSD
4.0737, 1904, Dec Average, South Sudan, SSD
1.13016, 1905, Jan Average, South Sudan, SSD
3.22853, 1905, Feb Average, South Sudan, SSD
2.23999, 1905, Mar Average, South Sudan, SSD
26.8389, 1905, Apr Average, South Sudan, SSD
79.2562, 1905, May Average, South Sudan, SSD
134.92, 1905, Jun Average, South Sudan, SSD
112.757, 1905, Jul Average, South Sudan, SSD
229.186, 1905, Aug Average, South Sudan, SSD
167.459, 1905, Sep Average, South Sudan, SSD
82.4068, 1905, Oct Average, South Sudan, SSD
51.5036, 1905, Nov Average, South Sudan, SSD
13.0703, 1905, Dec Average, South Sudan, SSD
5.44903, 1906, Jan Average, South Sudan, SSD
24.9488, 1906, Feb Average, South Sudan, SSD
51.6212, 1906, Mar Average, South Sudan, SSD
46.9455, 1906, Apr Average, South Sudan, SSD
109.065, 1906, May Average, South Sudan, SSD
126.813, 1906, Jun Average, South Sudan, SSD
142.098, 1906, Jul Average, South Sudan, SSD
170.304, 1906, Aug Average, South Sudan, SSD
175.549, 1906, Sep Average, South Sudan, SSD
126.235, 1906, Oct Average, South Sudan, SSD
7.38693, 1906, Nov Average, South Sudan, SSD
0.14328, 1906, Dec Average, South Sudan, SSD
0.16816, 1907, Jan Average, South Sudan, SSD
35.5777, 1907, Feb Average, South Sudan, SSD
9.32429, 1907, Mar Average, South Sudan, SSD
73.6718, 1907, Apr Average, South Sudan, SSD
144.699, 1907, May Average, South Sudan, SSD
124.498, 1907, Jun Average, South Sudan, SSD
185.18, 1907, Jul Average, South Sudan, SSD
164.51, 1907, Aug Average, South Sudan, SSD
108.719, 1907, Sep Average, South Sudan, SSD
104.869, 1907, Oct Average, South Sudan, SSD
39.2831, 1907, Nov Average, South Sudan, SSD
3.51553, 1907, Dec Average, South Sudan, SSD
1.46773, 1908, Jan Average, South Sudan, SSD
4.05319, 1908, Feb Average, South Sudan, SSD
29.5378, 1908, Mar Average, South Sudan, SSD
84.625, 1908, Apr Average, South Sudan, SSD
172.974, 1908, May Average, South Sudan, SSD
106.437, 1908, Jun Average, South Sudan, SSD
167.509, 1908, Jul Average, South Sudan, SSD
240.735, 1908, Aug Average, South Sudan, SSD
138.244, 1908, Sep Average, South Sudan, SSD
115.551, 1908, Oct Average, South Sudan, SSD
32.904, 1908, Nov Average, South Sudan, SSD
2.80209, 1908, Dec Average, South Sudan, SSD
1.97604, 1909, Jan Average, South Sudan, SSD
4.65426, 1909, Feb Average, South Sudan, SSD
48.2326, 1909, Mar Average, South Sudan, SSD
138.485, 1909, Apr Average, South Sudan, SSD
111.785, 1909, May Average, South Sudan, SSD
141.779, 1909, Jun Average, South Sudan, SSD
170.628, 1909, Jul Average, South Sudan, SSD
167.576, 1909, Aug Average, South Sudan, SSD
169.147, 1909, Sep Average, South Sudan, SSD
61.9718, 1909, Oct Average, South Sudan, SSD
35.2515, 1909, Nov Average, South Sudan, SSD
20.4521, 1909, Dec Average, South Sudan, SSD
1.81765, 1910, Jan Average, South Sudan, SSD
5.43788, 1910, Feb Average, South Sudan, SSD
13.8052, 1910, Mar Average, South Sudan, SSD
51.3704, 1910, Apr Average, South Sudan, SSD
125.796, 1910, May Average, South Sudan, SSD
114.919, 1910, Jun Average, South Sudan, SSD
156.829, 1910, Jul Average, South Sudan, SSD
209.717, 1910, Aug Average, South Sudan, SSD
112.722, 1910, Sep Average, South Sudan, SSD
120.448, 1910, Oct Average, South Sudan, SSD
20.5681, 1910, Nov Average, South Sudan, SSD
