Rainfall - (MM), Year, Statistics, Country, ISO3
76.9247, 1901, Jan Average, Suriname, SUR
124.355, 1901, Feb Average, Suriname, SUR
403.786, 1901, Mar Average, Suriname, SUR
356.152, 1901, Apr Average, Suriname, SUR
372.018, 1901, May Average, Suriname, SUR
266.944, 1901, Jun Average, Suriname, SUR
193.495, 1901, Jul Average, Suriname, SUR
195.64, 1901, Aug Average, Suriname, SUR
92.7429, 1901, Sep Average, Suriname, SUR
66.3941, 1901, Oct Average, Suriname, SUR
128.442, 1901, Nov Average, Suriname, SUR
203.459, 1901, Dec Average, Suriname, SUR
235.748, 1902, Jan Average, Suriname, SUR
248.936, 1902, Feb Average, Suriname, SUR
462.717, 1902, Mar Average, Suriname, SUR
679.739, 1902, Apr Average, Suriname, SUR
296.365, 1902, May Average, Suriname, SUR
384.839, 1902, Jun Average, Suriname, SUR
307.591, 1902, Jul Average, Suriname, SUR
143.8, 1902, Aug Average, Suriname, SUR
52.3455, 1902, Sep Average, Suriname, SUR
35.1017, 1902, Oct Average, Suriname, SUR
125.589, 1902, Nov Average, Suriname, SUR
139.674, 1902, Dec Average, Suriname, SUR
80.4624, 1903, Jan Average, Suriname, SUR
184.044, 1903, Feb Average, Suriname, SUR
305.527, 1903, Mar Average, Suriname, SUR
592.374, 1903, Apr Average, Suriname, SUR
445.091, 1903, May Average, Suriname, SUR
431.088, 1903, Jun Average, Suriname, SUR
193.892, 1903, Jul Average, Suriname, SUR
164.734, 1903, Aug Average, Suriname, SUR
69.1311, 1903, Sep Average, Suriname, SUR
20.6283, 1903, Oct Average, Suriname, SUR
28.8441, 1903, Nov Average, Suriname, SUR
165.625, 1903, Dec Average, Suriname, SUR
161.913, 1904, Jan Average, Suriname, SUR
179.373, 1904, Feb Average, Suriname, SUR
689.413, 1904, Mar Average, Suriname, SUR
371.861, 1904, Apr Average, Suriname, SUR
412.512, 1904, May Average, Suriname, SUR
238.999, 1904, Jun Average, Suriname, SUR
256.401, 1904, Jul Average, Suriname, SUR
37.9513, 1904, Aug Average, Suriname, SUR
41.6484, 1904, Sep Average, Suriname, SUR
53.4452, 1904, Oct Average, Suriname, SUR
76.2807, 1904, Nov Average, Suriname, SUR
249.188, 1904, Dec Average, Suriname, SUR
135.268, 1905, Jan Average, Suriname, SUR
195.175, 1905, Feb Average, Suriname, SUR
139.291, 1905, Mar Average, Suriname, SUR
481.331, 1905, Apr Average, Suriname, SUR
358.138, 1905, May Average, Suriname, SUR
349.973, 1905, Jun Average, Suriname, SUR
304.823, 1905, Jul Average, Suriname, SUR
90.0502, 1905, Aug Average, Suriname, SUR
35.7007, 1905, Sep Average, Suriname, SUR
50.2153, 1905, Oct Average, Suriname, SUR
96.2649, 1905, Nov Average, Suriname, SUR
240.051, 1905, Dec Average, Suriname, SUR
157.313, 1906, Jan Average, Suriname, SUR
65.04, 1906, Feb Average, Suriname, SUR
279.171, 1906, Mar Average, Suriname, SUR
545.507, 1906, Apr Average, Suriname, SUR
402.96, 1906, May Average, Suriname, SUR
200.298, 1906, Jun Average, Suriname, SUR
217.536, 1906, Jul Average, Suriname, SUR
145.063, 1906, Aug Average, Suriname, SUR
54.6795, 1906, Sep Average, Suriname, SUR
54.4185, 1906, Oct Average, Suriname, SUR
101.825, 1906, Nov Average, Suriname, SUR
82.8687, 1906, Dec Average, Suriname, SUR
159.465, 1907, Jan Average, Suriname, SUR
304.81, 1907, Feb Average, Suriname, SUR
649.359, 1907, Mar Average, Suriname, SUR
842.743, 1907, Apr Average, Suriname, SUR
524.73, 1907, May Average, Suriname, SUR
264.351, 1907, Jun Average, Suriname, SUR
238.404, 1907, Jul Average, Suriname, SUR
74.0706, 1907, Aug Average, Suriname, SUR
77.727, 1907, Sep Average, Suriname, SUR
25.6445, 1907, Oct Average, Suriname, SUR
82.366, 1907, Nov Average, Suriname, SUR
153.999, 1907, Dec Average, Suriname, SUR
150.387, 1908, Jan Average, Suriname, SUR
378.509, 1908, Feb Average, Suriname, SUR
306.046, 1908, Mar Average, Suriname, SUR
233.255, 1908, Apr Average, Suriname, SUR
385.74, 1908, May Average, Suriname, SUR
255.906, 1908, Jun Average, Suriname, SUR
368.35, 1908, Jul Average, Suriname, SUR
266.564, 1908, Aug Average, Suriname, SUR
61.1352, 1908, Sep Average, Suriname, SUR
32.2518, 1908, Oct Average, Suriname, SUR
76.2323, 1908, Nov Average, Suriname, SUR
135, 1908, Dec Average, Suriname, SUR
114.084, 1909, Jan Average, Suriname, SUR
297.905, 1909, Feb Average, Suriname, SUR
341.967, 1909, Mar Average, Suriname, SUR
312.191, 1909, Apr Average, Suriname, SUR
456.522, 1909, May Average, Suriname, SUR
300.96, 1909, Jun Average, Suriname, SUR
229.646, 1909, Jul Average, Suriname, SUR
224.685, 1909, Aug Average, Suriname, SUR
23.96, 1909, Sep Average, Suriname, SUR
48.1455, 1909, Oct Average, Suriname, SUR
56.053, 1909, Nov Average, Suriname, SUR
120.666, 1909, Dec Average, Suriname, SUR
418.998, 1910, Jan Average, Suriname, SUR
193.251, 1910, Feb Average, Suriname, SUR
202.459, 1910, Mar Average, Suriname, SUR
174.274, 1910, Apr Average, Suriname, SUR
295.92, 1910, May Average, Suriname, SUR
369.933, 1910, Jun Average, Suriname, SUR
203.166, 1910, Jul Average, Suriname, SUR
199.33, 1910, Aug Average, Suriname, SUR
61.5223, 1910, Sep Average, Suriname, SUR
43.2741, 1910, Oct Average, Suriname, SUR
100.826, 1910, Nov Average, Suriname, SUR
197.418, 1910, Dec Average, Suriname, SUR
186.011, 1911, Jan Average, Suriname, SUR
409.933, 1911, Feb Average, Suriname, SUR
584.707, 1911, Mar Average, Suriname, SUR
279.072, 1911, Apr Average, Suriname, SUR
334.099, 1911, May Average, Suriname, SUR
339.613, 1911, Jun Average, Suriname, SUR
193.627, 1911, Jul Average, Suriname, SUR
92.8045, 1911, Aug Average, Suriname, SUR
23.5711, 1911, Sep Average, Suriname, SUR
52.6891, 1911, Oct Average, Suriname, SUR
111.637, 1911, Nov Average, Suriname, SUR
85.669, 1911, Dec Average, Suriname, SUR
37.346, 1912, Jan Average, Suriname, SUR
13.883, 1912, Feb Average, Suriname, SUR
81.147, 1912, Mar Average, Suriname, SUR
186.036, 1912, Apr Average, Suriname, SUR
431.438, 1912, May Average, Suriname, SUR
317.384, 1912, Jun Average, Suriname, SUR
260.346, 1912, Jul Average, Suriname, SUR
178.347, 1912, Aug Average, Suriname, SUR
42.4221, 1912, Sep Average, Suriname, SUR
37.6083, 1912, Oct Average, Suriname, SUR
109.899, 1912, Nov Average, Suriname, SUR
215.338, 1912, Dec Average, Suriname, SUR
338.983, 1913, Jan Average, Suriname, SUR
66.9209, 1913, Feb Average, Suriname, SUR
200.452, 1913, Mar Average, Suriname, SUR
68.5364, 1913, Apr Average, Suriname, SUR
110.998, 1913, May Average, Suriname, SUR
351.017, 1913, Jun Average, Suriname, SUR
257.361, 1913, Jul Average, Suriname, SUR
111.786, 1913, Aug Average, Suriname, SUR
53.7458, 1913, Sep Average, Suriname, SUR
35.9125, 1913, Oct Average, Suriname, SUR
61.4883, 1913, Nov Average, Suriname, SUR
345.578, 1913, Dec Average, Suriname, SUR
97.355, 1914, Jan Average, Suriname, SUR
208.077, 1914, Feb Average, Suriname, SUR
219.243, 1914, Mar Average, Suriname, SUR
337.811, 1914, Apr Average, Suriname, SUR
682.16, 1914, May Average, Suriname, SUR
245.18, 1914, Jun Average, Suriname, SUR
227.484, 1914, Jul Average, Suriname, SUR
108.832, 1914, Aug Average, Suriname, SUR
79.7526, 1914, Sep Average, Suriname, SUR
42.4797, 1914, Oct Average, Suriname, SUR
79.0464, 1914, Nov Average, Suriname, SUR
104.163, 1914, Dec Average, Suriname, SUR
206.29, 1915, Jan Average, Suriname, SUR
548.401, 1915, Feb Average, Suriname, SUR
151.409, 1915, Mar Average, Suriname, SUR
381.032, 1915, Apr Average, Suriname, SUR
504.264, 1915, May Average, Suriname, SUR
307.482, 1915, Jun Average, Suriname, SUR
170.105, 1915, Jul Average, Suriname, SUR
94.7917, 1915, Aug Average, Suriname, SUR
20.9855, 1915, Sep Average, Suriname, SUR
17.144, 1915, Oct Average, Suriname, SUR
77.3727, 1915, Nov Average, Suriname, SUR
201.127, 1915, Dec Average, Suriname, SUR
351.518, 1916, Jan Average, Suriname, SUR
188.273, 1916, Feb Average, Suriname, SUR
292.381, 1916, Mar Average, Suriname, SUR
77.2052, 1916, Apr Average, Suriname, SUR
397.502, 1916, May Average, Suriname, SUR
287.436, 1916, Jun Average, Suriname, SUR
353.018, 1916, Jul Average, Suriname, SUR
241.884, 1916, Aug Average, Suriname, SUR
46.4817, 1916, Sep Average, Suriname, SUR
51.5547, 1916, Oct Average, Suriname, SUR
87.829, 1916, Nov Average, Suriname, SUR
273.51, 1916, Dec Average, Suriname, SUR
319.935, 1917, Jan Average, Suriname, SUR
153.345, 1917, Feb Average, Suriname, SUR
432.046, 1917, Mar Average, Suriname, SUR
172.432, 1917, Apr Average, Suriname, SUR
255.849, 1917, May Average, Suriname, SUR
207.356, 1917, Jun Average, Suriname, SUR
251.34, 1917, Jul Average, Suriname, SUR
208.18, 1917, Aug Average, Suriname, SUR
85.5033, 1917, Sep Average, Suriname, SUR
33.4138, 1917, Oct Average, Suriname, SUR
93.7786, 1917, Nov Average, Suriname, SUR
148.119, 1917, Dec Average, Suriname, SUR
174.852, 1918, Jan Average, Suriname, SUR
