Rainfall - (MM), Year, Statistics, Country, ISO3
31.0518, 1901, Jan Average, Slovakia, SVK
23.0803, 1901, Feb Average, Slovakia, SVK
71.8505, 1901, Mar Average, Slovakia, SVK
63.9948, 1901, Apr Average, Slovakia, SVK
48.9257, 1901, May Average, Slovakia, SVK
98.6358, 1901, Jun Average, Slovakia, SVK
107.831, 1901, Jul Average, Slovakia, SVK
88.0022, 1901, Aug Average, Slovakia, SVK
72.1247, 1901, Sep Average, Slovakia, SVK
58.9859, 1901, Oct Average, Slovakia, SVK
52.153, 1901, Nov Average, Slovakia, SVK
59.9555, 1901, Dec Average, Slovakia, SVK
40.3638, 1902, Jan Average, Slovakia, SVK
67.2247, 1902, Feb Average, Slovakia, SVK
53.5692, 1902, Mar Average, Slovakia, SVK
44.5095, 1902, Apr Average, Slovakia, SVK
104.141, 1902, May Average, Slovakia, SVK
129.798, 1902, Jun Average, Slovakia, SVK
116.778, 1902, Jul Average, Slovakia, SVK
72.5914, 1902, Aug Average, Slovakia, SVK
42.4227, 1902, Sep Average, Slovakia, SVK
117.382, 1902, Oct Average, Slovakia, SVK
5.77325, 1902, Nov Average, Slovakia, SVK
60.2593, 1902, Dec Average, Slovakia, SVK
35.0685, 1903, Jan Average, Slovakia, SVK
30.8156, 1903, Feb Average, Slovakia, SVK
29.0433, 1903, Mar Average, Slovakia, SVK
103.226, 1903, Apr Average, Slovakia, SVK
45.2196, 1903, May Average, Slovakia, SVK
123.293, 1903, Jun Average, Slovakia, SVK
154.996, 1903, Jul Average, Slovakia, SVK
79.3368, 1903, Aug Average, Slovakia, SVK
59.5372, 1903, Sep Average, Slovakia, SVK
64.3528, 1903, Oct Average, Slovakia, SVK
99.6293, 1903, Nov Average, Slovakia, SVK
61.4575, 1903, Dec Average, Slovakia, SVK
16.3813, 1904, Jan Average, Slovakia, SVK
62.1666, 1904, Feb Average, Slovakia, SVK
41.3763, 1904, Mar Average, Slovakia, SVK
50.2098, 1904, Apr Average, Slovakia, SVK
70.7885, 1904, May Average, Slovakia, SVK
56.5119, 1904, Jun Average, Slovakia, SVK
22.48, 1904, Jul Average, Slovakia, SVK
64.4825, 1904, Aug Average, Slovakia, SVK
96.29, 1904, Sep Average, Slovakia, SVK
95.2444, 1904, Oct Average, Slovakia, SVK
61.4845, 1904, Nov Average, Slovakia, SVK
52.6148, 1904, Dec Average, Slovakia, SVK
27.5252, 1905, Jan Average, Slovakia, SVK
23.0362, 1905, Feb Average, Slovakia, SVK
41.9339, 1905, Mar Average, Slovakia, SVK
61.128, 1905, Apr Average, Slovakia, SVK
92.9946, 1905, May Average, Slovakia, SVK
102.215, 1905, Jun Average, Slovakia, SVK
63.2305, 1905, Jul Average, Slovakia, SVK
84.331, 1905, Aug Average, Slovakia, SVK
72.0488, 1905, Sep Average, Slovakia, SVK
98.1128, 1905, Oct Average, Slovakia, SVK
101.812, 1905, Nov Average, Slovakia, SVK
27.9042, 1905, Dec Average, Slovakia, SVK
29.2519, 1906, Jan Average, Slovakia, SVK
31.439, 1906, Feb Average, Slovakia, SVK
83.5315, 1906, Mar Average, Slovakia, SVK
36.8717, 1906, Apr Average, Slovakia, SVK
77.5236, 1906, May Average, Slovakia, SVK
125.962, 1906, Jun Average, Slovakia, SVK
142.359, 1906, Jul Average, Slovakia, SVK
78.8028, 1906, Aug Average, Slovakia, SVK
137.112, 1906, Sep Average, Slovakia, SVK
18.7299, 1906, Oct Average, Slovakia, SVK
53.0487, 1906, Nov Average, Slovakia, SVK
87.9061, 1906, Dec Average, Slovakia, SVK
64.3655, 1907, Jan Average, Slovakia, SVK
18.4934, 1907, Feb Average, Slovakia, SVK
38.8087, 1907, Mar Average, Slovakia, SVK
86.166, 1907, Apr Average, Slovakia, SVK
52.265, 1907, May Average, Slovakia, SVK
98.3237, 1907, Jun Average, Slovakia, SVK
125.351, 1907, Jul Average, Slovakia, SVK
55.2763, 1907, Aug Average, Slovakia, SVK
39.9399, 1907, Sep Average, Slovakia, SVK
25.3682, 1907, Oct Average, Slovakia, SVK
33.9507, 1907, Nov Average, Slovakia, SVK
85.0118, 1907, Dec Average, Slovakia, SVK
31.3577, 1908, Jan Average, Slovakia, SVK
56.9251, 1908, Feb Average, Slovakia, SVK
51.836, 1908, Mar Average, Slovakia, SVK
73.1884, 1908, Apr Average, Slovakia, SVK
77.5417, 1908, May Average, Slovakia, SVK
64.3149, 1908, Jun Average, Slovakia, SVK
124.814, 1908, Jul Average, Slovakia, SVK
92.2829, 1908, Aug Average, Slovakia, SVK
36.6602, 1908, Sep Average, Slovakia, SVK
8.23594, 1908, Oct Average, Slovakia, SVK
34.5629, 1908, Nov Average, Slovakia, SVK
42.7305, 1908, Dec Average, Slovakia, SVK
30.9318, 1909, Jan Average, Slovakia, SVK
