Rainfall - (MM), Year, Statistics, Country, ISO3
41.3009, 1901, Jan Average, Slovenia, SVN
73.2797, 1901, Feb Average, Slovenia, SVN
177.504, 1901, Mar Average, Slovenia, SVN
92.6745, 1901, Apr Average, Slovenia, SVN
84.9466, 1901, May Average, Slovenia, SVN
171.306, 1901, Jun Average, Slovenia, SVN
95.5426, 1901, Jul Average, Slovenia, SVN
141.384, 1901, Aug Average, Slovenia, SVN
252.25, 1901, Sep Average, Slovenia, SVN
108.972, 1901, Oct Average, Slovenia, SVN
96.9225, 1901, Nov Average, Slovenia, SVN
179.205, 1901, Dec Average, Slovenia, SVN
64.5336, 1902, Jan Average, Slovenia, SVN
183.23, 1902, Feb Average, Slovenia, SVN
96.4274, 1902, Mar Average, Slovenia, SVN
70.6508, 1902, Apr Average, Slovenia, SVN
176.225, 1902, May Average, Slovenia, SVN
145.141, 1902, Jun Average, Slovenia, SVN
153.67, 1902, Jul Average, Slovenia, SVN
73.6168, 1902, Aug Average, Slovenia, SVN
77.7727, 1902, Sep Average, Slovenia, SVN
218.704, 1902, Oct Average, Slovenia, SVN
44.5804, 1902, Nov Average, Slovenia, SVN
49.8522, 1902, Dec Average, Slovenia, SVN
78.5788, 1903, Jan Average, Slovenia, SVN
28.8875, 1903, Feb Average, Slovenia, SVN
68.6996, 1903, Mar Average, Slovenia, SVN
151.812, 1903, Apr Average, Slovenia, SVN
88.5926, 1903, May Average, Slovenia, SVN
121.686, 1903, Jun Average, Slovenia, SVN
187.15, 1903, Jul Average, Slovenia, SVN
87.1624, 1903, Aug Average, Slovenia, SVN
125.467, 1903, Sep Average, Slovenia, SVN
185.514, 1903, Oct Average, Slovenia, SVN
192.185, 1903, Nov Average, Slovenia, SVN
225.716, 1903, Dec Average, Slovenia, SVN
59.494, 1904, Jan Average, Slovenia, SVN
181.067, 1904, Feb Average, Slovenia, SVN
123.226, 1904, Mar Average, Slovenia, SVN
90.4892, 1904, Apr Average, Slovenia, SVN
112.618, 1904, May Average, Slovenia, SVN
141.448, 1904, Jun Average, Slovenia, SVN
56.9751, 1904, Jul Average, Slovenia, SVN
192.413, 1904, Aug Average, Slovenia, SVN
157.702, 1904, Sep Average, Slovenia, SVN
151.739, 1904, Oct Average, Slovenia, SVN
89.1434, 1904, Nov Average, Slovenia, SVN
96.9979, 1904, Dec Average, Slovenia, SVN
35.2452, 1905, Jan Average, Slovenia, SVN
99.3678, 1905, Feb Average, Slovenia, SVN
97.7321, 1905, Mar Average, Slovenia, SVN
95.2232, 1905, Apr Average, Slovenia, SVN
150.178, 1905, May Average, Slovenia, SVN
116.323, 1905, Jun Average, Slovenia, SVN
99.1624, 1905, Jul Average, Slovenia, SVN
168.012, 1905, Aug Average, Slovenia, SVN
130.707, 1905, Sep Average, Slovenia, SVN
226.449, 1905, Oct Average, Slovenia, SVN
328.93, 1905, Nov Average, Slovenia, SVN
20.5038, 1905, Dec Average, Slovenia, SVN
78.3031, 1906, Jan Average, Slovenia, SVN
91.894, 1906, Feb Average, Slovenia, SVN
93.0469, 1906, Mar Average, Slovenia, SVN
99.1043, 1906, Apr Average, Slovenia, SVN
121.609, 1906, May Average, Slovenia, SVN
128.35, 1906, Jun Average, Slovenia, SVN
146.284, 1906, Jul Average, Slovenia, SVN
105.352, 1906, Aug Average, Slovenia, SVN
149.012, 1906, Sep Average, Slovenia, SVN
106.015, 1906, Oct Average, Slovenia, SVN
194.988, 1906, Nov Average, Slovenia, SVN
188.622, 1906, Dec Average, Slovenia, SVN
80.1856, 1907, Jan Average, Slovenia, SVN
48.8513, 1907, Feb Average, Slovenia, SVN
16.3349, 1907, Mar Average, Slovenia, SVN
194.518, 1907, Apr Average, Slovenia, SVN
123.32, 1907, May Average, Slovenia, SVN
93.6811, 1907, Jun Average, Slovenia, SVN
130.476, 1907, Jul Average, Slovenia, SVN
84.3046, 1907, Aug Average, Slovenia, SVN
105.028, 1907, Sep Average, Slovenia, SVN
265.264, 1907, Oct Average, Slovenia, SVN
57.4316, 1907, Nov Average, Slovenia, SVN
166.451, 1907, Dec Average, Slovenia, SVN
28.7951, 1908, Jan Average, Slovenia, SVN
67.1134, 1908, Feb Average, Slovenia, SVN
85.4322, 1908, Mar Average, Slovenia, SVN
203.407, 1908, Apr Average, Slovenia, SVN
38.7337, 1908, May Average, Slovenia, SVN
69.1999, 1908, Jun Average, Slovenia, SVN
108.164, 1908, Jul Average, Slovenia, SVN
197.57, 1908, Aug Average, Slovenia, SVN
59.8751, 1908, Sep Average, Slovenia, SVN
54.8621, 1908, Oct Average, Slovenia, SVN
60.0808, 1908, Nov Average, Slovenia, SVN
89.5191, 1908, Dec Average, Slovenia, SVN
65.0322, 1909, Jan Average, Slovenia, SVN
58.427, 1909, Feb Average, Slovenia, SVN
151.639, 1909, Mar Average, Slovenia, SVN
60.0885, 1909, Apr Average, Slovenia, SVN
84.0502, 1909, May Average, Slovenia, SVN
127.876, 1909, Jun Average, Slovenia, SVN
124.281, 1909, Jul Average, Slovenia, SVN
191.055, 1909, Aug Average, Slovenia, SVN
125.775, 1909, Sep Average, Slovenia, SVN
140.591, 1909, Oct Average, Slovenia, SVN
88.1733, 1909, Nov Average, Slovenia, SVN
216.988, 1909, Dec Average, Slovenia, SVN
189.058, 1910, Jan Average, Slovenia, SVN
122.31, 1910, Feb Average, Slovenia, SVN
49.655, 1910, Mar Average, Slovenia, SVN
95.2491, 1910, Apr Average, Slovenia, SVN
142.045, 1910, May Average, Slovenia, SVN
186.018, 1910, Jun Average, Slovenia, SVN
170.476, 1910, Jul Average, Slovenia, SVN
118.351, 1910, Aug Average, Slovenia, SVN
168.139, 1910, Sep Average, Slovenia, SVN
112.983, 1910, Oct Average, Slovenia, SVN
273.6, 1910, Nov Average, Slovenia, SVN
115.86, 1910, Dec Average, Slovenia, SVN
42.9365, 1911, Jan Average, Slovenia, SVN
14.125, 1911, Feb Average, Slovenia, SVN
108.995, 1911, Mar Average, Slovenia, SVN
74.2778, 1911, Apr Average, Slovenia, SVN
139.576, 1911, May Average, Slovenia, SVN
178.8, 1911, Jun Average, Slovenia, SVN
57.1847, 1911, Jul Average, Slovenia, SVN
59.483, 1911, Aug Average, Slovenia, SVN
143.278, 1911, Sep Average, Slovenia, SVN
181.673, 1911, Oct Average, Slovenia, SVN
97.2271, 1911, Nov Average, Slovenia, SVN
149.794, 1911, Dec Average, Slovenia, SVN
66.6357, 1912, Jan Average, Slovenia, SVN
111.262, 1912, Feb Average, Slovenia, SVN
137.035, 1912, Mar Average, Slovenia, SVN
105.392, 1912, Apr Average, Slovenia, SVN
121.728, 1912, May Average, Slovenia, SVN
132.07, 1912, Jun Average, Slovenia, SVN
95.4243, 1912, Jul Average, Slovenia, SVN
150.428, 1912, Aug Average, Slovenia, SVN
202.723, 1912, Sep Average, Slovenia, SVN
175.923, 1912, Oct Average, Slovenia, SVN
119.632, 1912, Nov Average, Slovenia, SVN
65.0093, 1912, Dec Average, Slovenia, SVN
52.0511, 1913, Jan Average, Slovenia, SVN
22.6483, 1913, Feb Average, Slovenia, SVN
56.1836, 1913, Mar Average, Slovenia, SVN
107.796, 1913, Apr Average, Slovenia, SVN
94.8003, 1913, May Average, Slovenia, SVN
130.452, 1913, Jun Average, Slovenia, SVN
241.023, 1913, Jul Average, Slovenia, SVN
149.981, 1913, Aug Average, Slovenia, SVN
168.876, 1913, Sep Average, Slovenia, SVN
75.4702, 1913, Oct Average, Slovenia, SVN
161.624, 1913, Nov Average, Slovenia, SVN
115.686, 1913, Dec Average, Slovenia, SVN
52.8638, 1914, Jan Average, Slovenia, SVN
50.6486, 1914, Feb Average, Slovenia, SVN
153.954, 1914, Mar Average, Slovenia, SVN
84.0047, 1914, Apr Average, Slovenia, SVN
208.974, 1914, May Average, Slovenia, SVN
130.133, 1914, Jun Average, Slovenia, SVN
214.408, 1914, Jul Average, Slovenia, SVN
93.6789, 1914, Aug Average, Slovenia, SVN
146.182, 1914, Sep Average, Slovenia, SVN
89.2225, 1914, Oct Average, Slovenia, SVN
81.1971, 1914, Nov Average, Slovenia, SVN
166.178, 1914, Dec Average, Slovenia, SVN
179.913, 1915, Jan Average, Slovenia, SVN
176.91, 1915, Feb Average, Slovenia, SVN
76.8854, 1915, Mar Average, Slovenia, SVN
74.8734, 1915, Apr Average, Slovenia, SVN
87.8662, 1915, May Average, Slovenia, SVN
125.397, 1915, Jun Average, Slovenia, SVN
180.091, 1915, Jul Average, Slovenia, SVN
198.253, 1915, Aug Average, Slovenia, SVN
131.158, 1915, Sep Average, Slovenia, SVN
221.506, 1915, Oct Average, Slovenia, SVN
161.678, 1915, Nov Average, Slovenia, SVN
139.378, 1915, Dec Average, Slovenia, SVN
16.2061, 1916, Jan Average, Slovenia, SVN
108, 1916, Feb Average, Slovenia, SVN
199.197, 1916, Mar Average, Slovenia, SVN
157.982, 1916, Apr Average, Slovenia, SVN
96.9588, 1916, May Average, Slovenia, SVN
101.622, 1916, Jun Average, Slovenia, SVN
108.109, 1916, Jul Average, Slovenia, SVN
106.772, 1916, Aug Average, Slovenia, SVN
284.846, 1916, Sep Average, Slovenia, SVN
132.274, 1916, Oct Average, Slovenia, SVN
