Rainfall - (MM), Year, Statistics, Country, ISO3
35.6454, 1901, Jan Average, Sweden, SWE
22.1489, 1901, Feb Average, Sweden, SWE
29.421, 1901, Mar Average, Sweden, SWE
25.4331, 1901, Apr Average, Sweden, SWE
21.2781, 1901, May Average, Sweden, SWE
71.916, 1901, Jun Average, Sweden, SWE
27.5884, 1901, Jul Average, Sweden, SWE
60.2224, 1901, Aug Average, Sweden, SWE
24.3588, 1901, Sep Average, Sweden, SWE
63.8949, 1901, Oct Average, Sweden, SWE
35.0826, 1901, Nov Average, Sweden, SWE
43.9465, 1901, Dec Average, Sweden, SWE
50.1503, 1902, Jan Average, Sweden, SWE
23.7605, 1902, Feb Average, Sweden, SWE
38.1734, 1902, Mar Average, Sweden, SWE
7.91389, 1902, Apr Average, Sweden, SWE
39.0748, 1902, May Average, Sweden, SWE
32.4375, 1902, Jun Average, Sweden, SWE
78.6397, 1902, Jul Average, Sweden, SWE
115.313, 1902, Aug Average, Sweden, SWE
60.6486, 1902, Sep Average, Sweden, SWE
50.3125, 1902, Oct Average, Sweden, SWE
19.4105, 1902, Nov Average, Sweden, SWE
29.3577, 1902, Dec Average, Sweden, SWE
38.2588, 1903, Jan Average, Sweden, SWE
38.7428, 1903, Feb Average, Sweden, SWE
38.3466, 1903, Mar Average, Sweden, SWE
44.8273, 1903, Apr Average, Sweden, SWE
32.5282, 1903, May Average, Sweden, SWE
45.6454, 1903, Jun Average, Sweden, SWE
75.4922, 1903, Jul Average, Sweden, SWE
122.347, 1903, Aug Average, Sweden, SWE
51.3961, 1903, Sep Average, Sweden, SWE
66.5048, 1903, Oct Average, Sweden, SWE
31.7975, 1903, Nov Average, Sweden, SWE
32.8858, 1903, Dec Average, Sweden, SWE
35.7986, 1904, Jan Average, Sweden, SWE
35.5566, 1904, Feb Average, Sweden, SWE
22.5283, 1904, Mar Average, Sweden, SWE
37.7729, 1904, Apr Average, Sweden, SWE
50.5959, 1904, May Average, Sweden, SWE
53.7227, 1904, Jun Average, Sweden, SWE
34.8506, 1904, Jul Average, Sweden, SWE
88.9832, 1904, Aug Average, Sweden, SWE
39.7184, 1904, Sep Average, Sweden, SWE
46.2574, 1904, Oct Average, Sweden, SWE
38.11, 1904, Nov Average, Sweden, SWE
43.7287, 1904, Dec Average, Sweden, SWE
33.9877, 1905, Jan Average, Sweden, SWE
23.9197, 1905, Feb Average, Sweden, SWE
27.5427, 1905, Mar Average, Sweden, SWE
36.1202, 1905, Apr Average, Sweden, SWE
32.0742, 1905, May Average, Sweden, SWE
39.9612, 1905, Jun Average, Sweden, SWE
81.199, 1905, Jul Average, Sweden, SWE
88.5679, 1905, Aug Average, Sweden, SWE
60.6798, 1905, Sep Average, Sweden, SWE
57.5892, 1905, Oct Average, Sweden, SWE
41.478, 1905, Nov Average, Sweden, SWE
22.0194, 1905, Dec Average, Sweden, SWE
43.2006, 1906, Jan Average, Sweden, SWE
34.9937, 1906, Feb Average, Sweden, SWE
45.4625, 1906, Mar Average, Sweden, SWE
28.0831, 1906, Apr Average, Sweden, SWE
65.7771, 1906, May Average, Sweden, SWE
43.0987, 1906, Jun Average, Sweden, SWE
57.6083, 1906, Jul Average, Sweden, SWE
64.8588, 1906, Aug Average, Sweden, SWE
28.7854, 1906, Sep Average, Sweden, SWE
36.3471, 1906, Oct Average, Sweden, SWE
56.3018, 1906, Nov Average, Sweden, SWE
36.7609, 1906, Dec Average, Sweden, SWE
47.8864, 1907, Jan Average, Sweden, SWE
34.9969, 1907, Feb Average, Sweden, SWE
28.0671, 1907, Mar Average, Sweden, SWE
31.6961, 1907, Apr Average, Sweden, SWE
40.3483, 1907, May Average, Sweden, SWE
70.6599, 1907, Jun Average, Sweden, SWE
82.9474, 1907, Jul Average, Sweden, SWE
111.879, 1907, Aug Average, Sweden, SWE
38.8498, 1907, Sep Average, Sweden, SWE
53.8563, 1907, Oct Average, Sweden, SWE
26.2246, 1907, Nov Average, Sweden, SWE
39.4877, 1907, Dec Average, Sweden, SWE
37.5394, 1908, Jan Average, Sweden, SWE
43.5836, 1908, Feb Average, Sweden, SWE
31.099, 1908, Mar Average, Sweden, SWE
22.2761, 1908, Apr Average, Sweden, SWE
34.1082, 1908, May Average, Sweden, SWE
55.2638, 1908, Jun Average, Sweden, SWE
62.9361, 1908, Jul Average, Sweden, SWE
61.3148, 1908, Aug Average, Sweden, SWE
51.0418, 1908, Sep Average, Sweden, SWE
23.2247, 1908, Oct Average, Sweden, SWE
36.6982, 1908, Nov Average, Sweden, SWE
32.7276, 1908, Dec Average, Sweden, SWE
38.6555, 1909, Jan Average, Sweden, SWE
16.959, 1909, Feb Average, Sweden, SWE
52.3645, 1909, Mar Average, Sweden, SWE
29.6624, 1909, Apr Average, Sweden, SWE
35.6932, 1909, May Average, Sweden, SWE
37.8188, 1909, Jun Average, Sweden, SWE
80.6279, 1909, Jul Average, Sweden, SWE
96.4786, 1909, Aug Average, Sweden, SWE
60.6464, 1909, Sep Average, Sweden, SWE
92.1816, 1909, Oct Average, Sweden, SWE
34.7026, 1909, Nov Average, Sweden, SWE
65.2784, 1909, Dec Average, Sweden, SWE
50.0919, 1910, Jan Average, Sweden, SWE
38.7231, 1910, Feb Average, Sweden, SWE
23.7061, 1910, Mar Average, Sweden, SWE
47.843, 1910, Apr Average, Sweden, SWE
45.7632, 1910, May Average, Sweden, SWE
54.0278, 1910, Jun Average, Sweden, SWE
66.914, 1910, Jul Average, Sweden, SWE
42.4707, 1910, Aug Average, Sweden, SWE
48.3708, 1910, Sep Average, Sweden, SWE
37.4855, 1910, Oct Average, Sweden, SWE
85.204, 1910, Nov Average, Sweden, SWE
35.2713, 1910, Dec Average, Sweden, SWE
35.9363, 1911, Jan Average, Sweden, SWE
39.2625, 1911, Feb Average, Sweden, SWE
19.2047, 1911, Mar Average, Sweden, SWE
43.0749, 1911, Apr Average, Sweden, SWE
14.7757, 1911, May Average, Sweden, SWE
51.2144, 1911, Jun Average, Sweden, SWE
53.7385, 1911, Jul Average, Sweden, SWE
50.1937, 1911, Aug Average, Sweden, SWE
64.3443, 1911, Sep Average, Sweden, SWE
65.2645, 1911, Oct Average, Sweden, SWE
60.0002, 1911, Nov Average, Sweden, SWE
36.2354, 1911, Dec Average, Sweden, SWE
22.7814, 1912, Jan Average, Sweden, SWE
27.2856, 1912, Feb Average, Sweden, SWE
41.9552, 1912, Mar Average, Sweden, SWE
18.2388, 1912, Apr Average, Sweden, SWE
48.2924, 1912, May Average, Sweden, SWE
74.8407, 1912, Jun Average, Sweden, SWE
28.4427, 1912, Jul Average, Sweden, SWE
122.887, 1912, Aug Average, Sweden, SWE
59.1723, 1912, Sep Average, Sweden, SWE
59.7499, 1912, Oct Average, Sweden, SWE
70.0067, 1912, Nov Average, Sweden, SWE
78.7061, 1912, Dec Average, Sweden, SWE
20.0667, 1913, Jan Average, Sweden, SWE
26.6199, 1913, Feb Average, Sweden, SWE
35.6363, 1913, Mar Average, Sweden, SWE
29.5633, 1913, Apr Average, Sweden, SWE
26.9331, 1913, May Average, Sweden, SWE
46.1012, 1913, Jun Average, Sweden, SWE
93.188, 1913, Jul Average, Sweden, SWE
75.4963, 1913, Aug Average, Sweden, SWE
31.3185, 1913, Sep Average, Sweden, SWE
38.032, 1913, Oct Average, Sweden, SWE
57.5083, 1913, Nov Average, Sweden, SWE
54.461, 1913, Dec Average, Sweden, SWE
39.7762, 1914, Jan Average, Sweden, SWE
31.4157, 1914, Feb Average, Sweden, SWE
38.5197, 1914, Mar Average, Sweden, SWE
32.8117, 1914, Apr Average, Sweden, SWE
43.7925, 1914, May Average, Sweden, SWE
41.2128, 1914, Jun Average, Sweden, SWE
55.3449, 1914, Jul Average, Sweden, SWE
42.4915, 1914, Aug Average, Sweden, SWE
56.2007, 1914, Sep Average, Sweden, SWE
22.0837, 1914, Oct Average, Sweden, SWE
36.1909, 1914, Nov Average, Sweden, SWE
62.8673, 1914, Dec Average, Sweden, SWE
39.119, 1915, Jan Average, Sweden, SWE
31.67, 1915, Feb Average, Sweden, SWE
19.0725, 1915, Mar Average, Sweden, SWE
30.7884, 1915, Apr Average, Sweden, SWE
42.8776, 1915, May Average, Sweden, SWE
25.9897, 1915, Jun Average, Sweden, SWE
124.167, 1915, Jul Average, Sweden, SWE
55.6449, 1915, Aug Average, Sweden, SWE
60.9932, 1915, Sep Average, Sweden, SWE
12.5737, 1915, Oct Average, Sweden, SWE
70.3889, 1915, Nov Average, Sweden, SWE
45.0985, 1915, Dec Average, Sweden, SWE
48.573, 1916, Jan Average, Sweden, SWE
25.0313, 1916, Feb Average, Sweden, SWE
36.6511, 1916, Mar Average, Sweden, SWE
38.8717, 1916, Apr Average, Sweden, SWE
49.4211, 1916, May Average, Sweden, SWE
54.8114, 1916, Jun Average, Sweden, SWE
73.2766, 1916, Jul Average, Sweden, SWE
59.4983, 1916, Aug Average, Sweden, SWE
39.9937, 1916, Sep Average, Sweden, SWE
71.78, 1916, Oct Average, Sweden, SWE
70.1066, 1916, Nov Average, Sweden, SWE
58.4901, 1916, Dec Average, Sweden, SWE
19.6783, 1917, Jan Average, Sweden, SWE
21.8096, 1917, Feb Average, Sweden, SWE
23.464, 1917, Mar Average, Sweden, SWE
32.5279, 1917, Apr Average, Sweden, SWE
21.7699, 1917, May Average, Sweden, SWE
48.0766, 1917, Jun Average, Sweden, SWE
59.0673, 1917, Jul Average, Sweden, SWE
68.1631, 1917, Aug Average, Sweden, SWE
64.6381, 1917, Sep Average, Sweden, SWE
77.8179, 1917, Oct Average, Sweden, SWE
58.775, 1917, Nov Average, Sweden, SWE
41.0162, 1917, Dec Average, Sweden, SWE
49.1675, 1918, Jan Average, Sweden, SWE
27.9803, 1918, Feb Average, Sweden, SWE
17.0071, 1918, Mar Average, Sweden, SWE
25.7257, 1918, Apr Average, Sweden, SWE
17.7748, 1918, May Average, Sweden, SWE
67.3349, 1918, Jun Average, Sweden, SWE
58.4237, 1918, Jul Average, Sweden, SWE
62.7377, 1918, Aug Average, Sweden, SWE
99.733, 1918, Sep Average, Sweden, SWE
39.1972, 1918, Oct Average, Sweden, SWE
38, 1918, Nov Average, Sweden, SWE
47.3765, 1918, Dec Average, Sweden, SWE
41.3717, 1919, Jan Average, Sweden, SWE
23.6469, 1919, Feb Average, Sweden, SWE
26.4681, 1919, Mar Average, Sweden, SWE
41.3265, 1919, Apr Average, Sweden, SWE
25.5048, 1919, May Average, Sweden, SWE
84.116, 1919, Jun Average, Sweden, SWE
58.8455, 1919, Jul Average, Sweden, SWE
79.5963, 1919, Aug Average, Sweden, SWE
75.3975, 1919, Sep Average, Sweden, SWE
36.7684, 1919, Oct Average, Sweden, SWE
37.8477, 1919, Nov Average, Sweden, SWE
42.8543, 1919, Dec Average, Sweden, SWE
56.279, 1920, Jan Average, Sweden, SWE
50.808, 1920, Feb Average, Sweden, SWE
38.9159, 1920, Mar Average, Sweden, SWE
52.9672, 1920, Apr Average, Sweden, SWE
49.5782, 1920, May Average, Sweden, SWE
48.5759, 1920, Jun Average, Sweden, SWE
97.6699, 1920, Jul Average, Sweden, SWE
85.3703, 1920, Aug Average, Sweden, SWE
57.4022, 1920, Sep Average, Sweden, SWE
17.6801, 1920, Oct Average, Sweden, SWE
29.1019, 1920, Nov Average, Sweden, SWE
24.1375, 1920, Dec Average, Sweden, SWE
62.1712, 1921, Jan Average, Sweden, SWE
20.9066, 1921, Feb Average, Sweden, SWE
34.5993, 1921, Mar Average, Sweden, SWE
28.2569, 1921, Apr Average, Sweden, SWE
40.5453, 1921, May Average, Sweden, SWE
76.8632, 1921, Jun Average, Sweden, SWE
74.8666, 1921, Jul Average, Sweden, SWE
124.68, 1921, Aug Average, Sweden, SWE
43.8921, 1921, Sep Average, Sweden, SWE
61.8757, 1921, Oct Average, Sweden, SWE
28.5549, 1921, Nov Average, Sweden, SWE
58.4725, 1921, Dec Average, Sweden, SWE
28.8692, 1922, Jan Average, Sweden, SWE
28.3467, 1922, Feb Average, Sweden, SWE
33.5919, 1922, Mar Average, Sweden, SWE
35.7933, 1922, Apr Average, Sweden, SWE
41.4085, 1922, May Average, Sweden, SWE
77.4584, 1922, Jun Average, Sweden, SWE
72.7889, 1922, Jul Average, Sweden, SWE
85.2316, 1922, Aug Average, Sweden, SWE
52.8924, 1922, Sep Average, Sweden, SWE
21.3867, 1922, Oct Average, Sweden, SWE
36.6809, 1922, Nov Average, Sweden, SWE
45.7714, 1922, Dec Average, Sweden, SWE
48.1823, 1923, Jan Average, Sweden, SWE
15.8596, 1923, Feb Average, Sweden, SWE
13.9538, 1923, Mar Average, Sweden, SWE
21.3534, 1923, Apr Average, Sweden, SWE
56.727, 1923, May Average, Sweden, SWE
53.3845, 1923, Jun Average, Sweden, SWE
63.5962, 1923, Jul Average, Sweden, SWE
91.5072, 1923, Aug Average, Sweden, SWE
92.556, 1923, Sep Average, Sweden, SWE
81.7895, 1923, Oct Average, Sweden, SWE
54.869, 1923, Nov Average, Sweden, SWE
31.3722, 1923, Dec Average, Sweden, SWE
36.3529, 1924, Jan Average, Sweden, SWE
28.4611, 1924, Feb Average, Sweden, SWE
36.1504, 1924, Mar Average, Sweden, SWE
31.211, 1924, Apr Average, Sweden, SWE
66.624, 1924, May Average, Sweden, SWE
72.7349, 1924, Jun Average, Sweden, SWE
60.6812, 1924, Jul Average, Sweden, SWE
77.2017, 1924, Aug Average, Sweden, SWE
87.5, 1924, Sep Average, Sweden, SWE
65.9574, 1924, Oct Average, Sweden, SWE
37.2835, 1924, Nov Average, Sweden, SWE
43.8947, 1924, Dec Average, Sweden, SWE
48.567, 1925, Jan Average, Sweden, SWE
40.5589, 1925, Feb Average, Sweden, SWE
27.6291, 1925, Mar Average, Sweden, SWE
29.9765, 1925, Apr Average, Sweden, SWE
40.4615, 1925, May Average, Sweden, SWE
48.0607, 1925, Jun Average, Sweden, SWE
82.2883, 1925, Jul Average, Sweden, SWE
71.5147, 1925, Aug Average, Sweden, SWE
62.7912, 1925, Sep Average, Sweden, SWE
53.8595, 1925, Oct Average, Sweden, SWE
39.9956, 1925, Nov Average, Sweden, SWE
62.2551, 1925, Dec Average, Sweden, SWE
30.1796, 1926, Jan Average, Sweden, SWE
34.1762, 1926, Feb Average, Sweden, SWE
31.5803, 1926, Mar Average, Sweden, SWE
34.6936, 1926, Apr Average, Sweden, SWE
70.2944, 1926, May Average, Sweden, SWE
49.2557, 1926, Jun Average, Sweden, SWE
57.202, 1926, Jul Average, Sweden, SWE
64.8198, 1926, Aug Average, Sweden, SWE
57.2644, 1926, Sep Average, Sweden, SWE
60.0735, 1926, Oct Average, Sweden, SWE
68.0696, 1926, Nov Average, Sweden, SWE
42.9458, 1926, Dec Average, Sweden, SWE
61.3005, 1927, Jan Average, Sweden, SWE
35.3431, 1927, Feb Average, Sweden, SWE
44.0846, 1927, Mar Average, Sweden, SWE
36.7849, 1927, Apr Average, Sweden, SWE
54.2795, 1927, May Average, Sweden, SWE
86.7125, 1927, Jun Average, Sweden, SWE
74.333, 1927, Jul Average, Sweden, SWE
85.7166, 1927, Aug Average, Sweden, SWE
86.3784, 1927, Sep Average, Sweden, SWE
79.2808, 1927, Oct Average, Sweden, SWE
30.6406, 1927, Nov Average, Sweden, SWE
20.563, 1927, Dec Average, Sweden, SWE
39.4702, 1928, Jan Average, Sweden, SWE
35.2189, 1928, Feb Average, Sweden, SWE
21.2093, 1928, Mar Average, Sweden, SWE
21.5967, 1928, Apr Average, Sweden, SWE
39.3596, 1928, May Average, Sweden, SWE
82.1103, 1928, Jun Average, Sweden, SWE
