Rainfall - (MM), Year, Statistics, Country, ISO3
200.114, 1901, Jan Average, Swaziland, SWZ
178.16, 1901, Feb Average, Swaziland, SWZ
83.889, 1901, Mar Average, Swaziland, SWZ
68.0718, 1901, Apr Average, Swaziland, SWZ
19.2784, 1901, May Average, Swaziland, SWZ
44.0911, 1901, Jun Average, Swaziland, SWZ
12.8943, 1901, Jul Average, Swaziland, SWZ
62.873, 1901, Aug Average, Swaziland, SWZ
171.311, 1901, Sep Average, Swaziland, SWZ
186.896, 1901, Oct Average, Swaziland, SWZ
225.845, 1901, Nov Average, Swaziland, SWZ
213.474, 1901, Dec Average, Swaziland, SWZ
109.186, 1902, Jan Average, Swaziland, SWZ
42.6719, 1902, Feb Average, Swaziland, SWZ
95.2177, 1902, Mar Average, Swaziland, SWZ
27.4212, 1902, Apr Average, Swaziland, SWZ
1.65248, 1902, May Average, Swaziland, SWZ
11.0982, 1902, Jun Average, Swaziland, SWZ
10.168, 1902, Jul Average, Swaziland, SWZ
9.705, 1902, Aug Average, Swaziland, SWZ
17.4889, 1902, Sep Average, Swaziland, SWZ
41.7516, 1902, Oct Average, Swaziland, SWZ
34.8017, 1902, Nov Average, Swaziland, SWZ
65.0233, 1902, Dec Average, Swaziland, SWZ
43.6991, 1903, Jan Average, Swaziland, SWZ
34.9705, 1903, Feb Average, Swaziland, SWZ
22.0786, 1903, Mar Average, Swaziland, SWZ
59.5149, 1903, Apr Average, Swaziland, SWZ
15.9437, 1903, May Average, Swaziland, SWZ
3.81801, 1903, Jun Average, Swaziland, SWZ
8.80962, 1903, Jul Average, Swaziland, SWZ
11.4741, 1903, Aug Average, Swaziland, SWZ
10.3838, 1903, Sep Average, Swaziland, SWZ
36.8705, 1903, Oct Average, Swaziland, SWZ
153.849, 1903, Nov Average, Swaziland, SWZ
81.4267, 1903, Dec Average, Swaziland, SWZ
137.122, 1904, Jan Average, Swaziland, SWZ
123.37, 1904, Feb Average, Swaziland, SWZ
136.23, 1904, Mar Average, Swaziland, SWZ
12.0748, 1904, Apr Average, Swaziland, SWZ
22.704, 1904, May Average, Swaziland, SWZ
10.883, 1904, Jun Average, Swaziland, SWZ
4.91985, 1904, Jul Average, Swaziland, SWZ
2.10237, 1904, Aug Average, Swaziland, SWZ
10.6596, 1904, Sep Average, Swaziland, SWZ
27.3817, 1904, Oct Average, Swaziland, SWZ
111.924, 1904, Nov Average, Swaziland, SWZ
78.3094, 1904, Dec Average, Swaziland, SWZ
115.349, 1905, Jan Average, Swaziland, SWZ
101.148, 1905, Feb Average, Swaziland, SWZ
106.362, 1905, Mar Average, Swaziland, SWZ
79.068, 1905, Apr Average, Swaziland, SWZ
14.4839, 1905, May Average, Swaziland, SWZ
1.03104, 1905, Jun Average, Swaziland, SWZ
9.39406, 1905, Jul Average, Swaziland, SWZ
17.1637, 1905, Aug Average, Swaziland, SWZ
9.4988, 1905, Sep Average, Swaziland, SWZ
20.76, 1905, Oct Average, Swaziland, SWZ
110.777, 1905, Nov Average, Swaziland, SWZ
152.758, 1905, Dec Average, Swaziland, SWZ
86.8019, 1906, Jan Average, Swaziland, SWZ
125.5, 1906, Feb Average, Swaziland, SWZ
46.7574, 1906, Mar Average, Swaziland, SWZ
15.8826, 1906, Apr Average, Swaziland, SWZ
12.553, 1906, May Average, Swaziland, SWZ
0.27353, 1906, Jun Average, Swaziland, SWZ
0.29357, 1906, Jul Average, Swaziland, SWZ
2.4942, 1906, Aug Average, Swaziland, SWZ
82.0464, 1906, Sep Average, Swaziland, SWZ
151.1, 1906, Oct Average, Swaziland, SWZ
137.509, 1906, Nov Average, Swaziland, SWZ
119.397, 1906, Dec Average, Swaziland, SWZ
152.756, 1907, Jan Average, Swaziland, SWZ
215.529, 1907, Feb Average, Swaziland, SWZ
79.9403, 1907, Mar Average, Swaziland, SWZ
123.68, 1907, Apr Average, Swaziland, SWZ
8.06496, 1907, May Average, Swaziland, SWZ
1.77107, 1907, Jun Average, Swaziland, SWZ
0.31725, 1907, Jul Average, Swaziland, SWZ
0.26173, 1907, Aug Average, Swaziland, SWZ
26.6955, 1907, Sep Average, Swaziland, SWZ
107.819, 1907, Oct Average, Swaziland, SWZ
105.342, 1907, Nov Average, Swaziland, SWZ
95.9999, 1907, Dec Average, Swaziland, SWZ
92.4527, 1908, Jan Average, Swaziland, SWZ
56.1886, 1908, Feb Average, Swaziland, SWZ
58.9382, 1908, Mar Average, Swaziland, SWZ
44.5032, 1908, Apr Average, Swaziland, SWZ
4.82193, 1908, May Average, Swaziland, SWZ
9.86956, 1908, Jun Average, Swaziland, SWZ
7.64529, 1908, Jul Average, Swaziland, SWZ
17.5436, 1908, Aug Average, Swaziland, SWZ
54.8383, 1908, Sep Average, Swaziland, SWZ
67.5053, 1908, Oct Average, Swaziland, SWZ
95.4893, 1908, Nov Average, Swaziland, SWZ
111.16, 1908, Dec Average, Swaziland, SWZ
317.575, 1909, Jan Average, Swaziland, SWZ
155.341, 1909, Feb Average, Swaziland, SWZ
137.768, 1909, Mar Average, Swaziland, SWZ
41.4416, 1909, Apr Average, Swaziland, SWZ
18.4827, 1909, May Average, Swaziland, SWZ
2.68342, 1909, Jun Average, Swaziland, SWZ
11.4964, 1909, Jul Average, Swaziland, SWZ
32.8042, 1909, Aug Average, Swaziland, SWZ
36.8749, 1909, Sep Average, Swaziland, SWZ
73.9961, 1909, Oct Average, Swaziland, SWZ
100.786, 1909, Nov Average, Swaziland, SWZ
192.171, 1909, Dec Average, Swaziland, SWZ
163.7, 1910, Jan Average, Swaziland, SWZ
199.32, 1910, Feb Average, Swaziland, SWZ
108.711, 1910, Mar Average, Swaziland, SWZ
50.7576, 1910, Apr Average, Swaziland, SWZ
5.38501, 1910, May Average, Swaziland, SWZ
21.3462, 1910, Jun Average, Swaziland, SWZ
19.3903, 1910, Jul Average, Swaziland, SWZ
1.52576, 1910, Aug Average, Swaziland, SWZ
48.3373, 1910, Sep Average, Swaziland, SWZ
112.854, 1910, Oct Average, Swaziland, SWZ
99.828, 1910, Nov Average, Swaziland, SWZ
144.119, 1910, Dec Average, Swaziland, SWZ
150.333, 1911, Jan Average, Swaziland, SWZ
75.7938, 1911, Feb Average, Swaziland, SWZ
92.9489, 1911, Mar Average, Swaziland, SWZ
64.3283, 1911, Apr Average, Swaziland, SWZ
88.3538, 1911, May Average, Swaziland, SWZ
0.66731, 1911, Jun Average, Swaziland, SWZ
37.337, 1911, Jul Average, Swaziland, SWZ
15.3906, 1911, Aug Average, Swaziland, SWZ
8.9627, 1911, Sep Average, Swaziland, SWZ
101.252, 1911, Oct Average, Swaziland, SWZ
75.0914, 1911, Nov Average, Swaziland, SWZ
90.0786, 1911, Dec Average, Swaziland, SWZ
93.4434, 1912, Jan Average, Swaziland, SWZ
83.623, 1912, Feb Average, Swaziland, SWZ
97.623, 1912, Mar Average, Swaziland, SWZ
72.7974, 1912, Apr Average, Swaziland, SWZ
42.7318, 1912, May Average, Swaziland, SWZ
1.50805, 1912, Jun Average, Swaziland, SWZ
10.8615, 1912, Jul Average, Swaziland, SWZ
2.67335, 1912, Aug Average, Swaziland, SWZ
10.1236, 1912, Sep Average, Swaziland, SWZ
17.9508, 1912, Oct Average, Swaziland, SWZ
47.4271, 1912, Nov Average, Swaziland, SWZ
132.245, 1912, Dec Average, Swaziland, SWZ
105.119, 1913, Jan Average, Swaziland, SWZ
188.898, 1913, Feb Average, Swaziland, SWZ
126.204, 1913, Mar Average, Swaziland, SWZ
78.743, 1913, Apr Average, Swaziland, SWZ
19.5042, 1913, May Average, Swaziland, SWZ
9.13785, 1913, Jun Average, Swaziland, SWZ
10.6245, 1913, Jul Average, Swaziland, SWZ
24.1098, 1913, Aug Average, Swaziland, SWZ
28.7397, 1913, Sep Average, Swaziland, SWZ
118.422, 1913, Oct Average, Swaziland, SWZ
96.8811, 1913, Nov Average, Swaziland, SWZ
83.3721, 1913, Dec Average, Swaziland, SWZ
53.9602, 1914, Jan Average, Swaziland, SWZ
147.42, 1914, Feb Average, Swaziland, SWZ
72.0738, 1914, Mar Average, Swaziland, SWZ
92.6013, 1914, Apr Average, Swaziland, SWZ
48.0212, 1914, May Average, Swaziland, SWZ
2.01407, 1914, Jun Average, Swaziland, SWZ
2.11126, 1914, Jul Average, Swaziland, SWZ
9.98547, 1914, Aug Average, Swaziland, SWZ
15.0413, 1914, Sep Average, Swaziland, SWZ
62.0252, 1914, Oct Average, Swaziland, SWZ
131.73, 1914, Nov Average, Swaziland, SWZ
181.489, 1914, Dec Average, Swaziland, SWZ
364.932, 1915, Jan Average, Swaziland, SWZ
168.188, 1915, Feb Average, Swaziland, SWZ
61.1306, 1915, Mar Average, Swaziland, SWZ
6.35501, 1915, Apr Average, Swaziland, SWZ
34.9241, 1915, May Average, Swaziland, SWZ
4.46566, 1915, Jun Average, Swaziland, SWZ
62.3968, 1915, Jul Average, Swaziland, SWZ
2.84324, 1915, Aug Average, Swaziland, SWZ
29.0531, 1915, Sep Average, Swaziland, SWZ
114.236, 1915, Oct Average, Swaziland, SWZ
107.912, 1915, Nov Average, Swaziland, SWZ
135.914, 1915, Dec Average, Swaziland, SWZ
62.6211, 1916, Jan Average, Swaziland, SWZ
55.8881, 1916, Feb Average, Swaziland, SWZ
103.098, 1916, Mar Average, Swaziland, SWZ
26.4231, 1916, Apr Average, Swaziland, SWZ
11.2263, 1916, May Average, Swaziland, SWZ
0.51507, 1916, Jun Average, Swaziland, SWZ
0.57565, 1916, Jul Average, Swaziland, SWZ
3.49937, 1916, Aug Average, Swaziland, SWZ
3.01145, 1916, Sep Average, Swaziland, SWZ
47.4841, 1916, Oct Average, Swaziland, SWZ
100.841, 1916, Nov Average, Swaziland, SWZ
145.969, 1916, Dec Average, Swaziland, SWZ
109.359, 1917, Jan Average, Swaziland, SWZ
109.063, 1917, Feb Average, Swaziland, SWZ
51.8922, 1917, Mar Average, Swaziland, SWZ
51.434, 1917, Apr Average, Swaziland, SWZ
41.3185, 1917, May Average, Swaziland, SWZ
39.1894, 1917, Jun Average, Swaziland, SWZ
33.3774, 1917, Jul Average, Swaziland, SWZ
83.295, 1917, Aug Average, Swaziland, SWZ
85.3275, 1917, Sep Average, Swaziland, SWZ
175.412, 1917, Oct Average, Swaziland, SWZ
201.799, 1917, Nov Average, Swaziland, SWZ
149.446, 1917, Dec Average, Swaziland, SWZ
267.136, 1918, Jan Average, Swaziland, SWZ
305.943, 1918, Feb Average, Swaziland, SWZ
198.277, 1918, Mar Average, Swaziland, SWZ
14.325, 1918, Apr Average, Swaziland, SWZ
6.16229, 1918, May Average, Swaziland, SWZ
0.5816, 1918, Jun Average, Swaziland, SWZ
25.7931, 1918, Jul Average, Swaziland, SWZ
64.041, 1918, Aug Average, Swaziland, SWZ
28.5293, 1918, Sep Average, Swaziland, SWZ
25.4807, 1918, Oct Average, Swaziland, SWZ
112.397, 1918, Nov Average, Swaziland, SWZ
175.825, 1918, Dec Average, Swaziland, SWZ
138.992, 1919, Jan Average, Swaziland, SWZ
107.923, 1919, Feb Average, Swaziland, SWZ
56.5888, 1919, Mar Average, Swaziland, SWZ
85.3025, 1919, Apr Average, Swaziland, SWZ
30.8871, 1919, May Average, Swaziland, SWZ
12.0225, 1919, Jun Average, Swaziland, SWZ
4.14931, 1919, Jul Average, Swaziland, SWZ
18.3176, 1919, Aug Average, Swaziland, SWZ
28.6282, 1919, Sep Average, Swaziland, SWZ
34.9683, 1919, Oct Average, Swaziland, SWZ
123.718, 1919, Nov Average, Swaziland, SWZ
69.0552, 1919, Dec Average, Swaziland, SWZ
282.844, 1920, Jan Average, Swaziland, SWZ
145.958, 1920, Feb Average, Swaziland, SWZ
149.255, 1920, Mar Average, Swaziland, SWZ
22.9437, 1920, Apr Average, Swaziland, SWZ
14.6056, 1920, May Average, Swaziland, SWZ
1.04413, 1920, Jun Average, Swaziland, SWZ
2.81383, 1920, Jul Average, Swaziland, SWZ
5.197, 1920, Aug Average, Swaziland, SWZ
41.4706, 1920, Sep Average, Swaziland, SWZ
147.07, 1920, Oct Average, Swaziland, SWZ
120.239, 1920, Nov Average, Swaziland, SWZ
93.8522, 1920, Dec Average, Swaziland, SWZ
76.447, 1921, Jan Average, Swaziland, SWZ
80.9301, 1921, Feb Average, Swaziland, SWZ
192.708, 1921, Mar Average, Swaziland, SWZ
