Rainfall - (MM), Year, Statistics, Country, ISO3
223.966, 1901, Jan Average, Seychelles, SYC
281.12, 1901, Feb Average, Seychelles, SYC
258.425, 1901, Mar Average, Seychelles, SYC
204.598, 1901, Apr Average, Seychelles, SYC
97.1735, 1901, May Average, Seychelles, SYC
100.825, 1901, Jun Average, Seychelles, SYC
77.8307, 1901, Jul Average, Seychelles, SYC
31.5788, 1901, Aug Average, Seychelles, SYC
188.893, 1901, Sep Average, Seychelles, SYC
86.3267, 1901, Oct Average, Seychelles, SYC
157.272, 1901, Nov Average, Seychelles, SYC
177.832, 1901, Dec Average, Seychelles, SYC
272.086, 1902, Jan Average, Seychelles, SYC
264.099, 1902, Feb Average, Seychelles, SYC
191.444, 1902, Mar Average, Seychelles, SYC
71.2504, 1902, Apr Average, Seychelles, SYC
86.396, 1902, May Average, Seychelles, SYC
32.6127, 1902, Jun Average, Seychelles, SYC
28.761, 1902, Jul Average, Seychelles, SYC
71.7776, 1902, Aug Average, Seychelles, SYC
43.6286, 1902, Sep Average, Seychelles, SYC
143.307, 1902, Oct Average, Seychelles, SYC
167.663, 1902, Nov Average, Seychelles, SYC
245.555, 1902, Dec Average, Seychelles, SYC
309.407, 1903, Jan Average, Seychelles, SYC
265.466, 1903, Feb Average, Seychelles, SYC
257.263, 1903, Mar Average, Seychelles, SYC
325.894, 1903, Apr Average, Seychelles, SYC
269.599, 1903, May Average, Seychelles, SYC
63.8692, 1903, Jun Average, Seychelles, SYC
72.9306, 1903, Jul Average, Seychelles, SYC
21.1191, 1903, Aug Average, Seychelles, SYC
64.6439, 1903, Sep Average, Seychelles, SYC
39.1706, 1903, Oct Average, Seychelles, SYC
191.546, 1903, Nov Average, Seychelles, SYC
165.595, 1903, Dec Average, Seychelles, SYC
470.126, 1904, Jan Average, Seychelles, SYC
254.439, 1904, Feb Average, Seychelles, SYC
59.5313, 1904, Mar Average, Seychelles, SYC
112.009, 1904, Apr Average, Seychelles, SYC
31.1932, 1904, May Average, Seychelles, SYC
20.1196, 1904, Jun Average, Seychelles, SYC
19.1897, 1904, Jul Average, Seychelles, SYC
85.381, 1904, Aug Average, Seychelles, SYC
117.298, 1904, Sep Average, Seychelles, SYC
53.5976, 1904, Oct Average, Seychelles, SYC
361.345, 1904, Nov Average, Seychelles, SYC
299.973, 1904, Dec Average, Seychelles, SYC
264.612, 1905, Jan Average, Seychelles, SYC
161.976, 1905, Feb Average, Seychelles, SYC
100.724, 1905, Mar Average, Seychelles, SYC
110.755, 1905, Apr Average, Seychelles, SYC
170.558, 1905, May Average, Seychelles, SYC
33.4567, 1905, Jun Average, Seychelles, SYC
24.4316, 1905, Jul Average, Seychelles, SYC
114.617, 1905, Aug Average, Seychelles, SYC
197.805, 1905, Sep Average, Seychelles, SYC
17.2669, 1905, Oct Average, Seychelles, SYC
96.1304, 1905, Nov Average, Seychelles, SYC
398.163, 1905, Dec Average, Seychelles, SYC
338.319, 1906, Jan Average, Seychelles, SYC
173.642, 1906, Feb Average, Seychelles, SYC
225.139, 1906, Mar Average, Seychelles, SYC
276.797, 1906, Apr Average, Seychelles, SYC
103.553, 1906, May Average, Seychelles, SYC
96.1509, 1906, Jun Average, Seychelles, SYC
56.4294, 1906, Jul Average, Seychelles, SYC
24.1501, 1906, Aug Average, Seychelles, SYC
20.2179, 1906, Sep Average, Seychelles, SYC
81.4949, 1906, Oct Average, Seychelles, SYC
129.515, 1906, Nov Average, Seychelles, SYC
232.84, 1906, Dec Average, Seychelles, SYC
323.289, 1907, Jan Average, Seychelles, SYC
284.483, 1907, Feb Average, Seychelles, SYC
66.5938, 1907, Mar Average, Seychelles, SYC
120.319, 1907, Apr Average, Seychelles, SYC
99.8508, 1907, May Average, Seychelles, SYC
14.813, 1907, Jun Average, Seychelles, SYC
79.9316, 1907, Jul Average, Seychelles, SYC
28.5647, 1907, Aug Average, Seychelles, SYC
93.3047, 1907, Sep Average, Seychelles, SYC
65.9562, 1907, Oct Average, Seychelles, SYC
60.1688, 1907, Nov Average, Seychelles, SYC
246.331, 1907, Dec Average, Seychelles, SYC
119.511, 1908, Jan Average, Seychelles, SYC
345.96, 1908, Feb Average, Seychelles, SYC
141.291, 1908, Mar Average, Seychelles, SYC
206.248, 1908, Apr Average, Seychelles, SYC
110.172, 1908, May Average, Seychelles, SYC
79.6691, 1908, Jun Average, Seychelles, SYC
54.4475, 1908, Jul Average, Seychelles, SYC
27.0887, 1908, Aug Average, Seychelles, SYC
91.0172, 1908, Sep Average, Seychelles, SYC
97.7228, 1908, Oct Average, Seychelles, SYC
86.4668, 1908, Nov Average, Seychelles, SYC
200.255, 1908, Dec Average, Seychelles, SYC
267.278, 1909, Jan Average, Seychelles, SYC
291.829, 1909, Feb Average, Seychelles, SYC
