Rainfall - (MM), Year, Statistics, Country, ISO3
51.3915, 1901, Jan Average, Syria, SYR
3.80826, 1901, Feb Average, Syria, SYR
10.7637, 1901, Mar Average, Syria, SYR
10.5168, 1901, Apr Average, Syria, SYR
34.2348, 1901, May Average, Syria, SYR
2.8735, 1901, Jun Average, Syria, SYR
0.66304, 1901, Jul Average, Syria, SYR
0.00655, 1901, Aug Average, Syria, SYR
3.65439, 1901, Sep Average, Syria, SYR
6.40055, 1901, Oct Average, Syria, SYR
21.9844, 1901, Nov Average, Syria, SYR
38.8461, 1901, Dec Average, Syria, SYR
76.9643, 1902, Jan Average, Syria, SYR
41.3107, 1902, Feb Average, Syria, SYR
29.6695, 1902, Mar Average, Syria, SYR
39.7725, 1902, Apr Average, Syria, SYR
2.50545, 1902, May Average, Syria, SYR
0.03259, 1902, Jun Average, Syria, SYR
1.18333, 1902, Jul Average, Syria, SYR
0.0043, 1902, Aug Average, Syria, SYR
0.06681, 1902, Sep Average, Syria, SYR
17.2943, 1902, Oct Average, Syria, SYR
77.8862, 1902, Nov Average, Syria, SYR
57.741, 1902, Dec Average, Syria, SYR
37.7967, 1903, Jan Average, Syria, SYR
53.6425, 1903, Feb Average, Syria, SYR
33.6059, 1903, Mar Average, Syria, SYR
14.1021, 1903, Apr Average, Syria, SYR
2.15145, 1903, May Average, Syria, SYR
1.00796, 1903, Jun Average, Syria, SYR
0.00882, 1903, Jul Average, Syria, SYR
0.11001, 1903, Aug Average, Syria, SYR
0.23922, 1903, Sep Average, Syria, SYR
6.95594, 1903, Oct Average, Syria, SYR
32.5298, 1903, Nov Average, Syria, SYR
43.2585, 1903, Dec Average, Syria, SYR
40.5748, 1904, Jan Average, Syria, SYR
26.0334, 1904, Feb Average, Syria, SYR
67.8972, 1904, Mar Average, Syria, SYR
35.6285, 1904, Apr Average, Syria, SYR
21.2559, 1904, May Average, Syria, SYR
1.50548, 1904, Jun Average, Syria, SYR
1.14881, 1904, Jul Average, Syria, SYR
0.00733, 1904, Aug Average, Syria, SYR
0.45411, 1904, Sep Average, Syria, SYR
21.5903, 1904, Oct Average, Syria, SYR
56.5104, 1904, Nov Average, Syria, SYR
72.5804, 1904, Dec Average, Syria, SYR
52.0176, 1905, Jan Average, Syria, SYR
38.6952, 1905, Feb Average, Syria, SYR
55.0621, 1905, Mar Average, Syria, SYR
28.7772, 1905, Apr Average, Syria, SYR
15.0877, 1905, May Average, Syria, SYR
0.67707, 1905, Jun Average, Syria, SYR
0.00482, 1905, Jul Average, Syria, SYR
0.0068, 1905, Aug Average, Syria, SYR
1.3878, 1905, Sep Average, Syria, SYR
11.0899, 1905, Oct Average, Syria, SYR
17.9104, 1905, Nov Average, Syria, SYR
57.7668, 1905, Dec Average, Syria, SYR
49.9219, 1906, Jan Average, Syria, SYR
53.9398, 1906, Feb Average, Syria, SYR
39.3365, 1906, Mar Average, Syria, SYR
59.3554, 1906, Apr Average, Syria, SYR
45.4952, 1906, May Average, Syria, SYR
5.11335, 1906, Jun Average, Syria, SYR
0.21823, 1906, Jul Average, Syria, SYR
0.06654, 1906, Aug Average, Syria, SYR
0.27581, 1906, Sep Average, Syria, SYR
10.8388, 1906, Oct Average, Syria, SYR
46.7238, 1906, Nov Average, Syria, SYR
49.7981, 1906, Dec Average, Syria, SYR
64.6098, 1907, Jan Average, Syria, SYR
59.312, 1907, Feb Average, Syria, SYR
67.7475, 1907, Mar Average, Syria, SYR
28.5984, 1907, Apr Average, Syria, SYR
9.06963, 1907, May Average, Syria, SYR
0.70047, 1907, Jun Average, Syria, SYR
0.19366, 1907, Jul Average, Syria, SYR
0.06504, 1907, Aug Average, Syria, SYR
3.44184, 1907, Sep Average, Syria, SYR
14.2873, 1907, Oct Average, Syria, SYR
58.37, 1907, Nov Average, Syria, SYR
44.9087, 1907, Dec Average, Syria, SYR
56.2917, 1908, Jan Average, Syria, SYR
51.8392, 1908, Feb Average, Syria, SYR
52.2672, 1908, Mar Average, Syria, SYR
30.9451, 1908, Apr Average, Syria, SYR
13.3511, 1908, May Average, Syria, SYR
8.56996, 1908, Jun Average, Syria, SYR
0.15505, 1908, Jul Average, Syria, SYR
0.06231, 1908, Aug Average, Syria, SYR
0.57971, 1908, Sep Average, Syria, SYR
5.3214, 1908, Oct Average, Syria, SYR
52.4422, 1908, Nov Average, Syria, SYR
67.5006, 1908, Dec Average, Syria, SYR
48.5289, 1909, Jan Average, Syria, SYR
44.9001, 1909, Feb Average, Syria, SYR
29.9159, 1909, Mar Average, Syria, SYR
