Rainfall - (MM), Year, Statistics, Country, ISO3
0.24323, 1901, Jan Average, Chad, TCD
1.39932, 1901, Feb Average, Chad, TCD
2.61166, 1901, Mar Average, Chad, TCD
8.76802, 1901, Apr Average, Chad, TCD
20.6301, 1901, May Average, Chad, TCD
38.0908, 1901, Jun Average, Chad, TCD
82.1483, 1901, Jul Average, Chad, TCD
114.867, 1901, Aug Average, Chad, TCD
52.0058, 1901, Sep Average, Chad, TCD
12.969, 1901, Oct Average, Chad, TCD
0.5329, 1901, Nov Average, Chad, TCD
0.141, 1901, Dec Average, Chad, TCD
0.24323, 1902, Jan Average, Chad, TCD
1.39932, 1902, Feb Average, Chad, TCD
2.61166, 1902, Mar Average, Chad, TCD
8.76802, 1902, Apr Average, Chad, TCD
20.6301, 1902, May Average, Chad, TCD
38.0908, 1902, Jun Average, Chad, TCD
82.1483, 1902, Jul Average, Chad, TCD
114.867, 1902, Aug Average, Chad, TCD
52.0058, 1902, Sep Average, Chad, TCD
12.969, 1902, Oct Average, Chad, TCD
0.5329, 1902, Nov Average, Chad, TCD
0.141, 1902, Dec Average, Chad, TCD
0.24323, 1903, Jan Average, Chad, TCD
1.39932, 1903, Feb Average, Chad, TCD
2.61166, 1903, Mar Average, Chad, TCD
8.76802, 1903, Apr Average, Chad, TCD
20.6301, 1903, May Average, Chad, TCD
38.0908, 1903, Jun Average, Chad, TCD
82.1483, 1903, Jul Average, Chad, TCD
114.867, 1903, Aug Average, Chad, TCD
52.0058, 1903, Sep Average, Chad, TCD
12.969, 1903, Oct Average, Chad, TCD
0.5329, 1903, Nov Average, Chad, TCD
0.141, 1903, Dec Average, Chad, TCD
0.24323, 1904, Jan Average, Chad, TCD
1.39932, 1904, Feb Average, Chad, TCD
2.61166, 1904, Mar Average, Chad, TCD
5.65009, 1904, Apr Average, Chad, TCD
11.1572, 1904, May Average, Chad, TCD
22.7915, 1904, Jun Average, Chad, TCD
119.976, 1904, Jul Average, Chad, TCD
110.185, 1904, Aug Average, Chad, TCD
28.9047, 1904, Sep Average, Chad, TCD
8.07623, 1904, Oct Average, Chad, TCD
0.42149, 1904, Nov Average, Chad, TCD
0.141, 1904, Dec Average, Chad, TCD
0.24323, 1905, Jan Average, Chad, TCD
1.39932, 1905, Feb Average, Chad, TCD
2.14994, 1905, Mar Average, Chad, TCD
5.65009, 1905, Apr Average, Chad, TCD
30.4428, 1905, May Average, Chad, TCD
57.3727, 1905, Jun Average, Chad, TCD
73.744, 1905, Jul Average, Chad, TCD
105.681, 1905, Aug Average, Chad, TCD
37.8384, 1905, Sep Average, Chad, TCD
18.0157, 1905, Oct Average, Chad, TCD
0.42149, 1905, Nov Average, Chad, TCD
0.141, 1905, Dec Average, Chad, TCD
0.24323, 1906, Jan Average, Chad, TCD
1.39696, 1906, Feb Average, Chad, TCD
3.5398, 1906, Mar Average, Chad, TCD
7.54652, 1906, Apr Average, Chad, TCD
21.3796, 1906, May Average, Chad, TCD
57.446, 1906, Jun Average, Chad, TCD
79.8268, 1906, Jul Average, Chad, TCD
126.853, 1906, Aug Average, Chad, TCD
43.5293, 1906, Sep Average, Chad, TCD
16.3759, 1906, Oct Average, Chad, TCD
0.3319, 1906, Nov Average, Chad, TCD
0.14071, 1906, Dec Average, Chad, TCD
0.24702, 1907, Jan Average, Chad, TCD
1.39964, 1907, Feb Average, Chad, TCD
1.93006, 1907, Mar Average, Chad, TCD
5.79094, 1907, Apr Average, Chad, TCD
21.5465, 1907, May Average, Chad, TCD
32.7536, 1907, Jun Average, Chad, TCD
76.0621, 1907, Jul Average, Chad, TCD
129.781, 1907, Aug Average, Chad, TCD
64.0753, 1907, Sep Average, Chad, TCD
10.9533, 1907, Oct Average, Chad, TCD
0.35653, 1907, Nov Average, Chad, TCD
0.141, 1907, Dec Average, Chad, TCD
0.24404, 1908, Jan Average, Chad, TCD
1.41678, 1908, Feb Average, Chad, TCD
1.92263, 1908, Mar Average, Chad, TCD
11.0915, 1908, Apr Average, Chad, TCD
15.4874, 1908, May Average, Chad, TCD
28.0724, 1908, Jun Average, Chad, TCD
98.3545, 1908, Jul Average, Chad, TCD
129.395, 1908, Aug Average, Chad, TCD
47.6534, 1908, Sep Average, Chad, TCD
15.4037, 1908, Oct Average, Chad, TCD
0.34947, 1908, Nov Average, Chad, TCD
0.14052, 1908, Dec Average, Chad, TCD
0.24625, 1909, Jan Average, Chad, TCD
1.40883, 1909, Feb Average, Chad, TCD
5.62169, 1909, Mar Average, Chad, TCD
12.7481, 1909, Apr Average, Chad, TCD
41.495, 1909, May Average, Chad, TCD
65.0162, 1909, Jun Average, Chad, TCD
101.032, 1909, Jul Average, Chad, TCD
100.018, 1909, Aug Average, Chad, TCD
66.6996, 1909, Sep Average, Chad, TCD
14.4161, 1909, Oct Average, Chad, TCD
0.45414, 1909, Nov Average, Chad, TCD
0.14241, 1909, Dec Average, Chad, TCD
0.24064, 1910, Jan Average, Chad, TCD
1.39619, 1910, Feb Average, Chad, TCD
1.73313, 1910, Mar Average, Chad, TCD
7.83541, 1910, Apr Average, Chad, TCD
28.6687, 1910, May Average, Chad, TCD
29.8166, 1910, Jun Average, Chad, TCD
81.1464, 1910, Jul Average, Chad, TCD
130.338, 1910, Aug Average, Chad, TCD
56.8119, 1910, Sep Average, Chad, TCD
8.0271, 1910, Oct Average, Chad, TCD
0.3836, 1910, Nov Average, Chad, TCD
0.13996, 1910, Dec Average, Chad, TCD
0.24215, 1911, Jan Average, Chad, TCD
1.38396, 1911, Feb Average, Chad, TCD
2.34537, 1911, Mar Average, Chad, TCD
8.04737, 1911, Apr Average, Chad, TCD
26.031, 1911, May Average, Chad, TCD
50.0514, 1911, Jun Average, Chad, TCD
85.7725, 1911, Jul Average, Chad, TCD
118.533, 1911, Aug Average, Chad, TCD
48.8247, 1911, Sep Average, Chad, TCD
18.2379, 1911, Oct Average, Chad, TCD
0.32174, 1911, Nov Average, Chad, TCD
0.14203, 1911, Dec Average, Chad, TCD
0.23995, 1912, Jan Average, Chad, TCD
1.37397, 1912, Feb Average, Chad, TCD
2.51924, 1912, Mar Average, Chad, TCD
5.56362, 1912, Apr Average, Chad, TCD
12.6803, 1912, May Average, Chad, TCD
42.4204, 1912, Jun Average, Chad, TCD
77.7315, 1912, Jul Average, Chad, TCD
112.706, 1912, Aug Average, Chad, TCD
37.0425, 1912, Sep Average, Chad, TCD
15.5371, 1912, Oct Average, Chad, TCD
0.3483, 1912, Nov Average, Chad, TCD
0.13925, 1912, Dec Average, Chad, TCD
0.24122, 1913, Jan Average, Chad, TCD
1.37451, 1913, Feb Average, Chad, TCD
1.80543, 1913, Mar Average, Chad, TCD
7.74204, 1913, Apr Average, Chad, TCD
17.7122, 1913, May Average, Chad, TCD
25.6947, 1913, Jun Average, Chad, TCD
57.9, 1913, Jul Average, Chad, TCD
90.991, 1913, Aug Average, Chad, TCD
36.8808, 1913, Sep Average, Chad, TCD
10.5636, 1913, Oct Average, Chad, TCD
0.25835, 1913, Nov Average, Chad, TCD
0.13933, 1913, Dec Average, Chad, TCD
0.24543, 1914, Jan Average, Chad, TCD
1.37195, 1914, Feb Average, Chad, TCD
3.72911, 1914, Mar Average, Chad, TCD
7.17053, 1914, Apr Average, Chad, TCD
29.0762, 1914, May Average, Chad, TCD
28.4864, 1914, Jun Average, Chad, TCD
65.405, 1914, Jul Average, Chad, TCD
109.835, 1914, Aug Average, Chad, TCD
48.5972, 1914, Sep Average, Chad, TCD
12.2109, 1914, Oct Average, Chad, TCD
0.52641, 1914, Nov Average, Chad, TCD
0.14167, 1914, Dec Average, Chad, TCD
0.24127, 1915, Jan Average, Chad, TCD
1.41366, 1915, Feb Average, Chad, TCD
2.29974, 1915, Mar Average, Chad, TCD
8.55192, 1915, Apr Average, Chad, TCD
15.3668, 1915, May Average, Chad, TCD
28.4498, 1915, Jun Average, Chad, TCD
102.89, 1915, Jul Average, Chad, TCD
98.8634, 1915, Aug Average, Chad, TCD
37.9195, 1915, Sep Average, Chad, TCD
11.2074, 1915, Oct Average, Chad, TCD
0.5511, 1915, Nov Average, Chad, TCD
0.14067, 1915, Dec Average, Chad, TCD
