Rainfall - (MM), Year, Statistics, Country, ISO3
3.22201, 1901, Jan Average, Togo, TGO
24.3555, 1901, Feb Average, Togo, TGO
47.3697, 1901, Mar Average, Togo, TGO
90.7892, 1901, Apr Average, Togo, TGO
135.173, 1901, May Average, Togo, TGO
164.998, 1901, Jun Average, Togo, TGO
117.546, 1901, Jul Average, Togo, TGO
209.954, 1901, Aug Average, Togo, TGO
270.413, 1901, Sep Average, Togo, TGO
161.891, 1901, Oct Average, Togo, TGO
22.0013, 1901, Nov Average, Togo, TGO
1.92859, 1901, Dec Average, Togo, TGO
4.79434, 1902, Jan Average, Togo, TGO
22.4581, 1902, Feb Average, Togo, TGO
68.3517, 1902, Mar Average, Togo, TGO
118.957, 1902, Apr Average, Togo, TGO
194.92, 1902, May Average, Togo, TGO
147.694, 1902, Jun Average, Togo, TGO
150.697, 1902, Jul Average, Togo, TGO
171.06, 1902, Aug Average, Togo, TGO
120.478, 1902, Sep Average, Togo, TGO
92.3927, 1902, Oct Average, Togo, TGO
12.9158, 1902, Nov Average, Togo, TGO
12.5091, 1902, Dec Average, Togo, TGO
7.71088, 1903, Jan Average, Togo, TGO
23.9208, 1903, Feb Average, Togo, TGO
25.2824, 1903, Mar Average, Togo, TGO
115.373, 1903, Apr Average, Togo, TGO
137.724, 1903, May Average, Togo, TGO
116.807, 1903, Jun Average, Togo, TGO
111.304, 1903, Jul Average, Togo, TGO
177.184, 1903, Aug Average, Togo, TGO
156.403, 1903, Sep Average, Togo, TGO
100.405, 1903, Oct Average, Togo, TGO
22.8083, 1903, Nov Average, Togo, TGO
9.12492, 1903, Dec Average, Togo, TGO
7.15502, 1904, Jan Average, Togo, TGO
10.6774, 1904, Feb Average, Togo, TGO
54.4797, 1904, Mar Average, Togo, TGO
83.2351, 1904, Apr Average, Togo, TGO
152.976, 1904, May Average, Togo, TGO
143.354, 1904, Jun Average, Togo, TGO
119.622, 1904, Jul Average, Togo, TGO
107.444, 1904, Aug Average, Togo, TGO
126.678, 1904, Sep Average, Togo, TGO
85.6557, 1904, Oct Average, Togo, TGO
14.8213, 1904, Nov Average, Togo, TGO
22.1681, 1904, Dec Average, Togo, TGO
4.30156, 1905, Jan Average, Togo, TGO
23.1536, 1905, Feb Average, Togo, TGO
43.2824, 1905, Mar Average, Togo, TGO
82.7947, 1905, Apr Average, Togo, TGO
131.021, 1905, May Average, Togo, TGO
162.069, 1905, Jun Average, Togo, TGO
193.189, 1905, Jul Average, Togo, TGO
183.552, 1905, Aug Average, Togo, TGO
148.874, 1905, Sep Average, Togo, TGO
108.609, 1905, Oct Average, Togo, TGO
22.8402, 1905, Nov Average, Togo, TGO
18.4097, 1905, Dec Average, Togo, TGO
8.41923, 1906, Jan Average, Togo, TGO
12.8168, 1906, Feb Average, Togo, TGO
26.669, 1906, Mar Average, Togo, TGO
100.531, 1906, Apr Average, Togo, TGO
200.001, 1906, May Average, Togo, TGO
173.587, 1906, Jun Average, Togo, TGO
148.688, 1906, Jul Average, Togo, TGO
104.721, 1906, Aug Average, Togo, TGO
157.331, 1906, Sep Average, Togo, TGO
125.411, 1906, Oct Average, Togo, TGO
30.8024, 1906, Nov Average, Togo, TGO
7.33269, 1906, Dec Average, Togo, TGO
7.31152, 1907, Jan Average, Togo, TGO
21.0251, 1907, Feb Average, Togo, TGO
39.6641, 1907, Mar Average, Togo, TGO
105.896, 1907, Apr Average, Togo, TGO
99.9433, 1907, May Average, Togo, TGO
191.387, 1907, Jun Average, Togo, TGO
127.198, 1907, Jul Average, Togo, TGO
96.5751, 1907, Aug Average, Togo, TGO
187.583, 1907, Sep Average, Togo, TGO
106.171, 1907, Oct Average, Togo, TGO
18.9734, 1907, Nov Average, Togo, TGO
9.56059, 1907, Dec Average, Togo, TGO
5.75601, 1908, Jan Average, Togo, TGO
8.86463, 1908, Feb Average, Togo, TGO
50.7594, 1908, Mar Average, Togo, TGO
133.276, 1908, Apr Average, Togo, TGO
109.916, 1908, May Average, Togo, TGO
142.354, 1908, Jun Average, Togo, TGO
148.067, 1908, Jul Average, Togo, TGO
98.0204, 1908, Aug Average, Togo, TGO
277.232, 1908, Sep Average, Togo, TGO
147.739, 1908, Oct Average, Togo, TGO
37.1824, 1908, Nov Average, Togo, TGO
10.7393, 1908, Dec Average, Togo, TGO
30.2554, 1909, Jan Average, Togo, TGO
47.8185, 1909, Feb Average, Togo, TGO
101.087, 1909, Mar Average, Togo, TGO
97.1051, 1909, Apr Average, Togo, TGO
133.818, 1909, May Average, Togo, TGO
146.975, 1909, Jun Average, Togo, TGO
154.46, 1909, Jul Average, Togo, TGO
230.081, 1909, Aug Average, Togo, TGO
159.87, 1909, Sep Average, Togo, TGO
131.62, 1909, Oct Average, Togo, TGO
18.4502, 1909, Nov Average, Togo, TGO
25.3078, 1909, Dec Average, Togo, TGO
0.11711, 1910, Jan Average, Togo, TGO
8.32883, 1910, Feb Average, Togo, TGO
34.7026, 1910, Mar Average, Togo, TGO
95.6076, 1910, Apr Average, Togo, TGO
131.094, 1910, May Average, Togo, TGO
178.249, 1910, Jun Average, Togo, TGO
256.47, 1910, Jul Average, Togo, TGO
283.142, 1910, Aug Average, Togo, TGO
231.655, 1910, Sep Average, Togo, TGO
122.754, 1910, Oct Average, Togo, TGO
10.052, 1910, Nov Average, Togo, TGO
18.2161, 1910, Dec Average, Togo, TGO
8.0353, 1911, Jan Average, Togo, TGO
11.1931, 1911, Feb Average, Togo, TGO
114.42, 1911, Mar Average, Togo, TGO
116.231, 1911, Apr Average, Togo, TGO
155.127, 1911, May Average, Togo, TGO
171.174, 1911, Jun Average, Togo, TGO
149.612, 1911, Jul Average, Togo, TGO
126.492, 1911, Aug Average, Togo, TGO
153.357, 1911, Sep Average, Togo, TGO
82.2792, 1911, Oct Average, Togo, TGO
22.0019, 1911, Nov Average, Togo, TGO
15.882, 1911, Dec Average, Togo, TGO
11.7383, 1912, Jan Average, Togo, TGO
22.5612, 1912, Feb Average, Togo, TGO
31.7458, 1912, Mar Average, Togo, TGO
106.826, 1912, Apr Average, Togo, TGO
74.1572, 1912, May Average, Togo, TGO
147.88, 1912, Jun Average, Togo, TGO
116.831, 1912, Jul Average, Togo, TGO
111.902, 1912, Aug Average, Togo, TGO
149.807, 1912, Sep Average, Togo, TGO
86.7135, 1912, Oct Average, Togo, TGO
16.2356, 1912, Nov Average, Togo, TGO
18.7065, 1912, Dec Average, Togo, TGO
6.71929, 1913, Jan Average, Togo, TGO
42.2652, 1913, Feb Average, Togo, TGO
21.9919, 1913, Mar Average, Togo, TGO
87.5402, 1913, Apr Average, Togo, TGO
96.7238, 1913, May Average, Togo, TGO
117.439, 1913, Jun Average, Togo, TGO
220.862, 1913, Jul Average, Togo, TGO
209.125, 1913, Aug Average, Togo, TGO
197.086, 1913, Sep Average, Togo, TGO
70.0371, 1913, Oct Average, Togo, TGO
8.98428, 1913, Nov Average, Togo, TGO
2.50994, 1913, Dec Average, Togo, TGO
7.33316, 1914, Jan Average, Togo, TGO
13.9379, 1914, Feb Average, Togo, TGO
52.9001, 1914, Mar Average, Togo, TGO
79.5146, 1914, Apr Average, Togo, TGO
105.964, 1914, May Average, Togo, TGO
153.638, 1914, Jun Average, Togo, TGO
145.671, 1914, Jul Average, Togo, TGO
157.613, 1914, Aug Average, Togo, TGO
183.109, 1914, Sep Average, Togo, TGO
111.393, 1914, Oct Average, Togo, TGO
24.737, 1914, Nov Average, Togo, TGO
13.9796, 1914, Dec Average, Togo, TGO
2.61392, 1915, Jan Average, Togo, TGO
11.6651, 1915, Feb Average, Togo, TGO
92.5497, 1915, Mar Average, Togo, TGO
77.3769, 1915, Apr Average, Togo, TGO
183.309, 1915, May Average, Togo, TGO
191.255, 1915, Jun Average, Togo, TGO
198.74, 1915, Jul Average, Togo, TGO
124.767, 1915, Aug Average, Togo, TGO
188.937, 1915, Sep Average, Togo, TGO
99.4971, 1915, Oct Average, Togo, TGO
24.3692, 1915, Nov Average, Togo, TGO
6.23845, 1915, Dec Average, Togo, TGO
0.15857, 1916, Jan Average, Togo, TGO
9.04817, 1916, Feb Average, Togo, TGO
60.0738, 1916, Mar Average, Togo, TGO
105.106, 1916, Apr Average, Togo, TGO
133.963, 1916, May Average, Togo, TGO
197.993, 1916, Jun Average, Togo, TGO
184.329, 1916, Jul Average, Togo, TGO
199.657, 1916, Aug Average, Togo, TGO
129, 1916, Sep Average, Togo, TGO
123.444, 1916, Oct Average, Togo, TGO
47.9224, 1916, Nov Average, Togo, TGO
1.5125, 1916, Dec Average, Togo, TGO
17.6053, 1917, Jan Average, Togo, TGO
39.8193, 1917, Feb Average, Togo, TGO
39.0255, 1917, Mar Average, Togo, TGO
73.5742, 1917, Apr Average, Togo, TGO
190.591, 1917, May Average, Togo, TGO
154.696, 1917, Jun Average, Togo, TGO
297.588, 1917, Jul Average, Togo, TGO
386.786, 1917, Aug Average, Togo, TGO
306.678, 1917, Sep Average, Togo, TGO
96.7916, 1917, Oct Average, Togo, TGO
28.9088, 1917, Nov Average, Togo, TGO
15.8925, 1917, Dec Average, Togo, TGO
0.36142, 1918, Jan Average, Togo, TGO
21.1639, 1918, Feb Average, Togo, TGO
120.13, 1918, Mar Average, Togo, TGO
88.2727, 1918, Apr Average, Togo, TGO
150.171, 1918, May Average, Togo, TGO
208.192, 1918, Jun Average, Togo, TGO
144.057, 1918, Jul Average, Togo, TGO
102.812, 1918, Aug Average, Togo, TGO
108.234, 1918, Sep Average, Togo, TGO
109.667, 1918, Oct Average, Togo, TGO
41.6059, 1918, Nov Average, Togo, TGO
22.7825, 1918, Dec Average, Togo, TGO
7.32446, 1919, Jan Average, Togo, TGO
29.0229, 1919, Feb Average, Togo, TGO
