Rainfall - (MM), Year, Statistics, Country, ISO3
12.4725, 1901, Jan Average, Thailand, THA
14.3517, 1901, Feb Average, Thailand, THA
32.0031, 1901, Mar Average, Thailand, THA
87.3683, 1901, Apr Average, Thailand, THA
213.96, 1901, May Average, Thailand, THA
211.267, 1901, Jun Average, Thailand, THA
220.74, 1901, Jul Average, Thailand, THA
246.054, 1901, Aug Average, Thailand, THA
265.493, 1901, Sep Average, Thailand, THA
177.457, 1901, Oct Average, Thailand, THA
77.9094, 1901, Nov Average, Thailand, THA
20.157, 1901, Dec Average, Thailand, THA
7.95311, 1902, Jan Average, Thailand, THA
10.0289, 1902, Feb Average, Thailand, THA
30.3107, 1902, Mar Average, Thailand, THA
95.2528, 1902, Apr Average, Thailand, THA
124.53, 1902, May Average, Thailand, THA
145.874, 1902, Jun Average, Thailand, THA
145.507, 1902, Jul Average, Thailand, THA
260.202, 1902, Aug Average, Thailand, THA
283.428, 1902, Sep Average, Thailand, THA
151.519, 1902, Oct Average, Thailand, THA
87.7255, 1902, Nov Average, Thailand, THA
37.2067, 1902, Dec Average, Thailand, THA
11.1885, 1903, Jan Average, Thailand, THA
9.81622, 1903, Feb Average, Thailand, THA
11.9302, 1903, Mar Average, Thailand, THA
31.5275, 1903, Apr Average, Thailand, THA
190.857, 1903, May Average, Thailand, THA
256.088, 1903, Jun Average, Thailand, THA
170.974, 1903, Jul Average, Thailand, THA
264.93, 1903, Aug Average, Thailand, THA
239.091, 1903, Sep Average, Thailand, THA
159.334, 1903, Oct Average, Thailand, THA
46.4734, 1903, Nov Average, Thailand, THA
42.0746, 1903, Dec Average, Thailand, THA
18.5017, 1904, Jan Average, Thailand, THA
7.50768, 1904, Feb Average, Thailand, THA
23.6096, 1904, Mar Average, Thailand, THA
141.445, 1904, Apr Average, Thailand, THA
236.982, 1904, May Average, Thailand, THA
183.76, 1904, Jun Average, Thailand, THA
176.968, 1904, Jul Average, Thailand, THA
178.608, 1904, Aug Average, Thailand, THA
283.136, 1904, Sep Average, Thailand, THA
153.857, 1904, Oct Average, Thailand, THA
116.586, 1904, Nov Average, Thailand, THA
23.1106, 1904, Dec Average, Thailand, THA
12.1635, 1905, Jan Average, Thailand, THA
7.21137, 1905, Feb Average, Thailand, THA
64.5465, 1905, Mar Average, Thailand, THA
64.2171, 1905, Apr Average, Thailand, THA
234.932, 1905, May Average, Thailand, THA
212.574, 1905, Jun Average, Thailand, THA
230.093, 1905, Jul Average, Thailand, THA
231.872, 1905, Aug Average, Thailand, THA
282.878, 1905, Sep Average, Thailand, THA
140.356, 1905, Oct Average, Thailand, THA
79.6117, 1905, Nov Average, Thailand, THA
24.2919, 1905, Dec Average, Thailand, THA
15.5214, 1906, Jan Average, Thailand, THA
8.55649, 1906, Feb Average, Thailand, THA
11.2563, 1906, Mar Average, Thailand, THA
32.59, 1906, Apr Average, Thailand, THA
178.399, 1906, May Average, Thailand, THA
189.963, 1906, Jun Average, Thailand, THA
240.5, 1906, Jul Average, Thailand, THA
240.874, 1906, Aug Average, Thailand, THA
296.229, 1906, Sep Average, Thailand, THA
128.472, 1906, Oct Average, Thailand, THA
60.3391, 1906, Nov Average, Thailand, THA
39.6353, 1906, Dec Average, Thailand, THA
35.1865, 1907, Jan Average, Thailand, THA
5.57163, 1907, Feb Average, Thailand, THA
130.365, 1907, Mar Average, Thailand, THA
38.0063, 1907, Apr Average, Thailand, THA
231.458, 1907, May Average, Thailand, THA
192.49, 1907, Jun Average, Thailand, THA
149.643, 1907, Jul Average, Thailand, THA
165.366, 1907, Aug Average, Thailand, THA
175.017, 1907, Sep Average, Thailand, THA
192.291, 1907, Oct Average, Thailand, THA
99.1784, 1907, Nov Average, Thailand, THA
35.8998, 1907, Dec Average, Thailand, THA
14.3917, 1908, Jan Average, Thailand, THA
17.9576, 1908, Feb Average, Thailand, THA
12.8391, 1908, Mar Average, Thailand, THA
123.175, 1908, Apr Average, Thailand, THA
236.154, 1908, May Average, Thailand, THA
236.722, 1908, Jun Average, Thailand, THA
256.229, 1908, Jul Average, Thailand, THA
317.635, 1908, Aug Average, Thailand, THA
316.793, 1908, Sep Average, Thailand, THA
171.312, 1908, Oct Average, Thailand, THA
101.759, 1908, Nov Average, Thailand, THA
36.3452, 1908, Dec Average, Thailand, THA
31.46, 1909, Jan Average, Thailand, THA
14.388, 1909, Feb Average, Thailand, THA
23.6364, 1909, Mar Average, Thailand, THA
54.8399, 1909, Apr Average, Thailand, THA
195.248, 1909, May Average, Thailand, THA
172.845, 1909, Jun Average, Thailand, THA
246.688, 1909, Jul Average, Thailand, THA
342.965, 1909, Aug Average, Thailand, THA
259.006, 1909, Sep Average, Thailand, THA
156.011, 1909, Oct Average, Thailand, THA
143.055, 1909, Nov Average, Thailand, THA
12.3539, 1909, Dec Average, Thailand, THA
25.8359, 1910, Jan Average, Thailand, THA
32.8407, 1910, Feb Average, Thailand, THA
53.5569, 1910, Mar Average, Thailand, THA
129.125, 1910, Apr Average, Thailand, THA
214.015, 1910, May Average, Thailand, THA
291.524, 1910, Jun Average, Thailand, THA
191.267, 1910, Jul Average, Thailand, THA
348.055, 1910, Aug Average, Thailand, THA
292.242, 1910, Sep Average, Thailand, THA
157.546, 1910, Oct Average, Thailand, THA
67.2118, 1910, Nov Average, Thailand, THA
46.6578, 1910, Dec Average, Thailand, THA
30.1531, 1911, Jan Average, Thailand, THA
12.6344, 1911, Feb Average, Thailand, THA
21.765, 1911, Mar Average, Thailand, THA
95.1736, 1911, Apr Average, Thailand, THA
158.21, 1911, May Average, Thailand, THA
209.599, 1911, Jun Average, Thailand, THA
144.816, 1911, Jul Average, Thailand, THA
147.339, 1911, Aug Average, Thailand, THA
280.498, 1911, Sep Average, Thailand, THA
151.78, 1911, Oct Average, Thailand, THA
42.0846, 1911, Nov Average, Thailand, THA
31.0054, 1911, Dec Average, Thailand, THA
14.1304, 1912, Jan Average, Thailand, THA
8.1152, 1912, Feb Average, Thailand, THA
41.6082, 1912, Mar Average, Thailand, THA
64.2969, 1912, Apr Average, Thailand, THA
166.102, 1912, May Average, Thailand, THA
176.048, 1912, Jun Average, Thailand, THA
288.64, 1912, Jul Average, Thailand, THA
286.119, 1912, Aug Average, Thailand, THA
188.54, 1912, Sep Average, Thailand, THA
132.514, 1912, Oct Average, Thailand, THA
116.69, 1912, Nov Average, Thailand, THA
22.9935, 1912, Dec Average, Thailand, THA
25.956, 1913, Jan Average, Thailand, THA
22.4216, 1913, Feb Average, Thailand, THA
11.3288, 1913, Mar Average, Thailand, THA
50.9895, 1913, Apr Average, Thailand, THA
224.198, 1913, May Average, Thailand, THA
176.215, 1913, Jun Average, Thailand, THA
221.024, 1913, Jul Average, Thailand, THA
241.656, 1913, Aug Average, Thailand, THA
222.076, 1913, Sep Average, Thailand, THA
128.134, 1913, Oct Average, Thailand, THA
124.909, 1913, Nov Average, Thailand, THA
39.065, 1913, Dec Average, Thailand, THA
19.6781, 1914, Jan Average, Thailand, THA
10.4745, 1914, Feb Average, Thailand, THA
61.4725, 1914, Mar Average, Thailand, THA
60.3992, 1914, Apr Average, Thailand, THA
167.635, 1914, May Average, Thailand, THA
220.759, 1914, Jun Average, Thailand, THA
248.05, 1914, Jul Average, Thailand, THA
227.197, 1914, Aug Average, Thailand, THA
197.127, 1914, Sep Average, Thailand, THA
153.279, 1914, Oct Average, Thailand, THA
88.4119, 1914, Nov Average, Thailand, THA
42.9854, 1914, Dec Average, Thailand, THA
5.85949, 1915, Jan Average, Thailand, THA
3.22128, 1915, Feb Average, Thailand, THA
31.8158, 1915, Mar Average, Thailand, THA
92.734, 1915, Apr Average, Thailand, THA
172.615, 1915, May Average, Thailand, THA
222.229, 1915, Jun Average, Thailand, THA
182.578, 1915, Jul Average, Thailand, THA
236.609, 1915, Aug Average, Thailand, THA
272.951, 1915, Sep Average, Thailand, THA
266.542, 1915, Oct Average, Thailand, THA
94.2178, 1915, Nov Average, Thailand, THA
26.8049, 1915, Dec Average, Thailand, THA
13.4901, 1916, Jan Average, Thailand, THA
17.5462, 1916, Feb Average, Thailand, THA
78.337, 1916, Mar Average, Thailand, THA
51.8587, 1916, Apr Average, Thailand, THA
180.413, 1916, May Average, Thailand, THA
233.297, 1916, Jun Average, Thailand, THA
226.042, 1916, Jul Average, Thailand, THA
296.673, 1916, Aug Average, Thailand, THA
276.837, 1916, Sep Average, Thailand, THA
181.469, 1916, Oct Average, Thailand, THA
70.0809, 1916, Nov Average, Thailand, THA
30.2199, 1916, Dec Average, Thailand, THA
11.3578, 1917, Jan Average, Thailand, THA
4.99674, 1917, Feb Average, Thailand, THA
29.3781, 1917, Mar Average, Thailand, THA
26.525, 1917, Apr Average, Thailand, THA
125.885, 1917, May Average, Thailand, THA
256.728, 1917, Jun Average, Thailand, THA
201.38, 1917, Jul Average, Thailand, THA
310.471, 1917, Aug Average, Thailand, THA
317.072, 1917, Sep Average, Thailand, THA
238.758, 1917, Oct Average, Thailand, THA
69.3898, 1917, Nov Average, Thailand, THA
45.2377, 1917, Dec Average, Thailand, THA
6.53392, 1918, Jan Average, Thailand, THA
27.2258, 1918, Feb Average, Thailand, THA
35.7689, 1918, Mar Average, Thailand, THA
90.9232, 1918, Apr Average, Thailand, THA
216.346, 1918, May Average, Thailand, THA
197.484, 1918, Jun Average, Thailand, THA
110.409, 1918, Jul Average, Thailand, THA
258.968, 1918, Aug Average, Thailand, THA
291.129, 1918, Sep Average, Thailand, THA
102.454, 1918, Oct Average, Thailand, THA
71.6203, 1918, Nov Average, Thailand, THA
32.8709, 1918, Dec Average, Thailand, THA
9.85753, 1919, Jan Average, Thailand, THA
36.6633, 1919, Feb Average, Thailand, THA
35.408, 1919, Mar Average, Thailand, THA
80.2773, 1919, Apr Average, Thailand, THA
193.286, 1919, May Average, Thailand, THA
202.311, 1919, Jun Average, Thailand, THA
260.116, 1919, Jul Average, Thailand, THA
213.083, 1919, Aug Average, Thailand, THA
172.047, 1919, Sep Average, Thailand, THA
92.9342, 1919, Oct Average, Thailand, THA
68.6884, 1919, Nov Average, Thailand, THA
32.9603, 1919, Dec Average, Thailand, THA
28.2776, 1920, Jan Average, Thailand, THA
9.72926, 1920, Feb Average, Thailand, THA
52.4804, 1920, Mar Average, Thailand, THA
69.9457, 1920, Apr Average, Thailand, THA
135.082, 1920, May Average, Thailand, THA
171.984, 1920, Jun Average, Thailand, THA
230.748, 1920, Jul Average, Thailand, THA
202.774, 1920, Aug Average, Thailand, THA
277.844, 1920, Sep Average, Thailand, THA
149.831, 1920, Oct Average, Thailand, THA
66.4637, 1920, Nov Average, Thailand, THA
38.2436, 1920, Dec Average, Thailand, THA
33.1666, 1921, Jan Average, Thailand, THA
21.9326, 1921, Feb Average, Thailand, THA
61.6005, 1921, Mar Average, Thailand, THA
69.7412, 1921, Apr Average, Thailand, THA
203.844, 1921, May Average, Thailand, THA
149.914, 1921, Jun Average, Thailand, THA
246.49, 1921, Jul Average, Thailand, THA
231.438, 1921, Aug Average, Thailand, THA
336.023, 1921, Sep Average, Thailand, THA
98.0027, 1921, Oct Average, Thailand, THA
28.5778, 1921, Nov Average, Thailand, THA
17.7123, 1921, Dec Average, Thailand, THA
28.311, 1922, Jan Average, Thailand, THA
6.53549, 1922, Feb Average, Thailand, THA
52.6925, 1922, Mar Average, Thailand, THA
62.279, 1922, Apr Average, Thailand, THA
165.772, 1922, May Average, Thailand, THA
151.651, 1922, Jun Average, Thailand, THA
203.479, 1922, Jul Average, Thailand, THA
217.581, 1922, Aug Average, Thailand, THA
303.675, 1922, Sep Average, Thailand, THA
103.993, 1922, Oct Average, Thailand, THA
134.377, 1922, Nov Average, Thailand, THA
30.6155, 1922, Dec Average, Thailand, THA
22.9572, 1923, Jan Average, Thailand, THA
17.2526, 1923, Feb Average, Thailand, THA
58.4073, 1923, Mar Average, Thailand, THA
122.885, 1923, Apr Average, Thailand, THA
193.129, 1923, May Average, Thailand, THA
261.702, 1923, Jun Average, Thailand, THA
181.568, 1923, Jul Average, Thailand, THA
216.949, 1923, Aug Average, Thailand, THA
184.404, 1923, Sep Average, Thailand, THA
196.336, 1923, Oct Average, Thailand, THA
73.5886, 1923, Nov Average, Thailand, THA
21.4618, 1923, Dec Average, Thailand, THA
19.9562, 1924, Jan Average, Thailand, THA
10.224, 1924, Feb Average, Thailand, THA
43.8316, 1924, Mar Average, Thailand, THA
114.118, 1924, Apr Average, Thailand, THA
159.883, 1924, May Average, Thailand, THA
204.114, 1924, Jun Average, Thailand, THA
224.543, 1924, Jul Average, Thailand, THA
297.022, 1924, Aug Average, Thailand, THA
257.435, 1924, Sep Average, Thailand, THA
165.592, 1924, Oct Average, Thailand, THA
47.8926, 1924, Nov Average, Thailand, THA
12.4376, 1924, Dec Average, Thailand, THA
16.0064, 1925, Jan Average, Thailand, THA
10.9599, 1925, Feb Average, Thailand, THA
37.6686, 1925, Mar Average, Thailand, THA
124.254, 1925, Apr Average, Thailand, THA
138.638, 1925, May Average, Thailand, THA
211.293, 1925, Jun Average, Thailand, THA
194.16, 1925, Jul Average, Thailand, THA
262.683, 1925, Aug Average, Thailand, THA
227.036, 1925, Sep Average, Thailand, THA
127.548, 1925, Oct Average, Thailand, THA
71.5661, 1925, Nov Average, Thailand, THA
26.8742, 1925, Dec Average, Thailand, THA
13.3921, 1926, Jan Average, Thailand, THA
10.3307, 1926, Feb Average, Thailand, THA
44.0355, 1926, Mar Average, Thailand, THA
38.4079, 1926, Apr Average, Thailand, THA
113.083, 1926, May Average, Thailand, THA
223.592, 1926, Jun Average, Thailand, THA
215.675, 1926, Jul Average, Thailand, THA
308.813, 1926, Aug Average, Thailand, THA
292.298, 1926, Sep Average, Thailand, THA
213.391, 1926, Oct Average, Thailand, THA
71.3948, 1926, Nov Average, Thailand, THA
62.054, 1926, Dec Average, Thailand, THA
20.4926, 1927, Jan Average, Thailand, THA
42.6942, 1927, Feb Average, Thailand, THA
31.7463, 1927, Mar Average, Thailand, THA
142.554, 1927, Apr Average, Thailand, THA
248.089, 1927, May Average, Thailand, THA
215.244, 1927, Jun Average, Thailand, THA
248.193, 1927, Jul Average, Thailand, THA
186.859, 1927, Aug Average, Thailand, THA
211.91, 1927, Sep Average, Thailand, THA
178.185, 1927, Oct Average, Thailand, THA
39.0915, 1927, Nov Average, Thailand, THA
16.3401, 1927, Dec Average, Thailand, THA
11.8642, 1928, Jan Average, Thailand, THA
49.0899, 1928, Feb Average, Thailand, THA
26.6647, 1928, Mar Average, Thailand, THA
151.299, 1928, Apr Average, Thailand, THA
189.225, 1928, May Average, Thailand, THA
