Rainfall - (MM), Year, Statistics, Country, ISO3
11.9987, 1901, Jan Average, Turkmenistan, TKM
3.22255, 1901, Feb Average, Turkmenistan, TKM
18.0046, 1901, Mar Average, Turkmenistan, TKM
16.425, 1901, Apr Average, Turkmenistan, TKM
15.2274, 1901, May Average, Turkmenistan, TKM
1.71169, 1901, Jun Average, Turkmenistan, TKM
0.84365, 1901, Jul Average, Turkmenistan, TKM
0.06376, 1901, Aug Average, Turkmenistan, TKM
9.11353, 1901, Sep Average, Turkmenistan, TKM
23.2365, 1901, Oct Average, Turkmenistan, TKM
8.34346, 1901, Nov Average, Turkmenistan, TKM
6.07034, 1901, Dec Average, Turkmenistan, TKM
27.6595, 1902, Jan Average, Turkmenistan, TKM
12.5955, 1902, Feb Average, Turkmenistan, TKM
22.2767, 1902, Mar Average, Turkmenistan, TKM
20.2347, 1902, Apr Average, Turkmenistan, TKM
4.47215, 1902, May Average, Turkmenistan, TKM
0.07474, 1902, Jun Average, Turkmenistan, TKM
0.38664, 1902, Jul Average, Turkmenistan, TKM
1.92471, 1902, Aug Average, Turkmenistan, TKM
8.39935, 1902, Sep Average, Turkmenistan, TKM
13.2361, 1902, Oct Average, Turkmenistan, TKM
31.2525, 1902, Nov Average, Turkmenistan, TKM
14.8157, 1902, Dec Average, Turkmenistan, TKM
18.709, 1903, Jan Average, Turkmenistan, TKM
22.0883, 1903, Feb Average, Turkmenistan, TKM
36.8552, 1903, Mar Average, Turkmenistan, TKM
6.41905, 1903, Apr Average, Turkmenistan, TKM
23.0231, 1903, May Average, Turkmenistan, TKM
2.2417, 1903, Jun Average, Turkmenistan, TKM
3.05603, 1903, Jul Average, Turkmenistan, TKM
1.54134, 1903, Aug Average, Turkmenistan, TKM
0.32515, 1903, Sep Average, Turkmenistan, TKM
0.64909, 1903, Oct Average, Turkmenistan, TKM
8.42795, 1903, Nov Average, Turkmenistan, TKM
13.5899, 1903, Dec Average, Turkmenistan, TKM
17.2751, 1904, Jan Average, Turkmenistan, TKM
9.31295, 1904, Feb Average, Turkmenistan, TKM
32.1173, 1904, Mar Average, Turkmenistan, TKM
17.8296, 1904, Apr Average, Turkmenistan, TKM
21.8752, 1904, May Average, Turkmenistan, TKM
1.58647, 1904, Jun Average, Turkmenistan, TKM
0.18684, 1904, Jul Average, Turkmenistan, TKM
3.4578, 1904, Aug Average, Turkmenistan, TKM
3.13261, 1904, Sep Average, Turkmenistan, TKM
6.59018, 1904, Oct Average, Turkmenistan, TKM
9.09166, 1904, Nov Average, Turkmenistan, TKM
17.4877, 1904, Dec Average, Turkmenistan, TKM
13.1907, 1905, Jan Average, Turkmenistan, TKM
9.12137, 1905, Feb Average, Turkmenistan, TKM
25.5564, 1905, Mar Average, Turkmenistan, TKM
24.2229, 1905, Apr Average, Turkmenistan, TKM
11.5237, 1905, May Average, Turkmenistan, TKM
2.22222, 1905, Jun Average, Turkmenistan, TKM
7.21539, 1905, Jul Average, Turkmenistan, TKM
4.3807, 1905, Aug Average, Turkmenistan, TKM
0.01397, 1905, Sep Average, Turkmenistan, TKM
1.02116, 1905, Oct Average, Turkmenistan, TKM
11.9314, 1905, Nov Average, Turkmenistan, TKM
20.9383, 1905, Dec Average, Turkmenistan, TKM
18.4573, 1906, Jan Average, Turkmenistan, TKM
10.2245, 1906, Feb Average, Turkmenistan, TKM
35.8908, 1906, Mar Average, Turkmenistan, TKM
31.7503, 1906, Apr Average, Turkmenistan, TKM
25.4854, 1906, May Average, Turkmenistan, TKM
6.35237, 1906, Jun Average, Turkmenistan, TKM
1.76069, 1906, Jul Average, Turkmenistan, TKM
1.53845, 1906, Aug Average, Turkmenistan, TKM
6.43319, 1906, Sep Average, Turkmenistan, TKM
1.9796, 1906, Oct Average, Turkmenistan, TKM
16.6856, 1906, Nov Average, Turkmenistan, TKM
16.8068, 1906, Dec Average, Turkmenistan, TKM
25.7718, 1907, Jan Average, Turkmenistan, TKM
13.9326, 1907, Feb Average, Turkmenistan, TKM
31.6268, 1907, Mar Average, Turkmenistan, TKM
42.4168, 1907, Apr Average, Turkmenistan, TKM
20.2495, 1907, May Average, Turkmenistan, TKM
1.94282, 1907, Jun Average, Turkmenistan, TKM
0.01186, 1907, Jul Average, Turkmenistan, TKM
0.46238, 1907, Aug Average, Turkmenistan, TKM
4.31453, 1907, Sep Average, Turkmenistan, TKM
7.67181, 1907, Oct Average, Turkmenistan, TKM
13.6646, 1907, Nov Average, Turkmenistan, TKM
2.93593, 1907, Dec Average, Turkmenistan, TKM
27.0944, 1908, Jan Average, Turkmenistan, TKM
15.6336, 1908, Feb Average, Turkmenistan, TKM
18.4769, 1908, Mar Average, Turkmenistan, TKM
19.2946, 1908, Apr Average, Turkmenistan, TKM
16.3854, 1908, May Average, Turkmenistan, TKM
2.14922, 1908, Jun Average, Turkmenistan, TKM
0.69597, 1908, Jul Average, Turkmenistan, TKM
0.34924, 1908, Aug Average, Turkmenistan, TKM
6.71389, 1908, Sep Average, Turkmenistan, TKM
9.44737, 1908, Oct Average, Turkmenistan, TKM
6.67852, 1908, Nov Average, Turkmenistan, TKM
14.1099, 1908, Dec Average, Turkmenistan, TKM
14.4583, 1909, Jan Average, Turkmenistan, TKM
11.0369, 1909, Feb Average, Turkmenistan, TKM
21.3939, 1909, Mar Average, Turkmenistan, TKM
36.6019, 1909, Apr Average, Turkmenistan, TKM
11.362, 1909, May Average, Turkmenistan, TKM
3.53545, 1909, Jun Average, Turkmenistan, TKM
6.99194, 1909, Jul Average, Turkmenistan, TKM
8.29618, 1909, Aug Average, Turkmenistan, TKM
0.0596, 1909, Sep Average, Turkmenistan, TKM
2.44248, 1909, Oct Average, Turkmenistan, TKM
0.24871, 1909, Nov Average, Turkmenistan, TKM
4.22115, 1909, Dec Average, Turkmenistan, TKM
19.8049, 1910, Jan Average, Turkmenistan, TKM
11.2518, 1910, Feb Average, Turkmenistan, TKM
39.0793, 1910, Mar Average, Turkmenistan, TKM
5.76587, 1910, Apr Average, Turkmenistan, TKM
5.53363, 1910, May Average, Turkmenistan, TKM
8.51353, 1910, Jun Average, Turkmenistan, TKM
0.51533, 1910, Jul Average, Turkmenistan, TKM
1.40965, 1910, Aug Average, Turkmenistan, TKM
4.09419, 1910, Sep Average, Turkmenistan, TKM
0.54256, 1910, Oct Average, Turkmenistan, TKM
1.15708, 1910, Nov Average, Turkmenistan, TKM
5.88267, 1910, Dec Average, Turkmenistan, TKM
28.2368, 1911, Jan Average, Turkmenistan, TKM
15.7127, 1911, Feb Average, Turkmenistan, TKM
47.0276, 1911, Mar Average, Turkmenistan, TKM
20.2803, 1911, Apr Average, Turkmenistan, TKM
