Rainfall - (MM), Year, Statistics, Country, ISO3
242.637, 1901, Jan Average, Timor Leste, TLS
349.548, 1901, Feb Average, Timor Leste, TLS
446.931, 1901, Mar Average, Timor Leste, TLS
1.19364, 1901, Apr Average, Timor Leste, TLS
1.2348, 1901, May Average, Timor Leste, TLS
84.2618, 1901, Jun Average, Timor Leste, TLS
45.0027, 1901, Jul Average, Timor Leste, TLS
0.1372, 1901, Aug Average, Timor Leste, TLS
23.9529, 1901, Sep Average, Timor Leste, TLS
0.39102, 1901, Oct Average, Timor Leste, TLS
121.589, 1901, Nov Average, Timor Leste, TLS
216.784, 1901, Dec Average, Timor Leste, TLS
164.09, 1902, Jan Average, Timor Leste, TLS
294.298, 1902, Feb Average, Timor Leste, TLS
50.3879, 1902, Mar Average, Timor Leste, TLS
7.48897, 1902, Apr Average, Timor Leste, TLS
1.2348, 1902, May Average, Timor Leste, TLS
84.2618, 1902, Jun Average, Timor Leste, TLS
45.0027, 1902, Jul Average, Timor Leste, TLS
0.1372, 1902, Aug Average, Timor Leste, TLS
23.9529, 1902, Sep Average, Timor Leste, TLS
0.39102, 1902, Oct Average, Timor Leste, TLS
121.589, 1902, Nov Average, Timor Leste, TLS
216.784, 1902, Dec Average, Timor Leste, TLS
281.917, 1903, Jan Average, Timor Leste, TLS
238.359, 1903, Feb Average, Timor Leste, TLS
231.57, 1903, Mar Average, Timor Leste, TLS
147.501, 1903, Apr Average, Timor Leste, TLS
117.283, 1903, May Average, Timor Leste, TLS
84.2618, 1903, Jun Average, Timor Leste, TLS
45.0027, 1903, Jul Average, Timor Leste, TLS
0.1372, 1903, Aug Average, Timor Leste, TLS
23.9529, 1903, Sep Average, Timor Leste, TLS
10.5054, 1903, Oct Average, Timor Leste, TLS
121.589, 1903, Nov Average, Timor Leste, TLS
216.784, 1903, Dec Average, Timor Leste, TLS
352.976, 1904, Jan Average, Timor Leste, TLS
304.657, 1904, Feb Average, Timor Leste, TLS
186.023, 1904, Mar Average, Timor Leste, TLS
252.93, 1904, Apr Average, Timor Leste, TLS
168.854, 1904, May Average, Timor Leste, TLS
84.2618, 1904, Jun Average, Timor Leste, TLS
45.0027, 1904, Jul Average, Timor Leste, TLS
0.1372, 1904, Aug Average, Timor Leste, TLS
23.9529, 1904, Sep Average, Timor Leste, TLS
65.3985, 1904, Oct Average, Timor Leste, TLS
121.589, 1904, Nov Average, Timor Leste, TLS
216.784, 1904, Dec Average, Timor Leste, TLS
250.123, 1905, Jan Average, Timor Leste, TLS
188.667, 1905, Feb Average, Timor Leste, TLS
72.1236, 1905, Mar Average, Timor Leste, TLS
201.011, 1905, Apr Average, Timor Leste, TLS
1.2348, 1905, May Average, Timor Leste, TLS
84.2618, 1905, Jun Average, Timor Leste, TLS
45.0027, 1905, Jul Average, Timor Leste, TLS
142.014, 1905, Aug Average, Timor Leste, TLS
23.9529, 1905, Sep Average, Timor Leste, TLS
17.7206, 1905, Oct Average, Timor Leste, TLS
121.589, 1905, Nov Average, Timor Leste, TLS
216.784, 1905, Dec Average, Timor Leste, TLS
214.581, 1906, Jan Average, Timor Leste, TLS
143.106, 1906, Feb Average, Timor Leste, TLS
314.406, 1906, Mar Average, Timor Leste, TLS
43.6969, 1906, Apr Average, Timor Leste, TLS
27.0376, 1906, May Average, Timor Leste, TLS
84.2618, 1906, Jun Average, Timor Leste, TLS
45.0027, 1906, Jul Average, Timor Leste, TLS
0.1372, 1906, Aug Average, Timor Leste, TLS
23.9529, 1906, Sep Average, Timor Leste, TLS
52.3757, 1906, Oct Average, Timor Leste, TLS
121.589, 1906, Nov Average, Timor Leste, TLS
216.784, 1906, Dec Average, Timor Leste, TLS
409.707, 1907, Jan Average, Timor Leste, TLS
173.477, 1907, Feb Average, Timor Leste, TLS
138.385, 1907, Mar Average, Timor Leste, TLS
89.6271, 1907, Apr Average, Timor Leste, TLS
110.367, 1907, May Average, Timor Leste, TLS
80.4045, 1907, Jun Average, Timor Leste, TLS
42.5261, 1907, Jul Average, Timor Leste, TLS
0.1372, 1907, Aug Average, Timor Leste, TLS
21.9538, 1907, Sep Average, Timor Leste, TLS
2.66639, 1907, Oct Average, Timor Leste, TLS
112.375, 1907, Nov Average, Timor Leste, TLS
226.49, 1907, Dec Average, Timor Leste, TLS
116.085, 1908, Jan Average, Timor Leste, TLS
305.04, 1908, Feb Average, Timor Leste, TLS
333.746, 1908, Mar Average, Timor Leste, TLS
26.28, 1908, Apr Average, Timor Leste, TLS
168.18, 1908, May Average, Timor Leste, TLS
102.203, 1908, Jun Average, Timor Leste, TLS
42.1021, 1908, Jul Average, Timor Leste, TLS
60.102, 1908, Aug Average, Timor Leste, TLS
21.5331, 1908, Sep Average, Timor Leste, TLS
1.16447, 1908, Oct Average, Timor Leste, TLS
116.273, 1908, Nov Average, Timor Leste, TLS
211.347, 1908, Dec Average, Timor Leste, TLS
99.5831, 1909, Jan Average, Timor Leste, TLS
137.847, 1909, Feb Average, Timor Leste, TLS
312.669, 1909, Mar Average, Timor Leste, TLS
60.1458, 1909, Apr Average, Timor Leste, TLS
470.568, 1909, May Average, Timor Leste, TLS
89.0188, 1909, Jun Average, Timor Leste, TLS
53.4419, 1909, Jul Average, Timor Leste, TLS
0.44089, 1909, Aug Average, Timor Leste, TLS
