Rainfall - (MM), Year, Statistics, Country, ISO3
186.92, 1901, Jan Average, Tonga, TON
197.459, 1901, Feb Average, Tonga, TON
270.544, 1901, Mar Average, Tonga, TON
170.59, 1901, Apr Average, Tonga, TON
106.668, 1901, May Average, Tonga, TON
73.8894, 1901, Jun Average, Tonga, TON
87.1335, 1901, Jul Average, Tonga, TON
108.231, 1901, Aug Average, Tonga, TON
121.569, 1901, Sep Average, Tonga, TON
105.03, 1901, Oct Average, Tonga, TON
124.847, 1901, Nov Average, Tonga, TON
135.385, 1901, Dec Average, Tonga, TON
186.92, 1902, Jan Average, Tonga, TON
197.459, 1902, Feb Average, Tonga, TON
270.544, 1902, Mar Average, Tonga, TON
170.59, 1902, Apr Average, Tonga, TON
106.668, 1902, May Average, Tonga, TON
73.8894, 1902, Jun Average, Tonga, TON
87.1335, 1902, Jul Average, Tonga, TON
108.231, 1902, Aug Average, Tonga, TON
121.569, 1902, Sep Average, Tonga, TON
105.03, 1902, Oct Average, Tonga, TON
124.847, 1902, Nov Average, Tonga, TON
135.385, 1902, Dec Average, Tonga, TON
186.92, 1903, Jan Average, Tonga, TON
197.459, 1903, Feb Average, Tonga, TON
270.544, 1903, Mar Average, Tonga, TON
170.59, 1903, Apr Average, Tonga, TON
106.668, 1903, May Average, Tonga, TON
73.8894, 1903, Jun Average, Tonga, TON
87.1335, 1903, Jul Average, Tonga, TON
108.231, 1903, Aug Average, Tonga, TON
121.569, 1903, Sep Average, Tonga, TON
105.03, 1903, Oct Average, Tonga, TON
124.847, 1903, Nov Average, Tonga, TON
135.385, 1903, Dec Average, Tonga, TON
186.92, 1904, Jan Average, Tonga, TON
197.459, 1904, Feb Average, Tonga, TON
270.544, 1904, Mar Average, Tonga, TON
170.59, 1904, Apr Average, Tonga, TON
106.668, 1904, May Average, Tonga, TON
73.8894, 1904, Jun Average, Tonga, TON
87.1335, 1904, Jul Average, Tonga, TON
108.231, 1904, Aug Average, Tonga, TON
121.569, 1904, Sep Average, Tonga, TON
105.03, 1904, Oct Average, Tonga, TON
124.847, 1904, Nov Average, Tonga, TON
135.385, 1904, Dec Average, Tonga, TON
186.92, 1905, Jan Average, Tonga, TON
197.459, 1905, Feb Average, Tonga, TON
270.544, 1905, Mar Average, Tonga, TON
170.59, 1905, Apr Average, Tonga, TON
106.668, 1905, May Average, Tonga, TON
73.8894, 1905, Jun Average, Tonga, TON
87.1335, 1905, Jul Average, Tonga, TON
108.231, 1905, Aug Average, Tonga, TON
115.616, 1905, Sep Average, Tonga, TON
91.9848, 1905, Oct Average, Tonga, TON
115.113, 1905, Nov Average, Tonga, TON
118.21, 1905, Dec Average, Tonga, TON
170.548, 1906, Jan Average, Tonga, TON
176.717, 1906, Feb Average, Tonga, TON
285.548, 1906, Mar Average, Tonga, TON
157.061, 1906, Apr Average, Tonga, TON
106.668, 1906, May Average, Tonga, TON
73.9832, 1906, Jun Average, Tonga, TON
80.4296, 1906, Jul Average, Tonga, TON
101.487, 1906, Aug Average, Tonga, TON
121.569, 1906, Sep Average, Tonga, TON
94.6396, 1906, Oct Average, Tonga, TON
124.847, 1906, Nov Average, Tonga, TON
151.462, 1906, Dec Average, Tonga, TON
166.379, 1907, Jan Average, Tonga, TON
191.586, 1907, Feb Average, Tonga, TON
257.297, 1907, Mar Average, Tonga, TON
161.191, 1907, Apr Average, Tonga, TON
112.782, 1907, May Average, Tonga, TON
71.3151, 1907, Jun Average, Tonga, TON
93.6364, 1907, Jul Average, Tonga, TON
104.624, 1907, Aug Average, Tonga, TON
121.261, 1907, Sep Average, Tonga, TON
105.258, 1907, Oct Average, Tonga, TON
125.102, 1907, Nov Average, Tonga, TON
142.907, 1907, Dec Average, Tonga, TON
221.794, 1908, Jan Average, Tonga, TON
197.741, 1908, Feb Average, Tonga, TON
268.815, 1908, Mar Average, Tonga, TON
185.607, 1908, Apr Average, Tonga, TON
101.439, 1908, May Average, Tonga, TON
65.3217, 1908, Jun Average, Tonga, TON
82.3871, 1908, Jul Average, Tonga, TON
108.231, 1908, Aug Average, Tonga, TON
121.569, 1908, Sep Average, Tonga, TON
97.8307, 1908, Oct Average, Tonga, TON
125.906, 1908, Nov Average, Tonga, TON
131.457, 1908, Dec Average, Tonga, TON
175.925, 1909, Jan Average, Tonga, TON
208.118, 1909, Feb Average, Tonga, TON
266.897, 1909, Mar Average, Tonga, TON
170.59, 1909, Apr Average, Tonga, TON
99.4286, 1909, May Average, Tonga, TON
74.6536, 1909, Jun Average, Tonga, TON
79.3837, 1909, Jul Average, Tonga, TON
103.619, 1909, Aug Average, Tonga, TON
111.889, 1909, Sep Average, Tonga, TON
100.887, 1909, Oct Average, Tonga, TON
120.65, 1909, Nov Average, Tonga, TON
171.225, 1909, Dec Average, Tonga, TON
182.093, 1910, Jan Average, Tonga, TON
202.098, 1910, Feb Average, Tonga, TON
269.23, 1910, Mar Average, Tonga, TON
165.012, 1910, Apr Average, Tonga, TON
119.554, 1910, May Average, Tonga, TON
69.8938, 1910, Jun Average, Tonga, TON
87.4956, 1910, Jul Average, Tonga, TON
113.353, 1910, Aug Average, Tonga, TON
137.122, 1910, Sep Average, Tonga, TON
106.854, 1910, Oct Average, Tonga, TON
116.467, 1910, Nov Average, Tonga, TON
161.223, 1910, Dec Average, Tonga, TON
188.059, 1911, Jan Average, Tonga, TON
249.388, 1911, Feb Average, Tonga, TON
266.066, 1911, Mar Average, Tonga, TON
171.22, 1911, Apr Average, Tonga, TON
95.9291, 1911, May Average, Tonga, TON
73.219, 1911, Jun Average, Tonga, TON
76.501, 1911, Jul Average, Tonga, TON
101.768, 1911, Aug Average, Tonga, TON
117.547, 1911, Sep Average, Tonga, TON
92.91, 1911, Oct Average, Tonga, TON
109.723, 1911, Nov Average, Tonga, TON
126.523, 1911, Dec Average, Tonga, TON
175.63, 1912, Jan Average, Tonga, TON
187.604, 1912, Feb Average, Tonga, TON
300.35, 1912, Mar Average, Tonga, TON
154.112, 1912, Apr Average, Tonga, TON
99.6834, 1912, May Average, Tonga, TON
70.1754, 1912, Jun Average, Tonga, TON
76.7692, 1912, Jul Average, Tonga, TON
118.502, 1912, Aug Average, Tonga, TON
123.473, 1912, Sep Average, Tonga, TON
94.2374, 1912, Oct Average, Tonga, TON
119.966, 1912, Nov Average, Tonga, TON
121.817, 1912, Dec Average, Tonga, TON
193.342, 1913, Jan Average, Tonga, TON
227.479, 1913, Feb Average, Tonga, TON
301.316, 1913, Mar Average, Tonga, TON
156.833, 1913, Apr Average, Tonga, TON
98.2621, 1913, May Average, Tonga, TON
68.6603, 1913, Jun Average, Tonga, TON
81.4754, 1913, Jul Average, Tonga, TON
96.4727, 1913, Aug Average, Tonga, TON
121.569, 1913, Sep Average, Tonga, TON
96.1011, 1913, Oct Average, Tonga, TON
112.968, 1913, Nov Average, Tonga, TON
159.895, 1913, Dec Average, Tonga, TON
164.381, 1914, Jan Average, Tonga, TON
204.525, 1914, Feb Average, Tonga, TON
261.963, 1914, Mar Average, Tonga, TON
157.49, 1914, Apr Average, Tonga, TON
94.2531, 1914, May Average, Tonga, TON
68.2715, 1914, Jun Average, Tonga, TON
87.1335, 1914, Jul Average, Tonga, TON
108.231, 1914, Aug Average, Tonga, TON
121.569, 1914, Sep Average, Tonga, TON
106.331, 1914, Oct Average, Tonga, TON
109.321, 1914, Nov Average, Tonga, TON
121.575, 1914, Dec Average, Tonga, TON
201.293, 1915, Jan Average, Tonga, TON
172.614, 1915, Feb Average, Tonga, TON
264.43, 1915, Mar Average, Tonga, TON
144.082, 1915, Apr Average, Tonga, TON
93.2475, 1915, May Average, Tonga, TON
62.9485, 1915, Jun Average, Tonga, TON
79.1156, 1915, Jul Average, Tonga, TON
95.333, 1915, Aug Average, Tonga, TON
109.958, 1915, Sep Average, Tonga, TON
103.542, 1915, Oct Average, Tonga, TON
119.564, 1915, Nov Average, Tonga, TON
185.571, 1915, Dec Average, Tonga, TON
189.065, 1916, Jan Average, Tonga, TON
219.783, 1916, Feb Average, Tonga, TON
264.015, 1916, Mar Average, Tonga, TON
205.343, 1916, Apr Average, Tonga, TON
98.1817, 1916, May Average, Tonga, TON
89.1074, 1916, Jun Average, Tonga, TON
85.6587, 1916, Jul Average, Tonga, TON
109.062, 1916, Aug Average, Tonga, TON
127.884, 1916, Sep Average, Tonga, TON
95.1759, 1916, Oct Average, Tonga, TON
154.358, 1916, Nov Average, Tonga, TON
157.254, 1916, Dec Average, Tonga, TON
176.716, 1917, Jan Average, Tonga, TON
183.126, 1917, Feb Average, Tonga, TON
263.063, 1917, Mar Average, Tonga, TON
155.533, 1917, Apr Average, Tonga, TON
105.609, 1917, May Average, Tonga, TON
75.1229, 1917, Jun Average, Tonga, TON
95.3392, 1917, Jul Average, Tonga, TON
141.657, 1917, Aug Average, Tonga, TON
119.196, 1917, Sep Average, Tonga, TON
120.141, 1917, Oct Average, Tonga, TON
120.784, 1917, Nov Average, Tonga, TON
142.666, 1917, Dec Average, Tonga, TON
171.353, 1918, Jan Average, Tonga, TON
236.838, 1918, Feb Average, Tonga, TON
252.631, 1918, Mar Average, Tonga, TON
154.554, 1918, Apr Average, Tonga, TON
101.185, 1918, May Average, Tonga, TON
65.0401, 1918, Jun Average, Tonga, TON
78.3379, 1918, Jul Average, Tonga, TON
121.491, 1918, Aug Average, Tonga, TON
119.478, 1918, Sep Average, Tonga, TON
95.967, 1918, Oct Average, Tonga, TON
126.979, 1918, Nov Average, Tonga, TON
134.232, 1918, Dec Average, Tonga, TON
168.564, 1919, Jan Average, Tonga, TON
186.84, 1919, Feb Average, Tonga, TON
285.682, 1919, Mar Average, Tonga, TON
158.912, 1919, Apr Average, Tonga, TON
91.5045, 1919, May Average, Tonga, TON
79.4001, 1919, Jun Average, Tonga, TON
84.0899, 1919, Jul Average, Tonga, TON
114.64, 1919, Aug Average, Tonga, TON
111.607, 1919, Sep Average, Tonga, TON
91.0597, 1919, Oct Average, Tonga, TON
110.125, 1919, Nov Average, Tonga, TON
173.156, 1919, Dec Average, Tonga, TON
188.864, 1920, Jan Average, Tonga, TON
207.984, 1920, Feb Average, Tonga, TON
267.3, 1920, Mar Average, Tonga, TON
166.313, 1920, Apr Average, Tonga, TON
92.3358, 1920, May Average, Tonga, TON
64.9463, 1920, Jun Average, Tonga, TON
112.729, 1920, Jul Average, Tonga, TON
103.914, 1920, Aug Average, Tonga, TON
124.707, 1920, Sep Average, Tonga, TON
94.1033, 1920, Oct Average, Tonga, TON
114.04, 1920, Nov Average, Tonga, TON
125.195, 1920, Dec Average, Tonga, TON
188.917, 1921, Jan Average, Tonga, TON
185.003, 1921, Feb Average, Tonga, TON
251.746, 1921, Mar Average, Tonga, TON
184.36, 1921, Apr Average, Tonga, TON
107.312, 1921, May Average, Tonga, TON
67.0647, 1921, Jun Average, Tonga, TON
92.4297, 1921, Jul Average, Tonga, TON
