Rainfall - (MM), Year, Statistics, Country, ISO3
70.7036, 1901, Jan Average, Trinidad and Tobago, TTO
46.3049, 1901, Feb Average, Trinidad and Tobago, TTO
42.2032, 1901, Mar Average, Trinidad and Tobago, TTO
49.5305, 1901, Apr Average, Trinidad and Tobago, TTO
109.191, 1901, May Average, Trinidad and Tobago, TTO
200.423, 1901, Jun Average, Trinidad and Tobago, TTO
215.999, 1901, Jul Average, Trinidad and Tobago, TTO
209.938, 1901, Aug Average, Trinidad and Tobago, TTO
167.499, 1901, Sep Average, Trinidad and Tobago, TTO
172.576, 1901, Oct Average, Trinidad and Tobago, TTO
178.33, 1901, Nov Average, Trinidad and Tobago, TTO
166.193, 1901, Dec Average, Trinidad and Tobago, TTO
76.9994, 1902, Jan Average, Trinidad and Tobago, TTO
41.4008, 1902, Feb Average, Trinidad and Tobago, TTO
55.3822, 1902, Mar Average, Trinidad and Tobago, TTO
45.5331, 1902, Apr Average, Trinidad and Tobago, TTO
152.859, 1902, May Average, Trinidad and Tobago, TTO
260.262, 1902, Jun Average, Trinidad and Tobago, TTO
242.976, 1902, Jul Average, Trinidad and Tobago, TTO
188.297, 1902, Aug Average, Trinidad and Tobago, TTO
148.22, 1902, Sep Average, Trinidad and Tobago, TTO
141.808, 1902, Oct Average, Trinidad and Tobago, TTO
213.943, 1902, Nov Average, Trinidad and Tobago, TTO
151.165, 1902, Dec Average, Trinidad and Tobago, TTO
60.5945, 1903, Jan Average, Trinidad and Tobago, TTO
44.4445, 1903, Feb Average, Trinidad and Tobago, TTO
36.9553, 1903, Mar Average, Trinidad and Tobago, TTO
84.2322, 1903, Apr Average, Trinidad and Tobago, TTO
98.7059, 1903, May Average, Trinidad and Tobago, TTO
277.358, 1903, Jun Average, Trinidad and Tobago, TTO
212.041, 1903, Jul Average, Trinidad and Tobago, TTO
244.608, 1903, Aug Average, Trinidad and Tobago, TTO
172.341, 1903, Sep Average, Trinidad and Tobago, TTO
138.347, 1903, Oct Average, Trinidad and Tobago, TTO
145.136, 1903, Nov Average, Trinidad and Tobago, TTO
173.837, 1903, Dec Average, Trinidad and Tobago, TTO
96.9322, 1904, Jan Average, Trinidad and Tobago, TTO
44.5129, 1904, Feb Average, Trinidad and Tobago, TTO
57.9753, 1904, Mar Average, Trinidad and Tobago, TTO
49.7706, 1904, Apr Average, Trinidad and Tobago, TTO
106.56, 1904, May Average, Trinidad and Tobago, TTO
149.895, 1904, Jun Average, Trinidad and Tobago, TTO
222.736, 1904, Jul Average, Trinidad and Tobago, TTO
179.715, 1904, Aug Average, Trinidad and Tobago, TTO
192.681, 1904, Sep Average, Trinidad and Tobago, TTO
158.366, 1904, Oct Average, Trinidad and Tobago, TTO
130.864, 1904, Nov Average, Trinidad and Tobago, TTO
150.25, 1904, Dec Average, Trinidad and Tobago, TTO
68.4192, 1905, Jan Average, Trinidad and Tobago, TTO
45.179, 1905, Feb Average, Trinidad and Tobago, TTO
47.9187, 1905, Mar Average, Trinidad and Tobago, TTO
45.7082, 1905, Apr Average, Trinidad and Tobago, TTO
93.7575, 1905, May Average, Trinidad and Tobago, TTO
194.953, 1905, Jun Average, Trinidad and Tobago, TTO
190.388, 1905, Jul Average, Trinidad and Tobago, TTO
181.315, 1905, Aug Average, Trinidad and Tobago, TTO
177.024, 1905, Sep Average, Trinidad and Tobago, TTO
194.258, 1905, Oct Average, Trinidad and Tobago, TTO
184.175, 1905, Nov Average, Trinidad and Tobago, TTO
132.985, 1905, Dec Average, Trinidad and Tobago, TTO
63.8353, 1906, Jan Average, Trinidad and Tobago, TTO
47.516, 1906, Feb Average, Trinidad and Tobago, TTO
37.9833, 1906, Mar Average, Trinidad and Tobago, TTO
59.8999, 1906, Apr Average, Trinidad and Tobago, TTO
104.629, 1906, May Average, Trinidad and Tobago, TTO
220.791, 1906, Jun Average, Trinidad and Tobago, TTO
228.674, 1906, Jul Average, Trinidad and Tobago, TTO
210.295, 1906, Aug Average, Trinidad and Tobago, TTO
192.373, 1906, Sep Average, Trinidad and Tobago, TTO
157.997, 1906, Oct Average, Trinidad and Tobago, TTO
178.825, 1906, Nov Average, Trinidad and Tobago, TTO
129.583, 1906, Dec Average, Trinidad and Tobago, TTO
79.0286, 1907, Jan Average, Trinidad and Tobago, TTO
49.8542, 1907, Feb Average, Trinidad and Tobago, TTO
54.0739, 1907, Mar Average, Trinidad and Tobago, TTO
51.9544, 1907, Apr Average, Trinidad and Tobago, TTO
117.266, 1907, May Average, Trinidad and Tobago, TTO
176.8, 1907, Jun Average, Trinidad and Tobago, TTO
205.641, 1907, Jul Average, Trinidad and Tobago, TTO
173.79, 1907, Aug Average, Trinidad and Tobago, TTO
129.699, 1907, Sep Average, Trinidad and Tobago, TTO
171.304, 1907, Oct Average, Trinidad and Tobago, TTO
153.144, 1907, Nov Average, Trinidad and Tobago, TTO
153.507, 1907, Dec Average, Trinidad and Tobago, TTO
63.1681, 1908, Jan Average, Trinidad and Tobago, TTO
31.2712, 1908, Feb Average, Trinidad and Tobago, TTO
35.415, 1908, Mar Average, Trinidad and Tobago, TTO
47.2473, 1908, Apr Average, Trinidad and Tobago, TTO
84.6706, 1908, May Average, Trinidad and Tobago, TTO
203.586, 1908, Jun Average, Trinidad and Tobago, TTO
245.769, 1908, Jul Average, Trinidad and Tobago, TTO
179.492, 1908, Aug Average, Trinidad and Tobago, TTO
169.467, 1908, Sep Average, Trinidad and Tobago, TTO
145.435, 1908, Oct Average, Trinidad and Tobago, TTO
131.843, 1908, Nov Average, Trinidad and Tobago, TTO
202.12, 1908, Dec Average, Trinidad and Tobago, TTO
79.373, 1909, Jan Average, Trinidad and Tobago, TTO
57.6582, 1909, Feb Average, Trinidad and Tobago, TTO
48.1898, 1909, Mar Average, Trinidad and Tobago, TTO
48.9176, 1909, Apr Average, Trinidad and Tobago, TTO
107.54, 1909, May Average, Trinidad and Tobago, TTO
207.371, 1909, Jun Average, Trinidad and Tobago, TTO
227.381, 1909, Jul Average, Trinidad and Tobago, TTO
202.673, 1909, Aug Average, Trinidad and Tobago, TTO
151.981, 1909, Sep Average, Trinidad and Tobago, TTO
180.13, 1909, Oct Average, Trinidad and Tobago, TTO
172.738, 1909, Nov Average, Trinidad and Tobago, TTO
167.511, 1909, Dec Average, Trinidad and Tobago, TTO
83.4655, 1910, Jan Average, Trinidad and Tobago, TTO
61.9239, 1910, Feb Average, Trinidad and Tobago, TTO
53.0659, 1910, Mar Average, Trinidad and Tobago, TTO
36.9574, 1910, Apr Average, Trinidad and Tobago, TTO
174.185, 1910, May Average, Trinidad and Tobago, TTO
