Rainfall - (MM), Year, Statistics, Country, ISO3
53.0452, 1901, Jan Average, Tunisia, TUN
26.745, 1901, Feb Average, Tunisia, TUN
18.4653, 1901, Mar Average, Tunisia, TUN
17.5152, 1901, Apr Average, Tunisia, TUN
29.0925, 1901, May Average, Tunisia, TUN
1.57374, 1901, Jun Average, Tunisia, TUN
4.49962, 1901, Jul Average, Tunisia, TUN
7.41762, 1901, Aug Average, Tunisia, TUN
18.5107, 1901, Sep Average, Tunisia, TUN
62.0883, 1901, Oct Average, Tunisia, TUN
23.6729, 1901, Nov Average, Tunisia, TUN
10.3525, 1901, Dec Average, Tunisia, TUN
12.4752, 1902, Jan Average, Tunisia, TUN
32.8806, 1902, Feb Average, Tunisia, TUN
35.8882, 1902, Mar Average, Tunisia, TUN
18.1273, 1902, Apr Average, Tunisia, TUN
14.7122, 1902, May Average, Tunisia, TUN
2.98332, 1902, Jun Average, Tunisia, TUN
0.64792, 1902, Jul Average, Tunisia, TUN
0.69231, 1902, Aug Average, Tunisia, TUN
19.8682, 1902, Sep Average, Tunisia, TUN
51.7193, 1902, Oct Average, Tunisia, TUN
23.0819, 1902, Nov Average, Tunisia, TUN
40.2591, 1902, Dec Average, Tunisia, TUN
43.9963, 1903, Jan Average, Tunisia, TUN
14.1994, 1903, Feb Average, Tunisia, TUN
25.1555, 1903, Mar Average, Tunisia, TUN
29.7095, 1903, Apr Average, Tunisia, TUN
7.59722, 1903, May Average, Tunisia, TUN
15.8939, 1903, Jun Average, Tunisia, TUN
0.06758, 1903, Jul Average, Tunisia, TUN
0.12757, 1903, Aug Average, Tunisia, TUN
27.5717, 1903, Sep Average, Tunisia, TUN
15.5206, 1903, Oct Average, Tunisia, TUN
64.5628, 1903, Nov Average, Tunisia, TUN
44.3694, 1903, Dec Average, Tunisia, TUN
68.9528, 1904, Jan Average, Tunisia, TUN
33.9203, 1904, Feb Average, Tunisia, TUN
29.6628, 1904, Mar Average, Tunisia, TUN
11.5495, 1904, Apr Average, Tunisia, TUN
3.81592, 1904, May Average, Tunisia, TUN
10.1682, 1904, Jun Average, Tunisia, TUN
4.35682, 1904, Jul Average, Tunisia, TUN
6.5503, 1904, Aug Average, Tunisia, TUN
24.1877, 1904, Sep Average, Tunisia, TUN
40.8998, 1904, Oct Average, Tunisia, TUN
15.3616, 1904, Nov Average, Tunisia, TUN
28.0858, 1904, Dec Average, Tunisia, TUN
35.6013, 1905, Jan Average, Tunisia, TUN
16.0452, 1905, Feb Average, Tunisia, TUN
10.7435, 1905, Mar Average, Tunisia, TUN
23.8444, 1905, Apr Average, Tunisia, TUN
22.4971, 1905, May Average, Tunisia, TUN
10.3116, 1905, Jun Average, Tunisia, TUN
10.6888, 1905, Jul Average, Tunisia, TUN
5.5655, 1905, Aug Average, Tunisia, TUN
7.29619, 1905, Sep Average, Tunisia, TUN
35.554, 1905, Oct Average, Tunisia, TUN
11.0371, 1905, Nov Average, Tunisia, TUN
75.4371, 1905, Dec Average, Tunisia, TUN
61.1876, 1906, Jan Average, Tunisia, TUN
43.8943, 1906, Feb Average, Tunisia, TUN
23.6228, 1906, Mar Average, Tunisia, TUN
8.72524, 1906, Apr Average, Tunisia, TUN
13.9583, 1906, May Average, Tunisia, TUN
14.7571, 1906, Jun Average, Tunisia, TUN
3.94501, 1906, Jul Average, Tunisia, TUN
5.57992, 1906, Aug Average, Tunisia, TUN
35.9048, 1906, Sep Average, Tunisia, TUN
36.7408, 1906, Oct Average, Tunisia, TUN
36.1928, 1906, Nov Average, Tunisia, TUN
28.9815, 1906, Dec Average, Tunisia, TUN
37.1027, 1907, Jan Average, Tunisia, TUN
