Rainfall - (MM), Year, Statistics, Country, ISO3
51.3107, 1901, Jan Average, Turkey, TUR
39.8431, 1901, Feb Average, Turkey, TUR
37.8167, 1901, Mar Average, Turkey, TUR
30.251, 1901, Apr Average, Turkey, TUR
87.339, 1901, May Average, Turkey, TUR
60.2644, 1901, Jun Average, Turkey, TUR
15.146, 1901, Jul Average, Turkey, TUR
11.9961, 1901, Aug Average, Turkey, TUR
24.2951, 1901, Sep Average, Turkey, TUR
43.9685, 1901, Oct Average, Turkey, TUR
76.0087, 1901, Nov Average, Turkey, TUR
60.5621, 1901, Dec Average, Turkey, TUR
68.3878, 1902, Jan Average, Turkey, TUR
47.2074, 1902, Feb Average, Turkey, TUR
55.1573, 1902, Mar Average, Turkey, TUR
50.5353, 1902, Apr Average, Turkey, TUR
53.5762, 1902, May Average, Turkey, TUR
16.2702, 1902, Jun Average, Turkey, TUR
22.0701, 1902, Jul Average, Turkey, TUR
7.04807, 1902, Aug Average, Turkey, TUR
11.2951, 1902, Sep Average, Turkey, TUR
47.3044, 1902, Oct Average, Turkey, TUR
91.4631, 1902, Nov Average, Turkey, TUR
86.8066, 1902, Dec Average, Turkey, TUR
46.6811, 1903, Jan Average, Turkey, TUR
57.0322, 1903, Feb Average, Turkey, TUR
38.974, 1903, Mar Average, Turkey, TUR
39.1971, 1903, Apr Average, Turkey, TUR
52.4397, 1903, May Average, Turkey, TUR
38.3478, 1903, Jun Average, Turkey, TUR
17.2311, 1903, Jul Average, Turkey, TUR
16.7399, 1903, Aug Average, Turkey, TUR
11.9899, 1903, Sep Average, Turkey, TUR
25.6679, 1903, Oct Average, Turkey, TUR
51.0807, 1903, Nov Average, Turkey, TUR
78.0012, 1903, Dec Average, Turkey, TUR
66.9558, 1904, Jan Average, Turkey, TUR
43.9498, 1904, Feb Average, Turkey, TUR
71.5873, 1904, Mar Average, Turkey, TUR
54.148, 1904, Apr Average, Turkey, TUR
88.0667, 1904, May Average, Turkey, TUR
38.1498, 1904, Jun Average, Turkey, TUR
11.7258, 1904, Jul Average, Turkey, TUR
5.83345, 1904, Aug Average, Turkey, TUR
28.3063, 1904, Sep Average, Turkey, TUR
43.1689, 1904, Oct Average, Turkey, TUR
104.111, 1904, Nov Average, Turkey, TUR
86.2312, 1904, Dec Average, Turkey, TUR
92.9292, 1905, Jan Average, Turkey, TUR
51.7099, 1905, Feb Average, Turkey, TUR
57.6573, 1905, Mar Average, Turkey, TUR
52.8106, 1905, Apr Average, Turkey, TUR
32.8004, 1905, May Average, Turkey, TUR
26.1697, 1905, Jun Average, Turkey, TUR
7.27988, 1905, Jul Average, Turkey, TUR
6.19009, 1905, Aug Average, Turkey, TUR
9.51677, 1905, Sep Average, Turkey, TUR
55.3242, 1905, Oct Average, Turkey, TUR
45.8889, 1905, Nov Average, Turkey, TUR
54.7364, 1905, Dec Average, Turkey, TUR
63.7755, 1906, Jan Average, Turkey, TUR
65.1523, 1906, Feb Average, Turkey, TUR
60.9682, 1906, Mar Average, Turkey, TUR
46.7769, 1906, Apr Average, Turkey, TUR
81.4757, 1906, May Average, Turkey, TUR
32.5217, 1906, Jun Average, Turkey, TUR
17.7011, 1906, Jul Average, Turkey, TUR
10.6584, 1906, Aug Average, Turkey, TUR
14.4682, 1906, Sep Average, Turkey, TUR
46.982, 1906, Oct Average, Turkey, TUR
67.609, 1906, Nov Average, Turkey, TUR
108.824, 1906, Dec Average, Turkey, TUR
72.8418, 1907, Jan Average, Turkey, TUR
57.8629, 1907, Feb Average, Turkey, TUR
84.3257, 1907, Mar Average, Turkey, TUR
60.6991, 1907, Apr Average, Turkey, TUR
23.579, 1907, May Average, Turkey, TUR
23.4397, 1907, Jun Average, Turkey, TUR
16.4568, 1907, Jul Average, Turkey, TUR
11.7403, 1907, Aug Average, Turkey, TUR
21.5426, 1907, Sep Average, Turkey, TUR
