Rainfall - (MM), Year, Statistics, Country, ISO3
356.31, 1901, Jan Average, Tuvalu, TUV
307.554, 1901, Feb Average, Tuvalu, TUV
308.215, 1901, Mar Average, Tuvalu, TUV
245.888, 1901, Apr Average, Tuvalu, TUV
229.701, 1901, May Average, Tuvalu, TUV
199.993, 1901, Jun Average, Tuvalu, TUV
231.419, 1901, Jul Average, Tuvalu, TUV
228.454, 1901, Aug Average, Tuvalu, TUV
197.624, 1901, Sep Average, Tuvalu, TUV
231.995, 1901, Oct Average, Tuvalu, TUV
269.026, 1901, Nov Average, Tuvalu, TUV
333.56, 1901, Dec Average, Tuvalu, TUV
356.31, 1902, Jan Average, Tuvalu, TUV
307.554, 1902, Feb Average, Tuvalu, TUV
308.215, 1902, Mar Average, Tuvalu, TUV
245.888, 1902, Apr Average, Tuvalu, TUV
229.701, 1902, May Average, Tuvalu, TUV
199.993, 1902, Jun Average, Tuvalu, TUV
231.419, 1902, Jul Average, Tuvalu, TUV
228.454, 1902, Aug Average, Tuvalu, TUV
197.624, 1902, Sep Average, Tuvalu, TUV
231.995, 1902, Oct Average, Tuvalu, TUV
269.026, 1902, Nov Average, Tuvalu, TUV
333.56, 1902, Dec Average, Tuvalu, TUV
356.31, 1903, Jan Average, Tuvalu, TUV
307.554, 1903, Feb Average, Tuvalu, TUV
308.215, 1903, Mar Average, Tuvalu, TUV
245.888, 1903, Apr Average, Tuvalu, TUV
229.701, 1903, May Average, Tuvalu, TUV
199.993, 1903, Jun Average, Tuvalu, TUV
231.419, 1903, Jul Average, Tuvalu, TUV
228.454, 1903, Aug Average, Tuvalu, TUV
197.624, 1903, Sep Average, Tuvalu, TUV
231.995, 1903, Oct Average, Tuvalu, TUV
269.026, 1903, Nov Average, Tuvalu, TUV
333.56, 1903, Dec Average, Tuvalu, TUV
356.31, 1904, Jan Average, Tuvalu, TUV
307.554, 1904, Feb Average, Tuvalu, TUV
308.215, 1904, Mar Average, Tuvalu, TUV
245.888, 1904, Apr Average, Tuvalu, TUV
229.701, 1904, May Average, Tuvalu, TUV
199.993, 1904, Jun Average, Tuvalu, TUV
231.419, 1904, Jul Average, Tuvalu, TUV
228.454, 1904, Aug Average, Tuvalu, TUV
197.624, 1904, Sep Average, Tuvalu, TUV
231.995, 1904, Oct Average, Tuvalu, TUV
269.026, 1904, Nov Average, Tuvalu, TUV
333.56, 1904, Dec Average, Tuvalu, TUV
356.31, 1905, Jan Average, Tuvalu, TUV
307.554, 1905, Feb Average, Tuvalu, TUV
308.215, 1905, Mar Average, Tuvalu, TUV
245.888, 1905, Apr Average, Tuvalu, TUV
229.701, 1905, May Average, Tuvalu, TUV
199.993, 1905, Jun Average, Tuvalu, TUV
231.419, 1905, Jul Average, Tuvalu, TUV
228.454, 1905, Aug Average, Tuvalu, TUV
197.624, 1905, Sep Average, Tuvalu, TUV
231.995, 1905, Oct Average, Tuvalu, TUV
269.026, 1905, Nov Average, Tuvalu, TUV
333.56, 1905, Dec Average, Tuvalu, TUV
356.31, 1906, Jan Average, Tuvalu, TUV
307.554, 1906, Feb Average, Tuvalu, TUV
308.215, 1906, Mar Average, Tuvalu, TUV
245.888, 1906, Apr Average, Tuvalu, TUV
229.701, 1906, May Average, Tuvalu, TUV
199.993, 1906, Jun Average, Tuvalu, TUV
231.419, 1906, Jul Average, Tuvalu, TUV
228.454, 1906, Aug Average, Tuvalu, TUV
197.624, 1906, Sep Average, Tuvalu, TUV
231.995, 1906, Oct Average, Tuvalu, TUV
269.026, 1906, Nov Average, Tuvalu, TUV
333.56, 1906, Dec Average, Tuvalu, TUV
356.31, 1907, Jan Average, Tuvalu, TUV
307.554, 1907, Feb Average, Tuvalu, TUV
308.215, 1907, Mar Average, Tuvalu, TUV
245.888, 1907, Apr Average, Tuvalu, TUV
229.701, 1907, May Average, Tuvalu, TUV
199.993, 1907, Jun Average, Tuvalu, TUV
231.419, 1907, Jul Average, Tuvalu, TUV
228.454, 1907, Aug Average, Tuvalu, TUV
197.624, 1907, Sep Average, Tuvalu, TUV
231.995, 1907, Oct Average, Tuvalu, TUV
269.026, 1907, Nov Average, Tuvalu, TUV
333.56, 1907, Dec Average, Tuvalu, TUV
356.31, 1908, Jan Average, Tuvalu, TUV
307.554, 1908, Feb Average, Tuvalu, TUV
308.215, 1908, Mar Average, Tuvalu, TUV
245.888, 1908, Apr Average, Tuvalu, TUV
229.701, 1908, May Average, Tuvalu, TUV
199.993, 1908, Jun Average, Tuvalu, TUV
231.419, 1908, Jul Average, Tuvalu, TUV
228.454, 1908, Aug Average, Tuvalu, TUV
197.624, 1908, Sep Average, Tuvalu, TUV
231.995, 1908, Oct Average, Tuvalu, TUV
269.026, 1908, Nov Average, Tuvalu, TUV
333.56, 1908, Dec Average, Tuvalu, TUV
356.31, 1909, Jan Average, Tuvalu, TUV
307.554, 1909, Feb Average, Tuvalu, TUV
308.215, 1909, Mar Average, Tuvalu, TUV
245.888, 1909, Apr Average, Tuvalu, TUV
229.701, 1909, May Average, Tuvalu, TUV
199.993, 1909, Jun Average, Tuvalu, TUV
231.419, 1909, Jul Average, Tuvalu, TUV
228.454, 1909, Aug Average, Tuvalu, TUV
197.624, 1909, Sep Average, Tuvalu, TUV
231.995, 1909, Oct Average, Tuvalu, TUV
269.026, 1909, Nov Average, Tuvalu, TUV
333.56, 1909, Dec Average, Tuvalu, TUV
356.31, 1910, Jan Average, Tuvalu, TUV
307.554, 1910, Feb Average, Tuvalu, TUV
308.215, 1910, Mar Average, Tuvalu, TUV
245.888, 1910, Apr Average, Tuvalu, TUV
229.701, 1910, May Average, Tuvalu, TUV
199.993, 1910, Jun Average, Tuvalu, TUV
231.419, 1910, Jul Average, Tuvalu, TUV
228.454, 1910, Aug Average, Tuvalu, TUV
197.624, 1910, Sep Average, Tuvalu, TUV
231.995, 1910, Oct Average, Tuvalu, TUV
269.026, 1910, Nov Average, Tuvalu, TUV
333.56, 1910, Dec Average, Tuvalu, TUV
356.31, 1911, Jan Average, Tuvalu, TUV
307.554, 1911, Feb Average, Tuvalu, TUV
308.215, 1911, Mar Average, Tuvalu, TUV
245.888, 1911, Apr Average, Tuvalu, TUV
229.701, 1911, May Average, Tuvalu, TUV
199.993, 1911, Jun Average, Tuvalu, TUV
231.419, 1911, Jul Average, Tuvalu, TUV
228.454, 1911, Aug Average, Tuvalu, TUV
197.624, 1911, Sep Average, Tuvalu, TUV
231.995, 1911, Oct Average, Tuvalu, TUV
269.026, 1911, Nov Average, Tuvalu, TUV
333.56, 1911, Dec Average, Tuvalu, TUV
356.31, 1912, Jan Average, Tuvalu, TUV
307.554, 1912, Feb Average, Tuvalu, TUV
308.215, 1912, Mar Average, Tuvalu, TUV
245.888, 1912, Apr Average, Tuvalu, TUV
229.701, 1912, May Average, Tuvalu, TUV
199.993, 1912, Jun Average, Tuvalu, TUV
231.419, 1912, Jul Average, Tuvalu, TUV
228.454, 1912, Aug Average, Tuvalu, TUV
197.624, 1912, Sep Average, Tuvalu, TUV
231.995, 1912, Oct Average, Tuvalu, TUV
269.026, 1912, Nov Average, Tuvalu, TUV
333.56, 1912, Dec Average, Tuvalu, TUV
