Rainfall - (MM), Year, Statistics, Country, ISO3
31.8412, 1901, Jan Average, Ukraine, UKR
42.5149, 1901, Feb Average, Ukraine, UKR
34.9407, 1901, Mar Average, Ukraine, UKR
45.0298, 1901, Apr Average, Ukraine, UKR
38.0813, 1901, May Average, Ukraine, UKR
68.3536, 1901, Jun Average, Ukraine, UKR
61.7427, 1901, Jul Average, Ukraine, UKR
63.5314, 1901, Aug Average, Ukraine, UKR
35.619, 1901, Sep Average, Ukraine, UKR
32.647, 1901, Oct Average, Ukraine, UKR
24.0801, 1901, Nov Average, Ukraine, UKR
52.2638, 1901, Dec Average, Ukraine, UKR
27.0729, 1902, Jan Average, Ukraine, UKR
28.4455, 1902, Feb Average, Ukraine, UKR
30.5617, 1902, Mar Average, Ukraine, UKR
37.1213, 1902, Apr Average, Ukraine, UKR
75.2217, 1902, May Average, Ukraine, UKR
68.8079, 1902, Jun Average, Ukraine, UKR
78.277, 1902, Jul Average, Ukraine, UKR
49.7928, 1902, Aug Average, Ukraine, UKR
24.3685, 1902, Sep Average, Ukraine, UKR
60.0144, 1902, Oct Average, Ukraine, UKR
6.8909, 1902, Nov Average, Ukraine, UKR
44.1399, 1902, Dec Average, Ukraine, UKR
24.0466, 1903, Jan Average, Ukraine, UKR
25.4513, 1903, Feb Average, Ukraine, UKR
10.3318, 1903, Mar Average, Ukraine, UKR
42.0278, 1903, Apr Average, Ukraine, UKR
57.9171, 1903, May Average, Ukraine, UKR
102.683, 1903, Jun Average, Ukraine, UKR
65.3074, 1903, Jul Average, Ukraine, UKR
38.8017, 1903, Aug Average, Ukraine, UKR
6.48777, 1903, Sep Average, Ukraine, UKR
51.713, 1903, Oct Average, Ukraine, UKR
47.5523, 1903, Nov Average, Ukraine, UKR
18.2964, 1903, Dec Average, Ukraine, UKR
18.9568, 1904, Jan Average, Ukraine, UKR
34.884, 1904, Feb Average, Ukraine, UKR
25.0264, 1904, Mar Average, Ukraine, UKR
24.7529, 1904, Apr Average, Ukraine, UKR
45.0215, 1904, May Average, Ukraine, UKR
51.761, 1904, Jun Average, Ukraine, UKR
26.2257, 1904, Jul Average, Ukraine, UKR
41.0642, 1904, Aug Average, Ukraine, UKR
44.3552, 1904, Sep Average, Ukraine, UKR
42.7429, 1904, Oct Average, Ukraine, UKR
37.2314, 1904, Nov Average, Ukraine, UKR
32.7717, 1904, Dec Average, Ukraine, UKR
28.634, 1905, Jan Average, Ukraine, UKR
