Rainfall - (MM), Year, Statistics, Country, ISO3
22.4704, 1901, Jan Average, Uzbekistan, UZB
3.22394, 1901, Feb Average, Uzbekistan, UZB
18.7588, 1901, Mar Average, Uzbekistan, UZB
28.4346, 1901, Apr Average, Uzbekistan, UZB
25.9172, 1901, May Average, Uzbekistan, UZB
12.5643, 1901, Jun Average, Uzbekistan, UZB
1.38867, 1901, Jul Average, Uzbekistan, UZB
0.32959, 1901, Aug Average, Uzbekistan, UZB
6.19534, 1901, Sep Average, Uzbekistan, UZB
32.7406, 1901, Oct Average, Uzbekistan, UZB
19.3197, 1901, Nov Average, Uzbekistan, UZB
11.7125, 1901, Dec Average, Uzbekistan, UZB
34.3928, 1902, Jan Average, Uzbekistan, UZB
10.4519, 1902, Feb Average, Uzbekistan, UZB
32.6432, 1902, Mar Average, Uzbekistan, UZB
29.7995, 1902, Apr Average, Uzbekistan, UZB
10.6445, 1902, May Average, Uzbekistan, UZB
2.96929, 1902, Jun Average, Uzbekistan, UZB
2.22207, 1902, Jul Average, Uzbekistan, UZB
3.61751, 1902, Aug Average, Uzbekistan, UZB
2.40011, 1902, Sep Average, Uzbekistan, UZB
16.1965, 1902, Oct Average, Uzbekistan, UZB
50.9599, 1902, Nov Average, Uzbekistan, UZB
24.4078, 1902, Dec Average, Uzbekistan, UZB
32.3682, 1903, Jan Average, Uzbekistan, UZB
26.7702, 1903, Feb Average, Uzbekistan, UZB
28.49, 1903, Mar Average, Uzbekistan, UZB
11.6658, 1903, Apr Average, Uzbekistan, UZB
37.0615, 1903, May Average, Uzbekistan, UZB
3.90132, 1903, Jun Average, Uzbekistan, UZB
5.1009, 1903, Jul Average, Uzbekistan, UZB
1.50758, 1903, Aug Average, Uzbekistan, UZB
1.93307, 1903, Sep Average, Uzbekistan, UZB
2.90944, 1903, Oct Average, Uzbekistan, UZB
11.0784, 1903, Nov Average, Uzbekistan, UZB
8.96585, 1903, Dec Average, Uzbekistan, UZB
19.6498, 1904, Jan Average, Uzbekistan, UZB
5.85052, 1904, Feb Average, Uzbekistan, UZB
26.0688, 1904, Mar Average, Uzbekistan, UZB
26.1833, 1904, Apr Average, Uzbekistan, UZB
41.9757, 1904, May Average, Uzbekistan, UZB
4.15668, 1904, Jun Average, Uzbekistan, UZB
0.77837, 1904, Jul Average, Uzbekistan, UZB
