Rainfall - (MM), Year, Statistics, Country, ISO3
38.2362, 1901, Jan Average, Venezuela, VEN
55.2867, 1901, Feb Average, Venezuela, VEN
59.114, 1901, Mar Average, Venezuela, VEN
139.459, 1901, Apr Average, Venezuela, VEN
210.356, 1901, May Average, Venezuela, VEN
255.119, 1901, Jun Average, Venezuela, VEN
280.776, 1901, Jul Average, Venezuela, VEN
269.314, 1901, Aug Average, Venezuela, VEN
174.691, 1901, Sep Average, Venezuela, VEN
144.019, 1901, Oct Average, Venezuela, VEN
113.733, 1901, Nov Average, Venezuela, VEN
120.713, 1901, Dec Average, Venezuela, VEN
51.6612, 1902, Jan Average, Venezuela, VEN
47.5269, 1902, Feb Average, Venezuela, VEN
70.3613, 1902, Mar Average, Venezuela, VEN
112.26, 1902, Apr Average, Venezuela, VEN
196.125, 1902, May Average, Venezuela, VEN
305.221, 1902, Jun Average, Venezuela, VEN
241.582, 1902, Jul Average, Venezuela, VEN
227.552, 1902, Aug Average, Venezuela, VEN
194.031, 1902, Sep Average, Venezuela, VEN
175.873, 1902, Oct Average, Venezuela, VEN
138.892, 1902, Nov Average, Venezuela, VEN
82.3938, 1902, Dec Average, Venezuela, VEN
42.8627, 1903, Jan Average, Venezuela, VEN
53.2609, 1903, Feb Average, Venezuela, VEN
68.7295, 1903, Mar Average, Venezuela, VEN
115.454, 1903, Apr Average, Venezuela, VEN
181.061, 1903, May Average, Venezuela, VEN
311.085, 1903, Jun Average, Venezuela, VEN
268.309, 1903, Jul Average, Venezuela, VEN
257.437, 1903, Aug Average, Venezuela, VEN
200.537, 1903, Sep Average, Venezuela, VEN
161.346, 1903, Oct Average, Venezuela, VEN
134.914, 1903, Nov Average, Venezuela, VEN
104.263, 1903, Dec Average, Venezuela, VEN
48.1432, 1904, Jan Average, Venezuela, VEN
45.2048, 1904, Feb Average, Venezuela, VEN
68.8599, 1904, Mar Average, Venezuela, VEN
118.739, 1904, Apr Average, Venezuela, VEN
219.227, 1904, May Average, Venezuela, VEN
245.865, 1904, Jun Average, Venezuela, VEN
318.751, 1904, Jul Average, Venezuela, VEN
307.13, 1904, Aug Average, Venezuela, VEN
223.403, 1904, Sep Average, Venezuela, VEN
147.574, 1904, Oct Average, Venezuela, VEN
217.279, 1904, Nov Average, Venezuela, VEN
99.2506, 1904, Dec Average, Venezuela, VEN
41.9706, 1905, Jan Average, Venezuela, VEN
60.4878, 1905, Feb Average, Venezuela, VEN
54.5906, 1905, Mar Average, Venezuela, VEN
114.585, 1905, Apr Average, Venezuela, VEN
209.194, 1905, May Average, Venezuela, VEN
238.548, 1905, Jun Average, Venezuela, VEN
328.434, 1905, Jul Average, Venezuela, VEN
276.936, 1905, Aug Average, Venezuela, VEN
193.599, 1905, Sep Average, Venezuela, VEN
181.484, 1905, Oct Average, Venezuela, VEN
128.284, 1905, Nov Average, Venezuela, VEN
108.369, 1905, Dec Average, Venezuela, VEN
39.7569, 1906, Jan Average, Venezuela, VEN
75.6455, 1906, Feb Average, Venezuela, VEN
54.5075, 1906, Mar Average, Venezuela, VEN
140.038, 1906, Apr Average, Venezuela, VEN
173.274, 1906, May Average, Venezuela, VEN
242.299, 1906, Jun Average, Venezuela, VEN
272.35, 1906, Jul Average, Venezuela, VEN
251.817, 1906, Aug Average, Venezuela, VEN
204.074, 1906, Sep Average, Venezuela, VEN
138.91, 1906, Oct Average, Venezuela, VEN
126.209, 1906, Nov Average, Venezuela, VEN
81.8889, 1906, Dec Average, Venezuela, VEN
51.9991, 1907, Jan Average, Venezuela, VEN
60.4528, 1907, Feb Average, Venezuela, VEN
71.4046, 1907, Mar Average, Venezuela, VEN
116.849, 1907, Apr Average, Venezuela, VEN
203.14, 1907, May Average, Venezuela, VEN
269.646, 1907, Jun Average, Venezuela, VEN
274.105, 1907, Jul Average, Venezuela, VEN
218.393, 1907, Aug Average, Venezuela, VEN
173.773, 1907, Sep Average, Venezuela, VEN
155.658, 1907, Oct Average, Venezuela, VEN
141.513, 1907, Nov Average, Venezuela, VEN
83.5727, 1907, Dec Average, Venezuela, VEN
42.0327, 1908, Jan Average, Venezuela, VEN
43.3038, 1908, Feb Average, Venezuela, VEN
59.5051, 1908, Mar Average, Venezuela, VEN
104.702, 1908, Apr Average, Venezuela, VEN
179.138, 1908, May Average, Venezuela, VEN
326.295, 1908, Jun Average, Venezuela, VEN
