Rainfall - (MM), Year, Statistics, Country, ISO3
19.5367, 1901, Jan Average, Vietnam, VNM
11.8194, 1901, Feb Average, Vietnam, VNM
42.2238, 1901, Mar Average, Vietnam, VNM
90.2041, 1901, Apr Average, Vietnam, VNM
156.53, 1901, May Average, Vietnam, VNM
198.92, 1901, Jun Average, Vietnam, VNM
239.023, 1901, Jul Average, Vietnam, VNM
227.455, 1901, Aug Average, Vietnam, VNM
254.58, 1901, Sep Average, Vietnam, VNM
199.253, 1901, Oct Average, Vietnam, VNM
136.671, 1901, Nov Average, Vietnam, VNM
55.7247, 1901, Dec Average, Vietnam, VNM
29.5221, 1902, Jan Average, Vietnam, VNM
12.7195, 1902, Feb Average, Vietnam, VNM
28.7975, 1902, Mar Average, Vietnam, VNM
67.9302, 1902, Apr Average, Vietnam, VNM
131.121, 1902, May Average, Vietnam, VNM
195.097, 1902, Jun Average, Vietnam, VNM
204.952, 1902, Jul Average, Vietnam, VNM
309.325, 1902, Aug Average, Vietnam, VNM
169.403, 1902, Sep Average, Vietnam, VNM
215.414, 1902, Oct Average, Vietnam, VNM
140.8, 1902, Nov Average, Vietnam, VNM
123.375, 1902, Dec Average, Vietnam, VNM
18.9639, 1903, Jan Average, Vietnam, VNM
32.1442, 1903, Feb Average, Vietnam, VNM
25.7112, 1903, Mar Average, Vietnam, VNM
47.2179, 1903, Apr Average, Vietnam, VNM
111.682, 1903, May Average, Vietnam, VNM
182.179, 1903, Jun Average, Vietnam, VNM
312.336, 1903, Jul Average, Vietnam, VNM
256.497, 1903, Aug Average, Vietnam, VNM
282.602, 1903, Sep Average, Vietnam, VNM
235.324, 1903, Oct Average, Vietnam, VNM
130.026, 1903, Nov Average, Vietnam, VNM
54.697, 1903, Dec Average, Vietnam, VNM
9.01889, 1904, Jan Average, Vietnam, VNM
11.4673, 1904, Feb Average, Vietnam, VNM
34.4597, 1904, Mar Average, Vietnam, VNM
78.5103, 1904, Apr Average, Vietnam, VNM
259.009, 1904, May Average, Vietnam, VNM
277.503, 1904, Jun Average, Vietnam, VNM
324.811, 1904, Jul Average, Vietnam, VNM
263.662, 1904, Aug Average, Vietnam, VNM
273.709, 1904, Sep Average, Vietnam, VNM
209.98, 1904, Oct Average, Vietnam, VNM
163.636, 1904, Nov Average, Vietnam, VNM
74.3103, 1904, Dec Average, Vietnam, VNM
12.4228, 1905, Jan Average, Vietnam, VNM
16.9855, 1905, Feb Average, Vietnam, VNM
64.6602, 1905, Mar Average, Vietnam, VNM
45.3722, 1905, Apr Average, Vietnam, VNM
142.735, 1905, May Average, Vietnam, VNM
268.018, 1905, Jun Average, Vietnam, VNM
180.126, 1905, Jul Average, Vietnam, VNM
171.896, 1905, Aug Average, Vietnam, VNM
351.288, 1905, Sep Average, Vietnam, VNM
194.241, 1905, Oct Average, Vietnam, VNM
145.951, 1905, Nov Average, Vietnam, VNM
86.0663, 1905, Dec Average, Vietnam, VNM
62.6127, 1906, Jan Average, Vietnam, VNM
5.28397, 1906, Feb Average, Vietnam, VNM
25.2704, 1906, Mar Average, Vietnam, VNM
53.5264, 1906, Apr Average, Vietnam, VNM
228.977, 1906, May Average, Vietnam, VNM
206.486, 1906, Jun Average, Vietnam, VNM
196.256, 1906, Jul Average, Vietnam, VNM
167.351, 1906, Aug Average, Vietnam, VNM
343.106, 1906, Sep Average, Vietnam, VNM
166.554, 1906, Oct Average, Vietnam, VNM
128.378, 1906, Nov Average, Vietnam, VNM
68.5631, 1906, Dec Average, Vietnam, VNM
31.573, 1907, Jan Average, Vietnam, VNM
39.4463, 1907, Feb Average, Vietnam, VNM
30.2816, 1907, Mar Average, Vietnam, VNM
68.8198, 1907, Apr Average, Vietnam, VNM
158.9, 1907, May Average, Vietnam, VNM
157.144, 1907, Jun Average, Vietnam, VNM
203.886, 1907, Jul Average, Vietnam, VNM
251.739, 1907, Aug Average, Vietnam, VNM
240.471, 1907, Sep Average, Vietnam, VNM
273.953, 1907, Oct Average, Vietnam, VNM
165.031, 1907, Nov Average, Vietnam, VNM
82.7217, 1907, Dec Average, Vietnam, VNM
98.1345, 1908, Jan Average, Vietnam, VNM
62.1251, 1908, Feb Average, Vietnam, VNM
31.347, 1908, Mar Average, Vietnam, VNM
49.7639, 1908, Apr Average, Vietnam, VNM
188.815, 1908, May Average, Vietnam, VNM
244.114, 1908, Jun Average, Vietnam, VNM
206.965, 1908, Jul Average, Vietnam, VNM
280.122, 1908, Aug Average, Vietnam, VNM
380.654, 1908, Sep Average, Vietnam, VNM
215.578, 1908, Oct Average, Vietnam, VNM
147.278, 1908, Nov Average, Vietnam, VNM
89.2294, 1908, Dec Average, Vietnam, VNM
50.4948, 1909, Jan Average, Vietnam, VNM
44.3273, 1909, Feb Average, Vietnam, VNM
43.7157, 1909, Mar Average, Vietnam, VNM
49.9034, 1909, Apr Average, Vietnam, VNM
237.986, 1909, May Average, Vietnam, VNM
235.151, 1909, Jun Average, Vietnam, VNM
284.523, 1909, Jul Average, Vietnam, VNM
336.729, 1909, Aug Average, Vietnam, VNM
267.327, 1909, Sep Average, Vietnam, VNM
230.404, 1909, Oct Average, Vietnam, VNM
170.472, 1909, Nov Average, Vietnam, VNM
54.1134, 1909, Dec Average, Vietnam, VNM
34.9664, 1910, Jan Average, Vietnam, VNM
46.1301, 1910, Feb Average, Vietnam, VNM
87.8527, 1910, Mar Average, Vietnam, VNM
58.9456, 1910, Apr Average, Vietnam, VNM
175.461, 1910, May Average, Vietnam, VNM
230.987, 1910, Jun Average, Vietnam, VNM
194.512, 1910, Jul Average, Vietnam, VNM
288.03, 1910, Aug Average, Vietnam, VNM
321.045, 1910, Sep Average, Vietnam, VNM
207.918, 1910, Oct Average, Vietnam, VNM
189.239, 1910, Nov Average, Vietnam, VNM
60.4015, 1910, Dec Average, Vietnam, VNM
52.7445, 1911, Jan Average, Vietnam, VNM
68.8882, 1911, Feb Average, Vietnam, VNM
42.9686, 1911, Mar Average, Vietnam, VNM
82.538, 1911, Apr Average, Vietnam, VNM
189.374, 1911, May Average, Vietnam, VNM
229.622, 1911, Jun Average, Vietnam, VNM
254.356, 1911, Jul Average, Vietnam, VNM
230.956, 1911, Aug Average, Vietnam, VNM
241.268, 1911, Sep Average, Vietnam, VNM
184.885, 1911, Oct Average, Vietnam, VNM
97.7455, 1911, Nov Average, Vietnam, VNM
42.8381, 1911, Dec Average, Vietnam, VNM
75.3036, 1912, Jan Average, Vietnam, VNM
21.784, 1912, Feb Average, Vietnam, VNM
27.3586, 1912, Mar Average, Vietnam, VNM
102.95, 1912, Apr Average, Vietnam, VNM
156.137, 1912, May Average, Vietnam, VNM
181.214, 1912, Jun Average, Vietnam, VNM
263.926, 1912, Jul Average, Vietnam, VNM
230.323, 1912, Aug Average, Vietnam, VNM
218.439, 1912, Sep Average, Vietnam, VNM
177.783, 1912, Oct Average, Vietnam, VNM
281.944, 1912, Nov Average, Vietnam, VNM
47.4494, 1912, Dec Average, Vietnam, VNM
21.2839, 1913, Jan Average, Vietnam, VNM
63.058, 1913, Feb Average, Vietnam, VNM
23.3999, 1913, Mar Average, Vietnam, VNM
74.708, 1913, Apr Average, Vietnam, VNM
212.202, 1913, May Average, Vietnam, VNM
166.618, 1913, Jun Average, Vietnam, VNM
255.238, 1913, Jul Average, Vietnam, VNM
341.403, 1913, Aug Average, Vietnam, VNM
280.196, 1913, Sep Average, Vietnam, VNM
180.236, 1913, Oct Average, Vietnam, VNM
192.051, 1913, Nov Average, Vietnam, VNM
107.534, 1913, Dec Average, Vietnam, VNM
37.2742, 1914, Jan Average, Vietnam, VNM
35.7294, 1914, Feb Average, Vietnam, VNM
39.3483, 1914, Mar Average, Vietnam, VNM
65.5725, 1914, Apr Average, Vietnam, VNM
144.217, 1914, May Average, Vietnam, VNM
267.686, 1914, Jun Average, Vietnam, VNM
293.352, 1914, Jul Average, Vietnam, VNM
216.254, 1914, Aug Average, Vietnam, VNM
170.713, 1914, Sep Average, Vietnam, VNM
259.731, 1914, Oct Average, Vietnam, VNM
154.051, 1914, Nov Average, Vietnam, VNM
94.9086, 1914, Dec Average, Vietnam, VNM
5.32642, 1915, Jan Average, Vietnam, VNM
4.85999, 1915, Feb Average, Vietnam, VNM
45.1185, 1915, Mar Average, Vietnam, VNM
51.3059, 1915, Apr Average, Vietnam, VNM
148.356, 1915, May Average, Vietnam, VNM
234.336, 1915, Jun Average, Vietnam, VNM
261.653, 1915, Jul Average, Vietnam, VNM
276.948, 1915, Aug Average, Vietnam, VNM
253.639, 1915, Sep Average, Vietnam, VNM
379.52, 1915, Oct Average, Vietnam, VNM
130.271, 1915, Nov Average, Vietnam, VNM
95.7021, 1915, Dec Average, Vietnam, VNM
10.8217, 1916, Jan Average, Vietnam, VNM
8.7455, 1916, Feb Average, Vietnam, VNM
77.4062, 1916, Mar Average, Vietnam, VNM
44.6452, 1916, Apr Average, Vietnam, VNM
158.747, 1916, May Average, Vietnam, VNM
265.832, 1916, Jun Average, Vietnam, VNM
182.313, 1916, Jul Average, Vietnam, VNM
211.153, 1916, Aug Average, Vietnam, VNM
337.864, 1916, Sep Average, Vietnam, VNM
186.041, 1916, Oct Average, Vietnam, VNM
78.4616, 1916, Nov Average, Vietnam, VNM
40.7968, 1916, Dec Average, Vietnam, VNM
18.2244, 1917, Jan Average, Vietnam, VNM
6.05109, 1917, Feb Average, Vietnam, VNM
34.8951, 1917, Mar Average, Vietnam, VNM
46.6069, 1917, Apr Average, Vietnam, VNM
127.535, 1917, May Average, Vietnam, VNM
221.708, 1917, Jun Average, Vietnam, VNM
294.665, 1917, Jul Average, Vietnam, VNM
254.203, 1917, Aug Average, Vietnam, VNM
315.552, 1917, Sep Average, Vietnam, VNM
294.625, 1917, Oct Average, Vietnam, VNM
208.968, 1917, Nov Average, Vietnam, VNM
57.0557, 1917, Dec Average, Vietnam, VNM
12.6426, 1918, Jan Average, Vietnam, VNM
25.5752, 1918, Feb Average, Vietnam, VNM
43.1383, 1918, Mar Average, Vietnam, VNM
66.0285, 1918, Apr Average, Vietnam, VNM
232.221, 1918, May Average, Vietnam, VNM
230.29, 1918, Jun Average, Vietnam, VNM
239.432, 1918, Jul Average, Vietnam, VNM
295.031, 1918, Aug Average, Vietnam, VNM
313.839, 1918, Sep Average, Vietnam, VNM
279.639, 1918, Oct Average, Vietnam, VNM
131.837, 1918, Nov Average, Vietnam, VNM
45.737, 1918, Dec Average, Vietnam, VNM
3.80876, 1919, Jan Average, Vietnam, VNM
20.0897, 1919, Feb Average, Vietnam, VNM
25.783, 1919, Mar Average, Vietnam, VNM
57.7029, 1919, Apr Average, Vietnam, VNM
148.028, 1919, May Average, Vietnam, VNM
208.391, 1919, Jun Average, Vietnam, VNM
250.884, 1919, Jul Average, Vietnam, VNM
320.711, 1919, Aug Average, Vietnam, VNM
196.313, 1919, Sep Average, Vietnam, VNM
148.07, 1919, Oct Average, Vietnam, VNM
128.835, 1919, Nov Average, Vietnam, VNM
33.7127, 1919, Dec Average, Vietnam, VNM
20.1107, 1920, Jan Average, Vietnam, VNM
22.5422, 1920, Feb Average, Vietnam, VNM
36.7326, 1920, Mar Average, Vietnam, VNM
87.2637, 1920, Apr Average, Vietnam, VNM
172.298, 1920, May Average, Vietnam, VNM
202.265, 1920, Jun Average, Vietnam, VNM
289.182, 1920, Jul Average, Vietnam, VNM
271.366, 1920, Aug Average, Vietnam, VNM
337.04, 1920, Sep Average, Vietnam, VNM
238.792, 1920, Oct Average, Vietnam, VNM
189.801, 1920, Nov Average, Vietnam, VNM
109.943, 1920, Dec Average, Vietnam, VNM
48.339, 1921, Jan Average, Vietnam, VNM
35.605, 1921, Feb Average, Vietnam, VNM
105.853, 1921, Mar Average, Vietnam, VNM
58.5553, 1921, Apr Average, Vietnam, VNM
213.568, 1921, May Average, Vietnam, VNM
180.503, 1921, Jun Average, Vietnam, VNM
278.762, 1921, Jul Average, Vietnam, VNM
289.018, 1921, Aug Average, Vietnam, VNM
317.198, 1921, Sep Average, Vietnam, VNM
175.141, 1921, Oct Average, Vietnam, VNM
67.6188, 1921, Nov Average, Vietnam, VNM
46.581, 1921, Dec Average, Vietnam, VNM
23.3111, 1922, Jan Average, Vietnam, VNM
17.5649, 1922, Feb Average, Vietnam, VNM
52.5492, 1922, Mar Average, Vietnam, VNM
55.1873, 1922, Apr Average, Vietnam, VNM
118.315, 1922, May Average, Vietnam, VNM
204.406, 1922, Jun Average, Vietnam, VNM
308.479, 1922, Jul Average, Vietnam, VNM
288.08, 1922, Aug Average, Vietnam, VNM
284.899, 1922, Sep Average, Vietnam, VNM
135.7, 1922, Oct Average, Vietnam, VNM
124.666, 1922, Nov Average, Vietnam, VNM
61.3002, 1922, Dec Average, Vietnam, VNM
23.089, 1923, Jan Average, Vietnam, VNM
23.9996, 1923, Feb Average, Vietnam, VNM
36.3112, 1923, Mar Average, Vietnam, VNM
115.097, 1923, Apr Average, Vietnam, VNM
178.507, 1923, May Average, Vietnam, VNM
289.201, 1923, Jun Average, Vietnam, VNM
263.107, 1923, Jul Average, Vietnam, VNM
297.313, 1923, Aug Average, Vietnam, VNM
229.198, 1923, Sep Average, Vietnam, VNM
253.612, 1923, Oct Average, Vietnam, VNM
130.078, 1923, Nov Average, Vietnam, VNM
45.7785, 1923, Dec Average, Vietnam, VNM
71.6104, 1924, Jan Average, Vietnam, VNM
13.2329, 1924, Feb Average, Vietnam, VNM
38.9963, 1924, Mar Average, Vietnam, VNM
61.4217, 1924, Apr Average, Vietnam, VNM
174.63, 1924, May Average, Vietnam, VNM
289.159, 1924, Jun Average, Vietnam, VNM
324.659, 1924, Jul Average, Vietnam, VNM
292.948, 1924, Aug Average, Vietnam, VNM
170.931, 1924, Sep Average, Vietnam, VNM
224.14, 1924, Oct Average, Vietnam, VNM
63.302, 1924, Nov Average, Vietnam, VNM
27.6201, 1924, Dec Average, Vietnam, VNM
27.0495, 1925, Jan Average, Vietnam, VNM
5.23567, 1925, Feb Average, Vietnam, VNM
113.694, 1925, Mar Average, Vietnam, VNM
75.1216, 1925, Apr Average, Vietnam, VNM
169.923, 1925, May Average, Vietnam, VNM
243.201, 1925, Jun Average, Vietnam, VNM
266.135, 1925, Jul Average, Vietnam, VNM
211.695, 1925, Aug Average, Vietnam, VNM
248.655, 1925, Sep Average, Vietnam, VNM
