Rainfall - (MM), Year, Statistics, Country, ISO3
334.524, 1901, Jan Average, Vanuatu, VUT
319.88, 1901, Feb Average, Vanuatu, VUT
368.903, 1901, Mar Average, Vanuatu, VUT
279.887, 1901, Apr Average, Vanuatu, VUT
201.776, 1901, May Average, Vanuatu, VUT
195.413, 1901, Jun Average, Vanuatu, VUT
158.963, 1901, Jul Average, Vanuatu, VUT
155.608, 1901, Aug Average, Vanuatu, VUT
153.512, 1901, Sep Average, Vanuatu, VUT
189.166, 1901, Oct Average, Vanuatu, VUT
203.817, 1901, Nov Average, Vanuatu, VUT
219.107, 1901, Dec Average, Vanuatu, VUT
348.786, 1902, Jan Average, Vanuatu, VUT
316.284, 1902, Feb Average, Vanuatu, VUT
343.244, 1902, Mar Average, Vanuatu, VUT
295.4, 1902, Apr Average, Vanuatu, VUT
199.015, 1902, May Average, Vanuatu, VUT
196.341, 1902, Jun Average, Vanuatu, VUT
160.918, 1902, Jul Average, Vanuatu, VUT
155.962, 1902, Aug Average, Vanuatu, VUT
151.169, 1902, Sep Average, Vanuatu, VUT
184.827, 1902, Oct Average, Vanuatu, VUT
203.169, 1902, Nov Average, Vanuatu, VUT
217.472, 1902, Dec Average, Vanuatu, VUT
333.46, 1903, Jan Average, Vanuatu, VUT
317.714, 1903, Feb Average, Vanuatu, VUT
333.496, 1903, Mar Average, Vanuatu, VUT
278.654, 1903, Apr Average, Vanuatu, VUT
202.483, 1903, May Average, Vanuatu, VUT
201.162, 1903, Jun Average, Vanuatu, VUT
156.515, 1903, Jul Average, Vanuatu, VUT
156.185, 1903, Aug Average, Vanuatu, VUT
152.976, 1903, Sep Average, Vanuatu, VUT
185.443, 1903, Oct Average, Vanuatu, VUT
207.609, 1903, Nov Average, Vanuatu, VUT
231.657, 1903, Dec Average, Vanuatu, VUT
341.84, 1904, Jan Average, Vanuatu, VUT
357.797, 1904, Feb Average, Vanuatu, VUT
355.314, 1904, Mar Average, Vanuatu, VUT
289.969, 1904, Apr Average, Vanuatu, VUT
209.56, 1904, May Average, Vanuatu, VUT
202.598, 1904, Jun Average, Vanuatu, VUT
160.762, 1904, Jul Average, Vanuatu, VUT
162.998, 1904, Aug Average, Vanuatu, VUT
151.637, 1904, Sep Average, Vanuatu, VUT
182.105, 1904, Oct Average, Vanuatu, VUT
205.174, 1904, Nov Average, Vanuatu, VUT
219.246, 1904, Dec Average, Vanuatu, VUT
338.117, 1905, Jan Average, Vanuatu, VUT
321.086, 1905, Feb Average, Vanuatu, VUT
337.415, 1905, Mar Average, Vanuatu, VUT
279.887, 1905, Apr Average, Vanuatu, VUT
197.176, 1905, May Average, Vanuatu, VUT
197.112, 1905, Jun Average, Vanuatu, VUT
154.962, 1905, Jul Average, Vanuatu, VUT
156.377, 1905, Aug Average, Vanuatu, VUT
150.702, 1905, Sep Average, Vanuatu, VUT
188.78, 1905, Oct Average, Vanuatu, VUT
209.507, 1905, Nov Average, Vanuatu, VUT
218.153, 1905, Dec Average, Vanuatu, VUT
331.598, 1906, Jan Average, Vanuatu, VUT
317.112, 1906, Feb Average, Vanuatu, VUT
345.516, 1906, Mar Average, Vanuatu, VUT
277.831, 1906, Apr Average, Vanuatu, VUT
207.346, 1906, May Average, Vanuatu, VUT
195.675, 1906, Jun Average, Vanuatu, VUT
158.556, 1906, Jul Average, Vanuatu, VUT
155.513, 1906, Aug Average, Vanuatu, VUT
151.503, 1906, Sep Average, Vanuatu, VUT
187.37, 1906, Oct Average, Vanuatu, VUT
209.642, 1906, Nov Average, Vanuatu, VUT
220.471, 1906, Dec Average, Vanuatu, VUT
343.172, 1907, Jan Average, Vanuatu, VUT
324.815, 1907, Feb Average, Vanuatu, VUT
332.322, 1907, Mar Average, Vanuatu, VUT
289.659, 1907, Apr Average, Vanuatu, VUT
198.062, 1907, May Average, Vanuatu, VUT
198.68, 1907, Jun Average, Vanuatu, VUT
160.192, 1907, Jul Average, Vanuatu, VUT
158.298, 1907, Aug Average, Vanuatu, VUT
150.835, 1907, Sep Average, Vanuatu, VUT
181.846, 1907, Oct Average, Vanuatu, VUT
202.599, 1907, Nov Average, Vanuatu, VUT
222.109, 1907, Dec Average, Vanuatu, VUT
332.795, 1908, Jan Average, Vanuatu, VUT
323.854, 1908, Feb Average, Vanuatu, VUT
335.978, 1908, Mar Average, Vanuatu, VUT
288.531, 1908, Apr Average, Vanuatu, VUT
208.321, 1908, May Average, Vanuatu, VUT
216.837, 1908, Jun Average, Vanuatu, VUT
159.701, 1908, Jul Average, Vanuatu, VUT
158.966, 1908, Aug Average, Vanuatu, VUT
154.312, 1908, Sep Average, Vanuatu, VUT
181.464, 1908, Oct Average, Vanuatu, VUT
233.614, 1908, Nov Average, Vanuatu, VUT
218.971, 1908, Dec Average, Vanuatu, VUT
347.828, 1909, Jan Average, Vanuatu, VUT
323.253, 1909, Feb Average, Vanuatu, VUT
353.616, 1909, Mar Average, Vanuatu, VUT
283.692, 1909, Apr Average, Vanuatu, VUT
209.204, 1909, May Average, Vanuatu, VUT
196.001, 1909, Jun Average, Vanuatu, VUT
158.72, 1909, Jul Average, Vanuatu, VUT
161.077, 1909, Aug Average, Vanuatu, VUT
165.414, 1909, Sep Average, Vanuatu, VUT
185.314, 1909, Oct Average, Vanuatu, VUT
203.817, 1909, Nov Average, Vanuatu, VUT
226.884, 1909, Dec Average, Vanuatu, VUT
354.744, 1910, Jan Average, Vanuatu, VUT
335.412, 1910, Feb Average, Vanuatu, VUT
375.304, 1910, Mar Average, Vanuatu, VUT
307.357, 1910, Apr Average, Vanuatu, VUT
214.511, 1910, May Average, Vanuatu, VUT
204.425, 1910, Jun Average, Vanuatu, VUT
