Rainfall - (MM), Year, Statistics, Country, ISO3
470.443, 1901, Jan Average, Samoa, WSM
355.176, 1901, Feb Average, Samoa, WSM
556.493, 1901, Mar Average, Samoa, WSM
162.432, 1901, Apr Average, Samoa, WSM
226.857, 1901, May Average, Samoa, WSM
62.4553, 1901, Jun Average, Samoa, WSM
9.27758, 1901, Jul Average, Samoa, WSM
53.3799, 1901, Aug Average, Samoa, WSM
221.566, 1901, Sep Average, Samoa, WSM
180.749, 1901, Oct Average, Samoa, WSM
214.577, 1901, Nov Average, Samoa, WSM
121.344, 1901, Dec Average, Samoa, WSM
469.561, 1902, Jan Average, Samoa, WSM
494.722, 1902, Feb Average, Samoa, WSM
174.676, 1902, Mar Average, Samoa, WSM
289.263, 1902, Apr Average, Samoa, WSM
82.9126, 1902, May Average, Samoa, WSM
236.371, 1902, Jun Average, Samoa, WSM
26.671, 1902, Jul Average, Samoa, WSM
10.9215, 1902, Aug Average, Samoa, WSM
26.442, 1902, Sep Average, Samoa, WSM
92.5833, 1902, Oct Average, Samoa, WSM
242.364, 1902, Nov Average, Samoa, WSM
105.703, 1902, Dec Average, Samoa, WSM
325.844, 1903, Jan Average, Samoa, WSM
687.915, 1903, Feb Average, Samoa, WSM
144.08, 1903, Mar Average, Samoa, WSM
413.86, 1903, Apr Average, Samoa, WSM
142.788, 1903, May Average, Samoa, WSM
287.662, 1903, Jun Average, Samoa, WSM
85.7564, 1903, Jul Average, Samoa, WSM
115.297, 1903, Aug Average, Samoa, WSM
201.743, 1903, Sep Average, Samoa, WSM
358.181, 1903, Oct Average, Samoa, WSM
246.608, 1903, Nov Average, Samoa, WSM
276.011, 1903, Dec Average, Samoa, WSM
612.362, 1904, Jan Average, Samoa, WSM
616.655, 1904, Feb Average, Samoa, WSM
246.728, 1904, Mar Average, Samoa, WSM
557.337, 1904, Apr Average, Samoa, WSM
203.831, 1904, May Average, Samoa, WSM
132.687, 1904, Jun Average, Samoa, WSM
123.994, 1904, Jul Average, Samoa, WSM
126.246, 1904, Aug Average, Samoa, WSM
229.284, 1904, Sep Average, Samoa, WSM
165.3, 1904, Oct Average, Samoa, WSM
177.239, 1904, Nov Average, Samoa, WSM
269.163, 1904, Dec Average, Samoa, WSM
319.614, 1905, Jan Average, Samoa, WSM
132.68, 1905, Feb Average, Samoa, WSM
244.018, 1905, Mar Average, Samoa, WSM
176.905, 1905, Apr Average, Samoa, WSM
11.5348, 1905, May Average, Samoa, WSM
162.793, 1905, Jun Average, Samoa, WSM
66.0277, 1905, Jul Average, Samoa, WSM
155.356, 1905, Aug Average, Samoa, WSM
105.82, 1905, Sep Average, Samoa, WSM
59.5407, 1905, Oct Average, Samoa, WSM
177.239, 1905, Nov Average, Samoa, WSM
162.486, 1905, Dec Average, Samoa, WSM
124.081, 1906, Jan Average, Samoa, WSM
131.724, 1906, Feb Average, Samoa, WSM
428.64, 1906, Mar Average, Samoa, WSM
151.273, 1906, Apr Average, Samoa, WSM
201.531, 1906, May Average, Samoa, WSM
172.814, 1906, Jun Average, Samoa, WSM
86.9022, 1906, Jul Average, Samoa, WSM
139.624, 1906, Aug Average, Samoa, WSM
108.02, 1906, Sep Average, Samoa, WSM
98.0723, 1906, Oct Average, Samoa, WSM
328.835, 1906, Nov Average, Samoa, WSM
265.253, 1906, Dec Average, Samoa, WSM
357.056, 1907, Jan Average, Samoa, WSM
427.419, 1907, Feb Average, Samoa, WSM
234.126, 1907, Mar Average, Samoa, WSM
566.25, 1907, Apr Average, Samoa, WSM
130.137, 1907, May Average, Samoa, WSM
192.899, 1907, Jun Average, Samoa, WSM
52.1528, 1907, Jul Average, Samoa, WSM
8.49538, 1907, Aug Average, Samoa, WSM
163.13, 1907, Sep Average, Samoa, WSM
216.008, 1907, Oct Average, Samoa, WSM
551.939, 1907, Nov Average, Samoa, WSM
422.831, 1907, Dec Average, Samoa, WSM
906.056, 1908, Jan Average, Samoa, WSM
526.884, 1908, Feb Average, Samoa, WSM
524.955, 1908, Mar Average, Samoa, WSM
393.789, 1908, Apr Average, Samoa, WSM
287.916, 1908, May Average, Samoa, WSM
265.374, 1908, Jun Average, Samoa, WSM
49.8342, 1908, Jul Average, Samoa, WSM
150.546, 1908, Aug Average, Samoa, WSM
378.071, 1908, Sep Average, Samoa, WSM
147.707, 1908, Oct Average, Samoa, WSM
350.169, 1908, Nov Average, Samoa, WSM
425.784, 1908, Dec Average, Samoa, WSM
354.392, 1909, Jan Average, Samoa, WSM
345.413, 1909, Feb Average, Samoa, WSM
265.651, 1909, Mar Average, Samoa, WSM
235.855, 1909, Apr Average, Samoa, WSM
141.672, 1909, May Average, Samoa, WSM
40.1269, 1909, Jun Average, Samoa, WSM
5.79654, 1909, Jul Average, Samoa, WSM
21.8438, 1909, Aug Average, Samoa, WSM
7.6989, 1909, Sep Average, Samoa, WSM
82.6775, 1909, Oct Average, Samoa, WSM
172.967, 1909, Nov Average, Samoa, WSM
122.346, 1909, Dec Average, Samoa, WSM
81.2629, 1910, Jan Average, Samoa, WSM
193.191, 1910, Feb Average, Samoa, WSM
472.738, 1910, Mar Average, Samoa, WSM
377.143, 1910, Apr Average, Samoa, WSM
233.802, 1910, May Average, Samoa, WSM
118.22, 1910, Jun Average, Samoa, WSM
35.9486, 1910, Jul Average, Samoa, WSM
101.949, 1910, Aug Average, Samoa, WSM
142.161, 1910, Sep Average, Samoa, WSM
208.274, 1910, Oct Average, Samoa, WSM
346.997, 1910, Nov Average, Samoa, WSM
608.836, 1910, Dec Average, Samoa, WSM
334.728, 1911, Jan Average, Samoa, WSM
604.952, 1911, Feb Average, Samoa, WSM
234.999, 1911, Mar Average, Samoa, WSM
139.043, 1911, Apr Average, Samoa, WSM
107.111, 1911, May Average, Samoa, WSM
61.3117, 1911, Jun Average, Samoa, WSM
95.0173, 1911, Jul Average, Samoa, WSM
53.3799, 1911, Aug Average, Samoa, WSM
63.9092, 1911, Sep Average, Samoa, WSM
34.1868, 1911, Oct Average, Samoa, WSM
194.316, 1911, Nov Average, Samoa, WSM
153.667, 1911, Dec Average, Samoa, WSM
155.322, 1912, Jan Average, Samoa, WSM
210.776, 1912, Feb Average, Samoa, WSM
222.399, 1912, Mar Average, Samoa, WSM
433.877, 1912, Apr Average, Samoa, WSM
216.522, 1912, May Average, Samoa, WSM
146.053, 1912, Jun Average, Samoa, WSM
20.8737, 1912, Jul Average, Samoa, WSM
67.9845, 1912, Aug Average, Samoa, WSM
100.321, 1912, Sep Average, Samoa, WSM
273.332, 1912, Oct Average, Samoa, WSM
107.815, 1912, Nov Average, Samoa, WSM
99.8382, 1912, Dec Average, Samoa, WSM
392.764, 1913, Jan Average, Samoa, WSM
722.058, 1913, Feb Average, Samoa, WSM
374.581, 1913, Mar Average, Samoa, WSM
431.678, 1913, Apr Average, Samoa, WSM
327.05, 1913, May Average, Samoa, WSM
148.045, 1913, Jun Average, Samoa, WSM
168.031, 1913, Jul Average, Samoa, WSM
47.3407, 1913, Aug Average, Samoa, WSM
132.262, 1913, Sep Average, Samoa, WSM
158.712, 1913, Oct Average, Samoa, WSM
191.099, 1913, Nov Average, Samoa, WSM
245.673, 1913, Dec Average, Samoa, WSM
147.309, 1914, Jan Average, Samoa, WSM
315.18, 1914, Feb Average, Samoa, WSM
186.376, 1914, Mar Average, Samoa, WSM
303.72, 1914, Apr Average, Samoa, WSM
205.004, 1914, May Average, Samoa, WSM
295.48, 1914, Jun Average, Samoa, WSM
158.753, 1914, Jul Average, Samoa, WSM
137.168, 1914, Aug Average, Samoa, WSM
213.841, 1914, Sep Average, Samoa, WSM
346.05, 1914, Oct Average, Samoa, WSM
254.095, 1914, Nov Average, Samoa, WSM
253.493, 1914, Dec Average, Samoa, WSM
482.95, 1915, Jan Average, Samoa, WSM
87.8176, 1915, Feb Average, Samoa, WSM
381.791, 1915, Mar Average, Samoa, WSM
145.759, 1915, Apr Average, Samoa, WSM
24.1986, 1915, May Average, Samoa, WSM
88.1148, 1915, Jun Average, Samoa, WSM
90.3801, 1915, Jul Average, Samoa, WSM
23.0699, 1915, Aug Average, Samoa, WSM
132.262, 1915, Sep Average, Samoa, WSM
55.1244, 1915, Oct Average, Samoa, WSM
229.547, 1915, Nov Average, Samoa, WSM
595.066, 1915, Dec Average, Samoa, WSM
369.59, 1916, Jan Average, Samoa, WSM
357.106, 1916, Feb Average, Samoa, WSM
413.312, 1916, Mar Average, Samoa, WSM
288.118, 1916, Apr Average, Samoa, WSM
421.5, 1916, May Average, Samoa, WSM
350.146, 1916, Jun Average, Samoa, WSM
128.63, 1916, Jul Average, Samoa, WSM
154.155, 1916, Aug Average, Samoa, WSM
213.841, 1916, Sep Average, Samoa, WSM
124.525, 1916, Oct Average, Samoa, WSM
269.068, 1916, Nov Average, Samoa, WSM
657.727, 1916, Dec Average, Samoa, WSM
573.081, 1917, Jan Average, Samoa, WSM
452.743, 1917, Feb Average, Samoa, WSM
331.357, 1917, Mar Average, Samoa, WSM
288.118, 1917, Apr Average, Samoa, WSM
96.7202, 1917, May Average, Samoa, WSM
127.141, 1917, Jun Average, Samoa, WSM
155.301, 1917, Jul Average, Samoa, WSM
101.949, 1917, Aug Average, Samoa, WSM
89.2505, 1917, Sep Average, Samoa, WSM
262.327, 1917, Oct Average, Samoa, WSM
248.751, 1917, Nov Average, Samoa, WSM
507.998, 1917, Dec Average, Samoa, WSM
271.402, 1918, Jan Average, Samoa, WSM
746.453, 1918, Feb Average, Samoa, WSM
166.583, 1918, Mar Average, Samoa, WSM
116.799, 1918, Apr Average, Samoa, WSM
43.779, 1918, May Average, Samoa, WSM
123.795, 1918, Jun Average, Samoa, WSM
34.7593, 1918, Jul Average, Samoa, WSM
71.6399, 1918, Aug Average, Samoa, WSM
