Rainfall - (MM), Year, Statistics, Country, ISO3
7.28133, 1901, Jan Average, Yemen, YEM
15.1388, 1901, Feb Average, Yemen, YEM
15.039, 1901, Mar Average, Yemen, YEM
25.1125, 1901, Apr Average, Yemen, YEM
14.5579, 1901, May Average, Yemen, YEM
11.4638, 1901, Jun Average, Yemen, YEM
22.4471, 1901, Jul Average, Yemen, YEM
59.5505, 1901, Aug Average, Yemen, YEM
13.8886, 1901, Sep Average, Yemen, YEM
4.58207, 1901, Oct Average, Yemen, YEM
6.69336, 1901, Nov Average, Yemen, YEM
13.7065, 1901, Dec Average, Yemen, YEM
5.89749, 1902, Jan Average, Yemen, YEM
6.7187, 1902, Feb Average, Yemen, YEM
11.8203, 1902, Mar Average, Yemen, YEM
18.793, 1902, Apr Average, Yemen, YEM
14.5579, 1902, May Average, Yemen, YEM
8.39288, 1902, Jun Average, Yemen, YEM
18.753, 1902, Jul Average, Yemen, YEM
16.8442, 1902, Aug Average, Yemen, YEM
6.97548, 1902, Sep Average, Yemen, YEM
5.41513, 1902, Oct Average, Yemen, YEM
16.9345, 1902, Nov Average, Yemen, YEM
5.88705, 1902, Dec Average, Yemen, YEM
10.0011, 1903, Jan Average, Yemen, YEM
7.72975, 1903, Feb Average, Yemen, YEM
12.1951, 1903, Mar Average, Yemen, YEM
19.7981, 1903, Apr Average, Yemen, YEM
18.2232, 1903, May Average, Yemen, YEM
8.3931, 1903, Jun Average, Yemen, YEM
18.8859, 1903, Jul Average, Yemen, YEM
19.7416, 1903, Aug Average, Yemen, YEM
35.9431, 1903, Sep Average, Yemen, YEM
9.64359, 1903, Oct Average, Yemen, YEM
6.70517, 1903, Nov Average, Yemen, YEM
7.65381, 1903, Dec Average, Yemen, YEM
4.85191, 1904, Jan Average, Yemen, YEM
6.75665, 1904, Feb Average, Yemen, YEM
23.4002, 1904, Mar Average, Yemen, YEM
18.9954, 1904, Apr Average, Yemen, YEM
14.5703, 1904, May Average, Yemen, YEM
8.39443, 1904, Jun Average, Yemen, YEM
22.5077, 1904, Jul Average, Yemen, YEM
16.8945, 1904, Aug Average, Yemen, YEM
28.5889, 1904, Sep Average, Yemen, YEM
4.55138, 1904, Oct Average, Yemen, YEM
21.8634, 1904, Nov Average, Yemen, YEM
10.5223, 1904, Dec Average, Yemen, YEM
4.92552, 1905, Jan Average, Yemen, YEM
6.28297, 1905, Feb Average, Yemen, YEM
18.6645, 1905, Mar Average, Yemen, YEM
41.3738, 1905, Apr Average, Yemen, YEM
17.7277, 1905, May Average, Yemen, YEM
8.39288, 1905, Jun Average, Yemen, YEM
20.6638, 1905, Jul Average, Yemen, YEM
16.8973, 1905, Aug Average, Yemen, YEM
36.407, 1905, Sep Average, Yemen, YEM
5.90785, 1905, Oct Average, Yemen, YEM
13.8331, 1905, Nov Average, Yemen, YEM
6.3589, 1905, Dec Average, Yemen, YEM
4.42999, 1906, Jan Average, Yemen, YEM
7.46001, 1906, Feb Average, Yemen, YEM
19.7139, 1906, Mar Average, Yemen, YEM
19.2078, 1906, Apr Average, Yemen, YEM
14.5579, 1906, May Average, Yemen, YEM
8.39498, 1906, Jun Average, Yemen, YEM
31.7342, 1906, Jul Average, Yemen, YEM
22.7401, 1906, Aug Average, Yemen, YEM
6.54227, 1906, Sep Average, Yemen, YEM
4.56638, 1906, Oct Average, Yemen, YEM
19.0683, 1906, Nov Average, Yemen, YEM
7.08581, 1906, Dec Average, Yemen, YEM
5.13455, 1907, Jan Average, Yemen, YEM
6.54026, 1907, Feb Average, Yemen, YEM
10.8861, 1907, Mar Average, Yemen, YEM
21.9291, 1907, Apr Average, Yemen, YEM
15.5851, 1907, May Average, Yemen, YEM
8.3931, 1907, Jun Average, Yemen, YEM
29.9566, 1907, Jul Average, Yemen, YEM
22.5384, 1907, Aug Average, Yemen, YEM
10.178, 1907, Sep Average, Yemen, YEM
5.5696, 1907, Oct Average, Yemen, YEM
7.8538, 1907, Nov Average, Yemen, YEM
10.5094, 1907, Dec Average, Yemen, YEM
8.21461, 1908, Jan Average, Yemen, YEM
6.69244, 1908, Feb Average, Yemen, YEM
12.961, 1908, Mar Average, Yemen, YEM
20.3739, 1908, Apr Average, Yemen, YEM
14.567, 1908, May Average, Yemen, YEM
8.39465, 1908, Jun Average, Yemen, YEM
22.5274, 1908, Jul Average, Yemen, YEM
21.0571, 1908, Aug Average, Yemen, YEM
10.8264, 1908, Sep Average, Yemen, YEM
10.3523, 1908, Oct Average, Yemen, YEM
9.3424, 1908, Nov Average, Yemen, YEM
6.99773, 1908, Dec Average, Yemen, YEM
8.38195, 1909, Jan Average, Yemen, YEM
6.21488, 1909, Feb Average, Yemen, YEM
12.4797, 1909, Mar Average, Yemen, YEM
20.7205, 1909, Apr Average, Yemen, YEM
15.0532, 1909, May Average, Yemen, YEM
8.58285, 1909, Jun Average, Yemen, YEM
22.9162, 1909, Jul Average, Yemen, YEM
54.6999, 1909, Aug Average, Yemen, YEM
