Rainfall - (MM), Year, Statistics, Country, ISO3
60.5961, 1901, Jan Average, South Africa, ZAF
85.8531, 1901, Feb Average, South Africa, ZAF
80.5286, 1901, Mar Average, South Africa, ZAF
40.6529, 1901, Apr Average, South Africa, ZAF
14.4467, 1901, May Average, South Africa, ZAF
12.5637, 1901, Jun Average, South Africa, ZAF
9.3978, 1901, Jul Average, South Africa, ZAF
15.5838, 1901, Aug Average, South Africa, ZAF
53.7787, 1901, Sep Average, South Africa, ZAF
62.9671, 1901, Oct Average, South Africa, ZAF
64.5316, 1901, Nov Average, South Africa, ZAF
56.3877, 1901, Dec Average, South Africa, ZAF
57.4353, 1902, Jan Average, South Africa, ZAF
52.312, 1902, Feb Average, South Africa, ZAF
70.356, 1902, Mar Average, South Africa, ZAF
31.1309, 1902, Apr Average, South Africa, ZAF
7.59025, 1902, May Average, South Africa, ZAF
19.1009, 1902, Jun Average, South Africa, ZAF
10.0675, 1902, Jul Average, South Africa, ZAF
17.5731, 1902, Aug Average, South Africa, ZAF
45.1124, 1902, Sep Average, South Africa, ZAF
31.8972, 1902, Oct Average, South Africa, ZAF
33.1086, 1902, Nov Average, South Africa, ZAF
51.408, 1902, Dec Average, South Africa, ZAF
39.8824, 1903, Jan Average, South Africa, ZAF
41.3111, 1903, Feb Average, South Africa, ZAF
25.2902, 1903, Mar Average, South Africa, ZAF
40.5354, 1903, Apr Average, South Africa, ZAF
20.0247, 1903, May Average, South Africa, ZAF
14.9403, 1903, Jun Average, South Africa, ZAF
7.31011, 1903, Jul Average, South Africa, ZAF
10.5558, 1903, Aug Average, South Africa, ZAF
7.32038, 1903, Sep Average, South Africa, ZAF
30.2248, 1903, Oct Average, South Africa, ZAF
63.4099, 1903, Nov Average, South Africa, ZAF
44.0904, 1903, Dec Average, South Africa, ZAF
97.4365, 1904, Jan Average, South Africa, ZAF
77.0058, 1904, Feb Average, South Africa, ZAF
73.7447, 1904, Mar Average, South Africa, ZAF
20.8884, 1904, Apr Average, South Africa, ZAF
11.3045, 1904, May Average, South Africa, ZAF
12.5084, 1904, Jun Average, South Africa, ZAF
7.35233, 1904, Jul Average, South Africa, ZAF
10.4049, 1904, Aug Average, South Africa, ZAF
16.0398, 1904, Sep Average, South Africa, ZAF
35.1862, 1904, Oct Average, South Africa, ZAF
40.9334, 1904, Nov Average, South Africa, ZAF
40.5481, 1904, Dec Average, South Africa, ZAF
54.5593, 1905, Jan Average, South Africa, ZAF
64.1301, 1905, Feb Average, South Africa, ZAF
60.2185, 1905, Mar Average, South Africa, ZAF
30.7293, 1905, Apr Average, South Africa, ZAF
25.2657, 1905, May Average, South Africa, ZAF
16.0486, 1905, Jun Average, South Africa, ZAF
3.65386, 1905, Jul Average, South Africa, ZAF
13.6215, 1905, Aug Average, South Africa, ZAF
35.7928, 1905, Sep Average, South Africa, ZAF
28.3659, 1905, Oct Average, South Africa, ZAF
47.1163, 1905, Nov Average, South Africa, ZAF
61.5378, 1905, Dec Average, South Africa, ZAF
54.2676, 1906, Jan Average, South Africa, ZAF
62.3983, 1906, Feb Average, South Africa, ZAF
56.5167, 1906, Mar Average, South Africa, ZAF
18.8584, 1906, Apr Average, South Africa, ZAF
24.2937, 1906, May Average, South Africa, ZAF
11.6277, 1906, Jun Average, South Africa, ZAF
3.05587, 1906, Jul Average, South Africa, ZAF
6.50987, 1906, Aug Average, South Africa, ZAF
30.1234, 1906, Sep Average, South Africa, ZAF
66.5549, 1906, Oct Average, South Africa, ZAF
70.5721, 1906, Nov Average, South Africa, ZAF
81.0179, 1906, Dec Average, South Africa, ZAF
88.5807, 1907, Jan Average, South Africa, ZAF
95.1059, 1907, Feb Average, South Africa, ZAF
64.3736, 1907, Mar Average, South Africa, ZAF
74.0211, 1907, Apr Average, South Africa, ZAF
30.2745, 1907, May Average, South Africa, ZAF
5.95969, 1907, Jun Average, South Africa, ZAF
4.07672, 1907, Jul Average, South Africa, ZAF
2.91686, 1907, Aug Average, South Africa, ZAF
26.2643, 1907, Sep Average, South Africa, ZAF
39.9477, 1907, Oct Average, South Africa, ZAF
54.7963, 1907, Nov Average, South Africa, ZAF
67.8466, 1907, Dec Average, South Africa, ZAF
45.2672, 1908, Jan Average, South Africa, ZAF
39.8699, 1908, Feb Average, South Africa, ZAF
47.895, 1908, Mar Average, South Africa, ZAF
31.3433, 1908, Apr Average, South Africa, ZAF
6.3325, 1908, May Average, South Africa, ZAF
14.5199, 1908, Jun Average, South Africa, ZAF
16.5242, 1908, Jul Average, South Africa, ZAF
19.2062, 1908, Aug Average, South Africa, ZAF
24.6082, 1908, Sep Average, South Africa, ZAF
45.2911, 1908, Oct Average, South Africa, ZAF
44.7181, 1908, Nov Average, South Africa, ZAF
47.8154, 1908, Dec Average, South Africa, ZAF
110.92, 1909, Jan Average, South Africa, ZAF
117.95, 1909, Feb Average, South Africa, ZAF
84.3876, 1909, Mar Average, South Africa, ZAF
39.2651, 1909, Apr Average, South Africa, ZAF
39.9363, 1909, May Average, South Africa, ZAF
4.38514, 1909, Jun Average, South Africa, ZAF
6.95831, 1909, Jul Average, South Africa, ZAF
18.3066, 1909, Aug Average, South Africa, ZAF
28.4879, 1909, Sep Average, South Africa, ZAF
25.1748, 1909, Oct Average, South Africa, ZAF
43.7622, 1909, Nov Average, South Africa, ZAF
90.1854, 1909, Dec Average, South Africa, ZAF
76.0705, 1910, Jan Average, South Africa, ZAF
91.0977, 1910, Feb Average, South Africa, ZAF
63.6424, 1910, Mar Average, South Africa, ZAF
12.236, 1910, Apr Average, South Africa, ZAF
20.9786, 1910, May Average, South Africa, ZAF
17.6269, 1910, Jun Average, South Africa, ZAF
12.4537, 1910, Jul Average, South Africa, ZAF
