Rainfall - (MM), Year, Statistics, Country, ISO3
212.587, 1901, Jan Average, Zambia, ZMB
206.148, 1901, Feb Average, Zambia, ZMB
159.219, 1901, Mar Average, Zambia, ZMB
55.6385, 1901, Apr Average, Zambia, ZMB
5.09193, 1901, May Average, Zambia, ZMB
0.98867, 1901, Jun Average, Zambia, ZMB
0.04372, 1901, Jul Average, Zambia, ZMB
0.31034, 1901, Aug Average, Zambia, ZMB
4.1598, 1901, Sep Average, Zambia, ZMB
32.3389, 1901, Oct Average, Zambia, ZMB
113.544, 1901, Nov Average, Zambia, ZMB
226.154, 1901, Dec Average, Zambia, ZMB
244.35, 1902, Jan Average, Zambia, ZMB
173.662, 1902, Feb Average, Zambia, ZMB
214.33, 1902, Mar Average, Zambia, ZMB
64.3727, 1902, Apr Average, Zambia, ZMB
7.9201, 1902, May Average, Zambia, ZMB
0.44291, 1902, Jun Average, Zambia, ZMB
0.01958, 1902, Jul Average, Zambia, ZMB
0.26326, 1902, Aug Average, Zambia, ZMB
3.81127, 1902, Sep Average, Zambia, ZMB
28.5627, 1902, Oct Average, Zambia, ZMB
103.245, 1902, Nov Average, Zambia, ZMB
180.149, 1902, Dec Average, Zambia, ZMB
209.007, 1903, Jan Average, Zambia, ZMB
166.853, 1903, Feb Average, Zambia, ZMB
136.509, 1903, Mar Average, Zambia, ZMB
46.1408, 1903, Apr Average, Zambia, ZMB
13.1616, 1903, May Average, Zambia, ZMB
0.53989, 1903, Jun Average, Zambia, ZMB
0.02084, 1903, Jul Average, Zambia, ZMB
0.40372, 1903, Aug Average, Zambia, ZMB
3.50426, 1903, Sep Average, Zambia, ZMB
27.9647, 1903, Oct Average, Zambia, ZMB
95.7712, 1903, Nov Average, Zambia, ZMB
153.75, 1903, Dec Average, Zambia, ZMB
246.457, 1904, Jan Average, Zambia, ZMB
196.866, 1904, Feb Average, Zambia, ZMB
170.061, 1904, Mar Average, Zambia, ZMB
34.9357, 1904, Apr Average, Zambia, ZMB
12.6208, 1904, May Average, Zambia, ZMB
0.27493, 1904, Jun Average, Zambia, ZMB
0.21167, 1904, Jul Average, Zambia, ZMB
0.03908, 1904, Aug Average, Zambia, ZMB
1.03667, 1904, Sep Average, Zambia, ZMB
46.1071, 1904, Oct Average, Zambia, ZMB
57.9964, 1904, Nov Average, Zambia, ZMB
252.405, 1904, Dec Average, Zambia, ZMB
214.189, 1905, Jan Average, Zambia, ZMB
232.562, 1905, Feb Average, Zambia, ZMB
105.805, 1905, Mar Average, Zambia, ZMB
16.187, 1905, Apr Average, Zambia, ZMB
8.7513, 1905, May Average, Zambia, ZMB
0.0195, 1905, Jun Average, Zambia, ZMB
0.03617, 1905, Jul Average, Zambia, ZMB
