Temperature - (Celsius), Year, Statistics, Country, ISO3
22.8665, 1901, Jan Average, Angola, AGO
22.8847, 1901, Feb Average, Angola, AGO
22.9439, 1901, Mar Average, Angola, AGO
21.1449, 1901, Apr Average, Angola, AGO
19.7996, 1901, May Average, Angola, AGO
18.4221, 1901, Jun Average, Angola, AGO
17.9524, 1901, Jul Average, Angola, AGO
19.9522, 1901, Aug Average, Angola, AGO
21.903, 1901, Sep Average, Angola, AGO
23.1953, 1901, Oct Average, Angola, AGO
22.7664, 1901, Nov Average, Angola, AGO
22.5577, 1901, Dec Average, Angola, AGO
22.6124, 1902, Jan Average, Angola, AGO
22.6635, 1902, Feb Average, Angola, AGO
22.6951, 1902, Mar Average, Angola, AGO
21.545, 1902, Apr Average, Angola, AGO
20.1143, 1902, May Average, Angola, AGO
18.5092, 1902, Jun Average, Angola, AGO
18.251, 1902, Jul Average, Angola, AGO
20.0218, 1902, Aug Average, Angola, AGO
22.4818, 1902, Sep Average, Angola, AGO
22.8246, 1902, Oct Average, Angola, AGO
22.9343, 1902, Nov Average, Angola, AGO
22.9366, 1902, Dec Average, Angola, AGO
22.8145, 1903, Jan Average, Angola, AGO
22.9185, 1903, Feb Average, Angola, AGO
22.9628, 1903, Mar Average, Angola, AGO
22.3707, 1903, Apr Average, Angola, AGO
19.6779, 1903, May Average, Angola, AGO
18.4635, 1903, Jun Average, Angola, AGO
18.0814, 1903, Jul Average, Angola, AGO
20.0429, 1903, Aug Average, Angola, AGO
21.9607, 1903, Sep Average, Angola, AGO
23.1314, 1903, Oct Average, Angola, AGO
22.8319, 1903, Nov Average, Angola, AGO
22.575, 1903, Dec Average, Angola, AGO
22.422, 1904, Jan Average, Angola, AGO
22.3988, 1904, Feb Average, Angola, AGO
22.3377, 1904, Mar Average, Angola, AGO
21.0904, 1904, Apr Average, Angola, AGO
19.1433, 1904, May Average, Angola, AGO
18.6815, 1904, Jun Average, Angola, AGO
17.7771, 1904, Jul Average, Angola, AGO
19.7663, 1904, Aug Average, Angola, AGO
21.7985, 1904, Sep Average, Angola, AGO
23.1527, 1904, Oct Average, Angola, AGO
23.0417, 1904, Nov Average, Angola, AGO
22.4363, 1904, Dec Average, Angola, AGO
22.792, 1905, Jan Average, Angola, AGO
22.7599, 1905, Feb Average, Angola, AGO
22.542, 1905, Mar Average, Angola, AGO
21.5356, 1905, Apr Average, Angola, AGO
19.0858, 1905, May Average, Angola, AGO
18.6697, 1905, Jun Average, Angola, AGO
17.7266, 1905, Jul Average, Angola, AGO
20.0996, 1905, Aug Average, Angola, AGO
22.3436, 1905, Sep Average, Angola, AGO
23.6036, 1905, Oct Average, Angola, AGO
22.9533, 1905, Nov Average, Angola, AGO
22.9207, 1905, Dec Average, Angola, AGO
22.9078, 1906, Jan Average, Angola, AGO
22.4342, 1906, Feb Average, Angola, AGO
21.6801, 1906, Mar Average, Angola, AGO
20.9107, 1906, Apr Average, Angola, AGO
18.9278, 1906, May Average, Angola, AGO
18.4596, 1906, Jun Average, Angola, AGO
17.9057, 1906, Jul Average, Angola, AGO
19.7111, 1906, Aug Average, Angola, AGO
22.0713, 1906, Sep Average, Angola, AGO
22.9055, 1906, Oct Average, Angola, AGO
22.4606, 1906, Nov Average, Angola, AGO
22.6011, 1906, Dec Average, Angola, AGO
22.4747, 1907, Jan Average, Angola, AGO
22.5583, 1907, Feb Average, Angola, AGO
21.7531, 1907, Mar Average, Angola, AGO
20.98, 1907, Apr Average, Angola, AGO
19.1315, 1907, May Average, Angola, AGO
18.3228, 1907, Jun Average, Angola, AGO
17.6326, 1907, Jul Average, Angola, AGO
19.5087, 1907, Aug Average, Angola, AGO
21.9679, 1907, Sep Average, Angola, AGO
23.0268, 1907, Oct Average, Angola, AGO
22.7187, 1907, Nov Average, Angola, AGO
22.4822, 1907, Dec Average, Angola, AGO
22.4688, 1908, Jan Average, Angola, AGO
22.4972, 1908, Feb Average, Angola, AGO
21.7672, 1908, Mar Average, Angola, AGO
21.3828, 1908, Apr Average, Angola, AGO
19.7271, 1908, May Average, Angola, AGO
18.5877, 1908, Jun Average, Angola, AGO
17.9592, 1908, Jul Average, Angola, AGO
19.9903, 1908, Aug Average, Angola, AGO
22.3421, 1908, Sep Average, Angola, AGO
23.4623, 1908, Oct Average, Angola, AGO
22.7885, 1908, Nov Average, Angola, AGO
22.6886, 1908, Dec Average, Angola, AGO
22.5383, 1909, Jan Average, Angola, AGO
22.655, 1909, Feb Average, Angola, AGO
21.7003, 1909, Mar Average, Angola, AGO
21.0224, 1909, Apr Average, Angola, AGO
20.3622, 1909, May Average, Angola, AGO
18.3351, 1909, Jun Average, Angola, AGO
18.177, 1909, Jul Average, Angola, AGO
20.1811, 1909, Aug Average, Angola, AGO
22.0976, 1909, Sep Average, Angola, AGO
23.1646, 1909, Oct Average, Angola, AGO
22.7274, 1909, Nov Average, Angola, AGO
22.8287, 1909, Dec Average, Angola, AGO
22.4556, 1910, Jan Average, Angola, AGO
22.5575, 1910, Feb Average, Angola, AGO
22.4804, 1910, Mar Average, Angola, AGO
20.9235, 1910, Apr Average, Angola, AGO
20.6321, 1910, May Average, Angola, AGO
18.4927, 1910, Jun Average, Angola, AGO
17.963, 1910, Jul Average, Angola, AGO
19.9264, 1910, Aug Average, Angola, AGO
21.9167, 1910, Sep Average, Angola, AGO
22.9098, 1910, Oct Average, Angola, AGO
22.3761, 1910, Nov Average, Angola, AGO
22.6241, 1910, Dec Average, Angola, AGO
22.3251, 1911, Jan Average, Angola, AGO
22.4236, 1911, Feb Average, Angola, AGO
22.4315, 1911, Mar Average, Angola, AGO
22.0541, 1911, Apr Average, Angola, AGO
20.5909, 1911, May Average, Angola, AGO
18.1125, 1911, Jun Average, Angola, AGO
17.7356, 1911, Jul Average, Angola, AGO
19.72, 1911, Aug Average, Angola, AGO
21.777, 1911, Sep Average, Angola, AGO
23.3553, 1911, Oct Average, Angola, AGO
22.9502, 1911, Nov Average, Angola, AGO
23.204, 1911, Dec Average, Angola, AGO
22.7031, 1912, Jan Average, Angola, AGO
23.0125, 1912, Feb Average, Angola, AGO
22.2213, 1912, Mar Average, Angola, AGO
22.0458, 1912, Apr Average, Angola, AGO
20.2136, 1912, May Average, Angola, AGO
18.4409, 1912, Jun Average, Angola, AGO
17.7441, 1912, Jul Average, Angola, AGO
19.7127, 1912, Aug Average, Angola, AGO
22.0237, 1912, Sep Average, Angola, AGO
22.9841, 1912, Oct Average, Angola, AGO
23.4001, 1912, Nov Average, Angola, AGO
22.7631, 1912, Dec Average, Angola, AGO
22.8109, 1913, Jan Average, Angola, AGO
22.796, 1913, Feb Average, Angola, AGO
21.7281, 1913, Mar Average, Angola, AGO
21.7806, 1913, Apr Average, Angola, AGO
20.8505, 1913, May Average, Angola, AGO
18.2198, 1913, Jun Average, Angola, AGO
18.1229, 1913, Jul Average, Angola, AGO
19.9649, 1913, Aug Average, Angola, AGO
22.1531, 1913, Sep Average, Angola, AGO
23.3146, 1913, Oct Average, Angola, AGO
22.8883, 1913, Nov Average, Angola, AGO
23.2846, 1913, Dec Average, Angola, AGO
22.9987, 1914, Jan Average, Angola, AGO
22.646, 1914, Feb Average, Angola, AGO
22.9526, 1914, Mar Average, Angola, AGO
21.3527, 1914, Apr Average, Angola, AGO
18.8903, 1914, May Average, Angola, AGO
18.6307, 1914, Jun Average, Angola, AGO
17.8449, 1914, Jul Average, Angola, AGO
19.7458, 1914, Aug Average, Angola, AGO
22.5667, 1914, Sep Average, Angola, AGO
23.47, 1914, Oct Average, Angola, AGO
23.055, 1914, Nov Average, Angola, AGO
22.7425, 1914, Dec Average, Angola, AGO
22.6153, 1915, Jan Average, Angola, AGO
22.5496, 1915, Feb Average, Angola, AGO
22.0599, 1915, Mar Average, Angola, AGO
22.0708, 1915, Apr Average, Angola, AGO
19.084, 1915, May Average, Angola, AGO
18.4918, 1915, Jun Average, Angola, AGO
18.2872, 1915, Jul Average, Angola, AGO
19.8235, 1915, Aug Average, Angola, AGO
22.062, 1915, Sep Average, Angola, AGO
23.257, 1915, Oct Average, Angola, AGO
22.965, 1915, Nov Average, Angola, AGO
22.8364, 1915, Dec Average, Angola, AGO
22.6147, 1916, Jan Average, Angola, AGO
23.0703, 1916, Feb Average, Angola, AGO
22.1652, 1916, Mar Average, Angola, AGO
21.0213, 1916, Apr Average, Angola, AGO
19.5187, 1916, May Average, Angola, AGO
18.5829, 1916, Jun Average, Angola, AGO
18.1028, 1916, Jul Average, Angola, AGO
19.7075, 1916, Aug Average, Angola, AGO
22.1794, 1916, Sep Average, Angola, AGO
23.5359, 1916, Oct Average, Angola, AGO
22.7936, 1916, Nov Average, Angola, AGO
22.604, 1916, Dec Average, Angola, AGO
22.5141, 1917, Jan Average, Angola, AGO
22.8362, 1917, Feb Average, Angola, AGO
21.8871, 1917, Mar Average, Angola, AGO
21.6512, 1917, Apr Average, Angola, AGO
20.3707, 1917, May Average, Angola, AGO
18.7104, 1917, Jun Average, Angola, AGO
18.0603, 1917, Jul Average, Angola, AGO
19.8057, 1917, Aug Average, Angola, AGO
22.031, 1917, Sep Average, Angola, AGO
23.4506, 1917, Oct Average, Angola, AGO
23.0132, 1917, Nov Average, Angola, AGO
22.357, 1917, Dec Average, Angola, AGO
21.7664, 1918, Jan Average, Angola, AGO
22.1778, 1918, Feb Average, Angola, AGO
21.9314, 1918, Mar Average, Angola, AGO
20.8563, 1918, Apr Average, Angola, AGO
18.9604, 1918, May Average, Angola, AGO
18.5844, 1918, Jun Average, Angola, AGO
18.4403, 1918, Jul Average, Angola, AGO
18.7044, 1918, Aug Average, Angola, AGO
21.6529, 1918, Sep Average, Angola, AGO
22.9829, 1918, Oct Average, Angola, AGO
21.9707, 1918, Nov Average, Angola, AGO
22.0413, 1918, Dec Average, Angola, AGO
22.1073, 1919, Jan Average, Angola, AGO
22.3363, 1919, Feb Average, Angola, AGO
22.145, 1919, Mar Average, Angola, AGO
22.5652, 1919, Apr Average, Angola, AGO
17.9694, 1919, May Average, Angola, AGO
17.9626, 1919, Jun Average, Angola, AGO
18.4985, 1919, Jul Average, Angola, AGO
19.2798, 1919, Aug Average, Angola, AGO
21.9358, 1919, Sep Average, Angola, AGO
22.3807, 1919, Oct Average, Angola, AGO
22.5435, 1919, Nov Average, Angola, AGO
22.3003, 1919, Dec Average, Angola, AGO
23.528, 1920, Jan Average, Angola, AGO
22.8273, 1920, Feb Average, Angola, AGO
22.3416, 1920, Mar Average, Angola, AGO
21.1829, 1920, Apr Average, Angola, AGO
19.6689, 1920, May Average, Angola, AGO
18.4565, 1920, Jun Average, Angola, AGO
17.9799, 1920, Jul Average, Angola, AGO
19.2528, 1920, Aug Average, Angola, AGO
22.21, 1920, Sep Average, Angola, AGO
22.4391, 1920, Oct Average, Angola, AGO
22.8658, 1920, Nov Average, Angola, AGO
23.3952, 1920, Dec Average, Angola, AGO
23.3127, 1921, Jan Average, Angola, AGO
22.9906, 1921, Feb Average, Angola, AGO
22.1931, 1921, Mar Average, Angola, AGO
21.8079, 1921, Apr Average, Angola, AGO
19.906, 1921, May Average, Angola, AGO
18.6814, 1921, Jun Average, Angola, AGO
17.7728, 1921, Jul Average, Angola, AGO
19.5692, 1921, Aug Average, Angola, AGO
21.9088, 1921, Sep Average, Angola, AGO
23.0015, 1921, Oct Average, Angola, AGO
22.4219, 1921, Nov Average, Angola, AGO
22.5649, 1921, Dec Average, Angola, AGO
24.0434, 1922, Jan Average, Angola, AGO
23.4141, 1922, Feb Average, Angola, AGO
22.5027, 1922, Mar Average, Angola, AGO
21.975, 1922, Apr Average, Angola, AGO
20.0702, 1922, May Average, Angola, AGO
19.8437, 1922, Jun Average, Angola, AGO
18.381, 1922, Jul Average, Angola, AGO
20.6213, 1922, Aug Average, Angola, AGO
21.8552, 1922, Sep Average, Angola, AGO
21.3159, 1922, Oct Average, Angola, AGO
22.7667, 1922, Nov Average, Angola, AGO
23.5836, 1922, Dec Average, Angola, AGO
22.006, 1923, Jan Average, Angola, AGO
22.555, 1923, Feb Average, Angola, AGO
21.7612, 1923, Mar Average, Angola, AGO
21.5945, 1923, Apr Average, Angola, AGO
19.6281, 1923, May Average, Angola, AGO
19.4262, 1923, Jun Average, Angola, AGO
18.1068, 1923, Jul Average, Angola, AGO
20.6829, 1923, Aug Average, Angola, AGO
20.9556, 1923, Sep Average, Angola, AGO
22.9653, 1923, Oct Average, Angola, AGO
23.5142, 1923, Nov Average, Angola, AGO
23.6435, 1923, Dec Average, Angola, AGO
23.9806, 1924, Jan Average, Angola, AGO
23.1049, 1924, Feb Average, Angola, AGO
23.0579, 1924, Mar Average, Angola, AGO
21.4625, 1924, Apr Average, Angola, AGO
20.5909, 1924, May Average, Angola, AGO
19.1635, 1924, Jun Average, Angola, AGO
17.4666, 1924, Jul Average, Angola, AGO
19.1826, 1924, Aug Average, Angola, AGO
21.7175, 1924, Sep Average, Angola, AGO
22.4815, 1924, Oct Average, Angola, AGO
22.5084, 1924, Nov Average, Angola, AGO
22.1786, 1924, Dec Average, Angola, AGO
22.3167, 1925, Jan Average, Angola, AGO
21.9598, 1925, Feb Average, Angola, AGO
22.2814, 1925, Mar Average, Angola, AGO
21.4898, 1925, Apr Average, Angola, AGO
19.1631, 1925, May Average, Angola, AGO
18.9351, 1925, Jun Average, Angola, AGO
17.3682, 1925, Jul Average, Angola, AGO
18.9205, 1925, Aug Average, Angola, AGO
20.5258, 1925, Sep Average, Angola, AGO
22.3812, 1925, Oct Average, Angola, AGO
23.2064, 1925, Nov Average, Angola, AGO
23.4297, 1925, Dec Average, Angola, AGO
23.4937, 1926, Jan Average, Angola, AGO
23.1099, 1926, Feb Average, Angola, AGO
22.0642, 1926, Mar Average, Angola, AGO
22.1036, 1926, Apr Average, Angola, AGO
19.6104, 1926, May Average, Angola, AGO
18.2414, 1926, Jun Average, Angola, AGO
16.9873, 1926, Jul Average, Angola, AGO
18.5548, 1926, Aug Average, Angola, AGO
21.8282, 1926, Sep Average, Angola, AGO
22.557, 1926, Oct Average, Angola, AGO
22.8781, 1926, Nov Average, Angola, AGO
22.6667, 1926, Dec Average, Angola, AGO
23.2046, 1927, Jan Average, Angola, AGO
22.9373, 1927, Feb Average, Angola, AGO
21.9968, 1927, Mar Average, Angola, AGO
22.0362, 1927, Apr Average, Angola, AGO
20.1212, 1927, May Average, Angola, AGO
17.6888, 1927, Jun Average, Angola, AGO
17.3576, 1927, Jul Average, Angola, AGO
18.8193, 1927, Aug Average, Angola, AGO
21.389, 1927, Sep Average, Angola, AGO
22.3458, 1927, Oct Average, Angola, AGO
22.7348, 1927, Nov Average, Angola, AGO
23.0987, 1927, Dec Average, Angola, AGO
23.153, 1928, Jan Average, Angola, AGO
23.8545, 1928, Feb Average, Angola, AGO
23.3995, 1928, Mar Average, Angola, AGO
21.8945, 1928, Apr Average, Angola, AGO
20.0682, 1928, May Average, Angola, AGO
19.1583, 1928, Jun Average, Angola, AGO
17.0095, 1928, Jul Average, Angola, AGO
18.8979, 1928, Aug Average, Angola, AGO
22.7134, 1928, Sep Average, Angola, AGO
23.8376, 1928, Oct Average, Angola, AGO
23.5571, 1928, Nov Average, Angola, AGO
23.3834, 1928, Dec Average, Angola, AGO
22.919, 1929, Jan Average, Angola, AGO
23.2176, 1929, Feb Average, Angola, AGO
22.2537, 1929, Mar Average, Angola, AGO
21.4195, 1929, Apr Average, Angola, AGO
18.7781, 1929, May Average, Angola, AGO
18.9648, 1929, Jun Average, Angola, AGO
17.8568, 1929, Jul Average, Angola, AGO
19.0895, 1929, Aug Average, Angola, AGO
22.6081, 1929, Sep Average, Angola, AGO
24.1595, 1929, Oct Average, Angola, AGO
23.7551, 1929, Nov Average, Angola, AGO
22.4107, 1929, Dec Average, Angola, AGO
22.8431, 1930, Jan Average, Angola, AGO
23.6251, 1930, Feb Average, Angola, AGO
22.5869, 1930, Mar Average, Angola, AGO
21.2507, 1930, Apr Average, Angola, AGO
19.4536, 1930, May Average, Angola, AGO
17.8713, 1930, Jun Average, Angola, AGO
17.2582, 1930, Jul Average, Angola, AGO
19.1033, 1930, Aug Average, Angola, AGO
21.2986, 1930, Sep Average, Angola, AGO
23.2387, 1930, Oct Average, Angola, AGO
23.9069, 1930, Nov Average, Angola, AGO
23.166, 1930, Dec Average, Angola, AGO
23.6269, 1931, Jan Average, Angola, AGO
24.3356, 1931, Feb Average, Angola, AGO
23.133, 1931, Mar Average, Angola, AGO
22.1661, 1931, Apr Average, Angola, AGO
20.9885, 1931, May Average, Angola, AGO
18.5256, 1931, Jun Average, Angola, AGO
18.1739, 1931, Jul Average, Angola, AGO
20.0304, 1931, Aug Average, Angola, AGO
21.8153, 1931, Sep Average, Angola, AGO
23.2439, 1931, Oct Average, Angola, AGO
21.5966, 1931, Nov Average, Angola, AGO
22.7749, 1931, Dec Average, Angola, AGO
23.6201, 1932, Jan Average, Angola, AGO
23.5179, 1932, Feb Average, Angola, AGO
22.4225, 1932, Mar Average, Angola, AGO
21.3761, 1932, Apr Average, Angola, AGO
18.9793, 1932, May Average, Angola, AGO
17.8673, 1932, Jun Average, Angola, AGO
16.5847, 1932, Jul Average, Angola, AGO
18.6081, 1932, Aug Average, Angola, AGO
22.037, 1932, Sep Average, Angola, AGO
23.6212, 1932, Oct Average, Angola, AGO
23.6795, 1932, Nov Average, Angola, AGO
22.702, 1932, Dec Average, Angola, AGO
22.6066, 1933, Jan Average, Angola, AGO
23.2013, 1933, Feb Average, Angola, AGO
23.4655, 1933, Mar Average, Angola, AGO
22.4035, 1933, Apr Average, Angola, AGO
20.4782, 1933, May Average, Angola, AGO
18.9383, 1933, Jun Average, Angola, AGO
18.3868, 1933, Jul Average, Angola, AGO
19.5896, 1933, Aug Average, Angola, AGO
21.1627, 1933, Sep Average, Angola, AGO
23.5154, 1933, Oct Average, Angola, AGO
22.3286, 1933, Nov Average, Angola, AGO
22.2196, 1933, Dec Average, Angola, AGO
22.6492, 1934, Jan Average, Angola, AGO
22.949, 1934, Feb Average, Angola, AGO
22.4779, 1934, Mar Average, Angola, AGO
22.3536, 1934, Apr Average, Angola, AGO
21.8105, 1934, May Average, Angola, AGO
19.458, 1934, Jun Average, Angola, AGO
18.8584, 1934, Jul Average, Angola, AGO
20.448, 1934, Aug Average, Angola, AGO
21.4633, 1934, Sep Average, Angola, AGO
22.9397, 1934, Oct Average, Angola, AGO
22.805, 1934, Nov Average, Angola, AGO
22.6747, 1934, Dec Average, Angola, AGO
22.8773, 1935, Jan Average, Angola, AGO
22.5819, 1935, Feb Average, Angola, AGO
22.4192, 1935, Mar Average, Angola, AGO
21.8582, 1935, Apr Average, Angola, AGO
20.6785, 1935, May Average, Angola, AGO
