Temperature - (Celsius), Year, Statistics, Country, ISO3
-1.6164, 1901, Jan Average, Albania, ALB
0.6579, 1901, Feb Average, Albania, ALB
7.43772, 1901, Mar Average, Albania, ALB
10.2572, 1901, Apr Average, Albania, ALB
13.8797, 1901, May Average, Albania, ALB
18.0844, 1901, Jun Average, Albania, ALB
21.3348, 1901, Jul Average, Albania, ALB
20.1677, 1901, Aug Average, Albania, ALB
17.2626, 1901, Sep Average, Albania, ALB
12.964, 1901, Oct Average, Albania, ALB
5.88308, 1901, Nov Average, Albania, ALB
6.05855, 1901, Dec Average, Albania, ALB
3.4935, 1902, Jan Average, Albania, ALB
5.58643, 1902, Feb Average, Albania, ALB
5.53845, 1902, Mar Average, Albania, ALB
10.2166, 1902, Apr Average, Albania, ALB
11.8057, 1902, May Average, Albania, ALB
17.1082, 1902, Jun Average, Albania, ALB
20.7326, 1902, Jul Average, Albania, ALB
21.4475, 1902, Aug Average, Albania, ALB
17.949, 1902, Sep Average, Albania, ALB
13.0528, 1902, Oct Average, Albania, ALB
4.89528, 1902, Nov Average, Albania, ALB
0.57684, 1902, Dec Average, Albania, ALB
1.70204, 1903, Jan Average, Albania, ALB
3.99236, 1903, Feb Average, Albania, ALB
7.23624, 1903, Mar Average, Albania, ALB
8.15097, 1903, Apr Average, Albania, ALB
14.4473, 1903, May Average, Albania, ALB
16.6359, 1903, Jun Average, Albania, ALB
20.0837, 1903, Jul Average, Albania, ALB
20.7411, 1903, Aug Average, Albania, ALB
17.7335, 1903, Sep Average, Albania, ALB
12.9111, 1903, Oct Average, Albania, ALB
7.73409, 1903, Nov Average, Albania, ALB
5.40044, 1903, Dec Average, Albania, ALB
1.2616, 1904, Jan Average, Albania, ALB
5.69667, 1904, Feb Average, Albania, ALB
6.13241, 1904, Mar Average, Albania, ALB
10.5462, 1904, Apr Average, Albania, ALB
14.8542, 1904, May Average, Albania, ALB
18.6598, 1904, Jun Average, Albania, ALB
22.1153, 1904, Jul Average, Albania, ALB
21.147, 1904, Aug Average, Albania, ALB
16.0191, 1904, Sep Average, Albania, ALB
12.5727, 1904, Oct Average, Albania, ALB
4.88616, 1904, Nov Average, Albania, ALB
3.07109, 1904, Dec Average, Albania, ALB
-2.084, 1905, Jan Average, Albania, ALB
0.68806, 1905, Feb Average, Albania, ALB
6.17476, 1905, Mar Average, Albania, ALB
9.34613, 1905, Apr Average, Albania, ALB
14.7339, 1905, May Average, Albania, ALB
17.8604, 1905, Jun Average, Albania, ALB
22.1566, 1905, Jul Average, Albania, ALB
22.3303, 1905, Aug Average, Albania, ALB
19.2524, 1905, Sep Average, Albania, ALB
9.71967, 1905, Oct Average, Albania, ALB
9.86259, 1905, Nov Average, Albania, ALB
3.83788, 1905, Dec Average, Albania, ALB
1.31406, 1906, Jan Average, Albania, ALB
2.57848, 1906, Feb Average, Albania, ALB
6.65136, 1906, Mar Average, Albania, ALB
10.2552, 1906, Apr Average, Albania, ALB
13.9596, 1906, May Average, Albania, ALB
17.3156, 1906, Jun Average, Albania, ALB
21.1249, 1906, Jul Average, Albania, ALB
20.2782, 1906, Aug Average, Albania, ALB
16.052, 1906, Sep Average, Albania, ALB
11.9931, 1906, Oct Average, Albania, ALB
9.02735, 1906, Nov Average, Albania, ALB
2.29005, 1906, Dec Average, Albania, ALB
-0.2893, 1907, Jan Average, Albania, ALB
0.22578, 1907, Feb Average, Albania, ALB
2.15295, 1907, Mar Average, Albania, ALB
7.95868, 1907, Apr Average, Albania, ALB
16.6241, 1907, May Average, Albania, ALB
18.2735, 1907, Jun Average, Albania, ALB
20.3185, 1907, Jul Average, Albania, ALB
21.1696, 1907, Aug Average, Albania, ALB
17.2522, 1907, Sep Average, Albania, ALB
15.7944, 1907, Oct Average, Albania, ALB
6.99882, 1907, Nov Average, Albania, ALB
5.18078, 1907, Dec Average, Albania, ALB
0.45856, 1908, Jan Average, Albania, ALB
2.53285, 1908, Feb Average, Albania, ALB
5.3219, 1908, Mar Average, Albania, ALB
8.81816, 1908, Apr Average, Albania, ALB
17.3803, 1908, May Average, Albania, ALB
19.5112, 1908, Jun Average, Albania, ALB
20.6957, 1908, Jul Average, Albania, ALB
20.53, 1908, Aug Average, Albania, ALB
16.1617, 1908, Sep Average, Albania, ALB
11.3962, 1908, Oct Average, Albania, ALB
3.72691, 1908, Nov Average, Albania, ALB
1.86757, 1908, Dec Average, Albania, ALB
-0.5009, 1909, Jan Average, Albania, ALB
-1.1358, 1909, Feb Average, Albania, ALB
6.399, 1909, Mar Average, Albania, ALB
10.5815, 1909, Apr Average, Albania, ALB
14.3655, 1909, May Average, Albania, ALB
17.7641, 1909, Jun Average, Albania, ALB
20.3316, 1909, Jul Average, Albania, ALB
21.1973, 1909, Aug Average, Albania, ALB
17.8198, 1909, Sep Average, Albania, ALB
13.2665, 1909, Oct Average, Albania, ALB
6.33625, 1909, Nov Average, Albania, ALB
6.49966, 1909, Dec Average, Albania, ALB
3.14308, 1910, Jan Average, Albania, ALB
5.27763, 1910, Feb Average, Albania, ALB
5.66017, 1910, Mar Average, Albania, ALB
9.81237, 1910, Apr Average, Albania, ALB
13.8142, 1910, May Average, Albania, ALB
17.9431, 1910, Jun Average, Albania, ALB
19.6863, 1910, Jul Average, Albania, ALB
20.6052, 1910, Aug Average, Albania, ALB
15.8796, 1910, Sep Average, Albania, ALB
12.5159, 1910, Oct Average, Albania, ALB
7.09205, 1910, Nov Average, Albania, ALB
6.32667, 1910, Dec Average, Albania, ALB
1.41278, 1911, Jan Average, Albania, ALB
0.30714, 1911, Feb Average, Albania, ALB
5.89854, 1911, Mar Average, Albania, ALB
9.19928, 1911, Apr Average, Albania, ALB
14.1088, 1911, May Average, Albania, ALB
17.992, 1911, Jun Average, Albania, ALB
21.263, 1911, Jul Average, Albania, ALB
21.7889, 1911, Aug Average, Albania, ALB
17.6977, 1911, Sep Average, Albania, ALB
13.047, 1911, Oct Average, Albania, ALB
9.55899, 1911, Nov Average, Albania, ALB
4.81237, 1911, Dec Average, Albania, ALB
0.57843, 1912, Jan Average, Albania, ALB
5.64641, 1912, Feb Average, Albania, ALB
8.28154, 1912, Mar Average, Albania, ALB
8.15293, 1912, Apr Average, Albania, ALB
13.8543, 1912, May Average, Albania, ALB
18.6026, 1912, Jun Average, Albania, ALB
20.897, 1912, Jul Average, Albania, ALB
19.686, 1912, Aug Average, Albania, ALB
14.3127, 1912, Sep Average, Albania, ALB
11.0913, 1912, Oct Average, Albania, ALB
5.66092, 1912, Nov Average, Albania, ALB
4.24249, 1912, Dec Average, Albania, ALB
1.81177, 1913, Jan Average, Albania, ALB
1.52225, 1913, Feb Average, Albania, ALB
7.77596, 1913, Mar Average, Albania, ALB
10.1648, 1913, Apr Average, Albania, ALB
13.7112, 1913, May Average, Albania, ALB
17.8137, 1913, Jun Average, Albania, ALB
18.5699, 1913, Jul Average, Albania, ALB
19.1922, 1913, Aug Average, Albania, ALB
17.9761, 1913, Sep Average, Albania, ALB
13.109, 1913, Oct Average, Albania, ALB
8.43806, 1913, Nov Average, Albania, ALB
3.56112, 1913, Dec Average, Albania, ALB
-1.1056, 1914, Jan Average, Albania, ALB
1.76866, 1914, Feb Average, Albania, ALB
7.15003, 1914, Mar Average, Albania, ALB
10.9748, 1914, Apr Average, Albania, ALB
14.1176, 1914, May Average, Albania, ALB
16.9743, 1914, Jun Average, Albania, ALB
20.1407, 1914, Jul Average, Albania, ALB
20.5834, 1914, Aug Average, Albania, ALB
16.0362, 1914, Sep Average, Albania, ALB
11.0385, 1914, Oct Average, Albania, ALB
6.06758, 1914, Nov Average, Albania, ALB
4.96412, 1914, Dec Average, Albania, ALB
3.95013, 1915, Jan Average, Albania, ALB
3.62229, 1915, Feb Average, Albania, ALB
5.63733, 1915, Mar Average, Albania, ALB
9.59598, 1915, Apr Average, Albania, ALB
14.9194, 1915, May Average, Albania, ALB
19.1312, 1915, Jun Average, Albania, ALB
20.8328, 1915, Jul Average, Albania, ALB
19.8655, 1915, Aug Average, Albania, ALB
15.2817, 1915, Sep Average, Albania, ALB
11.7222, 1915, Oct Average, Albania, ALB
6.44146, 1915, Nov Average, Albania, ALB
6.73843, 1915, Dec Average, Albania, ALB
3.2903, 1916, Jan Average, Albania, ALB
3.24454, 1916, Feb Average, Albania, ALB
8.61425, 1916, Mar Average, Albania, ALB
10.1131, 1916, Apr Average, Albania, ALB
14.9321, 1916, May Average, Albania, ALB
19.3539, 1916, Jun Average, Albania, ALB
21.4911, 1916, Jul Average, Albania, ALB
19.937, 1916, Aug Average, Albania, ALB
15.8616, 1916, Sep Average, Albania, ALB
12.3905, 1916, Oct Average, Albania, ALB
8.83229, 1916, Nov Average, Albania, ALB
6.48115, 1916, Dec Average, Albania, ALB
3.00212, 1917, Jan Average, Albania, ALB
-0.0508, 1917, Feb Average, Albania, ALB
5.40814, 1917, Mar Average, Albania, ALB
9.12171, 1917, Apr Average, Albania, ALB
14.5478, 1917, May Average, Albania, ALB
19.2238, 1917, Jun Average, Albania, ALB
21.1477, 1917, Jul Average, Albania, ALB
22.4574, 1917, Aug Average, Albania, ALB
18.593, 1917, Sep Average, Albania, ALB
13.1713, 1917, Oct Average, Albania, ALB
7.46911, 1917, Nov Average, Albania, ALB
1.29455, 1917, Dec Average, Albania, ALB
2.52679, 1918, Jan Average, Albania, ALB
1.04955, 1918, Feb Average, Albania, ALB
5.1926, 1918, Mar Average, Albania, ALB
10.2569, 1918, Apr Average, Albania, ALB
14.6844, 1918, May Average, Albania, ALB
17.1623, 1918, Jun Average, Albania, ALB
20.7022, 1918, Jul Average, Albania, ALB
20.684, 1918, Aug Average, Albania, ALB
18.9963, 1918, Sep Average, Albania, ALB
12.8299, 1918, Oct Average, Albania, ALB
6.77507, 1918, Nov Average, Albania, ALB
3.61964, 1918, Dec Average, Albania, ALB
3.91655, 1919, Jan Average, Albania, ALB
3.1855, 1919, Feb Average, Albania, ALB
7.0883, 1919, Mar Average, Albania, ALB
9.96725, 1919, Apr Average, Albania, ALB
11.6521, 1919, May Average, Albania, ALB
17.6964, 1919, Jun Average, Albania, ALB
19.6734, 1919, Jul Average, Albania, ALB
20.4692, 1919, Aug Average, Albania, ALB
18.2222, 1919, Sep Average, Albania, ALB
11.7443, 1919, Oct Average, Albania, ALB
7.36393, 1919, Nov Average, Albania, ALB
3.1775, 1919, Dec Average, Albania, ALB
