Temperature - (Celsius), Year, Statistics, Country, ISO3
2.68284, 1901, Jan Average, Andorra, AND
0.38882, 1901, Feb Average, Andorra, AND
5.17, 1901, Mar Average, Andorra, AND
9.65712, 1901, Apr Average, Andorra, AND
12.1432, 1901, May Average, Andorra, AND
17.6516, 1901, Jun Average, Andorra, AND
19.3953, 1901, Jul Average, Andorra, AND
18.7225, 1901, Aug Average, Andorra, AND
16.0456, 1901, Sep Average, Andorra, AND
10.3397, 1901, Oct Average, Andorra, AND
4.69228, 1901, Nov Average, Andorra, AND
2.63883, 1901, Dec Average, Andorra, AND
2.94675, 1902, Jan Average, Andorra, AND
4.16237, 1902, Feb Average, Andorra, AND
7.47272, 1902, Mar Average, Andorra, AND
10.372, 1902, Apr Average, Andorra, AND
10.0457, 1902, May Average, Andorra, AND
15.0911, 1902, Jun Average, Andorra, AND
19.4987, 1902, Jul Average, Andorra, AND
18.573, 1902, Aug Average, Andorra, AND
15.3476, 1902, Sep Average, Andorra, AND
10.4326, 1902, Oct Average, Andorra, AND
6.42447, 1902, Nov Average, Andorra, AND
3.67438, 1902, Dec Average, Andorra, AND
3.07809, 1903, Jan Average, Andorra, AND
4.80015, 1903, Feb Average, Andorra, AND
7.15354, 1903, Mar Average, Andorra, AND
7.6062, 1903, Apr Average, Andorra, AND
11.9906, 1903, May Average, Andorra, AND
14.7796, 1903, Jun Average, Andorra, AND
18.2994, 1903, Jul Average, Andorra, AND
18.6159, 1903, Aug Average, Andorra, AND
15.6706, 1903, Sep Average, Andorra, AND
12.3228, 1903, Oct Average, Andorra, AND
6.71346, 1903, Nov Average, Andorra, AND
2.90037, 1903, Dec Average, Andorra, AND
2.99324, 1904, Jan Average, Andorra, AND
4.78851, 1904, Feb Average, Andorra, AND
5.60679, 1904, Mar Average, Andorra, AND
9.79111, 1904, Apr Average, Andorra, AND
13.7934, 1904, May Average, Andorra, AND
17.0413, 1904, Jun Average, Andorra, AND
20.7747, 1904, Jul Average, Andorra, AND
19.7717, 1904, Aug Average, Andorra, AND
14.7164, 1904, Sep Average, Andorra, AND
11.5029, 1904, Oct Average, Andorra, AND
5.33295, 1904, Nov Average, Andorra, AND
4.34664, 1904, Dec Average, Andorra, AND
1.57877, 1905, Jan Average, Andorra, AND
2.88763, 1905, Feb Average, Andorra, AND
7.55828, 1905, Mar Average, Andorra, AND
9.9238, 1905, Apr Average, Andorra, AND
11.166, 1905, May Average, Andorra, AND
16.356, 1905, Jun Average, Andorra, AND
20.5292, 1905, Jul Average, Andorra, AND
18.6647, 1905, Aug Average, Andorra, AND
15.3412, 1905, Sep Average, Andorra, AND
8.715, 1905, Oct Average, Andorra, AND
5.48473, 1905, Nov Average, Andorra, AND
2.92999, 1905, Dec Average, Andorra, AND
3.58531, 1906, Jan Average, Andorra, AND
2.83991, 1906, Feb Average, Andorra, AND
5.49238, 1906, Mar Average, Andorra, AND
7.7412, 1906, Apr Average, Andorra, AND
11.9273, 1906, May Average, Andorra, AND
16.7887, 1906, Jun Average, Andorra, AND
18.9532, 1906, Jul Average, Andorra, AND
19.9944, 1906, Aug Average, Andorra, AND
15.9222, 1906, Sep Average, Andorra, AND
12.3348, 1906, Oct Average, Andorra, AND
6.66494, 1906, Nov Average, Andorra, AND
2.30178, 1906, Dec Average, Andorra, AND
2.04358, 1907, Jan Average, Andorra, AND
2.09896, 1907, Feb Average, Andorra, AND
6.02721, 1907, Mar Average, Andorra, AND
8.14689, 1907, Apr Average, Andorra, AND
11.6556, 1907, May Average, Andorra, AND
15.9815, 1907, Jun Average, Andorra, AND
17.6946, 1907, Jul Average, Andorra, AND
19.2778, 1907, Aug Average, Andorra, AND
