Temperature - (Celsius), Year, Statistics, Country, ISO3
17.7981, 1901, Jan Average, United Arab Emirates, ARE
19.1297, 1901, Feb Average, United Arab Emirates, ARE
23.3482, 1901, Mar Average, United Arab Emirates, ARE
27.5801, 1901, Apr Average, United Arab Emirates, ARE
31.8179, 1901, May Average, United Arab Emirates, ARE
32.5209, 1901, Jun Average, United Arab Emirates, ARE
34.2236, 1901, Jul Average, United Arab Emirates, ARE
33.4938, 1901, Aug Average, United Arab Emirates, ARE
32.9219, 1901, Sep Average, United Arab Emirates, ARE
28.8628, 1901, Oct Average, United Arab Emirates, ARE
24.68, 1901, Nov Average, United Arab Emirates, ARE
22.0816, 1901, Dec Average, United Arab Emirates, ARE
19.3208, 1902, Jan Average, United Arab Emirates, ARE
20.2541, 1902, Feb Average, United Arab Emirates, ARE
24.5603, 1902, Mar Average, United Arab Emirates, ARE
27.5541, 1902, Apr Average, United Arab Emirates, ARE
30.2203, 1902, May Average, United Arab Emirates, ARE
32.3515, 1902, Jun Average, United Arab Emirates, ARE
32.5254, 1902, Jul Average, United Arab Emirates, ARE
32.7001, 1902, Aug Average, United Arab Emirates, ARE
31.2242, 1902, Sep Average, United Arab Emirates, ARE
27.0649, 1902, Oct Average, United Arab Emirates, ARE
22.453, 1902, Nov Average, United Arab Emirates, ARE
18.7503, 1902, Dec Average, United Arab Emirates, ARE
16.7997, 1903, Jan Average, United Arab Emirates, ARE
17.7468, 1903, Feb Average, United Arab Emirates, ARE
21.0453, 1903, Mar Average, United Arab Emirates, ARE
24.6995, 1903, Apr Average, United Arab Emirates, ARE
30.22, 1903, May Average, United Arab Emirates, ARE
32.22, 1903, Jun Average, United Arab Emirates, ARE
32.5252, 1903, Jul Average, United Arab Emirates, ARE
33.996, 1903, Aug Average, United Arab Emirates, ARE
31.5976, 1903, Sep Average, United Arab Emirates, ARE
26.5663, 1903, Oct Average, United Arab Emirates, ARE
21.7935, 1903, Nov Average, United Arab Emirates, ARE
19.0163, 1903, Dec Average, United Arab Emirates, ARE
18.684, 1904, Jan Average, United Arab Emirates, ARE
18.7039, 1904, Feb Average, United Arab Emirates, ARE
21.7076, 1904, Mar Average, United Arab Emirates, ARE
25.5844, 1904, Apr Average, United Arab Emirates, ARE
29.0892, 1904, May Average, United Arab Emirates, ARE
31.1208, 1904, Jun Average, United Arab Emirates, ARE
33.1235, 1904, Jul Average, United Arab Emirates, ARE
32.5954, 1904, Aug Average, United Arab Emirates, ARE
30.4254, 1904, Sep Average, United Arab Emirates, ARE
27.2362, 1904, Oct Average, United Arab Emirates, ARE
24.7813, 1904, Nov Average, United Arab Emirates, ARE
19.5858, 1904, Dec Average, United Arab Emirates, ARE
17.2026, 1905, Jan Average, United Arab Emirates, ARE
17.6206, 1905, Feb Average, United Arab Emirates, ARE
20.7284, 1905, Mar Average, United Arab Emirates, ARE
26.1817, 1905, Apr Average, United Arab Emirates, ARE
29.524, 1905, May Average, United Arab Emirates, ARE
31.7209, 1905, Jun Average, United Arab Emirates, ARE
32.9273, 1905, Jul Average, United Arab Emirates, ARE
33.0944, 1905, Aug Average, United Arab Emirates, ARE
31.2428, 1905, Sep Average, United Arab Emirates, ARE
28.4625, 1905, Oct Average, United Arab Emirates, ARE
23.9494, 1905, Nov Average, United Arab Emirates, ARE
19.3846, 1905, Dec Average, United Arab Emirates, ARE
17.4265, 1906, Jan Average, United Arab Emirates, ARE
18.057, 1906, Feb Average, United Arab Emirates, ARE
21.0489, 1906, Mar Average, United Arab Emirates, ARE
24.5803, 1906, Apr Average, United Arab Emirates, ARE
30.2219, 1906, May Average, United Arab Emirates, ARE
31.1221, 1906, Jun Average, United Arab Emirates, ARE
32.7119, 1906, Jul Average, United Arab Emirates, ARE
31.9975, 1906, Aug Average, United Arab Emirates, ARE
