Temperature - (Celsius), Year, Statistics, Country, ISO3
20.585, 1901, Jan Average, Argentina, ARG
19.6985, 1901, Feb Average, Argentina, ARG
18.13, 1901, Mar Average, Argentina, ARG
13.5667, 1901, Apr Average, Argentina, ARG
11.1243, 1901, May Average, Argentina, ARG
10.1241, 1901, Jun Average, Argentina, ARG
7.87036, 1901, Jul Average, Argentina, ARG
9.16892, 1901, Aug Average, Argentina, ARG
12.9555, 1901, Sep Average, Argentina, ARG
15.7423, 1901, Oct Average, Argentina, ARG
17.5755, 1901, Nov Average, Argentina, ARG
20.6335, 1901, Dec Average, Argentina, ARG
20.9802, 1902, Jan Average, Argentina, ARG
20.922, 1902, Feb Average, Argentina, ARG
17.8209, 1902, Mar Average, Argentina, ARG
15.5522, 1902, Apr Average, Argentina, ARG
11.8179, 1902, May Average, Argentina, ARG
8.96663, 1902, Jun Average, Argentina, ARG
6.6351, 1902, Jul Average, Argentina, ARG
6.80695, 1902, Aug Average, Argentina, ARG
11.881, 1902, Sep Average, Argentina, ARG
14.4448, 1902, Oct Average, Argentina, ARG
17.0407, 1902, Nov Average, Argentina, ARG
19.8075, 1902, Dec Average, Argentina, ARG
20.1469, 1903, Jan Average, Argentina, ARG
19.862, 1903, Feb Average, Argentina, ARG
17.7636, 1903, Mar Average, Argentina, ARG
13.279, 1903, Apr Average, Argentina, ARG
10.7062, 1903, May Average, Argentina, ARG
8.20232, 1903, Jun Average, Argentina, ARG
7.47253, 1903, Jul Average, Argentina, ARG
8.5501, 1903, Aug Average, Argentina, ARG
13.3376, 1903, Sep Average, Argentina, ARG
13.8622, 1903, Oct Average, Argentina, ARG
16.7616, 1903, Nov Average, Argentina, ARG
18.8427, 1903, Dec Average, Argentina, ARG
20.7512, 1904, Jan Average, Argentina, ARG
19.1578, 1904, Feb Average, Argentina, ARG
16.8778, 1904, Mar Average, Argentina, ARG
15.416, 1904, Apr Average, Argentina, ARG
11.0481, 1904, May Average, Argentina, ARG
8.66139, 1904, Jun Average, Argentina, ARG
8.50398, 1904, Jul Average, Argentina, ARG
9.02793, 1904, Aug Average, Argentina, ARG
13.0588, 1904, Sep Average, Argentina, ARG
13.9672, 1904, Oct Average, Argentina, ARG
16.2037, 1904, Nov Average, Argentina, ARG
18.6815, 1904, Dec Average, Argentina, ARG
20.3373, 1905, Jan Average, Argentina, ARG
19.146, 1905, Feb Average, Argentina, ARG
18.2538, 1905, Mar Average, Argentina, ARG
13.6687, 1905, Apr Average, Argentina, ARG
9.47157, 1905, May Average, Argentina, ARG
8.56035, 1905, Jun Average, Argentina, ARG
6.39216, 1905, Jul Average, Argentina, ARG
9.06073, 1905, Aug Average, Argentina, ARG
12.2466, 1905, Sep Average, Argentina, ARG
13.9544, 1905, Oct Average, Argentina, ARG
16.7787, 1905, Nov Average, Argentina, ARG
18.8807, 1905, Dec Average, Argentina, ARG
20.6277, 1906, Jan Average, Argentina, ARG
20.7862, 1906, Feb Average, Argentina, ARG
19.1323, 1906, Mar Average, Argentina, ARG
14.7147, 1906, Apr Average, Argentina, ARG
11.5063, 1906, May Average, Argentina, ARG
5.76659, 1906, Jun Average, Argentina, ARG
7.12402, 1906, Jul Average, Argentina, ARG
9.35114, 1906, Aug Average, Argentina, ARG
11.6347, 1906, Sep Average, Argentina, ARG
15.5512, 1906, Oct Average, Argentina, ARG
17.8685, 1906, Nov Average, Argentina, ARG
18.9039, 1906, Dec Average, Argentina, ARG
21.3021, 1907, Jan Average, Argentina, ARG
20.1436, 1907, Feb Average, Argentina, ARG
17.4891, 1907, Mar Average, Argentina, ARG
13.5946, 1907, Apr Average, Argentina, ARG
9.45594, 1907, May Average, Argentina, ARG
6.36589, 1907, Jun Average, Argentina, ARG
7.56294, 1907, Jul Average, Argentina, ARG
7.90934, 1907, Aug Average, Argentina, ARG
10.2915, 1907, Sep Average, Argentina, ARG
13.8527, 1907, Oct Average, Argentina, ARG
17.4874, 1907, Nov Average, Argentina, ARG
19.2571, 1907, Dec Average, Argentina, ARG
20.9844, 1908, Jan Average, Argentina, ARG
19.9938, 1908, Feb Average, Argentina, ARG
18.5747, 1908, Mar Average, Argentina, ARG
12.927, 1908, Apr Average, Argentina, ARG
10.2062, 1908, May Average, Argentina, ARG
8.94377, 1908, Jun Average, Argentina, ARG
8.01542, 1908, Jul Average, Argentina, ARG
8.17028, 1908, Aug Average, Argentina, ARG
11.3846, 1908, Sep Average, Argentina, ARG
14.2443, 1908, Oct Average, Argentina, ARG
16.7869, 1908, Nov Average, Argentina, ARG
19.3794, 1908, Dec Average, Argentina, ARG
21.5678, 1909, Jan Average, Argentina, ARG
19.3854, 1909, Feb Average, Argentina, ARG
18.0389, 1909, Mar Average, Argentina, ARG
14.6884, 1909, Apr Average, Argentina, ARG
9.35909, 1909, May Average, Argentina, ARG
6.99579, 1909, Jun Average, Argentina, ARG
7.11988, 1909, Jul Average, Argentina, ARG
10.4062, 1909, Aug Average, Argentina, ARG
12.0772, 1909, Sep Average, Argentina, ARG
14.0459, 1909, Oct Average, Argentina, ARG
16.2317, 1909, Nov Average, Argentina, ARG
18.5077, 1909, Dec Average, Argentina, ARG
20.1151, 1910, Jan Average, Argentina, ARG
19.0528, 1910, Feb Average, Argentina, ARG
16.4564, 1910, Mar Average, Argentina, ARG
13.1184, 1910, Apr Average, Argentina, ARG
10.1436, 1910, May Average, Argentina, ARG
8.2738, 1910, Jun Average, Argentina, ARG
7.0775, 1910, Jul Average, Argentina, ARG
9.6065, 1910, Aug Average, Argentina, ARG
11.9023, 1910, Sep Average, Argentina, ARG
15.2698, 1910, Oct Average, Argentina, ARG
18.0091, 1910, Nov Average, Argentina, ARG
19.7471, 1910, Dec Average, Argentina, ARG
20.9174, 1911, Jan Average, Argentina, ARG
19.3475, 1911, Feb Average, Argentina, ARG
17.1118, 1911, Mar Average, Argentina, ARG
13.1292, 1911, Apr Average, Argentina, ARG
10.5989, 1911, May Average, Argentina, ARG
7.31195, 1911, Jun Average, Argentina, ARG
7.86888, 1911, Jul Average, Argentina, ARG
7.8979, 1911, Aug Average, Argentina, ARG
10.0511, 1911, Sep Average, Argentina, ARG
13.7604, 1911, Oct Average, Argentina, ARG
17.1549, 1911, Nov Average, Argentina, ARG
19.5462, 1911, Dec Average, Argentina, ARG
21.1965, 1912, Jan Average, Argentina, ARG
20.1902, 1912, Feb Average, Argentina, ARG
18.6656, 1912, Mar Average, Argentina, ARG
14.3624, 1912, Apr Average, Argentina, ARG
9.70829, 1912, May Average, Argentina, ARG
8.26225, 1912, Jun Average, Argentina, ARG
7.07505, 1912, Jul Average, Argentina, ARG
8.24092, 1912, Aug Average, Argentina, ARG
12.5297, 1912, Sep Average, Argentina, ARG
15.5422, 1912, Oct Average, Argentina, ARG
16.9571, 1912, Nov Average, Argentina, ARG
20.8237, 1912, Dec Average, Argentina, ARG
20.9599, 1913, Jan Average, Argentina, ARG
21.2964, 1913, Feb Average, Argentina, ARG
17.6121, 1913, Mar Average, Argentina, ARG
15.4702, 1913, Apr Average, Argentina, ARG
11.0097, 1913, May Average, Argentina, ARG
8.77244, 1913, Jun Average, Argentina, ARG
9.5629, 1913, Jul Average, Argentina, ARG
9.33357, 1913, Aug Average, Argentina, ARG
12.3742, 1913, Sep Average, Argentina, ARG
14.8821, 1913, Oct Average, Argentina, ARG
18.1947, 1913, Nov Average, Argentina, ARG
19.6597, 1913, Dec Average, Argentina, ARG
21.1642, 1914, Jan Average, Argentina, ARG
20.4518, 1914, Feb Average, Argentina, ARG
17.3354, 1914, Mar Average, Argentina, ARG
13.5263, 1914, Apr Average, Argentina, ARG
10.9939, 1914, May Average, Argentina, ARG
9.15075, 1914, Jun Average, Argentina, ARG
9.16135, 1914, Jul Average, Argentina, ARG
8.97037, 1914, Aug Average, Argentina, ARG
11.0079, 1914, Sep Average, Argentina, ARG
13.9201, 1914, Oct Average, Argentina, ARG
15.5327, 1914, Nov Average, Argentina, ARG
18.9654, 1914, Dec Average, Argentina, ARG
20.1041, 1915, Jan Average, Argentina, ARG
20.2074, 1915, Feb Average, Argentina, ARG
16.8667, 1915, Mar Average, Argentina, ARG
13.8318, 1915, Apr Average, Argentina, ARG
10.5475, 1915, May Average, Argentina, ARG
5.68316, 1915, Jun Average, Argentina, ARG
8.3248, 1915, Jul Average, Argentina, ARG
10.0915, 1915, Aug Average, Argentina, ARG
11.6121, 1915, Sep Average, Argentina, ARG
15.0711, 1915, Oct Average, Argentina, ARG
17.8754, 1915, Nov Average, Argentina, ARG
19.9766, 1915, Dec Average, Argentina, ARG
20.8307, 1916, Jan Average, Argentina, ARG
19.9775, 1916, Feb Average, Argentina, ARG
17.2375, 1916, Mar Average, Argentina, ARG
15.1539, 1916, Apr Average, Argentina, ARG
11.3835, 1916, May Average, Argentina, ARG
4.93043, 1916, Jun Average, Argentina, ARG
6.02539, 1916, Jul Average, Argentina, ARG
9.16138, 1916, Aug Average, Argentina, ARG
12.7633, 1916, Sep Average, Argentina, ARG
15.867, 1916, Oct Average, Argentina, ARG
18.2902, 1916, Nov Average, Argentina, ARG
19.3864, 1916, Dec Average, Argentina, ARG
21.8636, 1917, Jan Average, Argentina, ARG
20.0643, 1917, Feb Average, Argentina, ARG
17.2577, 1917, Mar Average, Argentina, ARG
14.2569, 1917, Apr Average, Argentina, ARG
9.26858, 1917, May Average, Argentina, ARG
8.44192, 1917, Jun Average, Argentina, ARG
7.07546, 1917, Jul Average, Argentina, ARG
8.55405, 1917, Aug Average, Argentina, ARG
12.2015, 1917, Sep Average, Argentina, ARG
14.6441, 1917, Oct Average, Argentina, ARG
17.8884, 1917, Nov Average, Argentina, ARG
20.744, 1917, Dec Average, Argentina, ARG
20.4602, 1918, Jan Average, Argentina, ARG
19.9096, 1918, Feb Average, Argentina, ARG
17.5802, 1918, Mar Average, Argentina, ARG
14.5897, 1918, Apr Average, Argentina, ARG
9.23395, 1918, May Average, Argentina, ARG
7.28393, 1918, Jun Average, Argentina, ARG
7.50471, 1918, Jul Average, Argentina, ARG
9.25534, 1918, Aug Average, Argentina, ARG
10.7239, 1918, Sep Average, Argentina, ARG
14.5416, 1918, Oct Average, Argentina, ARG
17.3418, 1918, Nov Average, Argentina, ARG
