Temperature - (Celsius), Year, Statistics, Country, ISO3
-9.0319, 1901, Jan Average, Armenia, ARM
-4.4966, 1901, Feb Average, Armenia, ARM
4.00091, 1901, Mar Average, Armenia, ARM
9.40377, 1901, Apr Average, Armenia, ARM
12.2172, 1901, May Average, Armenia, ARM
17.6246, 1901, Jun Average, Armenia, ARM
21.0118, 1901, Jul Average, Armenia, ARM
20.6235, 1901, Aug Average, Armenia, ARM
14.7882, 1901, Sep Average, Armenia, ARM
6.55509, 1901, Oct Average, Armenia, ARM
1.5806, 1901, Nov Average, Armenia, ARM
-1.183, 1901, Dec Average, Armenia, ARM
-5.3981, 1902, Jan Average, Armenia, ARM
-3.7787, 1902, Feb Average, Armenia, ARM
0.46863, 1902, Mar Average, Armenia, ARM
6.65706, 1902, Apr Average, Armenia, ARM
12.1973, 1902, May Average, Armenia, ARM
17.7119, 1902, Jun Average, Armenia, ARM
19.6993, 1902, Jul Average, Armenia, ARM
20.457, 1902, Aug Average, Armenia, ARM
13.7272, 1902, Sep Average, Armenia, ARM
7.79494, 1902, Oct Average, Armenia, ARM
-0.7985, 1902, Nov Average, Armenia, ARM
-5.4677, 1902, Dec Average, Armenia, ARM
-8.7443, 1903, Jan Average, Armenia, ARM
-6.3903, 1903, Feb Average, Armenia, ARM
-2.7503, 1903, Mar Average, Armenia, ARM
8.35809, 1903, Apr Average, Armenia, ARM
13.037, 1903, May Average, Armenia, ARM
16.9942, 1903, Jun Average, Armenia, ARM
20.5899, 1903, Jul Average, Armenia, ARM
20.1184, 1903, Aug Average, Armenia, ARM
13.7484, 1903, Sep Average, Armenia, ARM
9.12666, 1903, Oct Average, Armenia, ARM
1.74221, 1903, Nov Average, Armenia, ARM
-4.1099, 1903, Dec Average, Armenia, ARM
-11.718, 1904, Jan Average, Armenia, ARM
-3.1414, 1904, Feb Average, Armenia, ARM
0.53162, 1904, Mar Average, Armenia, ARM
4.37945, 1904, Apr Average, Armenia, ARM
10.6749, 1904, May Average, Armenia, ARM
15.2436, 1904, Jun Average, Armenia, ARM
19.9704, 1904, Jul Average, Armenia, ARM
20.379, 1904, Aug Average, Armenia, ARM
15.5204, 1904, Sep Average, Armenia, ARM
9.28387, 1904, Oct Average, Armenia, ARM
3.05222, 1904, Nov Average, Armenia, ARM
-5.4984, 1904, Dec Average, Armenia, ARM
-9.7614, 1905, Jan Average, Armenia, ARM
-8.3046, 1905, Feb Average, Armenia, ARM
-2.062, 1905, Mar Average, Armenia, ARM
6.40768, 1905, Apr Average, Armenia, ARM
11.0228, 1905, May Average, Armenia, ARM
16.8009, 1905, Jun Average, Armenia, ARM
20.2829, 1905, Jul Average, Armenia, ARM
19.5338, 1905, Aug Average, Armenia, ARM
16.1984, 1905, Sep Average, Armenia, ARM
12.1719, 1905, Oct Average, Armenia, ARM
4.55527, 1905, Nov Average, Armenia, ARM
-4.8068, 1905, Dec Average, Armenia, ARM
-9.8778, 1906, Jan Average, Armenia, ARM
-5.3686, 1906, Feb Average, Armenia, ARM
1.25231, 1906, Mar Average, Armenia, ARM
7.0307, 1906, Apr Average, Armenia, ARM
13.4228, 1906, May Average, Armenia, ARM
16.8831, 1906, Jun Average, Armenia, ARM
19.3837, 1906, Jul Average, Armenia, ARM
18.7837, 1906, Aug Average, Armenia, ARM
13.8891, 1906, Sep Average, Armenia, ARM
9.1754, 1906, Oct Average, Armenia, ARM
2.12252, 1906, Nov Average, Armenia, ARM
-2.2137, 1906, Dec Average, Armenia, ARM
-7.8887, 1907, Jan Average, Armenia, ARM
-6.9227, 1907, Feb Average, Armenia, ARM
-0.8503, 1907, Mar Average, Armenia, ARM
5.66649, 1907, Apr Average, Armenia, ARM
12.852, 1907, May Average, Armenia, ARM
17.1447, 1907, Jun Average, Armenia, ARM
21.0754, 1907, Jul Average, Armenia, ARM
19.7336, 1907, Aug Average, Armenia, ARM
13.7421, 1907, Sep Average, Armenia, ARM
7.81649, 1907, Oct Average, Armenia, ARM
-0.8488, 1907, Nov Average, Armenia, ARM
-5.2594, 1907, Dec Average, Armenia, ARM
-8.8448, 1908, Jan Average, Armenia, ARM
-6.4807, 1908, Feb Average, Armenia, ARM
-2.0915, 1908, Mar Average, Armenia, ARM
5.18743, 1908, Apr Average, Armenia, ARM
11.1238, 1908, May Average, Armenia, ARM
16.9098, 1908, Jun Average, Armenia, ARM
19.489, 1908, Jul Average, Armenia, ARM
20.4298, 1908, Aug Average, Armenia, ARM
16.57, 1908, Sep Average, Armenia, ARM
7.35409, 1908, Oct Average, Armenia, ARM
0.29626, 1908, Nov Average, Armenia, ARM
-6.6665, 1908, Dec Average, Armenia, ARM
-10.87, 1909, Jan Average, Armenia, ARM
-6.0292, 1909, Feb Average, Armenia, ARM
0.56014, 1909, Mar Average, Armenia, ARM
5.41837, 1909, Apr Average, Armenia, ARM
13.2934, 1909, May Average, Armenia, ARM
14.7302, 1909, Jun Average, Armenia, ARM
20.9189, 1909, Jul Average, Armenia, ARM
18.9532, 1909, Aug Average, Armenia, ARM
16.9878, 1909, Sep Average, Armenia, ARM
10.1965, 1909, Oct Average, Armenia, ARM
4.82169, 1909, Nov Average, Armenia, ARM
-3.1312, 1909, Dec Average, Armenia, ARM
-5.5824, 1910, Jan Average, Armenia, ARM
-3.6187, 1910, Feb Average, Armenia, ARM
-0.141, 1910, Mar Average, Armenia, ARM
6.78023, 1910, Apr Average, Armenia, ARM
11.9471, 1910, May Average, Armenia, ARM
16.3733, 1910, Jun Average, Armenia, ARM
21.0937, 1910, Jul Average, Armenia, ARM
19.9701, 1910, Aug Average, Armenia, ARM
14.5841, 1910, Sep Average, Armenia, ARM
8.72888, 1910, Oct Average, Armenia, ARM
3.13318, 1910, Nov Average, Armenia, ARM
-7.3569, 1910, Dec Average, Armenia, ARM
-12.375, 1911, Jan Average, Armenia, ARM
-10.192, 1911, Feb Average, Armenia, ARM
-3.0225, 1911, Mar Average, Armenia, ARM
5.23557, 1911, Apr Average, Armenia, ARM
11.5115, 1911, May Average, Armenia, ARM
14.94, 1911, Jun Average, Armenia, ARM
20.2907, 1911, Jul Average, Armenia, ARM
19.5558, 1911, Aug Average, Armenia, ARM
13.5809, 1911, Sep Average, Armenia, ARM
6.4692, 1911, Oct Average, Armenia, ARM
2.615, 1911, Nov Average, Armenia, ARM
-4.66, 1911, Dec Average, Armenia, ARM
-5.9898, 1912, Jan Average, Armenia, ARM
-3.0147, 1912, Feb Average, Armenia, ARM
1.69188, 1912, Mar Average, Armenia, ARM
5.59024, 1912, Apr Average, Armenia, ARM
10.0758, 1912, May Average, Armenia, ARM
17.2908, 1912, Jun Average, Armenia, ARM
18.8143, 1912, Jul Average, Armenia, ARM
19.1123, 1912, Aug Average, Armenia, ARM
17.6688, 1912, Sep Average, Armenia, ARM
8.86027, 1912, Oct Average, Armenia, ARM
3.07778, 1912, Nov Average, Armenia, ARM
-4.8564, 1912, Dec Average, Armenia, ARM
-9.0843, 1913, Jan Average, Armenia, ARM
-9.1764, 1913, Feb Average, Armenia, ARM
0.24035, 1913, Mar Average, Armenia, ARM
5.61938, 1913, Apr Average, Armenia, ARM
11.2946, 1913, May Average, Armenia, ARM
15.0357, 1913, Jun Average, Armenia, ARM
20.616, 1913, Jul Average, Armenia, ARM
21.6735, 1913, Aug Average, Armenia, ARM
16.5035, 1913, Sep Average, Armenia, ARM
7.94759, 1913, Oct Average, Armenia, ARM
2.90251, 1913, Nov Average, Armenia, ARM
-3.0492, 1913, Dec Average, Armenia, ARM
-4.8807, 1914, Jan Average, Armenia, ARM
-2.8572, 1914, Feb Average, Armenia, ARM
3.77666, 1914, Mar Average, Armenia, ARM
6.32558, 1914, Apr Average, Armenia, ARM
11.391, 1914, May Average, Armenia, ARM
15.5564, 1914, Jun Average, Armenia, ARM
20.625, 1914, Jul Average, Armenia, ARM
19.4774, 1914, Aug Average, Armenia, ARM
14.3122, 1914, Sep Average, Armenia, ARM
8.79663, 1914, Oct Average, Armenia, ARM
-0.4693, 1914, Nov Average, Armenia, ARM
-4.9717, 1914, Dec Average, Armenia, ARM
-3.68, 1915, Jan Average, Armenia, ARM
-4.006, 1915, Feb Average, Armenia, ARM
1.83322, 1915, Mar Average, Armenia, ARM
6.20007, 1915, Apr Average, Armenia, ARM
10.8529, 1915, May Average, Armenia, ARM
15.1648, 1915, Jun Average, Armenia, ARM
19.511, 1915, Jul Average, Armenia, ARM
19.3131, 1915, Aug Average, Armenia, ARM
15.0751, 1915, Sep Average, Armenia, ARM
8.82272, 1915, Oct Average, Armenia, ARM
3.81393, 1915, Nov Average, Armenia, ARM
-1.6446, 1915, Dec Average, Armenia, ARM
-5.9262, 1916, Jan Average, Armenia, ARM
-4.9683, 1916, Feb Average, Armenia, ARM
1.29665, 1916, Mar Average, Armenia, ARM
7.63462, 1916, Apr Average, Armenia, ARM
13.1091, 1916, May Average, Armenia, ARM
16.2236, 1916, Jun Average, Armenia, ARM
20.3811, 1916, Jul Average, Armenia, ARM
20.0513, 1916, Aug Average, Armenia, ARM
13.9031, 1916, Sep Average, Armenia, ARM
8.6992, 1916, Oct Average, Armenia, ARM
2.59951, 1916, Nov Average, Armenia, ARM
-2.2628, 1916, Dec Average, Armenia, ARM
-5.1549, 1917, Jan Average, Armenia, ARM
-5.671, 1917, Feb Average, Armenia, ARM
1.49769, 1917, Mar Average, Armenia, ARM
10.8079, 1917, Apr Average, Armenia, ARM
10.7431, 1917, May Average, Armenia, ARM
15.8256, 1917, Jun Average, Armenia, ARM
21.1236, 1917, Jul Average, Armenia, ARM
19.8807, 1917, Aug Average, Armenia, ARM
16.1918, 1917, Sep Average, Armenia, ARM
8.99363, 1917, Oct Average, Armenia, ARM
4.41009, 1917, Nov Average, Armenia, ARM
-4.1579, 1917, Dec Average, Armenia, ARM
-7.0272, 1918, Jan Average, Armenia, ARM
-5.2294, 1918, Feb Average, Armenia, ARM
0.07307, 1918, Mar Average, Armenia, ARM
5.89351, 1918, Apr Average, Armenia, ARM
10.7479, 1918, May Average, Armenia, ARM
15.7529, 1918, Jun Average, Armenia, ARM
20.2491, 1918, Jul Average, Armenia, ARM
20.1406, 1918, Aug Average, Armenia, ARM
17.8526, 1918, Sep Average, Armenia, ARM
12.3715, 1918, Oct Average, Armenia, ARM
2.19117, 1918, Nov Average, Armenia, ARM
-4.1936, 1918, Dec Average, Armenia, ARM
-5.2416, 1919, Jan Average, Armenia, ARM
-4.3392, 1919, Feb Average, Armenia, ARM
0.06918, 1919, Mar Average, Armenia, ARM
8.52003, 1919, Apr Average, Armenia, ARM
9.51724, 1919, May Average, Armenia, ARM
14.2084, 1919, Jun Average, Armenia, ARM
19.1869, 1919, Jul Average, Armenia, ARM
18.843, 1919, Aug Average, Armenia, ARM
16.4795, 1919, Sep Average, Armenia, ARM
12.5724, 1919, Oct Average, Armenia, ARM
3.59645, 1919, Nov Average, Armenia, ARM
-3.8861, 1919, Dec Average, Armenia, ARM
-5.6586, 1920, Jan Average, Armenia, ARM
-11.018, 1920, Feb Average, Armenia, ARM
0.10298, 1920, Mar Average, Armenia, ARM
7.36851, 1920, Apr Average, Armenia, ARM
11.6426, 1920, May Average, Armenia, ARM
16.1705, 1920, Jun Average, Armenia, ARM
19.5843, 1920, Jul Average, Armenia, ARM
20.7048, 1920, Aug Average, Armenia, ARM
15.1527, 1920, Sep Average, Armenia, ARM
6.52571, 1920, Oct Average, Armenia, ARM
-1.5427, 1920, Nov Average, Armenia, ARM
-8.4937, 1920, Dec Average, Armenia, ARM
-7.9626, 1921, Jan Average, Armenia, ARM
-8.8747, 1921, Feb Average, Armenia, ARM
-2.0511, 1921, Mar Average, Armenia, ARM
6.47466, 1921, Apr Average, Armenia, ARM
13.2787, 1921, May Average, Armenia, ARM
16.7363, 1921, Jun Average, Armenia, ARM
20.1965, 1921, Jul Average, Armenia, ARM
19.6616, 1921, Aug Average, Armenia, ARM
14.0589, 1921, Sep Average, Armenia, ARM
7.06031, 1921, Oct Average, Armenia, ARM
1.27708, 1921, Nov Average, Armenia, ARM
-4.6743, 1921, Dec Average, Armenia, ARM
-6.3812, 1922, Jan Average, Armenia, ARM
-4.6399, 1922, Feb Average, Armenia, ARM
1.18031, 1922, Mar Average, Armenia, ARM
7.86051, 1922, Apr Average, Armenia, ARM
13.5149, 1922, May Average, Armenia, ARM
16.3792, 1922, Jun Average, Armenia, ARM
20.5333, 1922, Jul Average, Armenia, ARM
19.9673, 1922, Aug Average, Armenia, ARM
14.5496, 1922, Sep Average, Armenia, ARM
10.1081, 1922, Oct Average, Armenia, ARM
3.23379, 1922, Nov Average, Armenia, ARM
-4.0778, 1922, Dec Average, Armenia, ARM
-6.143, 1923, Jan Average, Armenia, ARM
-5.0681, 1923, Feb Average, Armenia, ARM
0.08703, 1923, Mar Average, Armenia, ARM
4.53345, 1923, Apr Average, Armenia, ARM
13.4691, 1923, May Average, Armenia, ARM
17.8871, 1923, Jun Average, Armenia, ARM
21.0866, 1923, Jul Average, Armenia, ARM
18.1034, 1923, Aug Average, Armenia, ARM
15.6346, 1923, Sep Average, Armenia, ARM
9.72152, 1923, Oct Average, Armenia, ARM
3.6405, 1923, Nov Average, Armenia, ARM
-2.0382, 1923, Dec Average, Armenia, ARM
-4.0775, 1924, Jan Average, Armenia, ARM
-5.1098, 1924, Feb Average, Armenia, ARM
0.57885, 1924, Mar Average, Armenia, ARM
5.87186, 1924, Apr Average, Armenia, ARM
12.8165, 1924, May Average, Armenia, ARM
18.4045, 1924, Jun Average, Armenia, ARM
20.0392, 1924, Jul Average, Armenia, ARM
20.7803, 1924, Aug Average, Armenia, ARM
17.6697, 1924, Sep Average, Armenia, ARM
8.74469, 1924, Oct Average, Armenia, ARM
2.27507, 1924, Nov Average, Armenia, ARM
-6.9771, 1924, Dec Average, Armenia, ARM
-11.208, 1925, Jan Average, Armenia, ARM
-6.2455, 1925, Feb Average, Armenia, ARM
3.57574, 1925, Mar Average, Armenia, ARM
6.13679, 1925, Apr Average, Armenia, ARM
13.4513, 1925, May Average, Armenia, ARM
16.1507, 1925, Jun Average, Armenia, ARM
19.9802, 1925, Jul Average, Armenia, ARM
21.54, 1925, Aug Average, Armenia, ARM
16.7433, 1925, Sep Average, Armenia, ARM
8.44009, 1925, Oct Average, Armenia, ARM
3.17104, 1925, Nov Average, Armenia, ARM
-1.6002, 1925, Dec Average, Armenia, ARM
-6.455, 1926, Jan Average, Armenia, ARM
-4.974, 1926, Feb Average, Armenia, ARM
0.11985, 1926, Mar Average, Armenia, ARM
6.41549, 1926, Apr Average, Armenia, ARM
12.8214, 1926, May Average, Armenia, ARM
16.04, 1926, Jun Average, Armenia, ARM
19.1087, 1926, Jul Average, Armenia, ARM
20.4429, 1926, Aug Average, Armenia, ARM
13.7434, 1926, Sep Average, Armenia, ARM
8.81079, 1926, Oct Average, Armenia, ARM
2.72576, 1926, Nov Average, Armenia, ARM
-2.6529, 1926, Dec Average, Armenia, ARM
-8.5843, 1927, Jan Average, Armenia, ARM
-9.1241, 1927, Feb Average, Armenia, ARM
-0.3047, 1927, Mar Average, Armenia, ARM
6.76354, 1927, Apr Average, Armenia, ARM
12.3906, 1927, May Average, Armenia, ARM
18.0506, 1927, Jun Average, Armenia, ARM
20.4861, 1927, Jul Average, Armenia, ARM
20.9621, 1927, Aug Average, Armenia, ARM
16.677, 1927, Sep Average, Armenia, ARM
12.4536, 1927, Oct Average, Armenia, ARM
2.65665, 1927, Nov Average, Armenia, ARM
-7.1324, 1927, Dec Average, Armenia, ARM
-10.631, 1928, Jan Average, Armenia, ARM
-9.3787, 1928, Feb Average, Armenia, ARM
-5.2831, 1928, Mar Average, Armenia, ARM
8.1214, 1928, Apr Average, Armenia, ARM
12.1588, 1928, May Average, Armenia, ARM
15.7439, 1928, Jun Average, Armenia, ARM
19.5486, 1928, Jul Average, Armenia, ARM
17.6573, 1928, Aug Average, Armenia, ARM
15.8926, 1928, Sep Average, Armenia, ARM
7.43368, 1928, Oct Average, Armenia, ARM
3.8275, 1928, Nov Average, Armenia, ARM
-3.7173, 1928, Dec Average, Armenia, ARM
-9.6436, 1929, Jan Average, Armenia, ARM
-9.8655, 1929, Feb Average, Armenia, ARM
-5.1632, 1929, Mar Average, Armenia, ARM
6.08056, 1929, Apr Average, Armenia, ARM
14.1356, 1929, May Average, Armenia, ARM
15.5488, 1929, Jun Average, Armenia, ARM
19.401, 1929, Jul Average, Armenia, ARM
21.7141, 1929, Aug Average, Armenia, ARM
15.223, 1929, Sep Average, Armenia, ARM
9.9057, 1929, Oct Average, Armenia, ARM
3.64645, 1929, Nov Average, Armenia, ARM
-4.2967, 1929, Dec Average, Armenia, ARM
-5.8754, 1930, Jan Average, Armenia, ARM
-5.5698, 1930, Feb Average, Armenia, ARM
1.49029, 1930, Mar Average, Armenia, ARM
7.30048, 1930, Apr Average, Armenia, ARM
12.5174, 1930, May Average, Armenia, ARM
14.9396, 1930, Jun Average, Armenia, ARM
20.9647, 1930, Jul Average, Armenia, ARM
21.8518, 1930, Aug Average, Armenia, ARM
15.4853, 1930, Sep Average, Armenia, ARM
8.78646, 1930, Oct Average, Armenia, ARM
4.14082, 1930, Nov Average, Armenia, ARM
-3.3998, 1930, Dec Average, Armenia, ARM
-8.72, 1931, Jan Average, Armenia, ARM
-7.397, 1931, Feb Average, Armenia, ARM
0.93049, 1931, Mar Average, Armenia, ARM
5.59064, 1931, Apr Average, Armenia, ARM
11.1435, 1931, May Average, Armenia, ARM
16.2949, 1931, Jun Average, Armenia, ARM
20.8963, 1931, Jul Average, Armenia, ARM
19.9665, 1931, Aug Average, Armenia, ARM
17.103, 1931, Sep Average, Armenia, ARM
8.94635, 1931, Oct Average, Armenia, ARM
0.36969, 1931, Nov Average, Armenia, ARM
-8.4429, 1931, Dec Average, Armenia, ARM
-10.144, 1932, Jan Average, Armenia, ARM
-7.6367, 1932, Feb Average, Armenia, ARM
-0.4095, 1932, Mar Average, Armenia, ARM
7.87605, 1932, Apr Average, Armenia, ARM
12.0318, 1932, May Average, Armenia, ARM
17.7919, 1932, Jun Average, Armenia, ARM
18.6251, 1932, Jul Average, Armenia, ARM
20.3363, 1932, Aug Average, Armenia, ARM
14.7532, 1932, Sep Average, Armenia, ARM
11.6055, 1932, Oct Average, Armenia, ARM
0.52376, 1932, Nov Average, Armenia, ARM
-7.6571, 1932, Dec Average, Armenia, ARM
-12.001, 1933, Jan Average, Armenia, ARM
-7.6247, 1933, Feb Average, Armenia, ARM
-3.3096, 1933, Mar Average, Armenia, ARM
4.74888, 1933, Apr Average, Armenia, ARM
12.5161, 1933, May Average, Armenia, ARM
14.4816, 1933, Jun Average, Armenia, ARM
19.8518, 1933, Jul Average, Armenia, ARM
21.1228, 1933, Aug Average, Armenia, ARM
16.261, 1933, Sep Average, Armenia, ARM
9.25535, 1933, Oct Average, Armenia, ARM
3.64608, 1933, Nov Average, Armenia, ARM
-6.7044, 1933, Dec Average, Armenia, ARM
-10.672, 1934, Jan Average, Armenia, ARM
-6.9819, 1934, Feb Average, Armenia, ARM
-0.0976, 1934, Mar Average, Armenia, ARM
5.78117, 1934, Apr Average, Armenia, ARM
11.7564, 1934, May Average, Armenia, ARM
15.8505, 1934, Jun Average, Armenia, ARM
20.3192, 1934, Jul Average, Armenia, ARM
19.2432, 1934, Aug Average, Armenia, ARM
14.6358, 1934, Sep Average, Armenia, ARM
