Temperature - (Celsius), Year, Statistics, Country, ISO3
24.1599, 1901, Jan Average, Antigua and Barbuda, ATG
24.4982, 1901, Feb Average, Antigua and Barbuda, ATG
24.3526, 1901, Mar Average, Antigua and Barbuda, ATG
25.0516, 1901, Apr Average, Antigua and Barbuda, ATG
25.5504, 1901, May Average, Antigua and Barbuda, ATG
25.7284, 1901, Jun Average, Antigua and Barbuda, ATG
25.702, 1901, Jul Average, Antigua and Barbuda, ATG
26.3149, 1901, Aug Average, Antigua and Barbuda, ATG
26.0905, 1901, Sep Average, Antigua and Barbuda, ATG
25.5698, 1901, Oct Average, Antigua and Barbuda, ATG
24.8053, 1901, Nov Average, Antigua and Barbuda, ATG
23.8871, 1901, Dec Average, Antigua and Barbuda, ATG
23.2062, 1902, Jan Average, Antigua and Barbuda, ATG
23.9091, 1902, Feb Average, Antigua and Barbuda, ATG
23.6173, 1902, Mar Average, Antigua and Barbuda, ATG
23.987, 1902, Apr Average, Antigua and Barbuda, ATG
24.7858, 1902, May Average, Antigua and Barbuda, ATG
25.4665, 1902, Jun Average, Antigua and Barbuda, ATG
25.853, 1902, Jul Average, Antigua and Barbuda, ATG
26.1904, 1902, Aug Average, Antigua and Barbuda, ATG
25.6259, 1902, Sep Average, Antigua and Barbuda, ATG
25.0807, 1902, Oct Average, Antigua and Barbuda, ATG
24.8053, 1902, Nov Average, Antigua and Barbuda, ATG
24.2626, 1902, Dec Average, Antigua and Barbuda, ATG
23.8599, 1903, Jan Average, Antigua and Barbuda, ATG
23.8091, 1903, Feb Average, Antigua and Barbuda, ATG
23.5173, 1903, Mar Average, Antigua and Barbuda, ATG
24.2761, 1903, Apr Average, Antigua and Barbuda, ATG
25.4395, 1903, May Average, Antigua and Barbuda, ATG
26.0284, 1903, Jun Average, Antigua and Barbuda, ATG
25.8911, 1903, Jul Average, Antigua and Barbuda, ATG
25.8258, 1903, Aug Average, Antigua and Barbuda, ATG
25.6659, 1903, Sep Average, Antigua and Barbuda, ATG
25.4079, 1903, Oct Average, Antigua and Barbuda, ATG
24.6808, 1903, Nov Average, Antigua and Barbuda, ATG
23.9871, 1903, Dec Average, Antigua and Barbuda, ATG
23.3599, 1904, Jan Average, Antigua and Barbuda, ATG
23.0845, 1904, Feb Average, Antigua and Barbuda, ATG
22.9173, 1904, Mar Average, Antigua and Barbuda, ATG
23.2788, 1904, Apr Average, Antigua and Barbuda, ATG
24.3776, 1904, May Average, Antigua and Barbuda, ATG
25.1284, 1904, Jun Average, Antigua and Barbuda, ATG
25.202, 1904, Jul Average, Antigua and Barbuda, ATG
25.153, 1904, Aug Average, Antigua and Barbuda, ATG
25.2368, 1904, Sep Average, Antigua and Barbuda, ATG
24.8807, 1904, Oct Average, Antigua and Barbuda, ATG
25.1699, 1904, Nov Average, Antigua and Barbuda, ATG
24.2036, 1904, Dec Average, Antigua and Barbuda, ATG
23.4062, 1905, Jan Average, Antigua and Barbuda, ATG
23.0091, 1905, Feb Average, Antigua and Barbuda, ATG
23.12, 1905, Mar Average, Antigua and Barbuda, ATG
24.6407, 1905, Apr Average, Antigua and Barbuda, ATG
24.2776, 1905, May Average, Antigua and Barbuda, ATG
25.553, 1905, Jun Average, Antigua and Barbuda, ATG
25.7639, 1905, Jul Average, Antigua and Barbuda, ATG
26.0603, 1905, Aug Average, Antigua and Barbuda, ATG
25.7259, 1905, Sep Average, Antigua and Barbuda, ATG
25.3807, 1905, Oct Average, Antigua and Barbuda, ATG
25.3699, 1905, Nov Average, Antigua and Barbuda, ATG
24.0518, 1905, Dec Average, Antigua and Barbuda, ATG
23.1708, 1906, Jan Average, Antigua and Barbuda, ATG
23.3091, 1906, Feb Average, Antigua and Barbuda, ATG
23.3281, 1906, Mar Average, Antigua and Barbuda, ATG
23.9861, 1906, Apr Average, Antigua and Barbuda, ATG
24.7504, 1906, May Average, Antigua and Barbuda, ATG
25.0393, 1906, Jun Average, Antigua and Barbuda, ATG
25.4557, 1906, Jul Average, Antigua and Barbuda, ATG
25.9258, 1906, Aug Average, Antigua and Barbuda, ATG
25.5259, 1906, Sep Average, Antigua and Barbuda, ATG
25.456, 1906, Oct Average, Antigua and Barbuda, ATG
25.2053, 1906, Nov Average, Antigua and Barbuda, ATG
23.1871, 1906, Dec Average, Antigua and Barbuda, ATG
22.4307, 1907, Jan Average, Antigua and Barbuda, ATG
22.3554, 1907, Feb Average, Antigua and Barbuda, ATG
22.5526, 1907, Mar Average, Antigua and Barbuda, ATG
23.3761, 1907, Apr Average, Antigua and Barbuda, ATG
23.8749, 1907, May Average, Antigua and Barbuda, ATG
25.1284, 1907, Jun Average, Antigua and Barbuda, ATG
25.6639, 1907, Jul Average, Antigua and Barbuda, ATG
25.5258, 1907, Aug Average, Antigua and Barbuda, ATG
25.3468, 1907, Sep Average, Antigua and Barbuda, ATG
25.1161, 1907, Oct Average, Antigua and Barbuda, ATG
24.8053, 1907, Nov Average, Antigua and Barbuda, ATG
24.1518, 1907, Dec Average, Antigua and Barbuda, ATG
23.4599, 1908, Jan Average, Antigua and Barbuda, ATG
23.0445, 1908, Feb Average, Antigua and Barbuda, ATG
22.92, 1908, Mar Average, Antigua and Barbuda, ATG
23.3761, 1908, Apr Average, Antigua and Barbuda, ATG
24.0395, 1908, May Average, Antigua and Barbuda, ATG
25.1393, 1908, Jun Average, Antigua and Barbuda, ATG
25.853, 1908, Jul Average, Antigua and Barbuda, ATG
26.0904, 1908, Aug Average, Antigua and Barbuda, ATG
25.7014, 1908, Sep Average, Antigua and Barbuda, ATG
25.1725, 1908, Oct Average, Antigua and Barbuda, ATG
24.5808, 1908, Nov Average, Antigua and Barbuda, ATG
23.9899, 1908, Dec Average, Antigua and Barbuda, ATG
22.9708, 1909, Jan Average, Antigua and Barbuda, ATG
22.8445, 1909, Feb Average, Antigua and Barbuda, ATG
23.8173, 1909, Mar Average, Antigua and Barbuda, ATG
23.387, 1909, Apr Average, Antigua and Barbuda, ATG
24.5749, 1909, May Average, Antigua and Barbuda, ATG
24.6393, 1909, Jun Average, Antigua and Barbuda, ATG
25.453, 1909, Jul Average, Antigua and Barbuda, ATG
25.2603, 1909, Aug Average, Antigua and Barbuda, ATG
25.6905, 1909, Sep Average, Antigua and Barbuda, ATG
25.2698, 1909, Oct Average, Antigua and Barbuda, ATG
24.3162, 1909, Nov Average, Antigua and Barbuda, ATG
23.1871, 1909, Dec Average, Antigua and Barbuda, ATG
22.598, 1910, Jan Average, Antigua and Barbuda, ATG
22.3554, 1910, Feb Average, Antigua and Barbuda, ATG
22.6526, 1910, Mar Average, Antigua and Barbuda, ATG
23.187, 1910, Apr Average, Antigua and Barbuda, ATG
23.8966, 1910, May Average, Antigua and Barbuda, ATG
24.9665, 1910, Jun Average, Antigua and Barbuda, ATG
25.4393, 1910, Jul Average, Antigua and Barbuda, ATG
25.683, 1910, Aug Average, Antigua and Barbuda, ATG
25.2359, 1910, Sep Average, Antigua and Barbuda, ATG
25.5344, 1910, Oct Average, Antigua and Barbuda, ATG
25.2699, 1910, Nov Average, Antigua and Barbuda, ATG
24.2626, 1910, Dec Average, Antigua and Barbuda, ATG
22.7062, 1911, Jan Average, Antigua and Barbuda, ATG
22.62, 1911, Feb Average, Antigua and Barbuda, ATG
22.4989, 1911, Mar Average, Antigua and Barbuda, ATG
23.4761, 1911, Apr Average, Antigua and Barbuda, ATG
23.7885, 1911, May Average, Antigua and Barbuda, ATG
25.4393, 1911, Jun Average, Antigua and Barbuda, ATG
25.0911, 1911, Jul Average, Antigua and Barbuda, ATG
25.8176, 1911, Aug Average, Antigua and Barbuda, ATG
25.6368, 1911, Sep Average, Antigua and Barbuda, ATG
25.3807, 1911, Oct Average, Antigua and Barbuda, ATG
25.1053, 1911, Nov Average, Antigua and Barbuda, ATG
24.2518, 1911, Dec Average, Antigua and Barbuda, ATG
23.8599, 1912, Jan Average, Antigua and Barbuda, ATG
23.6691, 1912, Feb Average, Antigua and Barbuda, ATG
23.2554, 1912, Mar Average, Antigua and Barbuda, ATG
23.9788, 1912, Apr Average, Antigua and Barbuda, ATG
24.7503, 1912, May Average, Antigua and Barbuda, ATG
25.1393, 1912, Jun Average, Antigua and Barbuda, ATG
25.8639, 1912, Jul Average, Antigua and Barbuda, ATG
25.7258, 1912, Aug Average, Antigua and Barbuda, ATG
25.5259, 1912, Sep Average, Antigua and Barbuda, ATG
25.1161, 1912, Oct Average, Antigua and Barbuda, ATG
24.8699, 1912, Nov Average, Antigua and Barbuda, ATG
24.3118, 1912, Dec Average, Antigua and Barbuda, ATG
23.0953, 1913, Jan Average, Antigua and Barbuda, ATG
22.5091, 1913, Feb Average, Antigua and Barbuda, ATG
22.6554, 1913, Mar Average, Antigua and Barbuda, ATG
22.8224, 1913, Apr Average, Antigua and Barbuda, ATG
24.6212, 1913, May Average, Antigua and Barbuda, ATG
