Temperature - (Celsius), Year, Statistics, Country, ISO3
24.7528, 1901, Jan Average, Benin, BEN
28.2184, 1901, Feb Average, Benin, BEN
28.6875, 1901, Mar Average, Benin, BEN
29.6412, 1901, Apr Average, Benin, BEN
27.4849, 1901, May Average, Benin, BEN
26.7003, 1901, Jun Average, Benin, BEN
25.7631, 1901, Jul Average, Benin, BEN
24.9113, 1901, Aug Average, Benin, BEN
25.449, 1901, Sep Average, Benin, BEN
27.1657, 1901, Oct Average, Benin, BEN
27.1548, 1901, Nov Average, Benin, BEN
24.2483, 1901, Dec Average, Benin, BEN
24.411, 1902, Jan Average, Benin, BEN
27.7184, 1902, Feb Average, Benin, BEN
29.4602, 1902, Mar Average, Benin, BEN
31.1395, 1902, Apr Average, Benin, BEN
29.3327, 1902, May Average, Benin, BEN
25.0671, 1902, Jun Average, Benin, BEN
25.9154, 1902, Jul Average, Benin, BEN
25.6849, 1902, Aug Average, Benin, BEN
25.6797, 1902, Sep Average, Benin, BEN
25.0704, 1902, Oct Average, Benin, BEN
27.1548, 1902, Nov Average, Benin, BEN
26.3435, 1902, Dec Average, Benin, BEN
26.6101, 1903, Jan Average, Benin, BEN
28.7095, 1903, Feb Average, Benin, BEN
30.2164, 1903, Mar Average, Benin, BEN
30.1954, 1903, Apr Average, Benin, BEN
28.9165, 1903, May Average, Benin, BEN
27.0067, 1903, Jun Average, Benin, BEN
25.8555, 1903, Jul Average, Benin, BEN
25.5176, 1903, Aug Average, Benin, BEN
26.0069, 1903, Sep Average, Benin, BEN
27.1657, 1903, Oct Average, Benin, BEN
27.1548, 1903, Nov Average, Benin, BEN
26.3435, 1903, Dec Average, Benin, BEN
26.5063, 1904, Jan Average, Benin, BEN
28.5279, 1904, Feb Average, Benin, BEN
29.983, 1904, Mar Average, Benin, BEN
30.1176, 1904, Apr Average, Benin, BEN
28.8646, 1904, May Average, Benin, BEN
27.1104, 1904, Jun Average, Benin, BEN
25.7212, 1904, Jul Average, Benin, BEN
25.3101, 1904, Aug Average, Benin, BEN
26.0069, 1904, Sep Average, Benin, BEN
27.1657, 1904, Oct Average, Benin, BEN
27.1548, 1904, Nov Average, Benin, BEN
26.3435, 1904, Dec Average, Benin, BEN
25.0893, 1905, Jan Average, Benin, BEN
25.6996, 1905, Feb Average, Benin, BEN
28.5453, 1905, Mar Average, Benin, BEN
29.9083, 1905, Apr Average, Benin, BEN
28.9107, 1905, May Average, Benin, BEN
26.3639, 1905, Jun Average, Benin, BEN
25.9362, 1905, Jul Average, Benin, BEN
24.8475, 1905, Aug Average, Benin, BEN
25.9072, 1905, Sep Average, Benin, BEN
26.9937, 1905, Oct Average, Benin, BEN
28.4674, 1905, Nov Average, Benin, BEN
27.4967, 1905, Dec Average, Benin, BEN
25.3658, 1906, Jan Average, Benin, BEN
28.2016, 1906, Feb Average, Benin, BEN
30.4009, 1906, Mar Average, Benin, BEN
32.6206, 1906, Apr Average, Benin, BEN
29.1476, 1906, May Average, Benin, BEN
27.7834, 1906, Jun Average, Benin, BEN
25.4807, 1906, Jul Average, Benin, BEN
24.8605, 1906, Aug Average, Benin, BEN
27.2771, 1906, Sep Average, Benin, BEN
27.8423, 1906, Oct Average, Benin, BEN
27.808, 1906, Nov Average, Benin, BEN
27.667, 1906, Dec Average, Benin, BEN
26.3352, 1907, Jan Average, Benin, BEN
26.3676, 1907, Feb Average, Benin, BEN
29.1547, 1907, Mar Average, Benin, BEN
29.7033, 1907, Apr Average, Benin, BEN
30.031, 1907, May Average, Benin, BEN
27.051, 1907, Jun Average, Benin, BEN
26.4036, 1907, Jul Average, Benin, BEN
25.3039, 1907, Aug Average, Benin, BEN
26.3667, 1907, Sep Average, Benin, BEN
29.1657, 1907, Oct Average, Benin, BEN
27.3548, 1907, Nov Average, Benin, BEN
24.9346, 1907, Dec Average, Benin, BEN
26.1063, 1908, Jan Average, Benin, BEN
27.6575, 1908, Feb Average, Benin, BEN
29.5185, 1908, Mar Average, Benin, BEN
30.8075, 1908, Apr Average, Benin, BEN
30.4216, 1908, May Average, Benin, BEN
28.1076, 1908, Jun Average, Benin, BEN
26.6555, 1908, Jul Average, Benin, BEN
24.8397, 1908, Aug Average, Benin, BEN
26.1908, 1908, Sep Average, Benin, BEN
26.8609, 1908, Oct Average, Benin, BEN
26.2548, 1908, Nov Average, Benin, BEN
25.4435, 1908, Dec Average, Benin, BEN
26.3063, 1909, Jan Average, Benin, BEN
29.7835, 1909, Feb Average, Benin, BEN
32.5349, 1909, Mar Average, Benin, BEN
30.1935, 1909, Apr Average, Benin, BEN
28.4684, 1909, May Average, Benin, BEN
25.4539, 1909, Jun Average, Benin, BEN
24.5515, 1909, Jul Average, Benin, BEN
23.4406, 1909, Aug Average, Benin, BEN
26.0836, 1909, Sep Average, Benin, BEN
25.6657, 1909, Oct Average, Benin, BEN
27.4548, 1909, Nov Average, Benin, BEN
26.3435, 1909, Dec Average, Benin, BEN
