Temperature - (Celsius), Year, Statistics, Country, ISO3
16.976, 1901, Jan Average, Bangladesh, BGD
19.9026, 1901, Feb Average, Bangladesh, BGD
24.3158, 1901, Mar Average, Bangladesh, BGD
28.1834, 1901, Apr Average, Bangladesh, BGD
27.8892, 1901, May Average, Bangladesh, BGD
28.8925, 1901, Jun Average, Bangladesh, BGD
28.3327, 1901, Jul Average, Bangladesh, BGD
27.9243, 1901, Aug Average, Bangladesh, BGD
27.6057, 1901, Sep Average, Bangladesh, BGD
27.0887, 1901, Oct Average, Bangladesh, BGD
22.1671, 1901, Nov Average, Bangladesh, BGD
18.5574, 1901, Dec Average, Bangladesh, BGD
18.5455, 1902, Jan Average, Bangladesh, BGD
20.1252, 1902, Feb Average, Bangladesh, BGD
25.5508, 1902, Mar Average, Bangladesh, BGD
26.5562, 1902, Apr Average, Bangladesh, BGD
27.3165, 1902, May Average, Bangladesh, BGD
28.266, 1902, Jun Average, Bangladesh, BGD
27.6247, 1902, Jul Average, Bangladesh, BGD
28.1001, 1902, Aug Average, Bangladesh, BGD
27.7271, 1902, Sep Average, Bangladesh, BGD
26.0153, 1902, Oct Average, Bangladesh, BGD
21.9907, 1902, Nov Average, Bangladesh, BGD
18.2532, 1902, Dec Average, Bangladesh, BGD
17.7023, 1903, Jan Average, Bangladesh, BGD
19.5474, 1903, Feb Average, Bangladesh, BGD
24.3562, 1903, Mar Average, Bangladesh, BGD
28.0898, 1903, Apr Average, Bangladesh, BGD
28.5913, 1903, May Average, Bangladesh, BGD
27.906, 1903, Jun Average, Bangladesh, BGD
28.6851, 1903, Jul Average, Bangladesh, BGD
27.5889, 1903, Aug Average, Bangladesh, BGD
27.7468, 1903, Sep Average, Bangladesh, BGD
26.8644, 1903, Oct Average, Bangladesh, BGD
22.4298, 1903, Nov Average, Bangladesh, BGD
18.3745, 1903, Dec Average, Bangladesh, BGD
17.7866, 1904, Jan Average, Bangladesh, BGD
19.9656, 1904, Feb Average, Bangladesh, BGD
25.0148, 1904, Mar Average, Bangladesh, BGD
27.3117, 1904, Apr Average, Bangladesh, BGD
27.1157, 1904, May Average, Bangladesh, BGD
27.8145, 1904, Jun Average, Bangladesh, BGD
27.4404, 1904, Jul Average, Bangladesh, BGD
27.9148, 1904, Aug Average, Bangladesh, BGD
27.9551, 1904, Sep Average, Bangladesh, BGD
26.2871, 1904, Oct Average, Bangladesh, BGD
22.1525, 1904, Nov Average, Bangladesh, BGD
18.7779, 1904, Dec Average, Bangladesh, BGD
17, 1905, Jan Average, Bangladesh, BGD
17.8269, 1905, Feb Average, Bangladesh, BGD
22.9851, 1905, Mar Average, Bangladesh, BGD
25.4188, 1905, Apr Average, Bangladesh, BGD
27.1236, 1905, May Average, Bangladesh, BGD
29.0868, 1905, Jun Average, Bangladesh, BGD
27.8607, 1905, Jul Average, Bangladesh, BGD
27.4862, 1905, Aug Average, Bangladesh, BGD
27.8164, 1905, Sep Average, Bangladesh, BGD
26.5021, 1905, Oct Average, Bangladesh, BGD
22.6873, 1905, Nov Average, Bangladesh, BGD
18.6721, 1905, Dec Average, Bangladesh, BGD
17.5423, 1906, Jan Average, Bangladesh, BGD
19.4317, 1906, Feb Average, Bangladesh, BGD
23.0485, 1906, Mar Average, Bangladesh, BGD
27.9907, 1906, Apr Average, Bangladesh, BGD
28.4449, 1906, May Average, Bangladesh, BGD
28.2983, 1906, Jun Average, Bangladesh, BGD
28.3345, 1906, Jul Average, Bangladesh, BGD
27.4695, 1906, Aug Average, Bangladesh, BGD
28.3886, 1906, Sep Average, Bangladesh, BGD
26.428, 1906, Oct Average, Bangladesh, BGD
22.7998, 1906, Nov Average, Bangladesh, BGD
19.2146, 1906, Dec Average, Bangladesh, BGD
19.0642, 1907, Jan Average, Bangladesh, BGD
19.7055, 1907, Feb Average, Bangladesh, BGD
23.1507, 1907, Mar Average, Bangladesh, BGD
26.1498, 1907, Apr Average, Bangladesh, BGD
27.6634, 1907, May Average, Bangladesh, BGD
27.8377, 1907, Jun Average, Bangladesh, BGD
27.8421, 1907, Jul Average, Bangladesh, BGD
28.1978, 1907, Aug Average, Bangladesh, BGD
27.8996, 1907, Sep Average, Bangladesh, BGD
26.7797, 1907, Oct Average, Bangladesh, BGD
22.7542, 1907, Nov Average, Bangladesh, BGD
18.6971, 1907, Dec Average, Bangladesh, BGD
17.2889, 1908, Jan Average, Bangladesh, BGD
20.212, 1908, Feb Average, Bangladesh, BGD
25.0639, 1908, Mar Average, Bangladesh, BGD
29.3307, 1908, Apr Average, Bangladesh, BGD
28.0869, 1908, May Average, Bangladesh, BGD
28.3117, 1908, Jun Average, Bangladesh, BGD
27.9535, 1908, Jul Average, Bangladesh, BGD
28.0517, 1908, Aug Average, Bangladesh, BGD
28.0101, 1908, Sep Average, Bangladesh, BGD
26.5604, 1908, Oct Average, Bangladesh, BGD
22.174, 1908, Nov Average, Bangladesh, BGD
18.3258, 1908, Dec Average, Bangladesh, BGD
18.6933, 1909, Jan Average, Bangladesh, BGD
20.1593, 1909, Feb Average, Bangladesh, BGD
25.9954, 1909, Mar Average, Bangladesh, BGD
26.4867, 1909, Apr Average, Bangladesh, BGD
27.9672, 1909, May Average, Bangladesh, BGD
27.2679, 1909, Jun Average, Bangladesh, BGD
28.1115, 1909, Jul Average, Bangladesh, BGD
27.414, 1909, Aug Average, Bangladesh, BGD
28.3398, 1909, Sep Average, Bangladesh, BGD
26.8933, 1909, Oct Average, Bangladesh, BGD
23.6615, 1909, Nov Average, Bangladesh, BGD
19.1166, 1909, Dec Average, Bangladesh, BGD
17.7787, 1910, Jan Average, Bangladesh, BGD
19.9987, 1910, Feb Average, Bangladesh, BGD
24.3738, 1910, Mar Average, Bangladesh, BGD
26.912, 1910, Apr Average, Bangladesh, BGD
27.8941, 1910, May Average, Bangladesh, BGD
27.3892, 1910, Jun Average, Bangladesh, BGD
27.3739, 1910, Jul Average, Bangladesh, BGD
27.8772, 1910, Aug Average, Bangladesh, BGD
28.2254, 1910, Sep Average, Bangladesh, BGD
26.2802, 1910, Oct Average, Bangladesh, BGD
22.3027, 1910, Nov Average, Bangladesh, BGD
18.1829, 1910, Dec Average, Bangladesh, BGD
19.0692, 1911, Jan Average, Bangladesh, BGD
19.6118, 1911, Feb Average, Bangladesh, BGD
23.8229, 1911, Mar Average, Bangladesh, BGD
26.9944, 1911, Apr Average, Bangladesh, BGD
27.6235, 1911, May Average, Bangladesh, BGD
27.5065, 1911, Jun Average, Bangladesh, BGD
28.14, 1911, Jul Average, Bangladesh, BGD
27.754, 1911, Aug Average, Bangladesh, BGD
27.7117, 1911, Sep Average, Bangladesh, BGD
26.023, 1911, Oct Average, Bangladesh, BGD
22.1109, 1911, Nov Average, Bangladesh, BGD
17.7475, 1911, Dec Average, Bangladesh, BGD
18.2763, 1912, Jan Average, Bangladesh, BGD
20.9062, 1912, Feb Average, Bangladesh, BGD
24.4209, 1912, Mar Average, Bangladesh, BGD
26.0439, 1912, Apr Average, Bangladesh, BGD
27.7741, 1912, May Average, Bangladesh, BGD
28.3068, 1912, Jun Average, Bangladesh, BGD
27.6907, 1912, Jul Average, Bangladesh, BGD
27.7733, 1912, Aug Average, Bangladesh, BGD
27.9862, 1912, Sep Average, Bangladesh, BGD
26.2671, 1912, Oct Average, Bangladesh, BGD
22.3421, 1912, Nov Average, Bangladesh, BGD
18.3319, 1912, Dec Average, Bangladesh, BGD
18.1365, 1913, Jan Average, Bangladesh, BGD
20.7171, 1913, Feb Average, Bangladesh, BGD
23.7257, 1913, Mar Average, Bangladesh, BGD
27.9796, 1913, Apr Average, Bangladesh, BGD
27.0109, 1913, May Average, Bangladesh, BGD
26.8354, 1913, Jun Average, Bangladesh, BGD
28.0541, 1913, Jul Average, Bangladesh, BGD
27.7176, 1913, Aug Average, Bangladesh, BGD
27.8885, 1913, Sep Average, Bangladesh, BGD
26.0772, 1913, Oct Average, Bangladesh, BGD
21.7421, 1913, Nov Average, Bangladesh, BGD
18.151, 1913, Dec Average, Bangladesh, BGD
17.9978, 1914, Jan Average, Bangladesh, BGD
20.6822, 1914, Feb Average, Bangladesh, BGD
24.4306, 1914, Mar Average, Bangladesh, BGD
25.8496, 1914, Apr Average, Bangladesh, BGD
27.4998, 1914, May Average, Bangladesh, BGD
27.9523, 1914, Jun Average, Bangladesh, BGD
28.0274, 1914, Jul Average, Bangladesh, BGD
27.5587, 1914, Aug Average, Bangladesh, BGD
27.6911, 1914, Sep Average, Bangladesh, BGD
25.4273, 1914, Oct Average, Bangladesh, BGD
22.4916, 1914, Nov Average, Bangladesh, BGD
19.2066, 1914, Dec Average, Bangladesh, BGD
18.8711, 1915, Jan Average, Bangladesh, BGD
20.2688, 1915, Feb Average, Bangladesh, BGD
24.1828, 1915, Mar Average, Bangladesh, BGD
27.5293, 1915, Apr Average, Bangladesh, BGD
27.6441, 1915, May Average, Bangladesh, BGD
27.7751, 1915, Jun Average, Bangladesh, BGD
28.176, 1915, Jul Average, Bangladesh, BGD
28.1829, 1915, Aug Average, Bangladesh, BGD
27.7224, 1915, Sep Average, Bangladesh, BGD
28.1302, 1915, Oct Average, Bangladesh, BGD
24.4903, 1915, Nov Average, Bangladesh, BGD
19.089, 1915, Dec Average, Bangladesh, BGD
17.8694, 1916, Jan Average, Bangladesh, BGD
20.4223, 1916, Feb Average, Bangladesh, BGD
25.6592, 1916, Mar Average, Bangladesh, BGD
27.315, 1916, Apr Average, Bangladesh, BGD
28.9475, 1916, May Average, Bangladesh, BGD
27.6135, 1916, Jun Average, Bangladesh, BGD
