Temperature - (Celsius), Year, Statistics, Country, ISO3
-4.6445, 1901, Jan Average, Bulgaria, BGR
-0.7357, 1901, Feb Average, Bulgaria, BGR
6.5266, 1901, Mar Average, Bulgaria, BGR
10.0958, 1901, Apr Average, Bulgaria, BGR
15.3023, 1901, May Average, Bulgaria, BGR
19.9203, 1901, Jun Average, Bulgaria, BGR
21.8432, 1901, Jul Average, Bulgaria, BGR
20.4979, 1901, Aug Average, Bulgaria, BGR
16.4921, 1901, Sep Average, Bulgaria, BGR
12.1647, 1901, Oct Average, Bulgaria, BGR
3.88036, 1901, Nov Average, Bulgaria, BGR
4.43124, 1901, Dec Average, Bulgaria, BGR
1.87552, 1902, Jan Average, Bulgaria, BGR
3.69942, 1902, Feb Average, Bulgaria, BGR
4.36999, 1902, Mar Average, Bulgaria, BGR
9.11533, 1902, Apr Average, Bulgaria, BGR
12.5841, 1902, May Average, Bulgaria, BGR
18.4843, 1902, Jun Average, Bulgaria, BGR
20.3665, 1902, Jul Average, Bulgaria, BGR
21.3994, 1902, Aug Average, Bulgaria, BGR
16.8364, 1902, Sep Average, Bulgaria, BGR
11.8971, 1902, Oct Average, Bulgaria, BGR
1.5974, 1902, Nov Average, Bulgaria, BGR
-3.7687, 1902, Dec Average, Bulgaria, BGR
-1.0618, 1903, Jan Average, Bulgaria, BGR
2.53716, 1903, Feb Average, Bulgaria, BGR
6.27548, 1903, Mar Average, Bulgaria, BGR
8.77659, 1903, Apr Average, Bulgaria, BGR
15.0705, 1903, May Average, Bulgaria, BGR
18.054, 1903, Jun Average, Bulgaria, BGR
20.788, 1903, Jul Average, Bulgaria, BGR
20.5095, 1903, Aug Average, Bulgaria, BGR
17.2279, 1903, Sep Average, Bulgaria, BGR
12.1027, 1903, Oct Average, Bulgaria, BGR
6.70336, 1903, Nov Average, Bulgaria, BGR
2.5236, 1903, Dec Average, Bulgaria, BGR
-2.4771, 1904, Jan Average, Bulgaria, BGR
4.13594, 1904, Feb Average, Bulgaria, BGR
3.87652, 1904, Mar Average, Bulgaria, BGR
9.62654, 1904, Apr Average, Bulgaria, BGR
14.7412, 1904, May Average, Bulgaria, BGR
18.8942, 1904, Jun Average, Bulgaria, BGR
22.031, 1904, Jul Average, Bulgaria, BGR
21.0846, 1904, Aug Average, Bulgaria, BGR
15.7573, 1904, Sep Average, Bulgaria, BGR
