Temperature - (Celsius), Year, Statistics, Country, ISO3
15.6324, 1901, Jan Average, Bahrain, BHR
17.6676, 1901, Feb Average, Bahrain, BHR
22.4857, 1901, Mar Average, Bahrain, BHR
27.3671, 1901, Apr Average, Bahrain, BHR
32.8948, 1901, May Average, Bahrain, BHR
34.5112, 1901, Jun Average, Bahrain, BHR
36.4725, 1901, Jul Average, Bahrain, BHR
35.6153, 1901, Aug Average, Bahrain, BHR
34.3189, 1901, Sep Average, Bahrain, BHR
29.425, 1901, Oct Average, Bahrain, BHR
24.0067, 1901, Nov Average, Bahrain, BHR
20.0564, 1901, Dec Average, Bahrain, BHR
17.1336, 1902, Jan Average, Bahrain, BHR
18.7688, 1902, Feb Average, Bahrain, BHR
23.6634, 1902, Mar Average, Bahrain, BHR
27.2726, 1902, Apr Average, Bahrain, BHR
31.2948, 1902, May Average, Bahrain, BHR
34.3123, 1902, Jun Average, Bahrain, BHR
34.7725, 1902, Jul Average, Bahrain, BHR
34.8153, 1902, Aug Average, Bahrain, BHR
32.6189, 1902, Sep Average, Bahrain, BHR
27.625, 1902, Oct Average, Bahrain, BHR
21.6591, 1902, Nov Average, Bahrain, BHR
16.5841, 1902, Dec Average, Bahrain, BHR
14.6324, 1903, Jan Average, Bahrain, BHR
16.2454, 1903, Feb Average, Bahrain, BHR
20.1857, 1903, Mar Average, Bahrain, BHR
24.4683, 1903, Apr Average, Bahrain, BHR
31.2948, 1903, May Average, Bahrain, BHR
34.2112, 1903, Jun Average, Bahrain, BHR
34.7725, 1903, Jul Average, Bahrain, BHR
36.1153, 1903, Aug Average, Bahrain, BHR
32.9218, 1903, Sep Average, Bahrain, BHR
27.125, 1903, Oct Average, Bahrain, BHR
21.0556, 1903, Nov Average, Bahrain, BHR
16.9575, 1903, Dec Average, Bahrain, BHR
16.4569, 1904, Jan Average, Bahrain, BHR
17.1723, 1904, Feb Average, Bahrain, BHR
20.7904, 1904, Mar Average, Bahrain, BHR
25.2925, 1904, Apr Average, Bahrain, BHR
30.0995, 1904, May Average, Bahrain, BHR
33.1112, 1904, Jun Average, Bahrain, BHR
35.3725, 1904, Jul Average, Bahrain, BHR
34.7153, 1904, Aug Average, Bahrain, BHR
31.8067, 1904, Sep Average, Bahrain, BHR
27.7306, 1904, Oct Average, Bahrain, BHR
24.0321, 1904, Nov Average, Bahrain, BHR
17.5564, 1904, Dec Average, Bahrain, BHR
15.0324, 1905, Jan Average, Bahrain, BHR
16.1676, 1905, Feb Average, Bahrain, BHR
19.8857, 1905, Mar Average, Bahrain, BHR
25.9671, 1905, Apr Average, Bahrain, BHR
30.6439, 1905, May Average, Bahrain, BHR
33.7112, 1905, Jun Average, Bahrain, BHR
35.2216, 1905, Jul Average, Bahrain, BHR
35.2153, 1905, Aug Average, Bahrain, BHR
32.6201, 1905, Sep Average, Bahrain, BHR
29.0101, 1905, Oct Average, Bahrain, BHR
23.2088, 1905, Nov Average, Bahrain, BHR
17.3564, 1905, Dec Average, Bahrain, BHR
15.2336, 1906, Jan Average, Bahrain, BHR
16.5688, 1906, Feb Average, Bahrain, BHR
20.1857, 1906, Mar Average, Bahrain, BHR
24.3671, 1906, Apr Average, Bahrain, BHR
31.2948, 1906, May Average, Bahrain, BHR
33.1112, 1906, Jun Average, Bahrain, BHR
34.9725, 1906, Jul Average, Bahrain, BHR
34.1153, 1906, Aug Average, Bahrain, BHR
31.5201, 1906, Sep Average, Bahrain, BHR
28.1504, 1906, Oct Average, Bahrain, BHR
24.1067, 1906, Nov Average, Bahrain, BHR
19.1809, 1906, Dec Average, Bahrain, BHR
15.9844, 1907, Jan Average, Bahrain, BHR
15.9454, 1907, Feb Average, Bahrain, BHR
20.5857, 1907, Mar Average, Bahrain, BHR
24.6683, 1907, Apr Average, Bahrain, BHR
31.4948, 1907, May Average, Bahrain, BHR
33.4112, 1907, Jun Average, Bahrain, BHR
35.1725, 1907, Jul Average, Bahrain, BHR
34.4162, 1907, Aug Average, Bahrain, BHR
31.9434, 1907, Sep Average, Bahrain, BHR
28.5262, 1907, Oct Average, Bahrain, BHR
21.143, 1907, Nov Average, Bahrain, BHR
17.461, 1907, Dec Average, Bahrain, BHR
16.0101, 1908, Jan Average, Bahrain, BHR
16.2676, 1908, Feb Average, Bahrain, BHR
21.2857, 1908, Mar Average, Bahrain, BHR
26.7671, 1908, Apr Average, Bahrain, BHR
30.5948, 1908, May Average, Bahrain, BHR
34.9112, 1908, Jun Average, Bahrain, BHR
34.6725, 1908, Jul Average, Bahrain, BHR
35.12, 1908, Aug Average, Bahrain, BHR
33.021, 1908, Sep Average, Bahrain, BHR
28.2262, 1908, Oct Average, Bahrain, BHR
23.3312, 1908, Nov Average, Bahrain, BHR
18.5564, 1908, Dec Average, Bahrain, BHR
15.4569, 1909, Jan Average, Bahrain, BHR
18.8454, 1909, Feb Average, Bahrain, BHR
22.3877, 1909, Mar Average, Bahrain, BHR
27.0683, 1909, Apr Average, Bahrain, BHR
31.4799, 1909, May Average, Bahrain, BHR
33.1112, 1909, Jun Average, Bahrain, BHR
35.5772, 1909, Jul Average, Bahrain, BHR
35.2153, 1909, Aug Average, Bahrain, BHR
32.3201, 1909, Sep Average, Bahrain, BHR
