Temperature - (Celsius), Year, Statistics, Country, ISO3
19.9154, 1901, Jan Average, Bahamas, The, BHS
19.8197, 1901, Feb Average, Bahamas, The, BHS
21.3792, 1901, Mar Average, Bahamas, The, BHS
22.0033, 1901, Apr Average, Bahamas, The, BHS
24.4726, 1901, May Average, Bahamas, The, BHS
26.8082, 1901, Jun Average, Bahamas, The, BHS
27.4782, 1901, Jul Average, Bahamas, The, BHS
27.2781, 1901, Aug Average, Bahamas, The, BHS
27.4256, 1901, Sep Average, Bahamas, The, BHS
25.7682, 1901, Oct Average, Bahamas, The, BHS
21.0854, 1901, Nov Average, Bahamas, The, BHS
20.1546, 1901, Dec Average, Bahamas, The, BHS
18.7709, 1902, Jan Average, Bahamas, The, BHS
18.9205, 1902, Feb Average, Bahamas, The, BHS
22.0051, 1902, Mar Average, Bahamas, The, BHS
22.9868, 1902, Apr Average, Bahamas, The, BHS
25.5363, 1902, May Average, Bahamas, The, BHS
27.0167, 1902, Jun Average, Bahamas, The, BHS
27.7117, 1902, Jul Average, Bahamas, The, BHS
27.7205, 1902, Aug Average, Bahamas, The, BHS
27.3531, 1902, Sep Average, Bahamas, The, BHS
26.4941, 1902, Oct Average, Bahamas, The, BHS
24.1642, 1902, Nov Average, Bahamas, The, BHS
21.7171, 1902, Dec Average, Bahamas, The, BHS
20.8732, 1903, Jan Average, Bahamas, The, BHS
22.4375, 1903, Feb Average, Bahamas, The, BHS
23.2926, 1903, Mar Average, Bahamas, The, BHS
22.4022, 1903, Apr Average, Bahamas, The, BHS
24.0485, 1903, May Average, Bahamas, The, BHS
26.4869, 1903, Jun Average, Bahamas, The, BHS
27.4274, 1903, Jul Average, Bahamas, The, BHS
27.8176, 1903, Aug Average, Bahamas, The, BHS
26.5844, 1903, Sep Average, Bahamas, The, BHS
24.7354, 1903, Oct Average, Bahamas, The, BHS
22.4769, 1903, Nov Average, Bahamas, The, BHS
19.4656, 1903, Dec Average, Bahamas, The, BHS
20.3445, 1904, Jan Average, Bahamas, The, BHS
21.5951, 1904, Feb Average, Bahamas, The, BHS
22.8774, 1904, Mar Average, Bahamas, The, BHS
23.1923, 1904, Apr Average, Bahamas, The, BHS
