Temperature - (Celsius), Year, Statistics, Country, ISO3
-5.1011, 1901, Jan Average, Bosnia and Herzegovina, BIH
-3.7211, 1901, Feb Average, Bosnia and Herzegovina, BIH
4.77551, 1901, Mar Average, Bosnia and Herzegovina, BIH
8.92366, 1901, Apr Average, Bosnia and Herzegovina, BIH
12.9881, 1901, May Average, Bosnia and Herzegovina, BIH
17.2227, 1901, Jun Average, Bosnia and Herzegovina, BIH
19.629, 1901, Jul Average, Bosnia and Herzegovina, BIH
18.1973, 1901, Aug Average, Bosnia and Herzegovina, BIH
14.9213, 1901, Sep Average, Bosnia and Herzegovina, BIH
10.9126, 1901, Oct Average, Bosnia and Herzegovina, BIH
3.07337, 1901, Nov Average, Bosnia and Herzegovina, BIH
3.94153, 1901, Dec Average, Bosnia and Herzegovina, BIH
1.63746, 1902, Jan Average, Bosnia and Herzegovina, BIH
2.65632, 1902, Feb Average, Bosnia and Herzegovina, BIH
3.71506, 1902, Mar Average, Bosnia and Herzegovina, BIH
8.99036, 1902, Apr Average, Bosnia and Herzegovina, BIH
9.68935, 1902, May Average, Bosnia and Herzegovina, BIH
15.5808, 1902, Jun Average, Bosnia and Herzegovina, BIH
18.6427, 1902, Jul Average, Bosnia and Herzegovina, BIH
19.2984, 1902, Aug Average, Bosnia and Herzegovina, BIH
15.4866, 1902, Sep Average, Bosnia and Herzegovina, BIH
10.2526, 1902, Oct Average, Bosnia and Herzegovina, BIH
2.1714, 1902, Nov Average, Bosnia and Herzegovina, BIH
-2.0171, 1902, Dec Average, Bosnia and Herzegovina, BIH
-1.7466, 1903, Jan Average, Bosnia and Herzegovina, BIH
2.26033, 1903, Feb Average, Bosnia and Herzegovina, BIH
6.14953, 1903, Mar Average, Bosnia and Herzegovina, BIH
6.09729, 1903, Apr Average, Bosnia and Herzegovina, BIH
13.2019, 1903, May Average, Bosnia and Herzegovina, BIH
15.6627, 1903, Jun Average, Bosnia and Herzegovina, BIH
18.3717, 1903, Jul Average, Bosnia and Herzegovina, BIH
18.8006, 1903, Aug Average, Bosnia and Herzegovina, BIH
15.7378, 1903, Sep Average, Bosnia and Herzegovina, BIH
10.8578, 1903, Oct Average, Bosnia and Herzegovina, BIH
5.79322, 1903, Nov Average, Bosnia and Herzegovina, BIH
2.9501, 1903, Dec Average, Bosnia and Herzegovina, BIH
-1.683, 1904, Jan Average, Bosnia and Herzegovina, BIH
3.25688, 1904, Feb Average, Bosnia and Herzegovina, BIH
