Temperature - (Celsius), Year, Statistics, Country, ISO3
21.4606, 1901, Jan Average, Belize, BLZ
22.2673, 1901, Feb Average, Belize, BLZ
23.6058, 1901, Mar Average, Belize, BLZ
24.3336, 1901, Apr Average, Belize, BLZ
26.1513, 1901, May Average, Belize, BLZ
26.8295, 1901, Jun Average, Belize, BLZ
25.1262, 1901, Jul Average, Belize, BLZ
26.0406, 1901, Aug Average, Belize, BLZ
26.1579, 1901, Sep Average, Belize, BLZ
25.6099, 1901, Oct Average, Belize, BLZ
21.3074, 1901, Nov Average, Belize, BLZ
21.1747, 1901, Dec Average, Belize, BLZ
20.6316, 1902, Jan Average, Belize, BLZ
22.2278, 1902, Feb Average, Belize, BLZ
25.2376, 1902, Mar Average, Belize, BLZ
25.7714, 1902, Apr Average, Belize, BLZ
27.3237, 1902, May Average, Belize, BLZ
26.8074, 1902, Jun Average, Belize, BLZ
26.661, 1902, Jul Average, Belize, BLZ
25.6029, 1902, Aug Average, Belize, BLZ
27.6772, 1902, Sep Average, Belize, BLZ
26.1842, 1902, Oct Average, Belize, BLZ
24.3945, 1902, Nov Average, Belize, BLZ
22.6911, 1902, Dec Average, Belize, BLZ
22.6117, 1903, Jan Average, Belize, BLZ
24.6589, 1903, Feb Average, Belize, BLZ
25.0706, 1903, Mar Average, Belize, BLZ
25.3672, 1903, Apr Average, Belize, BLZ
26.1629, 1903, May Average, Belize, BLZ
27.8419, 1903, Jun Average, Belize, BLZ
26.8428, 1903, Jul Average, Belize, BLZ
26.8155, 1903, Aug Average, Belize, BLZ
27.3114, 1903, Sep Average, Belize, BLZ
25.1271, 1903, Oct Average, Belize, BLZ
22.4832, 1903, Nov Average, Belize, BLZ
20.8764, 1903, Dec Average, Belize, BLZ
21.6382, 1904, Jan Average, Belize, BLZ
23.194, 1904, Feb Average, Belize, BLZ
24.422, 1904, Mar Average, Belize, BLZ
25.8046, 1904, Apr Average, Belize, BLZ
26.4304, 1904, May Average, Belize, BLZ
26.625, 1904, Jun Average, Belize, BLZ
25.3626, 1904, Jul Average, Belize, BLZ
25.7879, 1904, Aug Average, Belize, BLZ
26.0878, 1904, Sep Average, Belize, BLZ
24.9339, 1904, Oct Average, Belize, BLZ
22.2613, 1904, Nov Average, Belize, BLZ
22.1735, 1904, Dec Average, Belize, BLZ
19.674, 1905, Jan Average, Belize, BLZ
23.3534, 1905, Feb Average, Belize, BLZ
24.576, 1905, Mar Average, Belize, BLZ
25.4005, 1905, Apr Average, Belize, BLZ
28.1812, 1905, May Average, Belize, BLZ
27.6319, 1905, Jun Average, Belize, BLZ
25.8814, 1905, Jul Average, Belize, BLZ
26.6537, 1905, Aug Average, Belize, BLZ
26.7298, 1905, Sep Average, Belize, BLZ
26.0947, 1905, Oct Average, Belize, BLZ
23.8535, 1905, Nov Average, Belize, BLZ
22.5557, 1905, Dec Average, Belize, BLZ
20.9816, 1906, Jan Average, Belize, BLZ
21.6337, 1906, Feb Average, Belize, BLZ
23.6073, 1906, Mar Average, Belize, BLZ
25.0474, 1906, Apr Average, Belize, BLZ
26.8411, 1906, May Average, Belize, BLZ
26.5875, 1906, Jun Average, Belize, BLZ
26.559, 1906, Jul Average, Belize, BLZ
26.3529, 1906, Aug Average, Belize, BLZ
26.9359, 1906, Sep Average, Belize, BLZ
25.5056, 1906, Oct Average, Belize, BLZ
23.6443, 1906, Nov Average, Belize, BLZ
21.8494, 1906, Dec Average, Belize, BLZ
22.6899, 1907, Jan Average, Belize, BLZ
22.4494, 1907, Feb Average, Belize, BLZ
24.4101, 1907, Mar Average, Belize, BLZ
25.7691, 1907, Apr Average, Belize, BLZ
27.0574, 1907, May Average, Belize, BLZ
26.7279, 1907, Jun Average, Belize, BLZ
25.5271, 1907, Jul Average, Belize, BLZ
25.7311, 1907, Aug Average, Belize, BLZ
26.0348, 1907, Sep Average, Belize, BLZ
25.2955, 1907, Oct Average, Belize, BLZ
23.9631, 1907, Nov Average, Belize, BLZ
22.1959, 1907, Dec Average, Belize, BLZ
21.115, 1908, Jan Average, Belize, BLZ
21.7424, 1908, Feb Average, Belize, BLZ
24.5896, 1908, Mar Average, Belize, BLZ
27.2036, 1908, Apr Average, Belize, BLZ
27.7015, 1908, May Average, Belize, BLZ
26.9536, 1908, Jun Average, Belize, BLZ
26.1897, 1908, Jul Average, Belize, BLZ
26.1538, 1908, Aug Average, Belize, BLZ
26.2119, 1908, Sep Average, Belize, BLZ
24.4759, 1908, Oct Average, Belize, BLZ
22.4876, 1908, Nov Average, Belize, BLZ
22.587, 1908, Dec Average, Belize, BLZ
21.7713, 1909, Jan Average, Belize, BLZ
22.6708, 1909, Feb Average, Belize, BLZ
25.2307, 1909, Mar Average, Belize, BLZ
26.3001, 1909, Apr Average, Belize, BLZ
28.0058, 1909, May Average, Belize, BLZ
26.6884, 1909, Jun Average, Belize, BLZ
26.7335, 1909, Jul Average, Belize, BLZ
26.4806, 1909, Aug Average, Belize, BLZ
25.9994, 1909, Sep Average, Belize, BLZ
24.9979, 1909, Oct Average, Belize, BLZ
22.3999, 1909, Nov Average, Belize, BLZ
22.0891, 1909, Dec Average, Belize, BLZ
20.4238, 1910, Jan Average, Belize, BLZ
21.6396, 1910, Feb Average, Belize, BLZ
21.9622, 1910, Mar Average, Belize, BLZ
24.1285, 1910, Apr Average, Belize, BLZ
26.1929, 1910, May Average, Belize, BLZ
26.2118, 1910, Jun Average, Belize, BLZ
25.8263, 1910, Jul Average, Belize, BLZ
26.311, 1910, Aug Average, Belize, BLZ
26.0257, 1910, Sep Average, Belize, BLZ
24.869, 1910, Oct Average, Belize, BLZ
21.7824, 1910, Nov Average, Belize, BLZ
20.1717, 1910, Dec Average, Belize, BLZ
21.9285, 1911, Jan Average, Belize, BLZ
22.8423, 1911, Feb Average, Belize, BLZ
24.4568, 1911, Mar Average, Belize, BLZ
26.5155, 1911, Apr Average, Belize, BLZ
24.9397, 1911, May Average, Belize, BLZ
25.7273, 1911, Jun Average, Belize, BLZ
24.5581, 1911, Jul Average, Belize, BLZ
26.2748, 1911, Aug Average, Belize, BLZ
26.5119, 1911, Sep Average, Belize, BLZ
26.2947, 1911, Oct Average, Belize, BLZ
24.4844, 1911, Nov Average, Belize, BLZ
23.0252, 1911, Dec Average, Belize, BLZ
22.3275, 1912, Jan Average, Belize, BLZ
20.8374, 1912, Feb Average, Belize, BLZ
25.2122, 1912, Mar Average, Belize, BLZ
27.7139, 1912, Apr Average, Belize, BLZ
27.3229, 1912, May Average, Belize, BLZ
26.5271, 1912, Jun Average, Belize, BLZ
25.9931, 1912, Jul Average, Belize, BLZ
26.4023, 1912, Aug Average, Belize, BLZ
26.25, 1912, Sep Average, Belize, BLZ
25.709, 1912, Oct Average, Belize, BLZ
22.3222, 1912, Nov Average, Belize, BLZ
23.2039, 1912, Dec Average, Belize, BLZ
23.3415, 1913, Jan Average, Belize, BLZ
24.5575, 1913, Feb Average, Belize, BLZ
25.085, 1913, Mar Average, Belize, BLZ
23.7308, 1913, Apr Average, Belize, BLZ
25.0795, 1913, May Average, Belize, BLZ
25.2518, 1913, Jun Average, Belize, BLZ
25.7464, 1913, Jul Average, Belize, BLZ
26.1878, 1913, Aug Average, Belize, BLZ
25.7347, 1913, Sep Average, Belize, BLZ
24.7969, 1913, Oct Average, Belize, BLZ
22.4977, 1913, Nov Average, Belize, BLZ
22.1235, 1913, Dec Average, Belize, BLZ
21.3087, 1914, Jan Average, Belize, BLZ
22.7909, 1914, Feb Average, Belize, BLZ
21.9825, 1914, Mar Average, Belize, BLZ
25.4291, 1914, Apr Average, Belize, BLZ
25.7718, 1914, May Average, Belize, BLZ
26.0116, 1914, Jun Average, Belize, BLZ
26.5585, 1914, Jul Average, Belize, BLZ
26.9519, 1914, Aug Average, Belize, BLZ
26.0119, 1914, Sep Average, Belize, BLZ
25.014, 1914, Oct Average, Belize, BLZ
22.7025, 1914, Nov Average, Belize, BLZ
23.2079, 1914, Dec Average, Belize, BLZ
21.8085, 1915, Jan Average, Belize, BLZ
21.8528, 1915, Feb Average, Belize, BLZ
21.4742, 1915, Mar Average, Belize, BLZ
23.5324, 1915, Apr Average, Belize, BLZ
27.73, 1915, May Average, Belize, BLZ
27.6393, 1915, Jun Average, Belize, BLZ
27.0453, 1915, Jul Average, Belize, BLZ
26.9998, 1915, Aug Average, Belize, BLZ
26.6436, 1915, Sep Average, Belize, BLZ
25.5935, 1915, Oct Average, Belize, BLZ
23.4944, 1915, Nov Average, Belize, BLZ
22.5753, 1915, Dec Average, Belize, BLZ
23.7627, 1916, Jan Average, Belize, BLZ
21.7265, 1916, Feb Average, Belize, BLZ
23.0583, 1916, Mar Average, Belize, BLZ
24.68, 1916, Apr Average, Belize, BLZ
26.4983, 1916, May Average, Belize, BLZ
26.3003, 1916, Jun Average, Belize, BLZ
26.9424, 1916, Jul Average, Belize, BLZ
26.0665, 1916, Aug Average, Belize, BLZ
25.915, 1916, Sep Average, Belize, BLZ
24.8503, 1916, Oct Average, Belize, BLZ
22.417, 1916, Nov Average, Belize, BLZ
22.6115, 1916, Dec Average, Belize, BLZ
22.6873, 1917, Jan Average, Belize, BLZ
22.1681, 1917, Feb Average, Belize, BLZ
24.5312, 1917, Mar Average, Belize, BLZ
24.9589, 1917, Apr Average, Belize, BLZ
26.6544, 1917, May Average, Belize, BLZ
26.0351, 1917, Jun Average, Belize, BLZ
25.5468, 1917, Jul Average, Belize, BLZ
26.1659, 1917, Aug Average, Belize, BLZ
25.9044, 1917, Sep Average, Belize, BLZ
24.8856, 1917, Oct Average, Belize, BLZ
21.2763, 1917, Nov Average, Belize, BLZ
20.4785, 1917, Dec Average, Belize, BLZ
21.169, 1918, Jan Average, Belize, BLZ
23.7132, 1918, Feb Average, Belize, BLZ
24.5172, 1918, Mar Average, Belize, BLZ
26.0319, 1918, Apr Average, Belize, BLZ
26.4739, 1918, May Average, Belize, BLZ
26.2822, 1918, Jun Average, Belize, BLZ
26.5228, 1918, Jul Average, Belize, BLZ
26.4881, 1918, Aug Average, Belize, BLZ
26.4084, 1918, Sep Average, Belize, BLZ
26.3547, 1918, Oct Average, Belize, BLZ
23.5906, 1918, Nov Average, Belize, BLZ
22.4385, 1918, Dec Average, Belize, BLZ
20.8115, 1919, Jan Average, Belize, BLZ
23.0526, 1919, Feb Average, Belize, BLZ
24.5452, 1919, Mar Average, Belize, BLZ
24.9227, 1919, Apr Average, Belize, BLZ
26.3566, 1919, May Average, Belize, BLZ
26.087, 1919, Jun Average, Belize, BLZ
25.963, 1919, Jul Average, Belize, BLZ
26.5219, 1919, Aug Average, Belize, BLZ
26.26, 1919, Sep Average, Belize, BLZ
25.9042, 1919, Oct Average, Belize, BLZ
24.4308, 1919, Nov Average, Belize, BLZ
22.6548, 1919, Dec Average, Belize, BLZ
22.4407, 1920, Jan Average, Belize, BLZ
22.1568, 1920, Feb Average, Belize, BLZ
24.1913, 1920, Mar Average, Belize, BLZ
27.3691, 1920, Apr Average, Belize, BLZ
26.979, 1920, May Average, Belize, BLZ
25.9781, 1920, Jun Average, Belize, BLZ
25.9464, 1920, Jul Average, Belize, BLZ
26.0756, 1920, Aug Average, Belize, BLZ
26.2455, 1920, Sep Average, Belize, BLZ
24.9618, 1920, Oct Average, Belize, BLZ
22.8948, 1920, Nov Average, Belize, BLZ
22.2204, 1920, Dec Average, Belize, BLZ
21.7539, 1921, Jan Average, Belize, BLZ
22.6184, 1921, Feb Average, Belize, BLZ
24.6734, 1921, Mar Average, Belize, BLZ
25.6743, 1921, Apr Average, Belize, BLZ
24.8729, 1921, May Average, Belize, BLZ
26.2239, 1921, Jun Average, Belize, BLZ
25.8181, 1921, Jul Average, Belize, BLZ
26.2995, 1921, Aug Average, Belize, BLZ
26.1503, 1921, Sep Average, Belize, BLZ
25.1786, 1921, Oct Average, Belize, BLZ
24.1554, 1921, Nov Average, Belize, BLZ
23.0813, 1921, Dec Average, Belize, BLZ
22.654, 1922, Jan Average, Belize, BLZ
23.2706, 1922, Feb Average, Belize, BLZ
25.0624, 1922, Mar Average, Belize, BLZ
27.0368, 1922, Apr Average, Belize, BLZ
26.7002, 1922, May Average, Belize, BLZ
26.6, 1922, Jun Average, Belize, BLZ
26.1275, 1922, Jul Average, Belize, BLZ
26.7231, 1922, Aug Average, Belize, BLZ
26.5154, 1922, Sep Average, Belize, BLZ
25.5917, 1922, Oct Average, Belize, BLZ
23.9162, 1922, Nov Average, Belize, BLZ
22.8204, 1922, Dec Average, Belize, BLZ
22.3918, 1923, Jan Average, Belize, BLZ
22.9769, 1923, Feb Average, Belize, BLZ
24.7095, 1923, Mar Average, Belize, BLZ
26.2205, 1923, Apr Average, Belize, BLZ
27.0745, 1923, May Average, Belize, BLZ
26.5665, 1923, Jun Average, Belize, BLZ
26.1468, 1923, Jul Average, Belize, BLZ
26.3712, 1923, Aug Average, Belize, BLZ
26.5198, 1923, Sep Average, Belize, BLZ
25.1457, 1923, Oct Average, Belize, BLZ
22.4817, 1923, Nov Average, Belize, BLZ
23.0852, 1923, Dec Average, Belize, BLZ
22.3035, 1924, Jan Average, Belize, BLZ
21.19, 1924, Feb Average, Belize, BLZ
23.758, 1924, Mar Average, Belize, BLZ
26.2786, 1924, Apr Average, Belize, BLZ
26.9534, 1924, May Average, Belize, BLZ
27.1587, 1924, Jun Average, Belize, BLZ
26.4581, 1924, Jul Average, Belize, BLZ
26.5592, 1924, Aug Average, Belize, BLZ
26.3223, 1924, Sep Average, Belize, BLZ
25.2961, 1924, Oct Average, Belize, BLZ
22.59, 1924, Nov Average, Belize, BLZ
23.2096, 1924, Dec Average, Belize, BLZ
23.2269, 1925, Jan Average, Belize, BLZ
22.8008, 1925, Feb Average, Belize, BLZ
23.4981, 1925, Mar Average, Belize, BLZ
24.6351, 1925, Apr Average, Belize, BLZ
25.4727, 1925, May Average, Belize, BLZ
26.08, 1925, Jun Average, Belize, BLZ
25.9644, 1925, Jul Average, Belize, BLZ
26.6154, 1925, Aug Average, Belize, BLZ
26.2951, 1925, Sep Average, Belize, BLZ
26.2905, 1925, Oct Average, Belize, BLZ
23.7822, 1925, Nov Average, Belize, BLZ
22.6413, 1925, Dec Average, Belize, BLZ
22.0026, 1926, Jan Average, Belize, BLZ
22.4658, 1926, Feb Average, Belize, BLZ
24.3621, 1926, Mar Average, Belize, BLZ
25.8521, 1926, Apr Average, Belize, BLZ
25.9994, 1926, May Average, Belize, BLZ
26.6023, 1926, Jun Average, Belize, BLZ
26.7373, 1926, Jul Average, Belize, BLZ
26.5058, 1926, Aug Average, Belize, BLZ
26.8476, 1926, Sep Average, Belize, BLZ
