Temperature - (Celsius), Year, Statistics, Country, ISO3
25.0658, 1901, Jan Average, Barbados, BRB
25.0658, 1901, Feb Average, Barbados, BRB
25.3658, 1901, Mar Average, Barbados, BRB
26.2317, 1901, Apr Average, Barbados, BRB
26.7634, 1901, May Average, Barbados, BRB
26.6634, 1901, Jun Average, Barbados, BRB
26.7634, 1901, Jul Average, Barbados, BRB
26.7634, 1901, Aug Average, Barbados, BRB
26.1976, 1901, Sep Average, Barbados, BRB
25.9317, 1901, Oct Average, Barbados, BRB
25.6317, 1901, Nov Average, Barbados, BRB
24.7317, 1901, Dec Average, Barbados, BRB
24.3658, 1902, Jan Average, Barbados, BRB
24.5658, 1902, Feb Average, Barbados, BRB
24.4658, 1902, Mar Average, Barbados, BRB
25.3658, 1902, Apr Average, Barbados, BRB
26.3976, 1902, May Average, Barbados, BRB
26.5634, 1902, Jun Average, Barbados, BRB
26.3634, 1902, Jul Average, Barbados, BRB
26.5634, 1902, Aug Average, Barbados, BRB
26.0976, 1902, Sep Average, Barbados, BRB
25.6317, 1902, Oct Average, Barbados, BRB
25.7976, 1902, Nov Average, Barbados, BRB
25.1658, 1902, Dec Average, Barbados, BRB
24.7, 1903, Jan Average, Barbados, BRB
24.6658, 1903, Feb Average, Barbados, BRB
24.5658, 1903, Mar Average, Barbados, BRB
25.4317, 1903, Apr Average, Barbados, BRB
26.1634, 1903, May Average, Barbados, BRB
26.6634, 1903, Jun Average, Barbados, BRB
26.6634, 1903, Jul Average, Barbados, BRB
26.3976, 1903, Aug Average, Barbados, BRB
26.0317, 1903, Sep Average, Barbados, BRB
26.3317, 1903, Oct Average, Barbados, BRB
25.5976, 1903, Nov Average, Barbados, BRB
24.8317, 1903, Dec Average, Barbados, BRB
24.2, 1904, Jan Average, Barbados, BRB
23.9658, 1904, Feb Average, Barbados, BRB
23.9, 1904, Mar Average, Barbados, BRB
24.7317, 1904, Apr Average, Barbados, BRB
25.8976, 1904, May Average, Barbados, BRB
25.8293, 1904, Jun Average, Barbados, BRB
26.1976, 1904, Jul Average, Barbados, BRB
25.9634, 1904, Aug Average, Barbados, BRB
25.9976, 1904, Sep Average, Barbados, BRB
25.3317, 1904, Oct Average, Barbados, BRB
25.6976, 1904, Nov Average, Barbados, BRB
24.9317, 1904, Dec Average, Barbados, BRB
24.8, 1905, Jan Average, Barbados, BRB
23.8658, 1905, Feb Average, Barbados, BRB
24.2658, 1905, Mar Average, Barbados, BRB
25.6317, 1905, Apr Average, Barbados, BRB
25.6976, 1905, May Average, Barbados, BRB
26.2293, 1905, Jun Average, Barbados, BRB
26.3976, 1905, Jul Average, Barbados, BRB
26.6634, 1905, Aug Average, Barbados, BRB
26.2976, 1905, Sep Average, Barbados, BRB
25.8317, 1905, Oct Average, Barbados, BRB
26.0317, 1905, Nov Average, Barbados, BRB
24.5317, 1905, Dec Average, Barbados, BRB
24.3, 1906, Jan Average, Barbados, BRB
24.3, 1906, Feb Average, Barbados, BRB
24.5658, 1906, Mar Average, Barbados, BRB
25.1317, 1906, Apr Average, Barbados, BRB
26.0976, 1906, May Average, Barbados, BRB
25.9293, 1906, Jun Average, Barbados, BRB
26.0634, 1906, Jul Average, Barbados, BRB
26.4634, 1906, Aug Average, Barbados, BRB
25.9976, 1906, Sep Average, Barbados, BRB
26.1317, 1906, Oct Average, Barbados, BRB
26.0317, 1906, Nov Average, Barbados, BRB
24.4317, 1906, Dec Average, Barbados, BRB
23.8, 1907, Jan Average, Barbados, BRB
23.8, 1907, Feb Average, Barbados, BRB
23.8, 1907, Mar Average, Barbados, BRB
24.7658, 1907, Apr Average, Barbados, BRB
25.2634, 1907, May Average, Barbados, BRB
25.8634, 1907, Jun Average, Barbados, BRB
26.1634, 1907, Jul Average, Barbados, BRB
26.1634, 1907, Aug Average, Barbados, BRB
25.9976, 1907, Sep Average, Barbados, BRB
25.9317, 1907, Oct Average, Barbados, BRB
25.5976, 1907, Nov Average, Barbados, BRB
24.9658, 1907, Dec Average, Barbados, BRB
24.3658, 1908, Jan Average, Barbados, BRB
24.0658, 1908, Feb Average, Barbados, BRB
24, 1908, Mar Average, Barbados, BRB
24.8317, 1908, Apr Average, Barbados, BRB
25.0634, 1908, May Average, Barbados, BRB
26.1293, 1908, Jun Average, Barbados, BRB
26.1634, 1908, Jul Average, Barbados, BRB
26.2976, 1908, Aug Average, Barbados, BRB
26.1976, 1908, Sep Average, Barbados, BRB
25.7658, 1908, Oct Average, Barbados, BRB
25.3976, 1908, Nov Average, Barbados, BRB
25.3658, 1908, Dec Average, Barbados, BRB
24.0658, 1909, Jan Average, Barbados, BRB
23.8658, 1909, Feb Average, Barbados, BRB
24.7658, 1909, Mar Average, Barbados, BRB
25.0317, 1909, Apr Average, Barbados, BRB
25.8634, 1909, May Average, Barbados, BRB
25.7293, 1909, Jun Average, Barbados, BRB
25.9634, 1909, Jul Average, Barbados, BRB
25.9634, 1909, Aug Average, Barbados, BRB
25.8976, 1909, Sep Average, Barbados, BRB
25.7317, 1909, Oct Average, Barbados, BRB
25.6317, 1909, Nov Average, Barbados, BRB
24.3658, 1909, Dec Average, Barbados, BRB
23.8, 1910, Jan Average, Barbados, BRB
23.8, 1910, Feb Average, Barbados, BRB
24, 1910, Mar Average, Barbados, BRB
24.6658, 1910, Apr Average, Barbados, BRB
25.8634, 1910, May Average, Barbados, BRB
26.0634, 1910, Jun Average, Barbados, BRB
26.0976, 1910, Jul Average, Barbados, BRB
26.3634, 1910, Aug Average, Barbados, BRB
25.6317, 1910, Sep Average, Barbados, BRB
25.4976, 1910, Oct Average, Barbados, BRB
25.9976, 1910, Nov Average, Barbados, BRB
25.3658, 1910, Dec Average, Barbados, BRB
24.0658, 1911, Jan Average, Barbados, BRB
23.7658, 1911, Feb Average, Barbados, BRB
24.3, 1911, Mar Average, Barbados, BRB
24.9317, 1911, Apr Average, Barbados, BRB
25.4976, 1911, May Average, Barbados, BRB
26.3634, 1911, Jun Average, Barbados, BRB
25.7976, 1911, Jul Average, Barbados, BRB
26.3976, 1911, Aug Average, Barbados, BRB
26.2976, 1911, Sep Average, Barbados, BRB
25.9317, 1911, Oct Average, Barbados, BRB
25.8976, 1911, Nov Average, Barbados, BRB
25.1317, 1911, Dec Average, Barbados, BRB
24.8, 1912, Jan Average, Barbados, BRB
24.7, 1912, Feb Average, Barbados, BRB
24.6, 1912, Mar Average, Barbados, BRB
25.4317, 1912, Apr Average, Barbados, BRB
26.2634, 1912, May Average, Barbados, BRB
26.2293, 1912, Jun Average, Barbados, BRB
26.3976, 1912, Jul Average, Barbados, BRB
26.3634, 1912, Aug Average, Barbados, BRB
25.9976, 1912, Sep Average, Barbados, BRB
25.9658, 1912, Oct Average, Barbados, BRB
25.6976, 1912, Nov Average, Barbados, BRB
25.2317, 1912, Dec Average, Barbados, BRB
24, 1913, Jan Average, Barbados, BRB
23.2658, 1913, Feb Average, Barbados, BRB
24.0658, 1913, Mar Average, Barbados, BRB
24.8658, 1913, Apr Average, Barbados, BRB
26.5976, 1913, May Average, Barbados, BRB
25.8293, 1913, Jun Average, Barbados, BRB
25.4634, 1913, Jul Average, Barbados, BRB
25.5976, 1913, Aug Average, Barbados, BRB
25.7976, 1913, Sep Average, Barbados, BRB
25.0658, 1913, Oct Average, Barbados, BRB
25.0976, 1913, Nov Average, Barbados, BRB
24.1317, 1913, Dec Average, Barbados, BRB
24.3, 1914, Jan Average, Barbados, BRB
24.6, 1914, Feb Average, Barbados, BRB
24.9, 1914, Mar Average, Barbados, BRB
24.8317, 1914, Apr Average, Barbados, BRB
25.2634, 1914, May Average, Barbados, BRB
25.7634, 1914, Jun Average, Barbados, BRB
25.6634, 1914, Jul Average, Barbados, BRB
25.3634, 1914, Aug Average, Barbados, BRB
25.4634, 1914, Sep Average, Barbados, BRB
25.2317, 1914, Oct Average, Barbados, BRB
25.0976, 1914, Nov Average, Barbados, BRB
25.0317, 1914, Dec Average, Barbados, BRB
24.5658, 1915, Jan Average, Barbados, BRB
24.2658, 1915, Feb Average, Barbados, BRB
25.1, 1915, Mar Average, Barbados, BRB
25.4317, 1915, Apr Average, Barbados, BRB
26.0976, 1915, May Average, Barbados, BRB
26.1293, 1915, Jun Average, Barbados, BRB
26.1634, 1915, Jul Average, Barbados, BRB
26.6634, 1915, Aug Average, Barbados, BRB
26.1976, 1915, Sep Average, Barbados, BRB
26.2317, 1915, Oct Average, Barbados, BRB
25.8976, 1915, Nov Average, Barbados, BRB
25.0317, 1915, Dec Average, Barbados, BRB
24.0658, 1916, Jan Average, Barbados, BRB
24.0658, 1916, Feb Average, Barbados, BRB
24.4, 1916, Mar Average, Barbados, BRB
25.2658, 1916, Apr Average, Barbados, BRB
25.9634, 1916, May Average, Barbados, BRB
26.0293, 1916, Jun Average, Barbados, BRB
25.9634, 1916, Jul Average, Barbados, BRB
25.7634, 1916, Aug Average, Barbados, BRB
25.6976, 1916, Sep Average, Barbados, BRB
25.5317, 1916, Oct Average, Barbados, BRB
25.0976, 1916, Nov Average, Barbados, BRB
24.1317, 1916, Dec Average, Barbados, BRB
23.7658, 1917, Jan Average, Barbados, BRB
23.6658, 1917, Feb Average, Barbados, BRB
23.9, 1917, Mar Average, Barbados, BRB
24.7317, 1917, Apr Average, Barbados, BRB
26.0634, 1917, May Average, Barbados, BRB
26.2293, 1917, Jun Average, Barbados, BRB
26.1634, 1917, Jul Average, Barbados, BRB
25.7634, 1917, Aug Average, Barbados, BRB
25.7976, 1917, Sep Average, Barbados, BRB
25.8976, 1917, Oct Average, Barbados, BRB
25.6634, 1917, Nov Average, Barbados, BRB
24.7317, 1917, Dec Average, Barbados, BRB
23.9658, 1918, Jan Average, Barbados, BRB
23.9658, 1918, Feb Average, Barbados, BRB
24.0658, 1918, Mar Average, Barbados, BRB
24.5976, 1918, Apr Average, Barbados, BRB
25.4634, 1918, May Average, Barbados, BRB
26.3293, 1918, Jun Average, Barbados, BRB
26.2976, 1918, Jul Average, Barbados, BRB
26.3634, 1918, Aug Average, Barbados, BRB
26.4634, 1918, Sep Average, Barbados, BRB
26.1317, 1918, Oct Average, Barbados, BRB
25.6976, 1918, Nov Average, Barbados, BRB
24.5658, 1918, Dec Average, Barbados, BRB
23.9658, 1919, Jan Average, Barbados, BRB
24.4, 1919, Feb Average, Barbados, BRB
24.4, 1919, Mar Average, Barbados, BRB
24.9317, 1919, Apr Average, Barbados, BRB
25.9634, 1919, May Average, Barbados, BRB
26.4293, 1919, Jun Average, Barbados, BRB
25.9976, 1919, Jul Average, Barbados, BRB
26.1634, 1919, Aug Average, Barbados, BRB
25.8976, 1919, Sep Average, Barbados, BRB
25.5658, 1919, Oct Average, Barbados, BRB
24.9976, 1919, Nov Average, Barbados, BRB
24.8317, 1919, Dec Average, Barbados, BRB
24, 1920, Jan Average, Barbados, BRB
24, 1920, Feb Average, Barbados, BRB
24.3658, 1920, Mar Average, Barbados, BRB
25.1658, 1920, Apr Average, Barbados, BRB
25.7634, 1920, May Average, Barbados, BRB
25.7634, 1920, Jun Average, Barbados, BRB
25.7634, 1920, Jul Average, Barbados, BRB
25.8634, 1920, Aug Average, Barbados, BRB
25.4976, 1920, Sep Average, Barbados, BRB
25.5658, 1920, Oct Average, Barbados, BRB
25.3976, 1920, Nov Average, Barbados, BRB
24.5658, 1920, Dec Average, Barbados, BRB
24.3658, 1921, Jan Average, Barbados, BRB
24.4658, 1921, Feb Average, Barbados, BRB
24.6658, 1921, Mar Average, Barbados, BRB
24.6317, 1921, Apr Average, Barbados, BRB
26.0634, 1921, May Average, Barbados, BRB
25.8293, 1921, Jun Average, Barbados, BRB
25.4976, 1921, Jul Average, Barbados, BRB
25.9634, 1921, Aug Average, Barbados, BRB
26.0976, 1921, Sep Average, Barbados, BRB
25.4317, 1921, Oct Average, Barbados, BRB
25.4976, 1921, Nov Average, Barbados, BRB
24.7317, 1921, Dec Average, Barbados, BRB
24.2, 1922, Jan Average, Barbados, BRB
24.1658, 1922, Feb Average, Barbados, BRB
24.1, 1922, Mar Average, Barbados, BRB
24.6317, 1922, Apr Average, Barbados, BRB
25.5634, 1922, May Average, Barbados, BRB
25.7634, 1922, Jun Average, Barbados, BRB
25.9634, 1922, Jul Average, Barbados, BRB
25.7634, 1922, Aug Average, Barbados, BRB
25.8976, 1922, Sep Average, Barbados, BRB
25.8317, 1922, Oct Average, Barbados, BRB
25.2976, 1922, Nov Average, Barbados, BRB
24.1317, 1922, Dec Average, Barbados, BRB
23.8658, 1923, Jan Average, Barbados, BRB
23.5658, 1923, Feb Average, Barbados, BRB
23.8658, 1923, Mar Average, Barbados, BRB
24.7317, 1923, Apr Average, Barbados, BRB
26.3634, 1923, May Average, Barbados, BRB
25.7634, 1923, Jun Average, Barbados, BRB
25.9976, 1923, Jul Average, Barbados, BRB
26.2976, 1923, Aug Average, Barbados, BRB
26.1976, 1923, Sep Average, Barbados, BRB
26.0317, 1923, Oct Average, Barbados, BRB
25.9976, 1923, Nov Average, Barbados, BRB
24.6317, 1923, Dec Average, Barbados, BRB
