Temperature - (Celsius), Year, Statistics, Country, ISO3
24.8058, 1901, Jan Average, Brunei, BRN
24.8405, 1901, Feb Average, Brunei, BRN
25.3147, 1901, Mar Average, Brunei, BRN
25.7855, 1901, Apr Average, Brunei, BRN
25.8877, 1901, May Average, Brunei, BRN
25.6681, 1901, Jun Average, Brunei, BRN
25.4188, 1901, Jul Average, Brunei, BRN
25.4061, 1901, Aug Average, Brunei, BRN
25.4182, 1901, Sep Average, Brunei, BRN
25.3314, 1901, Oct Average, Brunei, BRN
25.0069, 1901, Nov Average, Brunei, BRN
25.1376, 1901, Dec Average, Brunei, BRN
24.8093, 1902, Jan Average, Brunei, BRN
24.7987, 1902, Feb Average, Brunei, BRN
25.3182, 1902, Mar Average, Brunei, BRN
25.775, 1902, Apr Average, Brunei, BRN
25.8843, 1902, May Average, Brunei, BRN
25.6646, 1902, Jun Average, Brunei, BRN
25.4049, 1902, Jul Average, Brunei, BRN
25.413, 1902, Aug Average, Brunei, BRN
25.3834, 1902, Sep Average, Brunei, BRN
25.3245, 1902, Oct Average, Brunei, BRN
24.9965, 1902, Nov Average, Brunei, BRN
25.1655, 1902, Dec Average, Brunei, BRN
24.7779, 1903, Jan Average, Brunei, BRN
24.1935, 1903, Feb Average, Brunei, BRN
24.6608, 1903, Mar Average, Brunei, BRN
25.1219, 1903, Apr Average, Brunei, BRN
25.6845, 1903, May Average, Brunei, BRN
25.4788, 1903, Jun Average, Brunei, BRN
24.586, 1903, Jul Average, Brunei, BRN
25.1473, 1903, Aug Average, Brunei, BRN
24.482, 1903, Sep Average, Brunei, BRN
24.4056, 1903, Oct Average, Brunei, BRN
24.1714, 1903, Nov Average, Brunei, BRN
24.1302, 1903, Dec Average, Brunei, BRN
23.7636, 1904, Jan Average, Brunei, BRN
23.3746, 1904, Feb Average, Brunei, BRN
24.1084, 1904, Mar Average, Brunei, BRN
23.9148, 1904, Apr Average, Brunei, BRN
24.017, 1904, May Average, Brunei, BRN
24.4427, 1904, Jun Average, Brunei, BRN
24.7544, 1904, Jul Average, Brunei, BRN
24.0339, 1904, Aug Average, Brunei, BRN
25.366, 1904, Sep Average, Brunei, BRN
23.9358, 1904, Oct Average, Brunei, BRN
23.4228, 1904, Nov Average, Brunei, BRN
23.6569, 1904, Dec Average, Brunei, BRN
24.1257, 1905, Jan Average, Brunei, BRN
23.4597, 1905, Feb Average, Brunei, BRN
24.8475, 1905, Mar Average, Brunei, BRN
25.4893, 1905, Apr Average, Brunei, BRN
25.6732, 1905, May Average, Brunei, BRN
24.9976, 1905, Jun Average, Brunei, BRN
24.1118, 1905, Jul Average, Brunei, BRN
24.4013, 1905, Aug Average, Brunei, BRN
24.2848, 1905, Sep Average, Brunei, BRN
24.2093, 1905, Oct Average, Brunei, BRN
23.6078, 1905, Nov Average, Brunei, BRN
24.6843, 1905, Dec Average, Brunei, BRN
24.4071, 1906, Jan Average, Brunei, BRN
24.8518, 1906, Feb Average, Brunei, BRN
25.029, 1906, Mar Average, Brunei, BRN
25.8081, 1906, Apr Average, Brunei, BRN
25.8773, 1906, May Average, Brunei, BRN
24.7284, 1906, Jun Average, Brunei, BRN
24.6754, 1906, Jul Average, Brunei, BRN
24.7739, 1906, Aug Average, Brunei, BRN
24.1971, 1906, Sep Average, Brunei, BRN
24.2102, 1906, Oct Average, Brunei, BRN
23.8822, 1906, Nov Average, Brunei, BRN
24.7694, 1906, Dec Average, Brunei, BRN
23.8435, 1907, Jan Average, Brunei, BRN
23.9191, 1907, Feb Average, Brunei, BRN
24.1049, 1907, Mar Average, Brunei, BRN
24.6564, 1907, Apr Average, Brunei, BRN
24.856, 1907, May Average, Brunei, BRN
25.0037, 1907, Jun Average, Brunei, BRN
24.2976, 1907, Jul Average, Brunei, BRN
24.212, 1907, Aug Average, Brunei, BRN
24.1077, 1907, Sep Average, Brunei, BRN
24.7608, 1907, Oct Average, Brunei, BRN
24.4406, 1907, Nov Average, Brunei, BRN
24.5818, 1907, Dec Average, Brunei, BRN
24.4922, 1908, Jan Average, Brunei, BRN
24.6547, 1908, Feb Average, Brunei, BRN
24.4679, 1908, Mar Average, Brunei, BRN
25.2079, 1908, Apr Average, Brunei, BRN
24.6527, 1908, May Average, Brunei, BRN
24.718, 1908, Jun Average, Brunei, BRN
24.3871, 1908, Jul Average, Brunei, BRN
25.0413, 1908, Aug Average, Brunei, BRN
24.5645, 1908, Sep Average, Brunei, BRN
24.7573, 1908, Oct Average, Brunei, BRN
23.9717, 1908, Nov Average, Brunei, BRN
24.495, 1908, Dec Average, Brunei, BRN
24.586, 1909, Jan Average, Brunei, BRN
24.5661, 1909, Feb Average, Brunei, BRN
24.7476, 1909, Mar Average, Brunei, BRN
25.2114, 1909, Apr Average, Brunei, BRN
25.0323, 1909, May Average, Brunei, BRN
25.2755, 1909, Jun Average, Brunei, BRN
24.5642, 1909, Jul Average, Brunei, BRN
25.1421, 1909, Aug Average, Brunei, BRN
24.2866, 1909, Sep Average, Brunei, BRN
24.6748, 1909, Oct Average, Brunei, BRN
23.8892, 1909, Nov Average, Brunei, BRN
23.9348, 1909, Dec Average, Brunei, BRN
24.5825, 1910, Jan Average, Brunei, BRN
24.6616, 1910, Feb Average, Brunei, BRN
24.5652, 1910, Mar Average, Brunei, BRN
24.5583, 1910, Apr Average, Brunei, BRN
24.5633, 1910, May Average, Brunei, BRN
25.1791, 1910, Jun Average, Brunei, BRN
25.1227, 1910, Jul Average, Brunei, BRN
24.8624, 1910, Aug Average, Brunei, BRN
24.1902, 1910, Sep Average, Brunei, BRN
24.5706, 1910, Oct Average, Brunei, BRN
23.8857, 1910, Nov Average, Brunei, BRN
24.6739, 1910, Dec Average, Brunei, BRN
24.971, 1911, Jan Average, Brunei, BRN
24.1716, 1911, Feb Average, Brunei, BRN
24.5778, 1911, Mar Average, Brunei, BRN
24.5256, 1911, Apr Average, Brunei, BRN
24.3288, 1911, May Average, Brunei, BRN
24.5993, 1911, Jun Average, Brunei, BRN
24.7642, 1911, Jul Average, Brunei, BRN
24.6734, 1911, Aug Average, Brunei, BRN
24.4319, 1911, Sep Average, Brunei, BRN
24.6718, 1911, Oct Average, Brunei, BRN
24.2642, 1911, Nov Average, Brunei, BRN
24.7434, 1911, Dec Average, Brunei, BRN
24.4431, 1912, Jan Average, Brunei, BRN
24.9828, 1912, Feb Average, Brunei, BRN
25.3972, 1912, Mar Average, Brunei, BRN
25.6807, 1912, Apr Average, Brunei, BRN
25.7393, 1912, May Average, Brunei, BRN
26.1134, 1912, Jun Average, Brunei, BRN
24.6819, 1912, Jul Average, Brunei, BRN
24.7682, 1912, Aug Average, Brunei, BRN
24.8623, 1912, Sep Average, Brunei, BRN
24.5104, 1912, Oct Average, Brunei, BRN
24.213, 1912, Nov Average, Brunei, BRN
24.7297, 1912, Dec Average, Brunei, BRN
24.9502, 1913, Jan Average, Brunei, BRN
24.7828, 1913, Feb Average, Brunei, BRN
25.0319, 1913, Mar Average, Brunei, BRN
24.5424, 1913, Apr Average, Brunei, BRN
24.6773, 1913, May Average, Brunei, BRN
25.2098, 1913, Jun Average, Brunei, BRN
24.8549, 1913, Jul Average, Brunei, BRN
24.6162, 1913, Aug Average, Brunei, BRN
24.7778, 1913, Sep Average, Brunei, BRN
24.5408, 1913, Oct Average, Brunei, BRN
24.4025, 1913, Nov Average, Brunei, BRN
25.0146, 1913, Dec Average, Brunei, BRN
24.157, 1914, Jan Average, Brunei, BRN
24.1243, 1914, Feb Average, Brunei, BRN
25.223, 1914, Mar Average, Brunei, BRN
25.6563, 1914, Apr Average, Brunei, BRN
25.5043, 1914, May Average, Brunei, BRN
25.2153, 1914, Jun Average, Brunei, BRN
25.3193, 1914, Jul Average, Brunei, BRN
25.2926, 1914, Aug Average, Brunei, BRN
24.8296, 1914, Sep Average, Brunei, BRN
25.0764, 1914, Oct Average, Brunei, BRN
25.1673, 1914, Nov Average, Brunei, BRN
25.3399, 1914, Dec Average, Brunei, BRN
24.9746, 1915, Jan Average, Brunei, BRN
25.0503, 1915, Feb Average, Brunei, BRN
25.8244, 1915, Mar Average, Brunei, BRN
26.1237, 1915, Apr Average, Brunei, BRN
25.7002, 1915, May Average, Brunei, BRN
26.1214, 1915, Jun Average, Brunei, BRN
25.6223, 1915, Jul Average, Brunei, BRN
25.9239, 1915, Aug Average, Brunei, BRN
25.1263, 1915, Sep Average, Brunei, BRN
24.8869, 1915, Oct Average, Brunei, BRN
25.0597, 1915, Nov Average, Brunei, BRN
24.998, 1915, Dec Average, Brunei, BRN
24.4941, 1916, Jan Average, Brunei, BRN
24.6253, 1916, Feb Average, Brunei, BRN
24.678, 1916, Mar Average, Brunei, BRN
24.7896, 1916, Apr Average, Brunei, BRN
24.0434, 1916, May Average, Brunei, BRN
24.7131, 1916, Jun Average, Brunei, BRN
25.0058, 1916, Jul Average, Brunei, BRN
25.3512, 1916, Aug Average, Brunei, BRN
24.6935, 1916, Sep Average, Brunei, BRN
24.8026, 1916, Oct Average, Brunei, BRN
24.1601, 1916, Nov Average, Brunei, BRN
24.807, 1916, Dec Average, Brunei, BRN
24.4327, 1917, Jan Average, Brunei, BRN
24.1173, 1917, Feb Average, Brunei, BRN
24.8724, 1917, Mar Average, Brunei, BRN
25.1979, 1917, Apr Average, Brunei, BRN
24.1934, 1917, May Average, Brunei, BRN
24.6875, 1917, Jun Average, Brunei, BRN
24.9034, 1917, Jul Average, Brunei, BRN
24.9637, 1917, Aug Average, Brunei, BRN
24.5525, 1917, Sep Average, Brunei, BRN
24.4945, 1917, Oct Average, Brunei, BRN
24.1566, 1917, Nov Average, Brunei, BRN
24.7564, 1917, Dec Average, Brunei, BRN
22.9426, 1918, Jan Average, Brunei, BRN
23.2614, 1918, Feb Average, Brunei, BRN
24.0173, 1918, Mar Average, Brunei, BRN
24.3313, 1918, Apr Average, Brunei, BRN
24.8629, 1918, May Average, Brunei, BRN
24.445, 1918, Jun Average, Brunei, BRN
25.1103, 1918, Jul Average, Brunei, BRN
24.6188, 1918, Aug Average, Brunei, BRN
25.1027, 1918, Sep Average, Brunei, BRN
24.6397, 1918, Oct Average, Brunei, BRN
24.5034, 1918, Nov Average, Brunei, BRN
24.1701, 1918, Dec Average, Brunei, BRN
24.7343, 1919, Jan Average, Brunei, BRN
25.2558, 1919, Feb Average, Brunei, BRN
25.3702, 1919, Mar Average, Brunei, BRN
25.8903, 1919, Apr Average, Brunei, BRN
25.7127, 1919, May Average, Brunei, BRN
25.4122, 1919, Jun Average, Brunei, BRN
24.9957, 1919, Jul Average, Brunei, BRN
25.344, 1919, Aug Average, Brunei, BRN
24.6979, 1919, Sep Average, Brunei, BRN
24.6945, 1919, Oct Average, Brunei, BRN
24.3935, 1919, Nov Average, Brunei, BRN
24.598, 1919, Dec Average, Brunei, BRN
24.4973, 1920, Jan Average, Brunei, BRN
24.7601, 1920, Feb Average, Brunei, BRN
24.8856, 1920, Mar Average, Brunei, BRN
25.4953, 1920, Apr Average, Brunei, BRN
25.2293, 1920, May Average, Brunei, BRN
25.6727, 1920, Jun Average, Brunei, BRN
25.2313, 1920, Jul Average, Brunei, BRN
25.1782, 1920, Aug Average, Brunei, BRN
24.8769, 1920, Sep Average, Brunei, BRN
24.607, 1920, Oct Average, Brunei, BRN
24.554, 1920, Nov Average, Brunei, BRN
24.2136, 1920, Dec Average, Brunei, BRN
24.3279, 1921, Jan Average, Brunei, BRN
24.7031, 1921, Feb Average, Brunei, BRN
24.8411, 1921, Mar Average, Brunei, BRN
24.682, 1921, Apr Average, Brunei, BRN
24.7934, 1921, May Average, Brunei, BRN
24.9038, 1921, Jun Average, Brunei, BRN
25.0992, 1921, Jul Average, Brunei, BRN
25.2274, 1921, Aug Average, Brunei, BRN
24.97, 1921, Sep Average, Brunei, BRN
24.7229, 1921, Oct Average, Brunei, BRN
24.3588, 1921, Nov Average, Brunei, BRN
24.3888, 1921, Dec Average, Brunei, BRN
24.6724, 1922, Jan Average, Brunei, BRN
24.4773, 1922, Feb Average, Brunei, BRN
24.8793, 1922, Mar Average, Brunei, BRN
25.4663, 1922, Apr Average, Brunei, BRN
24.8603, 1922, May Average, Brunei, BRN
25.2987, 1922, Jun Average, Brunei, BRN
24.8304, 1922, Jul Average, Brunei, BRN
24.9782, 1922, Aug Average, Brunei, BRN
24.9623, 1922, Sep Average, Brunei, BRN
25.0083, 1922, Oct Average, Brunei, BRN
