Temperature - (Celsius), Year, Statistics, Country, ISO3
26.6392, 1901, Jan Average, Botswana, BWA
25.8171, 1901, Feb Average, Botswana, BWA
24.1164, 1901, Mar Average, Botswana, BWA
21.9668, 1901, Apr Average, Botswana, BWA
17.2057, 1901, May Average, Botswana, BWA
14.1229, 1901, Jun Average, Botswana, BWA
13.5325, 1901, Jul Average, Botswana, BWA
17.2565, 1901, Aug Average, Botswana, BWA
19.771, 1901, Sep Average, Botswana, BWA
23.5505, 1901, Oct Average, Botswana, BWA
24.8945, 1901, Nov Average, Botswana, BWA
25.3778, 1901, Dec Average, Botswana, BWA
25.1834, 1902, Jan Average, Botswana, BWA
25.2744, 1902, Feb Average, Botswana, BWA
23.5918, 1902, Mar Average, Botswana, BWA
21.8375, 1902, Apr Average, Botswana, BWA
17.5127, 1902, May Average, Botswana, BWA
13.8035, 1902, Jun Average, Botswana, BWA
14.8502, 1902, Jul Average, Botswana, BWA
16.8788, 1902, Aug Average, Botswana, BWA
20.9657, 1902, Sep Average, Botswana, BWA
22.8971, 1902, Oct Average, Botswana, BWA
24.8947, 1902, Nov Average, Botswana, BWA
26.6268, 1902, Dec Average, Botswana, BWA
26.3522, 1903, Jan Average, Botswana, BWA
25.7882, 1903, Feb Average, Botswana, BWA
24.4401, 1903, Mar Average, Botswana, BWA
22.0265, 1903, Apr Average, Botswana, BWA
18.313, 1903, May Average, Botswana, BWA
13.8058, 1903, Jun Average, Botswana, BWA
14.1511, 1903, Jul Average, Botswana, BWA
17.0863, 1903, Aug Average, Botswana, BWA
20.1504, 1903, Sep Average, Botswana, BWA
23.4592, 1903, Oct Average, Botswana, BWA
24.8739, 1903, Nov Average, Botswana, BWA
25.5538, 1903, Dec Average, Botswana, BWA
24.8109, 1904, Jan Average, Botswana, BWA
24.1188, 1904, Feb Average, Botswana, BWA
22.7929, 1904, Mar Average, Botswana, BWA
21.3713, 1904, Apr Average, Botswana, BWA
16.8193, 1904, May Average, Botswana, BWA
14.7913, 1904, Jun Average, Botswana, BWA
13.7419, 1904, Jul Average, Botswana, BWA
16.4135, 1904, Aug Average, Botswana, BWA
19.5271, 1904, Sep Average, Botswana, BWA
23.7165, 1904, Oct Average, Botswana, BWA
25.8884, 1904, Nov Average, Botswana, BWA
24.4291, 1904, Dec Average, Botswana, BWA
26.1195, 1905, Jan Average, Botswana, BWA
25.0025, 1905, Feb Average, Botswana, BWA
22.9141, 1905, Mar Average, Botswana, BWA
21.4308, 1905, Apr Average, Botswana, BWA
16.9343, 1905, May Average, Botswana, BWA
14.3449, 1905, Jun Average, Botswana, BWA
13.7285, 1905, Jul Average, Botswana, BWA
16.7146, 1905, Aug Average, Botswana, BWA
21.2994, 1905, Sep Average, Botswana, BWA
25.3494, 1905, Oct Average, Botswana, BWA
25.5816, 1905, Nov Average, Botswana, BWA
26.5407, 1905, Dec Average, Botswana, BWA
26.8267, 1906, Jan Average, Botswana, BWA
24.2458, 1906, Feb Average, Botswana, BWA
23.3876, 1906, Mar Average, Botswana, BWA
20.4748, 1906, Apr Average, Botswana, BWA
17.5193, 1906, May Average, Botswana, BWA
14.3286, 1906, Jun Average, Botswana, BWA
13.4591, 1906, Jul Average, Botswana, BWA
15.5177, 1906, Aug Average, Botswana, BWA
20.5255, 1906, Sep Average, Botswana, BWA
22.6622, 1906, Oct Average, Botswana, BWA
23.9809, 1906, Nov Average, Botswana, BWA
25.0048, 1906, Dec Average, Botswana, BWA
25.1243, 1907, Jan Average, Botswana, BWA
24.4348, 1907, Feb Average, Botswana, BWA
23.6697, 1907, Mar Average, Botswana, BWA
20.361, 1907, Apr Average, Botswana, BWA
16.5822, 1907, May Average, Botswana, BWA
13.8003, 1907, Jun Average, Botswana, BWA
12.626, 1907, Jul Average, Botswana, BWA
15.5736, 1907, Aug Average, Botswana, BWA
20.2451, 1907, Sep Average, Botswana, BWA
23.059, 1907, Oct Average, Botswana, BWA
24.3662, 1907, Nov Average, Botswana, BWA
24.5767, 1907, Dec Average, Botswana, BWA
25.1617, 1908, Jan Average, Botswana, BWA
25.0082, 1908, Feb Average, Botswana, BWA
23.6, 1908, Mar Average, Botswana, BWA
19.9967, 1908, Apr Average, Botswana, BWA
16.7398, 1908, May Average, Botswana, BWA
14.6838, 1908, Jun Average, Botswana, BWA
13.926, 1908, Jul Average, Botswana, BWA
17.3764, 1908, Aug Average, Botswana, BWA
21.673, 1908, Sep Average, Botswana, BWA
24.4769, 1908, Oct Average, Botswana, BWA
24.89, 1908, Nov Average, Botswana, BWA
25.8977, 1908, Dec Average, Botswana, BWA
25.4149, 1909, Jan Average, Botswana, BWA
24.4659, 1909, Feb Average, Botswana, BWA
22.7937, 1909, Mar Average, Botswana, BWA
20.2238, 1909, Apr Average, Botswana, BWA
16.9637, 1909, May Average, Botswana, BWA
13.9281, 1909, Jun Average, Botswana, BWA
14.2148, 1909, Jul Average, Botswana, BWA
17.2172, 1909, Aug Average, Botswana, BWA
20.5506, 1909, Sep Average, Botswana, BWA
23.5924, 1909, Oct Average, Botswana, BWA
25.0952, 1909, Nov Average, Botswana, BWA
25.7387, 1909, Dec Average, Botswana, BWA
25.4262, 1910, Jan Average, Botswana, BWA
