Temperature - (Celsius), Year, Statistics, Country, ISO3
24.0771, 1901, Jan Average, Central African Republic, CAF
26.0121, 1901, Feb Average, Central African Republic, CAF
26.5756, 1901, Mar Average, Central African Republic, CAF
26.7014, 1901, Apr Average, Central African Republic, CAF
25.559, 1901, May Average, Central African Republic, CAF
24.4617, 1901, Jun Average, Central African Republic, CAF
23.8587, 1901, Jul Average, Central African Republic, CAF
23.5058, 1901, Aug Average, Central African Republic, CAF
23.7456, 1901, Sep Average, Central African Republic, CAF
24.38, 1901, Oct Average, Central African Republic, CAF
24.3199, 1901, Nov Average, Central African Republic, CAF
23.7059, 1901, Dec Average, Central African Republic, CAF
24.1339, 1902, Jan Average, Central African Republic, CAF
25.8537, 1902, Feb Average, Central African Republic, CAF
26.8529, 1902, Mar Average, Central African Republic, CAF
26.6442, 1902, Apr Average, Central African Republic, CAF
25.9574, 1902, May Average, Central African Republic, CAF
24.7226, 1902, Jun Average, Central African Republic, CAF
23.7418, 1902, Jul Average, Central African Republic, CAF
23.9052, 1902, Aug Average, Central African Republic, CAF
23.9836, 1902, Sep Average, Central African Republic, CAF
24.2846, 1902, Oct Average, Central African Republic, CAF
24.2324, 1902, Nov Average, Central African Republic, CAF
23.5666, 1902, Dec Average, Central African Republic, CAF
24.2239, 1903, Jan Average, Central African Republic, CAF
25.9191, 1903, Feb Average, Central African Republic, CAF
26.8579, 1903, Mar Average, Central African Republic, CAF
26.7217, 1903, Apr Average, Central African Republic, CAF
25.8129, 1903, May Average, Central African Republic, CAF
24.496, 1903, Jun Average, Central African Republic, CAF
23.8703, 1903, Jul Average, Central African Republic, CAF
23.8608, 1903, Aug Average, Central African Republic, CAF
24.0531, 1903, Sep Average, Central African Republic, CAF
24.3084, 1903, Oct Average, Central African Republic, CAF
24.3199, 1903, Nov Average, Central African Republic, CAF
23.7337, 1903, Dec Average, Central African Republic, CAF
24.2451, 1904, Jan Average, Central African Republic, CAF
25.8191, 1904, Feb Average, Central African Republic, CAF
26.6515, 1904, Mar Average, Central African Republic, CAF
26.5805, 1904, Apr Average, Central African Republic, CAF
25.752, 1904, May Average, Central African Republic, CAF
24.6536, 1904, Jun Average, Central African Republic, CAF
23.5995, 1904, Jul Average, Central African Republic, CAF
23.5933, 1904, Aug Average, Central African Republic, CAF
24.1048, 1904, Sep Average, Central African Republic, CAF
24.3202, 1904, Oct Average, Central African Republic, CAF
24.2641, 1904, Nov Average, Central African Republic, CAF
23.5944, 1904, Dec Average, Central African Republic, CAF
24.3512, 1905, Jan Average, Central African Republic, CAF
26.0753, 1905, Feb Average, Central African Republic, CAF
27.0689, 1905, Mar Average, Central African Republic, CAF
26.9573, 1905, Apr Average, Central African Republic, CAF
26.0154, 1905, May Average, Central African Republic, CAF
24.6211, 1905, Jun Average, Central African Republic, CAF
23.7689, 1905, Jul Average, Central African Republic, CAF
23.9216, 1905, Aug Average, Central African Republic, CAF
23.8942, 1905, Sep Average, Central African Republic, CAF
24.3283, 1905, Oct Average, Central African Republic, CAF
24.3397, 1905, Nov Average, Central African Republic, CAF
23.6382, 1905, Dec Average, Central African Republic, CAF
24.1404, 1906, Jan Average, Central African Republic, CAF
26.0404, 1906, Feb Average, Central African Republic, CAF
27.0887, 1906, Mar Average, Central African Republic, CAF
27.046, 1906, Apr Average, Central African Republic, CAF
25.8883, 1906, May Average, Central African Republic, CAF
24.7058, 1906, Jun Average, Central African Republic, CAF
23.8946, 1906, Jul Average, Central African Republic, CAF
23.7162, 1906, Aug Average, Central African Republic, CAF
24.0769, 1906, Sep Average, Central African Republic, CAF
24.3283, 1906, Oct Average, Central African Republic, CAF
24.2841, 1906, Nov Average, Central African Republic, CAF
23.7217, 1906, Dec Average, Central African Republic, CAF
24.1154, 1907, Jan Average, Central African Republic, CAF
26.0933, 1907, Feb Average, Central African Republic, CAF
26.993, 1907, Mar Average, Central African Republic, CAF
26.8183, 1907, Apr Average, Central African Republic, CAF
25.926, 1907, May Average, Central African Republic, CAF
24.674, 1907, Jun Average, Central African Republic, CAF
24.1826, 1907, Jul Average, Central African Republic, CAF
23.8995, 1907, Aug Average, Central African Republic, CAF
24.0603, 1907, Sep Average, Central African Republic, CAF
24.3442, 1907, Oct Average, Central African Republic, CAF
24.2284, 1907, Nov Average, Central African Republic, CAF
23.5984, 1907, Dec Average, Central African Republic, CAF
24.0201, 1908, Jan Average, Central African Republic, CAF
25.7715, 1908, Feb Average, Central African Republic, CAF
26.9498, 1908, Mar Average, Central African Republic, CAF
26.8224, 1908, Apr Average, Central African Republic, CAF
25.8895, 1908, May Average, Central African Republic, CAF
24.3059, 1908, Jun Average, Central African Republic, CAF
23.7788, 1908, Jul Average, Central African Republic, CAF
23.3397, 1908, Aug Average, Central African Republic, CAF
23.83, 1908, Sep Average, Central African Republic, CAF
24.3283, 1908, Oct Average, Central African Republic, CAF
24.2602, 1908, Nov Average, Central African Republic, CAF
23.6461, 1908, Dec Average, Central African Republic, CAF
24.2172, 1909, Jan Average, Central African Republic, CAF
26.1089, 1909, Feb Average, Central African Republic, CAF
27.0967, 1909, Mar Average, Central African Republic, CAF
26.997, 1909, Apr Average, Central African Republic, CAF
25.9293, 1909, May Average, Central African Republic, CAF
25.0546, 1909, Jun Average, Central African Republic, CAF
24.2032, 1909, Jul Average, Central African Republic, CAF
24.1114, 1909, Aug Average, Central African Republic, CAF
24.1907, 1909, Sep Average, Central African Republic, CAF
24.3441, 1909, Oct Average, Central African Republic, CAF
24.3435, 1909, Nov Average, Central African Republic, CAF
23.6698, 1909, Dec Average, Central African Republic, CAF
23.4084, 1910, Jan Average, Central African Republic, CAF
25.9656, 1910, Feb Average, Central African Republic, CAF
25.0689, 1910, Mar Average, Central African Republic, CAF
26.1135, 1910, Apr Average, Central African Republic, CAF
25.7109, 1910, May Average, Central African Republic, CAF
25.124, 1910, Jun Average, Central African Republic, CAF
23.6267, 1910, Jul Average, Central African Republic, CAF
23.5639, 1910, Aug Average, Central African Republic, CAF
23.4565, 1910, Sep Average, Central African Republic, CAF
23.9261, 1910, Oct Average, Central African Republic, CAF
23.3876, 1910, Nov Average, Central African Republic, CAF
22.5928, 1910, Dec Average, Central African Republic, CAF
24.6666, 1911, Jan Average, Central African Republic, CAF
25.0885, 1911, Feb Average, Central African Republic, CAF
26.2818, 1911, Mar Average, Central African Republic, CAF
26.1345, 1911, Apr Average, Central African Republic, CAF
25.0278, 1911, May Average, Central African Republic, CAF
24.9334, 1911, Jun Average, Central African Republic, CAF
24.3738, 1911, Jul Average, Central African Republic, CAF
23.7239, 1911, Aug Average, Central African Republic, CAF
23.9062, 1911, Sep Average, Central African Republic, CAF
24.139, 1911, Oct Average, Central African Republic, CAF
24.0445, 1911, Nov Average, Central African Republic, CAF
22.8989, 1911, Dec Average, Central African Republic, CAF
23.5681, 1912, Jan Average, Central African Republic, CAF
25.7811, 1912, Feb Average, Central African Republic, CAF
26.4553, 1912, Mar Average, Central African Republic, CAF
26.1713, 1912, Apr Average, Central African Republic, CAF
25.777, 1912, May Average, Central African Republic, CAF
25.0121, 1912, Jun Average, Central African Republic, CAF
23.8686, 1912, Jul Average, Central African Republic, CAF
23.6778, 1912, Aug Average, Central African Republic, CAF
23.7131, 1912, Sep Average, Central African Republic, CAF
23.6238, 1912, Oct Average, Central African Republic, CAF
23.7219, 1912, Nov Average, Central African Republic, CAF
22.8585, 1912, Dec Average, Central African Republic, CAF
23.473, 1913, Jan Average, Central African Republic, CAF
25.2349, 1913, Feb Average, Central African Republic, CAF
24.7584, 1913, Mar Average, Central African Republic, CAF
26.0423, 1913, Apr Average, Central African Republic, CAF
25.1953, 1913, May Average, Central African Republic, CAF
24.1066, 1913, Jun Average, Central African Republic, CAF
24.2611, 1913, Jul Average, Central African Republic, CAF
24.1015, 1913, Aug Average, Central African Republic, CAF
24.1812, 1913, Sep Average, Central African Republic, CAF
24.0538, 1913, Oct Average, Central African Republic, CAF
23.1106, 1913, Nov Average, Central African Republic, CAF
22.6821, 1913, Dec Average, Central African Republic, CAF
25.199, 1914, Jan Average, Central African Republic, CAF
26.1087, 1914, Feb Average, Central African Republic, CAF
27.1147, 1914, Mar Average, Central African Republic, CAF
26.2332, 1914, Apr Average, Central African Republic, CAF
25.5413, 1914, May Average, Central African Republic, CAF
25.0155, 1914, Jun Average, Central African Republic, CAF
23.9162, 1914, Jul Average, Central African Republic, CAF
23.7101, 1914, Aug Average, Central African Republic, CAF
24.1292, 1914, Sep Average, Central African Republic, CAF
24.3242, 1914, Oct Average, Central African Republic, CAF
24.4278, 1914, Nov Average, Central African Republic, CAF
23.6229, 1914, Dec Average, Central African Republic, CAF
24.6009, 1915, Jan Average, Central African Republic, CAF
26.2121, 1915, Feb Average, Central African Republic, CAF
26.6085, 1915, Mar Average, Central African Republic, CAF
26.2722, 1915, Apr Average, Central African Republic, CAF
25.5535, 1915, May Average, Central African Republic, CAF
24.5826, 1915, Jun Average, Central African Republic, CAF
24.0862, 1915, Jul Average, Central African Republic, CAF
23.7649, 1915, Aug Average, Central African Republic, CAF
23.9494, 1915, Sep Average, Central African Republic, CAF
24.2243, 1915, Oct Average, Central African Republic, CAF
24.4279, 1915, Nov Average, Central African Republic, CAF
23.2438, 1915, Dec Average, Central African Republic, CAF
22.6429, 1916, Jan Average, Central African Republic, CAF
25.7857, 1916, Feb Average, Central African Republic, CAF
26.2716, 1916, Mar Average, Central African Republic, CAF
26.609, 1916, Apr Average, Central African Republic, CAF
25.174, 1916, May Average, Central African Republic, CAF
24.2803, 1916, Jun Average, Central African Republic, CAF
23.5241, 1916, Jul Average, Central African Republic, CAF
23.4586, 1916, Aug Average, Central African Republic, CAF
23.4845, 1916, Sep Average, Central African Republic, CAF
23.2519, 1916, Oct Average, Central African Republic, CAF
24.0445, 1916, Nov Average, Central African Republic, CAF
22.9028, 1916, Dec Average, Central African Republic, CAF
