Temperature - (Celsius), Year, Statistics, Country, ISO3
-4.1447, 1901, Jan Average, Switzerland, CHE
-7.1036, 1901, Feb Average, Switzerland, CHE
-0.8402, 1901, Mar Average, Switzerland, CHE
4.90588, 1901, Apr Average, Switzerland, CHE
8.95853, 1901, May Average, Switzerland, CHE
13.0413, 1901, Jun Average, Switzerland, CHE
14.1434, 1901, Jul Average, Switzerland, CHE
13.1439, 1901, Aug Average, Switzerland, CHE
10.967, 1901, Sep Average, Switzerland, CHE
5.98795, 1901, Oct Average, Switzerland, CHE
-0.4381, 1901, Nov Average, Switzerland, CHE
-1.545, 1901, Dec Average, Switzerland, CHE
-1.6411, 1902, Jan Average, Switzerland, CHE
-2.3236, 1902, Feb Average, Switzerland, CHE
1.24109, 1902, Mar Average, Switzerland, CHE
6.51264, 1902, Apr Average, Switzerland, CHE
5.05598, 1902, May Average, Switzerland, CHE
11.0745, 1902, Jun Average, Switzerland, CHE
14.3495, 1902, Jul Average, Switzerland, CHE
13.0301, 1902, Aug Average, Switzerland, CHE
10.3354, 1902, Sep Average, Switzerland, CHE
5.29724, 1902, Oct Average, Switzerland, CHE
0.30072, 1902, Nov Average, Switzerland, CHE
-2.4672, 1902, Dec Average, Switzerland, CHE
-3.0289, 1903, Jan Average, Switzerland, CHE
-0.3194, 1903, Feb Average, Switzerland, CHE
2.27445, 1903, Mar Average, Switzerland, CHE
1.53121, 1903, Apr Average, Switzerland, CHE
8.44123, 1903, May Average, Switzerland, CHE
10.7393, 1903, Jun Average, Switzerland, CHE
12.8071, 1903, Jul Average, Switzerland, CHE
13.3996, 1903, Aug Average, Switzerland, CHE
10.7885, 1903, Sep Average, Switzerland, CHE
7.02839, 1903, Oct Average, Switzerland, CHE
1.5944, 1903, Nov Average, Switzerland, CHE
-2.5371, 1903, Dec Average, Switzerland, CHE
-3.1965, 1904, Jan Average, Switzerland, CHE
-1.3057, 1904, Feb Average, Switzerland, CHE
0.77194, 1904, Mar Average, Switzerland, CHE
6.07373, 1904, Apr Average, Switzerland, CHE
9.89592, 1904, May Average, Switzerland, CHE
13.0374, 1904, Jun Average, Switzerland, CHE
16.3155, 1904, Jul Average, Switzerland, CHE
14.5169, 1904, Aug Average, Switzerland, CHE
8.90536, 1904, Sep Average, Switzerland, CHE
6.16539, 1904, Oct Average, Switzerland, CHE
0.28052, 1904, Nov Average, Switzerland, CHE
-1.1888, 1904, Dec Average, Switzerland, CHE
-5.0812, 1905, Jan Average, Switzerland, CHE
-2.4496, 1905, Feb Average, Switzerland, CHE
1.69433, 1905, Mar Average, Switzerland, CHE
4.3927, 1905, Apr Average, Switzerland, CHE
7.20748, 1905, May Average, Switzerland, CHE
12.6292, 1905, Jun Average, Switzerland, CHE
16.2151, 1905, Jul Average, Switzerland, CHE
13.4686, 1905, Aug Average, Switzerland, CHE
10.9797, 1905, Sep Average, Switzerland, CHE
2.74644, 1905, Oct Average, Switzerland, CHE
0.876, 1905, Nov Average, Switzerland, CHE
-1.7113, 1905, Dec Average, Switzerland, CHE
-2.5776, 1906, Jan Average, Switzerland, CHE
-3.2393, 1906, Feb Average, Switzerland, CHE
-0.0338, 1906, Mar Average, Switzerland, CHE
3.9945, 1906, Apr Average, Switzerland, CHE
8.69399, 1906, May Average, Switzerland, CHE
11.6084, 1906, Jun Average, Switzerland, CHE
14.0668, 1906, Jul Average, Switzerland, CHE
14.462, 1906, Aug Average, Switzerland, CHE
9.94231, 1906, Sep Average, Switzerland, CHE
7.93445, 1906, Oct Average, Switzerland, CHE
2.58209, 1906, Nov Average, Switzerland, CHE
-4.0271, 1906, Dec Average, Switzerland, CHE
-4.0738, 1907, Jan Average, Switzerland, CHE
-4.5551, 1907, Feb Average, Switzerland, CHE
-0.4081, 1907, Mar Average, Switzerland, CHE
