Temperature - (Celsius), Year, Statistics, Country, ISO3
13.2748, 1901, Jan Average, Chile, CHL
12.5292, 1901, Feb Average, Chile, CHL
11.6138, 1901, Mar Average, Chile, CHL
9.12797, 1901, Apr Average, Chile, CHL
6.87278, 1901, May Average, Chile, CHL
5.9808, 1901, Jun Average, Chile, CHL
4.37898, 1901, Jul Average, Chile, CHL
5.33758, 1901, Aug Average, Chile, CHL
7.33045, 1901, Sep Average, Chile, CHL
8.85584, 1901, Oct Average, Chile, CHL
10.3321, 1901, Nov Average, Chile, CHL
12.3774, 1901, Dec Average, Chile, CHL
13.0499, 1902, Jan Average, Chile, CHL
12.2684, 1902, Feb Average, Chile, CHL
11.3088, 1902, Mar Average, Chile, CHL
10.0277, 1902, Apr Average, Chile, CHL
6.89864, 1902, May Average, Chile, CHL
4.78379, 1902, Jun Average, Chile, CHL
2.89032, 1902, Jul Average, Chile, CHL
3.49697, 1902, Aug Average, Chile, CHL
6.44191, 1902, Sep Average, Chile, CHL
8.03534, 1902, Oct Average, Chile, CHL
9.37538, 1902, Nov Average, Chile, CHL
12.0554, 1902, Dec Average, Chile, CHL
12.4095, 1903, Jan Average, Chile, CHL
12.1085, 1903, Feb Average, Chile, CHL
10.2797, 1903, Mar Average, Chile, CHL
8.34045, 1903, Apr Average, Chile, CHL
6.68981, 1903, May Average, Chile, CHL
4.87796, 1903, Jun Average, Chile, CHL
4.26885, 1903, Jul Average, Chile, CHL
4.4035, 1903, Aug Average, Chile, CHL
7.18777, 1903, Sep Average, Chile, CHL
7.87168, 1903, Oct Average, Chile, CHL
9.39768, 1903, Nov Average, Chile, CHL
11.1278, 1903, Dec Average, Chile, CHL
13.2791, 1904, Jan Average, Chile, CHL
12.1683, 1904, Feb Average, Chile, CHL
10.3353, 1904, Mar Average, Chile, CHL
9.7223, 1904, Apr Average, Chile, CHL
6.56089, 1904, May Average, Chile, CHL
5.13742, 1904, Jun Average, Chile, CHL
4.30134, 1904, Jul Average, Chile, CHL
5.09659, 1904, Aug Average, Chile, CHL
7.2078, 1904, Sep Average, Chile, CHL
7.55221, 1904, Oct Average, Chile, CHL
9.28442, 1904, Nov Average, Chile, CHL
11.6406, 1904, Dec Average, Chile, CHL
13.1693, 1905, Jan Average, Chile, CHL
12.0523, 1905, Feb Average, Chile, CHL
11.6155, 1905, Mar Average, Chile, CHL
8.44418, 1905, Apr Average, Chile, CHL
5.44911, 1905, May Average, Chile, CHL
4.96842, 1905, Jun Average, Chile, CHL
3.1819, 1905, Jul Average, Chile, CHL
4.3399, 1905, Aug Average, Chile, CHL
