Temperature - (Celsius), Year, Statistics, Country, ISO3
25.6275, 1901, Jan Average, Cote d'Ivoire, CIV
28.7082, 1901, Feb Average, Cote d'Ivoire, CIV
28.8377, 1901, Mar Average, Cote d'Ivoire, CIV
28.049, 1901, Apr Average, Cote d'Ivoire, CIV
26.6307, 1901, May Average, Cote d'Ivoire, CIV
26.2298, 1901, Jun Average, Cote d'Ivoire, CIV
25.3447, 1901, Jul Average, Cote d'Ivoire, CIV
24.9111, 1901, Aug Average, Cote d'Ivoire, CIV
26.0108, 1901, Sep Average, Cote d'Ivoire, CIV
26.6161, 1901, Oct Average, Cote d'Ivoire, CIV
27.1096, 1901, Nov Average, Cote d'Ivoire, CIV
25.8743, 1901, Dec Average, Cote d'Ivoire, CIV
26.3471, 1902, Jan Average, Cote d'Ivoire, CIV
28.1751, 1902, Feb Average, Cote d'Ivoire, CIV
28.5082, 1902, Mar Average, Cote d'Ivoire, CIV
28.467, 1902, Apr Average, Cote d'Ivoire, CIV
27.6294, 1902, May Average, Cote d'Ivoire, CIV
26.1178, 1902, Jun Average, Cote d'Ivoire, CIV
25.4881, 1902, Jul Average, Cote d'Ivoire, CIV
25.3026, 1902, Aug Average, Cote d'Ivoire, CIV
25.1366, 1902, Sep Average, Cote d'Ivoire, CIV
25.7796, 1902, Oct Average, Cote d'Ivoire, CIV
26.9699, 1902, Nov Average, Cote d'Ivoire, CIV
25.8683, 1902, Dec Average, Cote d'Ivoire, CIV
26.5734, 1903, Jan Average, Cote d'Ivoire, CIV
28.4251, 1903, Feb Average, Cote d'Ivoire, CIV
28.8013, 1903, Mar Average, Cote d'Ivoire, CIV
28.3185, 1903, Apr Average, Cote d'Ivoire, CIV
27.5099, 1903, May Average, Cote d'Ivoire, CIV
25.9842, 1903, Jun Average, Cote d'Ivoire, CIV
24.7006, 1903, Jul Average, Cote d'Ivoire, CIV
24.2113, 1903, Aug Average, Cote d'Ivoire, CIV
25.1988, 1903, Sep Average, Cote d'Ivoire, CIV
26.7391, 1903, Oct Average, Cote d'Ivoire, CIV
26.491, 1903, Nov Average, Cote d'Ivoire, CIV
25.9693, 1903, Dec Average, Cote d'Ivoire, CIV
25.7572, 1904, Jan Average, Cote d'Ivoire, CIV
27.153, 1904, Feb Average, Cote d'Ivoire, CIV
28.3004, 1904, Mar Average, Cote d'Ivoire, CIV
27.6356, 1904, Apr Average, Cote d'Ivoire, CIV
27.4548, 1904, May Average, Cote d'Ivoire, CIV
26.3443, 1904, Jun Average, Cote d'Ivoire, CIV
24.7551, 1904, Jul Average, Cote d'Ivoire, CIV
24.6219, 1904, Aug Average, Cote d'Ivoire, CIV
25.6761, 1904, Sep Average, Cote d'Ivoire, CIV
26.5168, 1904, Oct Average, Cote d'Ivoire, CIV
26.7695, 1904, Nov Average, Cote d'Ivoire, CIV
26.2906, 1904, Dec Average, Cote d'Ivoire, CIV
25.9441, 1905, Jan Average, Cote d'Ivoire, CIV
26.868, 1905, Feb Average, Cote d'Ivoire, CIV
28.1749, 1905, Mar Average, Cote d'Ivoire, CIV
28.6035, 1905, Apr Average, Cote d'Ivoire, CIV
27.4397, 1905, May Average, Cote d'Ivoire, CIV
25.4054, 1905, Jun Average, Cote d'Ivoire, CIV
25.0153, 1905, Jul Average, Cote d'Ivoire, CIV
24.4239, 1905, Aug Average, Cote d'Ivoire, CIV
25.1473, 1905, Sep Average, Cote d'Ivoire, CIV
26.0731, 1905, Oct Average, Cote d'Ivoire, CIV
26.7723, 1905, Nov Average, Cote d'Ivoire, CIV
26.3937, 1905, Dec Average, Cote d'Ivoire, CIV
26.3174, 1906, Jan Average, Cote d'Ivoire, CIV
27.6014, 1906, Feb Average, Cote d'Ivoire, CIV
29.4084, 1906, Mar Average, Cote d'Ivoire, CIV
29.3245, 1906, Apr Average, Cote d'Ivoire, CIV
27.3121, 1906, May Average, Cote d'Ivoire, CIV
25.8072, 1906, Jun Average, Cote d'Ivoire, CIV
24.4589, 1906, Jul Average, Cote d'Ivoire, CIV
24.151, 1906, Aug Average, Cote d'Ivoire, CIV
25.5135, 1906, Sep Average, Cote d'Ivoire, CIV
26.0513, 1906, Oct Average, Cote d'Ivoire, CIV
26.4605, 1906, Nov Average, Cote d'Ivoire, CIV
25.4953, 1906, Dec Average, Cote d'Ivoire, CIV
25.8699, 1907, Jan Average, Cote d'Ivoire, CIV
27.0075, 1907, Feb Average, Cote d'Ivoire, CIV
28.1286, 1907, Mar Average, Cote d'Ivoire, CIV
27.649, 1907, Apr Average, Cote d'Ivoire, CIV
27.2117, 1907, May Average, Cote d'Ivoire, CIV
25.5611, 1907, Jun Average, Cote d'Ivoire, CIV
25.0859, 1907, Jul Average, Cote d'Ivoire, CIV
24.3221, 1907, Aug Average, Cote d'Ivoire, CIV
25.3082, 1907, Sep Average, Cote d'Ivoire, CIV
26.4616, 1907, Oct Average, Cote d'Ivoire, CIV
26.8106, 1907, Nov Average, Cote d'Ivoire, CIV
25.5416, 1907, Dec Average, Cote d'Ivoire, CIV
26.3494, 1908, Jan Average, Cote d'Ivoire, CIV
27.536, 1908, Feb Average, Cote d'Ivoire, CIV
28.3535, 1908, Mar Average, Cote d'Ivoire, CIV
28.4302, 1908, Apr Average, Cote d'Ivoire, CIV
27.6322, 1908, May Average, Cote d'Ivoire, CIV
26.3919, 1908, Jun Average, Cote d'Ivoire, CIV
25.2272, 1908, Jul Average, Cote d'Ivoire, CIV
24.2529, 1908, Aug Average, Cote d'Ivoire, CIV
25.3831, 1908, Sep Average, Cote d'Ivoire, CIV
25.9725, 1908, Oct Average, Cote d'Ivoire, CIV
26.3358, 1908, Nov Average, Cote d'Ivoire, CIV
25.7618, 1908, Dec Average, Cote d'Ivoire, CIV
26.1308, 1909, Jan Average, Cote d'Ivoire, CIV
28.5464, 1909, Feb Average, Cote d'Ivoire, CIV
29.6548, 1909, Mar Average, Cote d'Ivoire, CIV
27.9886, 1909, Apr Average, Cote d'Ivoire, CIV
26.7452, 1909, May Average, Cote d'Ivoire, CIV
