Temperature - (Celsius), Year, Statistics, Country, ISO3
23.489, 1901, Jan Average, Cameroon, CMR
25.0871, 1901, Feb Average, Cameroon, CMR
25.313, 1901, Mar Average, Cameroon, CMR
26.1937, 1901, Apr Average, Cameroon, CMR
24.6608, 1901, May Average, Cameroon, CMR
23.8776, 1901, Jun Average, Cameroon, CMR
23.3447, 1901, Jul Average, Cameroon, CMR
22.7487, 1901, Aug Average, Cameroon, CMR
23.2721, 1901, Sep Average, Cameroon, CMR
24.2975, 1901, Oct Average, Cameroon, CMR
24.2316, 1901, Nov Average, Cameroon, CMR
23.6163, 1901, Dec Average, Cameroon, CMR
23.8718, 1902, Jan Average, Cameroon, CMR
24.6563, 1902, Feb Average, Cameroon, CMR
25.9282, 1902, Mar Average, Cameroon, CMR
25.9998, 1902, Apr Average, Cameroon, CMR
25.5457, 1902, May Average, Cameroon, CMR
24.3773, 1902, Jun Average, Cameroon, CMR
23.2544, 1902, Jul Average, Cameroon, CMR
23.6358, 1902, Aug Average, Cameroon, CMR
23.9622, 1902, Sep Average, Cameroon, CMR
24.2975, 1902, Oct Average, Cameroon, CMR
24.2316, 1902, Nov Average, Cameroon, CMR
23.6163, 1902, Dec Average, Cameroon, CMR
24.2524, 1903, Jan Average, Cameroon, CMR
25.5127, 1903, Feb Average, Cameroon, CMR
26.4054, 1903, Mar Average, Cameroon, CMR
26.2873, 1903, Apr Average, Cameroon, CMR
25.3679, 1903, May Average, Cameroon, CMR
23.8064, 1903, Jun Average, Cameroon, CMR
23.4447, 1903, Jul Average, Cameroon, CMR
23.5406, 1903, Aug Average, Cameroon, CMR
24.2477, 1903, Sep Average, Cameroon, CMR
24.2975, 1903, Oct Average, Cameroon, CMR
24.2316, 1903, Nov Average, Cameroon, CMR
23.6163, 1903, Dec Average, Cameroon, CMR
23.8718, 1904, Jan Average, Cameroon, CMR
24.8466, 1904, Feb Average, Cameroon, CMR
25.5544, 1904, Mar Average, Cameroon, CMR
25.9997, 1904, Apr Average, Cameroon, CMR
25.1776, 1904, May Average, Cameroon, CMR
24.187, 1904, Jun Average, Cameroon, CMR
22.7785, 1904, Jul Average, Cameroon, CMR
22.7793, 1904, Aug Average, Cameroon, CMR
24.2477, 1904, Sep Average, Cameroon, CMR
24.2975, 1904, Oct Average, Cameroon, CMR
24.2316, 1904, Nov Average, Cameroon, CMR
23.6163, 1904, Dec Average, Cameroon, CMR
24.2327, 1905, Jan Average, Cameroon, CMR
25.666, 1905, Feb Average, Cameroon, CMR
26.7734, 1905, Mar Average, Cameroon, CMR
27.0307, 1905, Apr Average, Cameroon, CMR
25.9316, 1905, May Average, Cameroon, CMR
24.0846, 1905, Jun Average, Cameroon, CMR
23.1647, 1905, Jul Average, Cameroon, CMR
23.7228, 1905, Aug Average, Cameroon, CMR
23.6769, 1905, Sep Average, Cameroon, CMR
24.2795, 1905, Oct Average, Cameroon, CMR
24.3217, 1905, Nov Average, Cameroon, CMR
23.7004, 1905, Dec Average, Cameroon, CMR
23.6708, 1906, Jan Average, Cameroon, CMR
25.2275, 1906, Feb Average, Cameroon, CMR
26.7908, 1906, Mar Average, Cameroon, CMR
27.2529, 1906, Apr Average, Cameroon, CMR
25.3716, 1906, May Average, Cameroon, CMR
24.2912, 1906, Jun Average, Cameroon, CMR
23.5358, 1906, Jul Average, Cameroon, CMR
23.3492, 1906, Aug Average, Cameroon, CMR
24.2584, 1906, Sep Average, Cameroon, CMR
24.3515, 1906, Oct Average, Cameroon, CMR
24.2857, 1906, Nov Average, Cameroon, CMR
23.7184, 1906, Dec Average, Cameroon, CMR
23.4972, 1907, Jan Average, Cameroon, CMR
25.2914, 1907, Feb Average, Cameroon, CMR
26.3917, 1907, Mar Average, Cameroon, CMR
26.4687, 1907, Apr Average, Cameroon, CMR
25.6665, 1907, May Average, Cameroon, CMR
24.2822, 1907, Jun Average, Cameroon, CMR
24.3896, 1907, Jul Average, Cameroon, CMR
24.0096, 1907, Aug Average, Cameroon, CMR
24.1527, 1907, Sep Average, Cameroon, CMR
24.4176, 1907, Oct Average, Cameroon, CMR
24.2436, 1907, Nov Average, Cameroon, CMR
23.5263, 1907, Dec Average, Cameroon, CMR
23.491, 1908, Jan Average, Cameroon, CMR
24.842, 1908, Feb Average, Cameroon, CMR
26.2202, 1908, Mar Average, Cameroon, CMR
26.481, 1908, Apr Average, Cameroon, CMR
25.6415, 1908, May Average, Cameroon, CMR
23.3525, 1908, Jun Average, Cameroon, CMR
23.4927, 1908, Jul Average, Cameroon, CMR
22.3111, 1908, Aug Average, Cameroon, CMR
23.5852, 1908, Sep Average, Cameroon, CMR
24.2795, 1908, Oct Average, Cameroon, CMR
24.1776, 1908, Nov Average, Cameroon, CMR
23.5623, 1908, Dec Average, Cameroon, CMR
23.8598, 1909, Jan Average, Cameroon, CMR
25.4836, 1909, Feb Average, Cameroon, CMR
26.5278, 1909, Mar Average, Cameroon, CMR
27.037, 1909, Apr Average, Cameroon, CMR
25.5221, 1909, May Average, Cameroon, CMR
25.2977, 1909, Jun Average, Cameroon, CMR
24.4676, 1909, Jul Average, Cameroon, CMR
24.5231, 1909, Aug Average, Cameroon, CMR
24.6283, 1909, Sep Average, Cameroon, CMR
24.2074, 1909, Oct Average, Cameroon, CMR
24.2496, 1909, Nov Average, Cameroon, CMR
23.6163, 1909, Dec Average, Cameroon, CMR
23.2028, 1910, Jan Average, Cameroon, CMR
24.5802, 1910, Feb Average, Cameroon, CMR
25.4534, 1910, Mar Average, Cameroon, CMR
25.5332, 1910, Apr Average, Cameroon, CMR
25.0039, 1910, May Average, Cameroon, CMR
25.0572, 1910, Jun Average, Cameroon, CMR
24.0203, 1910, Jul Average, Cameroon, CMR
23.2618, 1910, Aug Average, Cameroon, CMR
23.4982, 1910, Sep Average, Cameroon, CMR
24.2855, 1910, Oct Average, Cameroon, CMR
23.4119, 1910, Nov Average, Cameroon, CMR
23.1166, 1910, Dec Average, Cameroon, CMR
23.3958, 1911, Jan Average, Cameroon, CMR
24.9433, 1911, Feb Average, Cameroon, CMR
26.6038, 1911, Mar Average, Cameroon, CMR
26.5728, 1911, Apr Average, Cameroon, CMR
25.8397, 1911, May Average, Cameroon, CMR
24.758, 1911, Jun Average, Cameroon, CMR
24.0157, 1911, Jul Average, Cameroon, CMR
23.5406, 1911, Aug Average, Cameroon, CMR
23.9622, 1911, Sep Average, Cameroon, CMR
24.2975, 1911, Oct Average, Cameroon, CMR
24.2737, 1911, Nov Average, Cameroon, CMR
23.5683, 1911, Dec Average, Cameroon, CMR
23.9732, 1912, Jan Average, Cameroon, CMR
26.0717, 1912, Feb Average, Cameroon, CMR
27.2545, 1912, Mar Average, Cameroon, CMR
27.3321, 1912, Apr Average, Cameroon, CMR
25.8772, 1912, May Average, Cameroon, CMR
24.7812, 1912, Jun Average, Cameroon, CMR
23.3459, 1912, Jul Average, Cameroon, CMR
23.3384, 1912, Aug Average, Cameroon, CMR
23.4872, 1912, Sep Average, Cameroon, CMR
23.8038, 1912, Oct Average, Cameroon, CMR
23.2962, 1912, Nov Average, Cameroon, CMR
23.5164, 1912, Dec Average, Cameroon, CMR
23.5949, 1913, Jan Average, Cameroon, CMR
24.6666, 1913, Feb Average, Cameroon, CMR
25.8257, 1913, Mar Average, Cameroon, CMR
26.0927, 1913, Apr Average, Cameroon, CMR
25.1956, 1913, May Average, Cameroon, CMR
23.7421, 1913, Jun Average, Cameroon, CMR
23.2786, 1913, Jul Average, Cameroon, CMR
23.4716, 1913, Aug Average, Cameroon, CMR
23.6098, 1913, Sep Average, Cameroon, CMR
24.2975, 1913, Oct Average, Cameroon, CMR
24.2316, 1913, Nov Average, Cameroon, CMR
23.6163, 1913, Dec Average, Cameroon, CMR
24.4665, 1914, Jan Average, Cameroon, CMR
25.5046, 1914, Feb Average, Cameroon, CMR
26.8608, 1914, Mar Average, Cameroon, CMR
26.9389, 1914, Apr Average, Cameroon, CMR
25.7641, 1914, May Average, Cameroon, CMR
24.1168, 1914, Jun Average, Cameroon, CMR
23.2752, 1914, Jul Average, Cameroon, CMR
23.4524, 1914, Aug Average, Cameroon, CMR
24.3507, 1914, Sep Average, Cameroon, CMR
24.3696, 1914, Oct Average, Cameroon, CMR
24.4058, 1914, Nov Average, Cameroon, CMR
23.6464, 1914, Dec Average, Cameroon, CMR
23.8718, 1915, Jan Average, Cameroon, CMR
25.4176, 1915, Feb Average, Cameroon, CMR
26.3135, 1915, Mar Average, Cameroon, CMR
26.4692, 1915, Apr Average, Cameroon, CMR
25.5225, 1915, May Average, Cameroon, CMR
24.3773, 1915, Jun Average, Cameroon, CMR
23.4447, 1915, Jul Average, Cameroon, CMR
23.3484, 1915, Aug Average, Cameroon, CMR
23.7718, 1915, Sep Average, Cameroon, CMR
24.2975, 1915, Oct Average, Cameroon, CMR
24.2316, 1915, Nov Average, Cameroon, CMR
23.6163, 1915, Dec Average, Cameroon, CMR
23.8718, 1916, Jan Average, Cameroon, CMR
25.4176, 1916, Feb Average, Cameroon, CMR
26.3092, 1916, Mar Average, Cameroon, CMR
26.4459, 1916, Apr Average, Cameroon, CMR
25.5331, 1916, May Average, Cameroon, CMR
24.3773, 1916, Jun Average, Cameroon, CMR
23.4447, 1916, Jul Average, Cameroon, CMR
23.3484, 1916, Aug Average, Cameroon, CMR
23.7718, 1916, Sep Average, Cameroon, CMR
24.2975, 1916, Oct Average, Cameroon, CMR
24.2316, 1916, Nov Average, Cameroon, CMR
23.6163, 1916, Dec Average, Cameroon, CMR
23.8718, 1917, Jan Average, Cameroon, CMR
25.4176, 1917, Feb Average, Cameroon, CMR
26.305, 1917, Mar Average, Cameroon, CMR
26.4607, 1917, Apr Average, Cameroon, CMR
25.5479, 1917, May Average, Cameroon, CMR
24.3773, 1917, Jun Average, Cameroon, CMR
23.4447, 1917, Jul Average, Cameroon, CMR
23.3484, 1917, Aug Average, Cameroon, CMR
23.7718, 1917, Sep Average, Cameroon, CMR
24.2975, 1917, Oct Average, Cameroon, CMR
24.2316, 1917, Nov Average, Cameroon, CMR
23.6163, 1917, Dec Average, Cameroon, CMR
23.8718, 1918, Jan Average, Cameroon, CMR
25.4214, 1918, Feb Average, Cameroon, CMR
26.3943, 1918, Mar Average, Cameroon, CMR
26.4582, 1918, Apr Average, Cameroon, CMR
25.5208, 1918, May Average, Cameroon, CMR
24.3773, 1918, Jun Average, Cameroon, CMR
23.4788, 1918, Jul Average, Cameroon, CMR
23.3446, 1918, Aug Average, Cameroon, CMR
23.8135, 1918, Sep Average, Cameroon, CMR
24.3278, 1918, Oct Average, Cameroon, CMR
24.2847, 1918, Nov Average, Cameroon, CMR
23.6959, 1918, Dec Average, Cameroon, CMR
24.0498, 1919, Jan Average, Cameroon, CMR
25.5123, 1919, Feb Average, Cameroon, CMR
26.364, 1919, Mar Average, Cameroon, CMR
26.4739, 1919, Apr Average, Cameroon, CMR
25.535, 1919, May Average, Cameroon, CMR
24.347, 1919, Jun Average, Cameroon, CMR
23.4485, 1919, Jul Average, Cameroon, CMR
23.3749, 1919, Aug Average, Cameroon, CMR
23.7794, 1919, Sep Average, Cameroon, CMR
24.3278, 1919, Oct Average, Cameroon, CMR
24.2581, 1919, Nov Average, Cameroon, CMR
23.6542, 1919, Dec Average, Cameroon, CMR
23.8854, 1920, Jan Average, Cameroon, CMR
25.3911, 1920, Feb Average, Cameroon, CMR
26.239, 1920, Mar Average, Cameroon, CMR
26.422, 1920, Apr Average, Cameroon, CMR
25.481, 1920, May Average, Cameroon, CMR
24.3546, 1920, Jun Average, Cameroon, CMR
23.403, 1920, Jul Average, Cameroon, CMR
23.2727, 1920, Aug Average, Cameroon, CMR
23.6809, 1920, Sep Average, Cameroon, CMR
24.2596, 1920, Oct Average, Cameroon, CMR
24.2506, 1920, Nov Average, Cameroon, CMR
23.605, 1920, Dec Average, Cameroon, CMR
23.8553, 1921, Jan Average, Cameroon, CMR
25.357, 1921, Feb Average, Cameroon, CMR
26.2373, 1921, Mar Average, Cameroon, CMR
26.4607, 1921, Apr Average, Cameroon, CMR
25.5576, 1921, May Average, Cameroon, CMR
24.3736, 1921, Jun Average, Cameroon, CMR
23.4674, 1921, Jul Average, Cameroon, CMR
23.3105, 1921, Aug Average, Cameroon, CMR
23.7302, 1921, Sep Average, Cameroon, CMR
24.2748, 1921, Oct Average, Cameroon, CMR
24.243, 1921, Nov Average, Cameroon, CMR
23.7262, 1921, Dec Average, Cameroon, CMR
23.9172, 1922, Jan Average, Cameroon, CMR
25.3759, 1922, Feb Average, Cameroon, CMR
26.2124, 1922, Mar Average, Cameroon, CMR
26.4363, 1922, Apr Average, Cameroon, CMR
25.4634, 1922, May Average, Cameroon, CMR
24.347, 1922, Jun Average, Cameroon, CMR
23.3727, 1922, Jul Average, Cameroon, CMR
23.2272, 1922, Aug Average, Cameroon, CMR
23.6734, 1922, Sep Average, Cameroon, CMR
24.2445, 1922, Oct Average, Cameroon, CMR
24.2619, 1922, Nov Average, Cameroon, CMR
23.6239, 1922, Dec Average, Cameroon, CMR
25.7036, 1923, Jan Average, Cameroon, CMR
25.143, 1923, Feb Average, Cameroon, CMR
27.6371, 1923, Mar Average, Cameroon, CMR
27.1653, 1923, Apr Average, Cameroon, CMR
