Temperature - (Celsius), Year, Statistics, Country, ISO3
24.4431, 1901, Jan Average, Congo (Republic of the), COG
25.1054, 1901, Feb Average, Congo (Republic of the), COG
24.7958, 1901, Mar Average, Congo (Republic of the), COG
25.1344, 1901, Apr Average, Congo (Republic of the), COG
24.2541, 1901, May Average, Congo (Republic of the), COG
23.4182, 1901, Jun Average, Congo (Republic of the), COG
23.0341, 1901, Jul Average, Congo (Republic of the), COG
22.8348, 1901, Aug Average, Congo (Republic of the), COG
23.6052, 1901, Sep Average, Congo (Republic of the), COG
24.5877, 1901, Oct Average, Congo (Republic of the), COG
24.5439, 1901, Nov Average, Congo (Republic of the), COG
24.523, 1901, Dec Average, Congo (Republic of the), COG
24.7431, 1902, Jan Average, Congo (Republic of the), COG
24.5759, 1902, Feb Average, Congo (Republic of the), COG
25.2302, 1902, Mar Average, Congo (Republic of the), COG
24.9618, 1902, Apr Average, Congo (Republic of the), COG
24.7134, 1902, May Average, Congo (Republic of the), COG
23.9172, 1902, Jun Average, Congo (Republic of the), COG
22.9339, 1902, Jul Average, Congo (Republic of the), COG
23.7336, 1902, Aug Average, Congo (Republic of the), COG
24.3042, 1902, Sep Average, Congo (Republic of the), COG
24.5877, 1902, Oct Average, Congo (Republic of the), COG
24.5439, 1902, Nov Average, Congo (Republic of the), COG
24.523, 1902, Dec Average, Congo (Republic of the), COG
25.1431, 1903, Jan Average, Congo (Republic of the), COG
25.4759, 1903, Feb Average, Congo (Republic of the), COG
25.7451, 1903, Mar Average, Congo (Republic of the), COG
25.416, 1903, Apr Average, Congo (Republic of the), COG
24.7146, 1903, May Average, Congo (Republic of the), COG
23.3172, 1903, Jun Average, Congo (Republic of the), COG
23.1339, 1903, Jul Average, Congo (Republic of the), COG
23.6336, 1903, Aug Average, Congo (Republic of the), COG
24.6042, 1903, Sep Average, Congo (Republic of the), COG
24.5877, 1903, Oct Average, Congo (Republic of the), COG
24.5439, 1903, Nov Average, Congo (Republic of the), COG
24.523, 1903, Dec Average, Congo (Republic of the), COG
24.7431, 1904, Jan Average, Congo (Republic of the), COG
24.7759, 1904, Feb Average, Congo (Republic of the), COG
24.841, 1904, Mar Average, Congo (Republic of the), COG
24.8869, 1904, Apr Average, Congo (Republic of the), COG
24.5139, 1904, May Average, Congo (Republic of the), COG
23.7172, 1904, Jun Average, Congo (Republic of the), COG
22.4339, 1904, Jul Average, Congo (Republic of the), COG
22.8336, 1904, Aug Average, Congo (Republic of the), COG
24.6042, 1904, Sep Average, Congo (Republic of the), COG
24.5877, 1904, Oct Average, Congo (Republic of the), COG
24.5439, 1904, Nov Average, Congo (Republic of the), COG
24.523, 1904, Dec Average, Congo (Republic of the), COG
25.1431, 1905, Jan Average, Congo (Republic of the), COG
