Temperature - (Celsius), Year, Statistics, Country, ISO3
21.6113, 1901, Jan Average, Cape Verde, CPV
21.6382, 1901, Feb Average, Cape Verde, CPV
20.1571, 1901, Mar Average, Cape Verde, CPV
22.3936, 1901, Apr Average, Cape Verde, CPV
20.7542, 1901, May Average, Cape Verde, CPV
23.8991, 1901, Jun Average, Cape Verde, CPV
24.4518, 1901, Jul Average, Cape Verde, CPV
25.8868, 1901, Aug Average, Cape Verde, CPV
26.1438, 1901, Sep Average, Cape Verde, CPV
24.2669, 1901, Oct Average, Cape Verde, CPV
21.1626, 1901, Nov Average, Cape Verde, CPV
20.6099, 1901, Dec Average, Cape Verde, CPV
21.4139, 1902, Jan Average, Cape Verde, CPV
21.4898, 1902, Feb Average, Cape Verde, CPV
19.2053, 1902, Mar Average, Cape Verde, CPV
21.0765, 1902, Apr Average, Cape Verde, CPV
21.3542, 1902, May Average, Cape Verde, CPV
23.7231, 1902, Jun Average, Cape Verde, CPV
23.9518, 1902, Jul Average, Cape Verde, CPV
25.8868, 1902, Aug Average, Cape Verde, CPV
25.9634, 1902, Sep Average, Cape Verde, CPV
26.3151, 1902, Oct Average, Cape Verde, CPV
23.7093, 1902, Nov Average, Cape Verde, CPV
20.5099, 1902, Dec Average, Cape Verde, CPV
19.7139, 1903, Jan Average, Cape Verde, CPV
21.9203, 1903, Feb Average, Cape Verde, CPV
22.5296, 1903, Mar Average, Cape Verde, CPV
21.0863, 1903, Apr Average, Cape Verde, CPV
21.8763, 1903, May Average, Cape Verde, CPV
23.0764, 1903, Jun Average, Cape Verde, CPV
25.5099, 1903, Jul Average, Cape Verde, CPV
25.7868, 1903, Aug Average, Cape Verde, CPV
26.0634, 1903, Sep Average, Cape Verde, CPV
25.7198, 1903, Oct Average, Cape Verde, CPV
24.8898, 1903, Nov Average, Cape Verde, CPV
21.1099, 1903, Dec Average, Cape Verde, CPV
21.1719, 1904, Jan Average, Cape Verde, CPV
22.1623, 1904, Feb Average, Cape Verde, CPV
20.1571, 1904, Mar Average, Cape Verde, CPV
21.9961, 1904, Apr Average, Cape Verde, CPV
21.13, 1904, May Average, Cape Verde, CPV
22.2231, 1904, Jun Average, Cape Verde, CPV
24.3518, 1904, Jul Average, Cape Verde, CPV
24.601, 1904, Aug Average, Cape Verde, CPV
25.4634, 1904, Sep Average, Cape Verde, CPV
24.2422, 1904, Oct Average, Cape Verde, CPV
24.3093, 1904, Nov Average, Cape Verde, CPV
21.1903, 1904, Dec Average, Cape Verde, CPV
21.4139, 1905, Jan Average, Cape Verde, CPV
20.9254, 1905, Feb Average, Cape Verde, CPV
20.6721, 1905, Mar Average, Cape Verde, CPV
20.0868, 1905, Apr Average, Cape Verde, CPV
20.508, 1905, May Average, Cape Verde, CPV
23.718, 1905, Jun Average, Cape Verde, CPV
24.8518, 1905, Jul Average, Cape Verde, CPV
25.4335, 1905, Aug Average, Cape Verde, CPV
27.0583, 1905, Sep Average, Cape Verde, CPV
25.5618, 1905, Oct Average, Cape Verde, CPV
23.2145, 1905, Nov Average, Cape Verde, CPV
22.5099, 1905, Dec Average, Cape Verde, CPV
22.6139, 1906, Jan Average, Cape Verde, CPV
21.3382, 1906, Feb Average, Cape Verde, CPV
21.7348, 1906, Mar Average, Cape Verde, CPV
20.619, 1906, Apr Average, Cape Verde, CPV
