Temperature - (Celsius), Year, Statistics, Country, ISO3
23.9318, 1901, Jan Average, Costa Rica, CRI
24.3651, 1901, Feb Average, Costa Rica, CRI
25.2258, 1901, Mar Average, Costa Rica, CRI
25.6846, 1901, Apr Average, Costa Rica, CRI
25.1945, 1901, May Average, Costa Rica, CRI
24.4224, 1901, Jun Average, Costa Rica, CRI
24.5349, 1901, Jul Average, Costa Rica, CRI
24.37, 1901, Aug Average, Costa Rica, CRI
24.1065, 1901, Sep Average, Costa Rica, CRI
23.9301, 1901, Oct Average, Costa Rica, CRI
23.6791, 1901, Nov Average, Costa Rica, CRI
23.5153, 1901, Dec Average, Costa Rica, CRI
23.8351, 1902, Jan Average, Costa Rica, CRI
24.3305, 1902, Feb Average, Costa Rica, CRI
25.2948, 1902, Mar Average, Costa Rica, CRI
25.6639, 1902, Apr Average, Costa Rica, CRI
25.2152, 1902, May Average, Costa Rica, CRI
24.4155, 1902, Jun Average, Costa Rica, CRI
24.5625, 1902, Jul Average, Costa Rica, CRI
24.2803, 1902, Aug Average, Costa Rica, CRI
24.2101, 1902, Sep Average, Costa Rica, CRI
23.9853, 1902, Oct Average, Costa Rica, CRI
23.7482, 1902, Nov Average, Costa Rica, CRI
23.5222, 1902, Dec Average, Costa Rica, CRI
23.9594, 1903, Jan Average, Costa Rica, CRI
24.4824, 1903, Feb Average, Costa Rica, CRI
25.2603, 1903, Mar Average, Costa Rica, CRI
25.6363, 1903, Apr Average, Costa Rica, CRI
25.1392, 1903, May Average, Costa Rica, CRI
24.4983, 1903, Jun Average, Costa Rica, CRI
24.5764, 1903, Jul Average, Costa Rica, CRI
24.3907, 1903, Aug Average, Costa Rica, CRI
24.1893, 1903, Sep Average, Costa Rica, CRI
23.9231, 1903, Oct Average, Costa Rica, CRI
23.617, 1903, Nov Average, Costa Rica, CRI
23.4048, 1903, Dec Average, Costa Rica, CRI
23.9318, 1904, Jan Average, Costa Rica, CRI
24.3651, 1904, Feb Average, Costa Rica, CRI
25.2258, 1904, Mar Average, Costa Rica, CRI
25.6846, 1904, Apr Average, Costa Rica, CRI
25.1945, 1904, May Average, Costa Rica, CRI
24.4224, 1904, Jun Average, Costa Rica, CRI
24.5349, 1904, Jul Average, Costa Rica, CRI
24.37, 1904, Aug Average, Costa Rica, CRI
24.1065, 1904, Sep Average, Costa Rica, CRI
23.9301, 1904, Oct Average, Costa Rica, CRI
23.6791, 1904, Nov Average, Costa Rica, CRI
23.5153, 1904, Dec Average, Costa Rica, CRI
23.9318, 1905, Jan Average, Costa Rica, CRI
24.3651, 1905, Feb Average, Costa Rica, CRI
25.2258, 1905, Mar Average, Costa Rica, CRI
25.6846, 1905, Apr Average, Costa Rica, CRI
25.1945, 1905, May Average, Costa Rica, CRI
24.4224, 1905, Jun Average, Costa Rica, CRI
24.5349, 1905, Jul Average, Costa Rica, CRI
24.37, 1905, Aug Average, Costa Rica, CRI
24.1065, 1905, Sep Average, Costa Rica, CRI
23.9301, 1905, Oct Average, Costa Rica, CRI
23.6791, 1905, Nov Average, Costa Rica, CRI
23.5153, 1905, Dec Average, Costa Rica, CRI
23.8282, 1906, Jan Average, Costa Rica, CRI
24.2615, 1906, Feb Average, Costa Rica, CRI
25.1636, 1906, Mar Average, Costa Rica, CRI
25.6087, 1906, Apr Average, Costa Rica, CRI
25.1876, 1906, May Average, Costa Rica, CRI
24.3948, 1906, Jun Average, Costa Rica, CRI
24.5556, 1906, Jul Average, Costa Rica, CRI
24.3631, 1906, Aug Average, Costa Rica, CRI
24.1548, 1906, Sep Average, Costa Rica, CRI
23.9439, 1906, Oct Average, Costa Rica, CRI
23.6999, 1906, Nov Average, Costa Rica, CRI
23.4739, 1906, Dec Average, Costa Rica, CRI
23.9663, 1907, Jan Average, Costa Rica, CRI
24.3374, 1907, Feb Average, Costa Rica, CRI
25.2189, 1907, Mar Average, Costa Rica, CRI
25.6708, 1907, Apr Average, Costa Rica, CRI
25.1876, 1907, May Average, Costa Rica, CRI
24.4086, 1907, Jun Average, Costa Rica, CRI
24.4728, 1907, Jul Average, Costa Rica, CRI
24.301, 1907, Aug Average, Costa Rica, CRI
24.072, 1907, Sep Average, Costa Rica, CRI
23.9301, 1907, Oct Average, Costa Rica, CRI
23.7137, 1907, Nov Average, Costa Rica, CRI
23.4808, 1907, Dec Average, Costa Rica, CRI
23.8489, 1908, Jan Average, Costa Rica, CRI
24.2891, 1908, Feb Average, Costa Rica, CRI
25.2258, 1908, Mar Average, Costa Rica, CRI
25.7537, 1908, Apr Average, Costa Rica, CRI
25.2497, 1908, May Average, Costa Rica, CRI
24.4362, 1908, Jun Average, Costa Rica, CRI
24.528, 1908, Jul Average, Costa Rica, CRI
24.3493, 1908, Aug Average, Costa Rica, CRI
24.0927, 1908, Sep Average, Costa Rica, CRI
23.8679, 1908, Oct Average, Costa Rica, CRI
23.6032, 1908, Nov Average, Costa Rica, CRI
23.5084, 1908, Dec Average, Costa Rica, CRI
23.8904, 1909, Jan Average, Costa Rica, CRI
24.3443, 1909, Feb Average, Costa Rica, CRI
25.281, 1909, Mar Average, Costa Rica, CRI
25.7053, 1909, Apr Average, Costa Rica, CRI
25.2773, 1909, May Average, Costa Rica, CRI
24.4017, 1909, Jun Average, Costa Rica, CRI
24.5694, 1909, Jul Average, Costa Rica, CRI
24.3769, 1909, Aug Average, Costa Rica, CRI
24.0858, 1909, Sep Average, Costa Rica, CRI
23.9093, 1909, Oct Average, Costa Rica, CRI
23.6032, 1909, Nov Average, Costa Rica, CRI
23.4946, 1909, Dec Average, Costa Rica, CRI
23.8006, 1910, Jan Average, Costa Rica, CRI
24.2684, 1910, Feb Average, Costa Rica, CRI
25.0325, 1910, Mar Average, Costa Rica, CRI
25.5396, 1910, Apr Average, Costa Rica, CRI
25.1323, 1910, May Average, Costa Rica, CRI
24.3671, 1910, Jun Average, Costa Rica, CRI
24.5004, 1910, Jul Average, Costa Rica, CRI
24.3562, 1910, Aug Average, Costa Rica, CRI
24.0858, 1910, Sep Average, Costa Rica, CRI
23.9024, 1910, Oct Average, Costa Rica, CRI
23.5756, 1910, Nov Average, Costa Rica, CRI
23.3496, 1910, Dec Average, Costa Rica, CRI
23.9042, 1911, Jan Average, Costa Rica, CRI
24.3582, 1911, Feb Average, Costa Rica, CRI
25.2258, 1911, Mar Average, Costa Rica, CRI
25.7191, 1911, Apr Average, Costa Rica, CRI
25.0288, 1911, May Average, Costa Rica, CRI
24.3188, 1911, Jun Average, Costa Rica, CRI
24.4037, 1911, Jul Average, Costa Rica, CRI
24.3493, 1911, Aug Average, Costa Rica, CRI
24.1065, 1911, Sep Average, Costa Rica, CRI
23.9853, 1911, Oct Average, Costa Rica, CRI
23.7413, 1911, Nov Average, Costa Rica, CRI
23.536, 1911, Dec Average, Costa Rica, CRI
23.9318, 1912, Jan Average, Costa Rica, CRI
24.2062, 1912, Feb Average, Costa Rica, CRI
25.2672, 1912, Mar Average, Costa Rica, CRI
25.7951, 1912, Apr Average, Costa Rica, CRI
25.2014, 1912, May Average, Costa Rica, CRI
24.3879, 1912, Jun Average, Costa Rica, CRI
24.5142, 1912, Jul Average, Costa Rica, CRI
24.3562, 1912, Aug Average, Costa Rica, CRI
24.0858, 1912, Sep Average, Costa Rica, CRI
23.9508, 1912, Oct Average, Costa Rica, CRI
23.5894, 1912, Nov Average, Costa Rica, CRI
23.5429, 1912, Dec Average, Costa Rica, CRI
23.9939, 1913, Jan Average, Costa Rica, CRI
24.4755, 1913, Feb Average, Costa Rica, CRI
25.2396, 1913, Mar Average, Costa Rica, CRI
25.4913, 1913, Apr Average, Costa Rica, CRI
25.0426, 1913, May Average, Costa Rica, CRI
24.2912, 1913, Jun Average, Costa Rica, CRI
24.4935, 1913, Jul Average, Costa Rica, CRI
24.3493, 1913, Aug Average, Costa Rica, CRI
24.0582, 1913, Sep Average, Costa Rica, CRI
23.8886, 1913, Oct Average, Costa Rica, CRI
23.6101, 1913, Nov Average, Costa Rica, CRI
23.4739, 1913, Dec Average, Costa Rica, CRI
23.8627, 1914, Jan Average, Costa Rica, CRI
24.3512, 1914, Feb Average, Costa Rica, CRI
25.0463, 1914, Mar Average, Costa Rica, CRI
25.6225, 1914, Apr Average, Costa Rica, CRI
25.0909, 1914, May Average, Costa Rica, CRI
24.3326, 1914, Jun Average, Costa Rica, CRI
24.5556, 1914, Jul Average, Costa Rica, CRI
24.3976, 1914, Aug Average, Costa Rica, CRI
24.072, 1914, Sep Average, Costa Rica, CRI
23.9024, 1914, Oct Average, Costa Rica, CRI
23.6239, 1914, Nov Average, Costa Rica, CRI
23.5567, 1914, Dec Average, Costa Rica, CRI
23.8904, 1915, Jan Average, Costa Rica, CRI
24.2822, 1915, Feb Average, Costa Rica, CRI
25.0117, 1915, Mar Average, Costa Rica, CRI
25.4982, 1915, Apr Average, Costa Rica, CRI
25.2428, 1915, May Average, Costa Rica, CRI
24.4707, 1915, Jun Average, Costa Rica, CRI
24.5902, 1915, Jul Average, Costa Rica, CRI
24.3976, 1915, Aug Average, Costa Rica, CRI
24.1203, 1915, Sep Average, Costa Rica, CRI
23.9301, 1915, Oct Average, Costa Rica, CRI
23.6791, 1915, Nov Average, Costa Rica, CRI
