Temperature - (Celsius), Year, Statistics, Country, ISO3
21.3934, 1901, Jan Average, Cuba, CUB
21.3323, 1901, Feb Average, Cuba, CUB
22.6022, 1901, Mar Average, Cuba, CUB
22.7852, 1901, Apr Average, Cuba, CUB
24.909, 1901, May Average, Cuba, CUB
26.673, 1901, Jun Average, Cuba, CUB
26.8807, 1901, Jul Average, Cuba, CUB
26.8042, 1901, Aug Average, Cuba, CUB
26.8741, 1901, Sep Average, Cuba, CUB
26.015, 1901, Oct Average, Cuba, CUB
21.8677, 1901, Nov Average, Cuba, CUB
21.5215, 1901, Dec Average, Cuba, CUB
20.2515, 1902, Jan Average, Cuba, CUB
20.4653, 1902, Feb Average, Cuba, CUB
23.4739, 1902, Mar Average, Cuba, CUB
24.061, 1902, Apr Average, Cuba, CUB
26.2512, 1902, May Average, Cuba, CUB
26.7813, 1902, Jun Average, Cuba, CUB
27.2496, 1902, Jul Average, Cuba, CUB
27.409, 1902, Aug Average, Cuba, CUB
27.0581, 1902, Sep Average, Cuba, CUB
26.7569, 1902, Oct Average, Cuba, CUB
25.147, 1902, Nov Average, Cuba, CUB
23.0974, 1902, Dec Average, Cuba, CUB
22.5541, 1903, Jan Average, Cuba, CUB
24.1914, 1903, Feb Average, Cuba, CUB
24.7936, 1903, Mar Average, Cuba, CUB
23.494, 1903, Apr Average, Cuba, CUB
24.6982, 1903, May Average, Cuba, CUB
26.4676, 1903, Jun Average, Cuba, CUB
27.042, 1903, Jul Average, Cuba, CUB
27.4795, 1903, Aug Average, Cuba, CUB
26.3641, 1903, Sep Average, Cuba, CUB
24.9643, 1903, Oct Average, Cuba, CUB
23.2059, 1903, Nov Average, Cuba, CUB
20.7042, 1903, Dec Average, Cuba, CUB
21.8111, 1904, Jan Average, Cuba, CUB
23.0636, 1904, Feb Average, Cuba, CUB
24.211, 1904, Mar Average, Cuba, CUB
24.275, 1904, Apr Average, Cuba, CUB
25.3924, 1904, May Average, Cuba, CUB
26.136, 1904, Jun Average, Cuba, CUB
26.4348, 1904, Jul Average, Cuba, CUB
26.4825, 1904, Aug Average, Cuba, CUB
26.3879, 1904, Sep Average, Cuba, CUB
25.7123, 1904, Oct Average, Cuba, CUB
22.8987, 1904, Nov Average, Cuba, CUB
22.3595, 1904, Dec Average, Cuba, CUB
19.9768, 1905, Jan Average, Cuba, CUB
23.1468, 1905, Feb Average, Cuba, CUB
24.2221, 1905, Mar Average, Cuba, CUB
24.3123, 1905, Apr Average, Cuba, CUB
27.0994, 1905, May Average, Cuba, CUB
27.1498, 1905, Jun Average, Cuba, CUB
27.0329, 1905, Jul Average, Cuba, CUB
27.2675, 1905, Aug Average, Cuba, CUB
27.1134, 1905, Sep Average, Cuba, CUB
26.5643, 1905, Oct Average, Cuba, CUB
24.7817, 1905, Nov Average, Cuba, CUB
23.1644, 1905, Dec Average, Cuba, CUB
22.3985, 1906, Jan Average, Cuba, CUB
22.1706, 1906, Feb Average, Cuba, CUB
22.8936, 1906, Mar Average, Cuba, CUB
24.0159, 1906, Apr Average, Cuba, CUB
25.5131, 1906, May Average, Cuba, CUB
26.4305, 1906, Jun Average, Cuba, CUB
26.8834, 1906, Jul Average, Cuba, CUB
26.645, 1906, Aug Average, Cuba, CUB
26.7628, 1906, Sep Average, Cuba, CUB
25.6299, 1906, Oct Average, Cuba, CUB
24.1161, 1906, Nov Average, Cuba, CUB
21.7946, 1906, Dec Average, Cuba, CUB
23.1315, 1907, Jan Average, Cuba, CUB
21.7366, 1907, Feb Average, Cuba, CUB
24.1855, 1907, Mar Average, Cuba, CUB
23.8414, 1907, Apr Average, Cuba, CUB
26.357, 1907, May Average, Cuba, CUB
26.3631, 1907, Jun Average, Cuba, CUB
26.9881, 1907, Jul Average, Cuba, CUB
26.9978, 1907, Aug Average, Cuba, CUB
26.824, 1907, Sep Average, Cuba, CUB
25.5867, 1907, Oct Average, Cuba, CUB
24.793, 1907, Nov Average, Cuba, CUB
23.0788, 1907, Dec Average, Cuba, CUB
21.8376, 1908, Jan Average, Cuba, CUB
20.948, 1908, Feb Average, Cuba, CUB
24.4267, 1908, Mar Average, Cuba, CUB
26.4291, 1908, Apr Average, Cuba, CUB
26.0885, 1908, May Average, Cuba, CUB
26.1212, 1908, Jun Average, Cuba, CUB
27.072, 1908, Jul Average, Cuba, CUB
26.8017, 1908, Aug Average, Cuba, CUB
26.6796, 1908, Sep Average, Cuba, CUB
25.0139, 1908, Oct Average, Cuba, CUB
24.0161, 1908, Nov Average, Cuba, CUB
23.716, 1908, Dec Average, Cuba, CUB
23.0011, 1909, Jan Average, Cuba, CUB
22.4978, 1909, Feb Average, Cuba, CUB
24.1114, 1909, Mar Average, Cuba, CUB
24.8666, 1909, Apr Average, Cuba, CUB
26.0771, 1909, May Average, Cuba, CUB
26.7316, 1909, Jun Average, Cuba, CUB
26.8692, 1909, Jul Average, Cuba, CUB
26.7761, 1909, Aug Average, Cuba, CUB
26.2655, 1909, Sep Average, Cuba, CUB
25.3268, 1909, Oct Average, Cuba, CUB
23.6938, 1909, Nov Average, Cuba, CUB
21.5658, 1909, Dec Average, Cuba, CUB
21.0725, 1910, Jan Average, Cuba, CUB
21.679, 1910, Feb Average, Cuba, CUB
22.3864, 1910, Mar Average, Cuba, CUB
23.2848, 1910, Apr Average, Cuba, CUB
25.2781, 1910, May Average, Cuba, CUB
26.1835, 1910, Jun Average, Cuba, CUB
26.4028, 1910, Jul Average, Cuba, CUB
26.824, 1910, Aug Average, Cuba, CUB
26.2151, 1910, Sep Average, Cuba, CUB
25.24, 1910, Oct Average, Cuba, CUB
22.1548, 1910, Nov Average, Cuba, CUB
20.1123, 1910, Dec Average, Cuba, CUB
22.947, 1911, Jan Average, Cuba, CUB
22.6318, 1911, Feb Average, Cuba, CUB
23.5191, 1911, Mar Average, Cuba, CUB
24.9368, 1911, Apr Average, Cuba, CUB
24.8024, 1911, May Average, Cuba, CUB
26.5888, 1911, Jun Average, Cuba, CUB
26.5638, 1911, Jul Average, Cuba, CUB
26.8474, 1911, Aug Average, Cuba, CUB
26.8622, 1911, Sep Average, Cuba, CUB
