Temperature - (Celsius), Year, Statistics, Country, ISO3
9.02431, 1901, Jan Average, Cyprus, CYP
13.4035, 1901, Feb Average, Cyprus, CYP
15.5072, 1901, Mar Average, Cyprus, CYP
16.6739, 1901, Apr Average, Cyprus, CYP
18.4819, 1901, May Average, Cyprus, CYP
24.0428, 1901, Jun Average, Cyprus, CYP
26.7883, 1901, Jul Average, Cyprus, CYP
26.8267, 1901, Aug Average, Cyprus, CYP
23.9023, 1901, Sep Average, Cyprus, CYP
20.675, 1901, Oct Average, Cyprus, CYP
15.4363, 1901, Nov Average, Cyprus, CYP
13.2645, 1901, Dec Average, Cyprus, CYP
10.1038, 1902, Jan Average, Cyprus, CYP
13.0534, 1902, Feb Average, Cyprus, CYP
11.919, 1902, Mar Average, Cyprus, CYP
15.5407, 1902, Apr Average, Cyprus, CYP
19.7668, 1902, May Average, Cyprus, CYP
23.0521, 1902, Jun Average, Cyprus, CYP
26.0794, 1902, Jul Average, Cyprus, CYP
26.5996, 1902, Aug Average, Cyprus, CYP
25.3619, 1902, Sep Average, Cyprus, CYP
21.2715, 1902, Oct Average, Cyprus, CYP
14.0433, 1902, Nov Average, Cyprus, CYP
10.447, 1902, Dec Average, Cyprus, CYP
8.88143, 1903, Jan Average, Cyprus, CYP
9.32375, 1903, Feb Average, Cyprus, CYP
11.3358, 1903, Mar Average, Cyprus, CYP
16.146, 1903, Apr Average, Cyprus, CYP
20.0679, 1903, May Average, Cyprus, CYP
22.5181, 1903, Jun Average, Cyprus, CYP
25.1078, 1903, Jul Average, Cyprus, CYP
26.0616, 1903, Aug Average, Cyprus, CYP
23.0104, 1903, Sep Average, Cyprus, CYP
19.7434, 1903, Oct Average, Cyprus, CYP
14.5662, 1903, Nov Average, Cyprus, CYP
12.1954, 1903, Dec Average, Cyprus, CYP
9.6309, 1904, Jan Average, Cyprus, CYP
11.6618, 1904, Feb Average, Cyprus, CYP
12.0487, 1904, Mar Average, Cyprus, CYP
14.7264, 1904, Apr Average, Cyprus, CYP
18.6772, 1904, May Average, Cyprus, CYP
22.7708, 1904, Jun Average, Cyprus, CYP
25.7333, 1904, Jul Average, Cyprus, CYP
26.405, 1904, Aug Average, Cyprus, CYP
23.8524, 1904, Sep Average, Cyprus, CYP
21.8658, 1904, Oct Average, Cyprus, CYP
14.9478, 1904, Nov Average, Cyprus, CYP
10.1325, 1904, Dec Average, Cyprus, CYP
8.07582, 1905, Jan Average, Cyprus, CYP
8.02168, 1905, Feb Average, Cyprus, CYP
11.2018, 1905, Mar Average, Cyprus, CYP
15.9538, 1905, Apr Average, Cyprus, CYP
20.0912, 1905, May Average, Cyprus, CYP
23.0922, 1905, Jun Average, Cyprus, CYP
26.9518, 1905, Jul Average, Cyprus, CYP
27.2927, 1905, Aug Average, Cyprus, CYP
25.2343, 1905, Sep Average, Cyprus, CYP
22.035, 1905, Oct Average, Cyprus, CYP
17.5776, 1905, Nov Average, Cyprus, CYP
10.433, 1905, Dec Average, Cyprus, CYP
9.84953, 1906, Jan Average, Cyprus, CYP
10.6323, 1906, Feb Average, Cyprus, CYP
12.9702, 1906, Mar Average, Cyprus, CYP
15.6442, 1906, Apr Average, Cyprus, CYP
18.9646, 1906, May Average, Cyprus, CYP
23.9748, 1906, Jun Average, Cyprus, CYP
26.4225, 1906, Jul Average, Cyprus, CYP
26.5172, 1906, Aug Average, Cyprus, CYP
23.549, 1906, Sep Average, Cyprus, CYP
20.5481, 1906, Oct Average, Cyprus, CYP
15.9589, 1906, Nov Average, Cyprus, CYP
13.2461, 1906, Dec Average, Cyprus, CYP
9.04421, 1907, Jan Average, Cyprus, CYP
9.78146, 1907, Feb Average, Cyprus, CYP
10.219, 1907, Mar Average, Cyprus, CYP
14.8616, 1907, Apr Average, Cyprus, CYP
19.7901, 1907, May Average, Cyprus, CYP
23.3918, 1907, Jun Average, Cyprus, CYP
26.6413, 1907, Jul Average, Cyprus, CYP
26.6754, 1907, Aug Average, Cyprus, CYP
23.0371, 1907, Sep Average, Cyprus, CYP
20.5333, 1907, Oct Average, Cyprus, CYP
13.9223, 1907, Nov Average, Cyprus, CYP
11.6174, 1907, Dec Average, Cyprus, CYP
9.4492, 1908, Jan Average, Cyprus, CYP
10.0231, 1908, Feb Average, Cyprus, CYP
11.9613, 1908, Mar Average, Cyprus, CYP
15.3265, 1908, Apr Average, Cyprus, CYP
20.76, 1908, May Average, Cyprus, CYP
23.9706, 1908, Jun Average, Cyprus, CYP
25.8009, 1908, Jul Average, Cyprus, CYP
26.5361, 1908, Aug Average, Cyprus, CYP
23.8893, 1908, Sep Average, Cyprus, CYP
19.9588, 1908, Oct Average, Cyprus, CYP
13.9323, 1908, Nov Average, Cyprus, CYP
9.66643, 1908, Dec Average, Cyprus, CYP
9.13424, 1909, Jan Average, Cyprus, CYP
9.82321, 1909, Feb Average, Cyprus, CYP
14.084, 1909, Mar Average, Cyprus, CYP
14.2692, 1909, Apr Average, Cyprus, CYP
22.4065, 1909, May Average, Cyprus, CYP
23.8934, 1909, Jun Average, Cyprus, CYP
27.5395, 1909, Jul Average, Cyprus, CYP
27.6152, 1909, Aug Average, Cyprus, CYP
25.3686, 1909, Sep Average, Cyprus, CYP
21.2487, 1909, Oct Average, Cyprus, CYP
16.9764, 1909, Nov Average, Cyprus, CYP
13.4968, 1909, Dec Average, Cyprus, CYP
9.841, 1910, Jan Average, Cyprus, CYP
11.5088, 1910, Feb Average, Cyprus, CYP
10.1811, 1910, Mar Average, Cyprus, CYP
16.4102, 1910, Apr Average, Cyprus, CYP
19.7138, 1910, May Average, Cyprus, CYP
23.1968, 1910, Jun Average, Cyprus, CYP
26.5236, 1910, Jul Average, Cyprus, CYP
27.0868, 1910, Aug Average, Cyprus, CYP
24.1966, 1910, Sep Average, Cyprus, CYP
19.5123, 1910, Oct Average, Cyprus, CYP
15.5758, 1910, Nov Average, Cyprus, CYP
10.7654, 1910, Dec Average, Cyprus, CYP
8.36938, 1911, Jan Average, Cyprus, CYP
7.15833, 1911, Feb Average, Cyprus, CYP
10.3839, 1911, Mar Average, Cyprus, CYP
15.039, 1911, Apr Average, Cyprus, CYP
19.6914, 1911, May Average, Cyprus, CYP
23.2072, 1911, Jun Average, Cyprus, CYP
26.2856, 1911, Jul Average, Cyprus, CYP
26.8461, 1911, Aug Average, Cyprus, CYP
23.7791, 1911, Sep Average, Cyprus, CYP
20.9556, 1911, Oct Average, Cyprus, CYP
16.3204, 1911, Nov Average, Cyprus, CYP
11.7197, 1911, Dec Average, Cyprus, CYP
9.0368, 1912, Jan Average, Cyprus, CYP
11.5047, 1912, Feb Average, Cyprus, CYP
13.1102, 1912, Mar Average, Cyprus, CYP
15.4514, 1912, Apr Average, Cyprus, CYP
18.2953, 1912, May Average, Cyprus, CYP
23.6758, 1912, Jun Average, Cyprus, CYP
