Temperature - (Celsius), Year, Statistics, Country, ISO3
-6.2926, 1901, Jan Average, Czech Republic, CZE
-5.8951, 1901, Feb Average, Czech Republic, CZE
1.52013, 1901, Mar Average, Czech Republic, CZE
7.6646, 1901, Apr Average, Czech Republic, CZE
12.8953, 1901, May Average, Czech Republic, CZE
16.152, 1901, Jun Average, Czech Republic, CZE
18.136, 1901, Jul Average, Czech Republic, CZE
16.5684, 1901, Aug Average, Czech Republic, CZE
12.831, 1901, Sep Average, Czech Republic, CZE
9.35642, 1901, Oct Average, Czech Republic, CZE
1.20039, 1901, Nov Average, Czech Republic, CZE
0.00102, 1901, Dec Average, Czech Republic, CZE
0.99352, 1902, Jan Average, Czech Republic, CZE
-1.9324, 1902, Feb Average, Czech Republic, CZE
2.43564, 1902, Mar Average, Czech Republic, CZE
7.10541, 1902, Apr Average, Czech Republic, CZE
8.63689, 1902, May Average, Czech Republic, CZE
14.6207, 1902, Jun Average, Czech Republic, CZE
15.9332, 1902, Jul Average, Czech Republic, CZE
15.754, 1902, Aug Average, Czech Republic, CZE
12.4863, 1902, Sep Average, Czech Republic, CZE
6.90816, 1902, Oct Average, Czech Republic, CZE
-0.4894, 1902, Nov Average, Czech Republic, CZE
-4.4837, 1902, Dec Average, Czech Republic, CZE
-3.2198, 1903, Jan Average, Czech Republic, CZE
1.86147, 1903, Feb Average, Czech Republic, CZE
4.99711, 1903, Mar Average, Czech Republic, CZE
4.72219, 1903, Apr Average, Czech Republic, CZE
12.6933, 1903, May Average, Czech Republic, CZE
14.6961, 1903, Jun Average, Czech Republic, CZE
16.5374, 1903, Jul Average, Czech Republic, CZE
16.3225, 1903, Aug Average, Czech Republic, CZE
13.2162, 1903, Sep Average, Czech Republic, CZE
9.14366, 1903, Oct Average, Czech Republic, CZE
3.55657, 1903, Nov Average, Czech Republic, CZE
-2.341, 1903, Dec Average, Czech Republic, CZE
-3.2492, 1904, Jan Average, Czech Republic, CZE
-0.1845, 1904, Feb Average, Czech Republic, CZE
2.7065, 1904, Mar Average, Czech Republic, CZE
8.42261, 1904, Apr Average, Czech Republic, CZE
12.0134, 1904, May Average, Czech Republic, CZE
15.6555, 1904, Jun Average, Czech Republic, CZE
19.1651, 1904, Jul Average, Czech Republic, CZE
17.6106, 1904, Aug Average, Czech Republic, CZE
11.9794, 1904, Sep Average, Czech Republic, CZE
8.01695, 1904, Oct Average, Czech Republic, CZE
1.7311, 1904, Nov Average, Czech Republic, CZE
-0.1397, 1904, Dec Average, Czech Republic, CZE
-4.8286, 1905, Jan Average, Czech Republic, CZE
-0.4903, 1905, Feb Average, Czech Republic, CZE
3.7676, 1905, Mar Average, Czech Republic, CZE
5.53235, 1905, Apr Average, Czech Republic, CZE
12.1186, 1905, May Average, Czech Republic, CZE
16.9216, 1905, Jun Average, Czech Republic, CZE
18.9115, 1905, Jul Average, Czech Republic, CZE
17.2945, 1905, Aug Average, Czech Republic, CZE
13.5514, 1905, Sep Average, Czech Republic, CZE
4.50899, 1905, Oct Average, Czech Republic, CZE
2.47667, 1905, Nov Average, Czech Republic, CZE
-0.494, 1905, Dec Average, Czech Republic, CZE
-1.5754, 1906, Jan Average, Czech Republic, CZE
-1.2443, 1906, Feb Average, Czech Republic, CZE
1.91039, 1906, Mar Average, Czech Republic, CZE
8.37319, 1906, Apr Average, Czech Republic, CZE
13.1492, 1906, May Average, Czech Republic, CZE
14.4554, 1906, Jun Average, Czech Republic, CZE
17.3807, 1906, Jul Average, Czech Republic, CZE
16.5096, 1906, Aug Average, Czech Republic, CZE
12.1131, 1906, Sep Average, Czech Republic, CZE
8.63234, 1906, Oct Average, Czech Republic, CZE
5.19994, 1906, Nov Average, Czech Republic, CZE
-3.8743, 1906, Dec Average, Czech Republic, CZE
-2.9757, 1907, Jan Average, Czech Republic, CZE
-3.0732, 1907, Feb Average, Czech Republic, CZE
1.12733, 1907, Mar Average, Czech Republic, CZE
5.25923, 1907, Apr Average, Czech Republic, CZE
13.9142, 1907, May Average, Czech Republic, CZE
15.6257, 1907, Jun Average, Czech Republic, CZE
15.1418, 1907, Jul Average, Czech Republic, CZE
16.6933, 1907, Aug Average, Czech Republic, CZE
13.0593, 1907, Sep Average, Czech Republic, CZE
11.764, 1907, Oct Average, Czech Republic, CZE
1.48351, 1907, Nov Average, Czech Republic, CZE
-0.5273, 1907, Dec Average, Czech Republic, CZE
-3.899, 1908, Jan Average, Czech Republic, CZE
-0.3869, 1908, Feb Average, Czech Republic, CZE
1.70696, 1908, Mar Average, Czech Republic, CZE
5.67424, 1908, Apr Average, Czech Republic, CZE
14.3383, 1908, May Average, Czech Republic, CZE
17.226, 1908, Jun Average, Czech Republic, CZE
17.1124, 1908, Jul Average, Czech Republic, CZE
14.8782, 1908, Aug Average, Czech Republic, CZE
11.6676, 1908, Sep Average, Czech Republic, CZE
7.76606, 1908, Oct Average, Czech Republic, CZE
-0.6893, 1908, Nov Average, Czech Republic, CZE
-3.025, 1908, Dec Average, Czech Republic, CZE
-4.1796, 1909, Jan Average, Czech Republic, CZE
-4.6865, 1909, Feb Average, Czech Republic, CZE
0.78473, 1909, Mar Average, Czech Republic, CZE
7.62381, 1909, Apr Average, Czech Republic, CZE
10.6005, 1909, May Average, Czech Republic, CZE
14.738, 1909, Jun Average, Czech Republic, CZE
15.3484, 1909, Jul Average, Czech Republic, CZE
16.835, 1909, Aug Average, Czech Republic, CZE
13.3862, 1909, Sep Average, Czech Republic, CZE
10.0271, 1909, Oct Average, Czech Republic, CZE
0.94699, 1909, Nov Average, Czech Republic, CZE
-0.3258, 1909, Dec Average, Czech Republic, CZE
-1.0929, 1910, Jan Average, Czech Republic, CZE
0.73186, 1910, Feb Average, Czech Republic, CZE
2.94741, 1910, Mar Average, Czech Republic, CZE
6.95438, 1910, Apr Average, Czech Republic, CZE
12.2439, 1910, May Average, Czech Republic, CZE
16.408, 1910, Jun Average, Czech Republic, CZE
15.641, 1910, Jul Average, Czech Republic, CZE
15.9947, 1910, Aug Average, Czech Republic, CZE
11.7001, 1910, Sep Average, Czech Republic, CZE
8.39917, 1910, Oct Average, Czech Republic, CZE
1.34358, 1910, Nov Average, Czech Republic, CZE
1.0331, 1910, Dec Average, Czech Republic, CZE
-3.2598, 1911, Jan Average, Czech Republic, CZE
-1.2841, 1911, Feb Average, Czech Republic, CZE
3.13628, 1911, Mar Average, Czech Republic, CZE
7.05784, 1911, Apr Average, Czech Republic, CZE
12.5716, 1911, May Average, Czech Republic, CZE
15.1459, 1911, Jun Average, Czech Republic, CZE
19.1333, 1911, Jul Average, Czech Republic, CZE
19.0287, 1911, Aug Average, Czech Republic, CZE
14.2798, 1911, Sep Average, Czech Republic, CZE
8.02298, 1911, Oct Average, Czech Republic, CZE
3.79163, 1911, Nov Average, Czech Republic, CZE
0.48054, 1911, Dec Average, Czech Republic, CZE
-5.0675, 1912, Jan Average, Czech Republic, CZE
0.4898, 1912, Feb Average, Czech Republic, CZE
5.11636, 1912, Mar Average, Czech Republic, CZE
5.95481, 1912, Apr Average, Czech Republic, CZE
11.7996, 1912, May Average, Czech Republic, CZE
15.9566, 1912, Jun Average, Czech Republic, CZE
17.5351, 1912, Jul Average, Czech Republic, CZE
14.6469, 1912, Aug Average, Czech Republic, CZE
9.44934, 1912, Sep Average, Czech Republic, CZE
5.82213, 1912, Oct Average, Czech Republic, CZE
0.40424, 1912, Nov Average, Czech Republic, CZE
0.80831, 1912, Dec Average, Czech Republic, CZE
