Temperature - (Celsius), Year, Statistics, Country, ISO3
24.0029, 1901, Jan Average, Djibouti, DJI
26.4417, 1901, Feb Average, Djibouti, DJI
26.788, 1901, Mar Average, Djibouti, DJI
27.7601, 1901, Apr Average, Djibouti, DJI
29.6896, 1901, May Average, Djibouti, DJI
30.9689, 1901, Jun Average, Djibouti, DJI
33.2864, 1901, Jul Average, Djibouti, DJI
32.163, 1901, Aug Average, Djibouti, DJI
30.8355, 1901, Sep Average, Djibouti, DJI
27.9995, 1901, Oct Average, Djibouti, DJI
25.7773, 1901, Nov Average, Djibouti, DJI
24.4988, 1901, Dec Average, Djibouti, DJI
22.9667, 1902, Jan Average, Djibouti, DJI
24.1071, 1902, Feb Average, Djibouti, DJI
25.5373, 1902, Mar Average, Djibouti, DJI
26.4558, 1902, Apr Average, Djibouti, DJI
27.9256, 1902, May Average, Djibouti, DJI
31.767, 1902, Jun Average, Djibouti, DJI
33.8988, 1902, Jul Average, Djibouti, DJI
33.5592, 1902, Aug Average, Djibouti, DJI
31.1804, 1902, Sep Average, Djibouti, DJI
27.6341, 1902, Oct Average, Djibouti, DJI
25.3905, 1902, Nov Average, Djibouti, DJI
23.4437, 1902, Dec Average, Djibouti, DJI
24.5305, 1903, Jan Average, Djibouti, DJI
25.0123, 1903, Feb Average, Djibouti, DJI
26.4185, 1903, Mar Average, Djibouti, DJI
28.3502, 1903, Apr Average, Djibouti, DJI
29.3806, 1903, May Average, Djibouti, DJI
31.567, 1903, Jun Average, Djibouti, DJI
33.2593, 1903, Jul Average, Djibouti, DJI
31.8491, 1903, Aug Average, Djibouti, DJI
30.0016, 1903, Sep Average, Djibouti, DJI
27.3019, 1903, Oct Average, Djibouti, DJI
24.5284, 1903, Nov Average, Djibouti, DJI
23.3863, 1903, Dec Average, Djibouti, DJI
22.7053, 1904, Jan Average, Djibouti, DJI
24.6509, 1904, Feb Average, Djibouti, DJI
25.8969, 1904, Mar Average, Djibouti, DJI
27.9137, 1904, Apr Average, Djibouti, DJI
29.4877, 1904, May Average, Djibouti, DJI
32.2666, 1904, Jun Average, Djibouti, DJI
32.4901, 1904, Jul Average, Djibouti, DJI
32.8266, 1904, Aug Average, Djibouti, DJI
30.172, 1904, Sep Average, Djibouti, DJI
27.0041, 1904, Oct Average, Djibouti, DJI
24.8482, 1904, Nov Average, Djibouti, DJI
22.6408, 1904, Dec Average, Djibouti, DJI
