Temperature - (Celsius), Year, Statistics, Country, ISO3
23.008, 1901, Jan Average, Dominica, DMA
23.0728, 1901, Feb Average, Dominica, DMA
23.1491, 1901, Mar Average, Dominica, DMA
23.9461, 1901, Apr Average, Dominica, DMA
24.6466, 1901, May Average, Dominica, DMA
24.7753, 1901, Jun Average, Dominica, DMA
24.7833, 1901, Jul Average, Dominica, DMA
25.1019, 1901, Aug Average, Dominica, DMA
24.6138, 1901, Sep Average, Dominica, DMA
24.093, 1901, Oct Average, Dominica, DMA
23.5512, 1901, Nov Average, Dominica, DMA
22.6884, 1901, Dec Average, Dominica, DMA
22.1452, 1902, Jan Average, Dominica, DMA
22.4998, 1902, Feb Average, Dominica, DMA
22.2982, 1902, Mar Average, Dominica, DMA
22.9525, 1902, Apr Average, Dominica, DMA
24.0411, 1902, May Average, Dominica, DMA
24.6287, 1902, Jun Average, Dominica, DMA
24.6633, 1902, Jul Average, Dominica, DMA
24.9392, 1902, Aug Average, Dominica, DMA
24.2867, 1902, Sep Average, Dominica, DMA
23.7248, 1902, Oct Average, Dominica, DMA
23.6648, 1902, Nov Average, Dominica, DMA
23.0884, 1902, Dec Average, Dominica, DMA
22.6134, 1903, Jan Average, Dominica, DMA
22.5236, 1903, Feb Average, Dominica, DMA
22.2864, 1903, Mar Average, Dominica, DMA
23.127, 1903, Apr Average, Dominica, DMA
24.3228, 1903, May Average, Dominica, DMA
24.9553, 1903, Jun Average, Dominica, DMA
24.8515, 1903, Jul Average, Dominica, DMA
24.6867, 1903, Aug Average, Dominica, DMA
24.2867, 1903, Sep Average, Dominica, DMA
24.1694, 1903, Oct Average, Dominica, DMA
23.4575, 1903, Nov Average, Dominica, DMA
22.7884, 1903, Dec Average, Dominica, DMA
22.1134, 1904, Jan Average, Dominica, DMA
21.7728, 1904, Feb Average, Dominica, DMA
21.6046, 1904, Mar Average, Dominica, DMA
22.2559, 1904, Apr Average, Dominica, DMA
23.55, 1904, May Average, Dominica, DMA
24.1435, 1904, Jun Average, Dominica, DMA
24.2833, 1904, Jul Average, Dominica, DMA
24.1092, 1904, Aug Average, Dominica, DMA
24.0185, 1904, Sep Average, Dominica, DMA
23.493, 1904, Oct Average, Dominica, DMA
23.8257, 1904, Nov Average, Dominica, DMA
22.9164, 1904, Dec Average, Dominica, DMA
22.4118, 1905, Jan Average, Dominica, DMA
21.6728, 1905, Feb Average, Dominica, DMA
21.8952, 1905, Mar Average, Dominica, DMA
23.3952, 1905, Apr Average, Dominica, DMA
23.4245, 1905, May Average, Dominica, DMA
24.5219, 1905, Jun Average, Dominica, DMA
24.6697, 1905, Jul Average, Dominica, DMA
24.9019, 1905, Aug Average, Dominica, DMA
24.4528, 1905, Sep Average, Dominica, DMA
23.9994, 1905, Oct Average, Dominica, DMA
24.0257, 1905, Nov Average, Dominica, DMA
22.7003, 1905, Dec Average, Dominica, DMA
22.0643, 1906, Jan Average, Dominica, DMA
21.9982, 1906, Feb Average, Dominica, DMA
22.13, 1906, Mar Average, Dominica, DMA
22.8682, 1906, Apr Average, Dominica, DMA
23.875, 1906, May Average, Dominica, DMA
24.1346, 1906, Jun Average, Dominica, DMA
24.326, 1906, Jul Average, Dominica, DMA
24.7676, 1906, Aug Average, Dominica, DMA
24.1867, 1906, Sep Average, Dominica, DMA
24.1439, 1906, Oct Average, Dominica, DMA
23.9766, 1906, Nov Average, Dominica, DMA
22.1084, 1906, Dec Average, Dominica, DMA
21.4652, 1907, Jan Average, Dominica, DMA
21.3182, 1907, Feb Average, Dominica, DMA
21.3838, 1907, Mar Average, Dominica, DMA
22.3152, 1907, Apr Average, Dominica, DMA
23.0156, 1907, May Average, Dominica, DMA
24.1282, 1907, Jun Average, Dominica, DMA
24.5099, 1907, Jul Average, Dominica, DMA
24.4274, 1907, Aug Average, Dominica, DMA
24.1185, 1907, Sep Average, Dominica, DMA
23.8503, 1907, Oct Average, Dominica, DMA
23.5321, 1907, Nov Average, Dominica, DMA
22.8948, 1907, Dec Average, Dominica, DMA
22.2643, 1908, Jan Average, Dominica, DMA
21.7982, 1908, Feb Average, Dominica, DMA
21.6952, 1908, Mar Average, Dominica, DMA
22.3152, 1908, Apr Average, Dominica, DMA
23.0686, 1908, May Average, Dominica, DMA
24.2537, 1908, Jun Average, Dominica, DMA
