Temperature - (Celsius), Year, Statistics, Country, ISO3
12.3533, 1901, Jan Average, Egypt, EGY
17.1485, 1901, Feb Average, Egypt, EGY
19.8166, 1901, Mar Average, Egypt, EGY
22.471, 1901, Apr Average, Egypt, EGY
24.7663, 1901, May Average, Egypt, EGY
28.201, 1901, Jun Average, Egypt, EGY
29.0262, 1901, Jul Average, Egypt, EGY
28.904, 1901, Aug Average, Egypt, EGY
26.6434, 1901, Sep Average, Egypt, EGY
24.1158, 1901, Oct Average, Egypt, EGY
18.1341, 1901, Nov Average, Egypt, EGY
14.9177, 1901, Dec Average, Egypt, EGY
12.1107, 1902, Jan Average, Egypt, EGY
16.6325, 1902, Feb Average, Egypt, EGY
16.9514, 1902, Mar Average, Egypt, EGY
21.7018, 1902, Apr Average, Egypt, EGY
25.5515, 1902, May Average, Egypt, EGY
27.032, 1902, Jun Average, Egypt, EGY
27.9714, 1902, Jul Average, Egypt, EGY
28.4227, 1902, Aug Average, Egypt, EGY
27.1584, 1902, Sep Average, Egypt, EGY
24.0858, 1902, Oct Average, Egypt, EGY
17.5741, 1902, Nov Average, Egypt, EGY
12.9458, 1902, Dec Average, Egypt, EGY
11.0177, 1903, Jan Average, Egypt, EGY
12.2229, 1903, Feb Average, Egypt, EGY
15.3777, 1903, Mar Average, Egypt, EGY
21.5116, 1903, Apr Average, Egypt, EGY
25.7116, 1903, May Average, Egypt, EGY
27.0873, 1903, Jun Average, Egypt, EGY
27.2743, 1903, Jul Average, Egypt, EGY
28.062, 1903, Aug Average, Egypt, EGY
25.0039, 1903, Sep Average, Egypt, EGY
22.2827, 1903, Oct Average, Egypt, EGY
16.9796, 1903, Nov Average, Egypt, EGY
14.2766, 1903, Dec Average, Egypt, EGY
12.2636, 1904, Jan Average, Egypt, EGY
15.0843, 1904, Feb Average, Egypt, EGY
17.5012, 1904, Mar Average, Egypt, EGY
20.7075, 1904, Apr Average, Egypt, EGY
24.5914, 1904, May Average, Egypt, EGY
27.1914, 1904, Jun Average, Egypt, EGY
28.1154, 1904, Jul Average, Egypt, EGY
28.3813, 1904, Aug Average, Egypt, EGY
26.2553, 1904, Sep Average, Egypt, EGY
24.7275, 1904, Oct Average, Egypt, EGY
16.8429, 1904, Nov Average, Egypt, EGY
12.3855, 1904, Dec Average, Egypt, EGY
11.2089, 1905, Jan Average, Egypt, EGY
11.7992, 1905, Feb Average, Egypt, EGY
15.7367, 1905, Mar Average, Egypt, EGY
21.4942, 1905, Apr Average, Egypt, EGY
26.15, 1905, May Average, Egypt, EGY
28.4093, 1905, Jun Average, Egypt, EGY
29.2932, 1905, Jul Average, Egypt, EGY
29.0023, 1905, Aug Average, Egypt, EGY
27.4535, 1905, Sep Average, Egypt, EGY
25.3854, 1905, Oct Average, Egypt, EGY
20.3796, 1905, Nov Average, Egypt, EGY
13.2215, 1905, Dec Average, Egypt, EGY
12.5209, 1906, Jan Average, Egypt, EGY
14.6939, 1906, Feb Average, Egypt, EGY
17.9886, 1906, Mar Average, Egypt, EGY
22.191, 1906, Apr Average, Egypt, EGY
25.6886, 1906, May Average, Egypt, EGY
29.0814, 1906, Jun Average, Egypt, EGY
29.2241, 1906, Jul Average, Egypt, EGY
29.2252, 1906, Aug Average, Egypt, EGY
26.2435, 1906, Sep Average, Egypt, EGY
24.3804, 1906, Oct Average, Egypt, EGY
19.2409, 1906, Nov Average, Egypt, EGY
15.7863, 1906, Dec Average, Egypt, EGY
13.2829, 1907, Jan Average, Egypt, EGY
14.761, 1907, Feb Average, Egypt, EGY
15.5597, 1907, Mar Average, Egypt, EGY
21.0388, 1907, Apr Average, Egypt, EGY
25.6331, 1907, May Average, Egypt, EGY
28.0096, 1907, Jun Average, Egypt, EGY
28.5905, 1907, Jul Average, Egypt, EGY
28.7888, 1907, Aug Average, Egypt, EGY
26.2637, 1907, Sep Average, Egypt, EGY
23.6037, 1907, Oct Average, Egypt, EGY
17.8171, 1907, Nov Average, Egypt, EGY
14.642, 1907, Dec Average, Egypt, EGY
13.1586, 1908, Jan Average, Egypt, EGY
14.5898, 1908, Feb Average, Egypt, EGY
18.0486, 1908, Mar Average, Egypt, EGY
22.4673, 1908, Apr Average, Egypt, EGY
26.3738, 1908, May Average, Egypt, EGY
28.3599, 1908, Jun Average, Egypt, EGY
28.2574, 1908, Jul Average, Egypt, EGY
28.3816, 1908, Aug Average, Egypt, EGY
26.6153, 1908, Sep Average, Egypt, EGY
24.3179, 1908, Oct Average, Egypt, EGY
17.8122, 1908, Nov Average, Egypt, EGY
13.0007, 1908, Dec Average, Egypt, EGY
12.7792, 1909, Jan Average, Egypt, EGY
14.8735, 1909, Feb Average, Egypt, EGY
19.8717, 1909, Mar Average, Egypt, EGY
20.6977, 1909, Apr Average, Egypt, EGY
28.4143, 1909, May Average, Egypt, EGY
29.3039, 1909, Jun Average, Egypt, EGY
29.6605, 1909, Jul Average, Egypt, EGY
29.6262, 1909, Aug Average, Egypt, EGY
27.6464, 1909, Sep Average, Egypt, EGY
24.6592, 1909, Oct Average, Egypt, EGY
19.9022, 1909, Nov Average, Egypt, EGY
16.0063, 1909, Dec Average, Egypt, EGY
12.5416, 1910, Jan Average, Egypt, EGY
15.0373, 1910, Feb Average, Egypt, EGY
15.1146, 1910, Mar Average, Egypt, EGY
23.2313, 1910, Apr Average, Egypt, EGY
26.2978, 1910, May Average, Egypt, EGY
28.0972, 1910, Jun Average, Egypt, EGY
29.1814, 1910, Jul Average, Egypt, EGY
29.2998, 1910, Aug Average, Egypt, EGY
27.2399, 1910, Sep Average, Egypt, EGY
22.9646, 1910, Oct Average, Egypt, EGY
18.0325, 1910, Nov Average, Egypt, EGY
13.3426, 1910, Dec Average, Egypt, EGY
12.7327, 1911, Jan Average, Egypt, EGY
12.6407, 1911, Feb Average, Egypt, EGY
16.762, 1911, Mar Average, Egypt, EGY
21.5787, 1911, Apr Average, Egypt, EGY
26.1835, 1911, May Average, Egypt, EGY
27.9954, 1911, Jun Average, Egypt, EGY
28.8292, 1911, Jul Average, Egypt, EGY
28.7177, 1911, Aug Average, Egypt, EGY
26.4646, 1911, Sep Average, Egypt, EGY
24.2987, 1911, Oct Average, Egypt, EGY
19.1851, 1911, Nov Average, Egypt, EGY
14.2986, 1911, Dec Average, Egypt, EGY
12.3716, 1912, Jan Average, Egypt, EGY
15.5549, 1912, Feb Average, Egypt, EGY
17.6056, 1912, Mar Average, Egypt, EGY
21.807, 1912, Apr Average, Egypt, EGY
25.0133, 1912, May Average, Egypt, EGY
27.6976, 1912, Jun Average, Egypt, EGY
28.185, 1912, Jul Average, Egypt, EGY
28.0611, 1912, Aug Average, Egypt, EGY
26.7744, 1912, Sep Average, Egypt, EGY
24.0685, 1912, Oct Average, Egypt, EGY
18.7713, 1912, Nov Average, Egypt, EGY
13.7335, 1912, Dec Average, Egypt, EGY
12.951, 1913, Jan Average, Egypt, EGY
13.9327, 1913, Feb Average, Egypt, EGY
16.2538, 1913, Mar Average, Egypt, EGY
22.4346, 1913, Apr Average, Egypt, EGY
24.826, 1913, May Average, Egypt, EGY
27.1232, 1913, Jun Average, Egypt, EGY
28.5365, 1913, Jul Average, Egypt, EGY
28.4494, 1913, Aug Average, Egypt, EGY
27.4476, 1913, Sep Average, Egypt, EGY
24.2982, 1913, Oct Average, Egypt, EGY
17.6514, 1913, Nov Average, Egypt, EGY
13.2696, 1913, Dec Average, Egypt, EGY
13.2641, 1914, Jan Average, Egypt, EGY
14.6516, 1914, Feb Average, Egypt, EGY
19.0564, 1914, Mar Average, Egypt, EGY
19.9775, 1914, Apr Average, Egypt, EGY
26.409, 1914, May Average, Egypt, EGY
28.6942, 1914, Jun Average, Egypt, EGY
28.8734, 1914, Jul Average, Egypt, EGY
29.7182, 1914, Aug Average, Egypt, EGY
27.0452, 1914, Sep Average, Egypt, EGY
23.6504, 1914, Oct Average, Egypt, EGY
19.5934, 1914, Nov Average, Egypt, EGY
14.9206, 1914, Dec Average, Egypt, EGY
15.2695, 1915, Jan Average, Egypt, EGY
16.574, 1915, Feb Average, Egypt, EGY
18.6893, 1915, Mar Average, Egypt, EGY
