Temperature - (Celsius), Year, Statistics, Country, ISO3
23.1307, 1901, Jan Average, Eritrea, ERI
26.1535, 1901, Feb Average, Eritrea, ERI
25.9798, 1901, Mar Average, Eritrea, ERI
27.2174, 1901, Apr Average, Eritrea, ERI
29.1219, 1901, May Average, Eritrea, ERI
28.7377, 1901, Jun Average, Eritrea, ERI
30.3769, 1901, Jul Average, Eritrea, ERI
28.9275, 1901, Aug Average, Eritrea, ERI
28.9322, 1901, Sep Average, Eritrea, ERI
27.6636, 1901, Oct Average, Eritrea, ERI
25.7759, 1901, Nov Average, Eritrea, ERI
24.3203, 1901, Dec Average, Eritrea, ERI
21.1248, 1902, Jan Average, Eritrea, ERI
24.4147, 1902, Feb Average, Eritrea, ERI
25.0998, 1902, Mar Average, Eritrea, ERI
26.6472, 1902, Apr Average, Eritrea, ERI
28.2726, 1902, May Average, Eritrea, ERI
29.8077, 1902, Jun Average, Eritrea, ERI
29.2409, 1902, Jul Average, Eritrea, ERI
29.7157, 1902, Aug Average, Eritrea, ERI
28.2365, 1902, Sep Average, Eritrea, ERI
26.1338, 1902, Oct Average, Eritrea, ERI
24.3605, 1902, Nov Average, Eritrea, ERI
21.8426, 1902, Dec Average, Eritrea, ERI
21.1813, 1903, Jan Average, Eritrea, ERI
21.513, 1903, Feb Average, Eritrea, ERI
23.2569, 1903, Mar Average, Eritrea, ERI
27.1714, 1903, Apr Average, Eritrea, ERI
28.0774, 1903, May Average, Eritrea, ERI
29.6077, 1903, Jun Average, Eritrea, ERI
29.627, 1903, Jul Average, Eritrea, ERI
28.7865, 1903, Aug Average, Eritrea, ERI
27.1428, 1903, Sep Average, Eritrea, ERI
26.2861, 1903, Oct Average, Eritrea, ERI
25.0526, 1903, Nov Average, Eritrea, ERI
23.9429, 1903, Dec Average, Eritrea, ERI
22.4134, 1904, Jan Average, Eritrea, ERI
23.4024, 1904, Feb Average, Eritrea, ERI
24.5537, 1904, Mar Average, Eritrea, ERI
26.5191, 1904, Apr Average, Eritrea, ERI
28.2813, 1904, May Average, Eritrea, ERI
29.8798, 1904, Jun Average, Eritrea, ERI
28.9207, 1904, Jul Average, Eritrea, ERI
29.9227, 1904, Aug Average, Eritrea, ERI
27.7349, 1904, Sep Average, Eritrea, ERI
26.3106, 1904, Oct Average, Eritrea, ERI
24.1207, 1904, Nov Average, Eritrea, ERI
