Temperature - (Celsius), Year, Statistics, Country, ISO3
-6.3439, 1901, Jan Average, Finland, FIN
-14.681, 1901, Feb Average, Finland, FIN
-7.4359, 1901, Mar Average, Finland, FIN
0.37737, 1901, Apr Average, Finland, FIN
6.06444, 1901, May Average, Finland, FIN
14.2334, 1901, Jun Average, Finland, FIN
17.6312, 1901, Jul Average, Finland, FIN
14.3134, 1901, Aug Average, Finland, FIN
9.4724, 1901, Sep Average, Finland, FIN
5.50534, 1901, Oct Average, Finland, FIN
-6.9424, 1901, Nov Average, Finland, FIN
-13.738, 1901, Dec Average, Finland, FIN
-13.602, 1902, Jan Average, Finland, FIN
-11.827, 1902, Feb Average, Finland, FIN
-10.087, 1902, Mar Average, Finland, FIN
-3.4704, 1902, Apr Average, Finland, FIN
4.09089, 1902, May Average, Finland, FIN
9.09097, 1902, Jun Average, Finland, FIN
11.8434, 1902, Jul Average, Finland, FIN
11.3419, 1902, Aug Average, Finland, FIN
6.25027, 1902, Sep Average, Finland, FIN
-1.4719, 1902, Oct Average, Finland, FIN
-5.3652, 1902, Nov Average, Finland, FIN
-9.2094, 1902, Dec Average, Finland, FIN
-10.729, 1903, Jan Average, Finland, FIN
-6.7971, 1903, Feb Average, Finland, FIN
-2.3776, 1903, Mar Average, Finland, FIN
0.44687, 1903, Apr Average, Finland, FIN
6.51225, 1903, May Average, Finland, FIN
12.0481, 1903, Jun Average, Finland, FIN
12.9802, 1903, Jul Average, Finland, FIN
12.3256, 1903, Aug Average, Finland, FIN
8.17795, 1903, Sep Average, Finland, FIN
-2.0663, 1903, Oct Average, Finland, FIN
-3.5665, 1903, Nov Average, Finland, FIN
-6.1872, 1903, Dec Average, Finland, FIN
-5.8498, 1904, Jan Average, Finland, FIN
-13.979, 1904, Feb Average, Finland, FIN
-7.3801, 1904, Mar Average, Finland, FIN
0.71247, 1904, Apr Average, Finland, FIN
4.69468, 1904, May Average, Finland, FIN
10.7329, 1904, Jun Average, Finland, FIN
12.5475, 1904, Jul Average, Finland, FIN
11.7652, 1904, Aug Average, Finland, FIN
8.12115, 1904, Sep Average, Finland, FIN
3.25428, 1904, Oct Average, Finland, FIN
-7.5067, 1904, Nov Average, Finland, FIN
-12.337, 1904, Dec Average, Finland, FIN
-11.891, 1905, Jan Average, Finland, FIN
-9.1538, 1905, Feb Average, Finland, FIN
-4.9599, 1905, Mar Average, Finland, FIN
-1.4231, 1905, Apr Average, Finland, FIN
7.136, 1905, May Average, Finland, FIN
13.6236, 1905, Jun Average, Finland, FIN
14.6458, 1905, Jul Average, Finland, FIN
12.1434, 1905, Aug Average, Finland, FIN
7.25395, 1905, Sep Average, Finland, FIN
-0.5359, 1905, Oct Average, Finland, FIN
-4.1319, 1905, Nov Average, Finland, FIN
-6.6504, 1905, Dec Average, Finland, FIN
-7.4408, 1906, Jan Average, Finland, FIN
-8.2203, 1906, Feb Average, Finland, FIN
-9.2684, 1906, Mar Average, Finland, FIN
1.49591, 1906, Apr Average, Finland, FIN
8.25179, 1906, May Average, Finland, FIN
12.7721, 1906, Jun Average, Finland, FIN
15.8902, 1906, Jul Average, Finland, FIN
11.0249, 1906, Aug Average, Finland, FIN
6.61539, 1906, Sep Average, Finland, FIN
1.68315, 1906, Oct Average, Finland, FIN
-4.0186, 1906, Nov Average, Finland, FIN
-7.9136, 1906, Dec Average, Finland, FIN
-14.41, 1907, Jan Average, Finland, FIN
-8.0306, 1907, Feb Average, Finland, FIN
-3.7953, 1907, Mar Average, Finland, FIN
