Temperature - (Celsius), Year, Statistics, Country, ISO3
25.5605, 1901, Jan Average, Fiji, FJI
25.4756, 1901, Feb Average, Fiji, FJI
25.3543, 1901, Mar Average, Fiji, FJI
25.2362, 1901, Apr Average, Fiji, FJI
23.7341, 1901, May Average, Fiji, FJI
22.5113, 1901, Jun Average, Fiji, FJI
22.0583, 1901, Jul Average, Fiji, FJI
21.9694, 1901, Aug Average, Fiji, FJI
22.5309, 1901, Sep Average, Fiji, FJI
23.0392, 1901, Oct Average, Fiji, FJI
24.2016, 1901, Nov Average, Fiji, FJI
25.0757, 1901, Dec Average, Fiji, FJI
25.2867, 1902, Jan Average, Fiji, FJI
25.7493, 1902, Feb Average, Fiji, FJI
25.4912, 1902, Mar Average, Fiji, FJI
24.8255, 1902, Apr Average, Fiji, FJI
23.6656, 1902, May Average, Fiji, FJI
22.4428, 1902, Jun Average, Fiji, FJI
21.9899, 1902, Jul Average, Fiji, FJI
21.9009, 1902, Aug Average, Fiji, FJI
22.3256, 1902, Sep Average, Fiji, FJI
23.313, 1902, Oct Average, Fiji, FJI
24.5438, 1902, Nov Average, Fiji, FJI
25.2126, 1902, Dec Average, Fiji, FJI
24.7392, 1903, Jan Average, Fiji, FJI
25.4756, 1903, Feb Average, Fiji, FJI
25.628, 1903, Mar Average, Fiji, FJI
24.7571, 1903, Apr Average, Fiji, FJI
23.4603, 1903, May Average, Fiji, FJI
22.922, 1903, Jun Average, Fiji, FJI
21.7846, 1903, Jul Average, Fiji, FJI
22.3116, 1903, Aug Average, Fiji, FJI
22.1887, 1903, Sep Average, Fiji, FJI
23.1761, 1903, Oct Average, Fiji, FJI
23.7909, 1903, Nov Average, Fiji, FJI
24.4597, 1903, Dec Average, Fiji, FJI
24.4654, 1904, Jan Average, Fiji, FJI
24.9965, 1904, Feb Average, Fiji, FJI
24.8067, 1904, Mar Average, Fiji, FJI
24.3464, 1904, Apr Average, Fiji, FJI
23.1865, 1904, May Average, Fiji, FJI
22.5113, 1904, Jun Average, Fiji, FJI
21.4423, 1904, Jul Average, Fiji, FJI
21.7641, 1904, Aug Average, Fiji, FJI
22.2572, 1904, Sep Average, Fiji, FJI
23.3814, 1904, Oct Average, Fiji, FJI
24.3385, 1904, Nov Average, Fiji, FJI
25.0757, 1904, Dec Average, Fiji, FJI
25.2867, 1905, Jan Average, Fiji, FJI
25.8178, 1905, Feb Average, Fiji, FJI
25.4227, 1905, Mar Average, Fiji, FJI
24.6886, 1905, Apr Average, Fiji, FJI
23.0496, 1905, May Average, Fiji, FJI
22.1691, 1905, Jun Average, Fiji, FJI
21.5108, 1905, Jul Average, Fiji, FJI
21.6272, 1905, Aug Average, Fiji, FJI
22.0518, 1905, Sep Average, Fiji, FJI
23.1761, 1905, Oct Average, Fiji, FJI
23.9278, 1905, Nov Average, Fiji, FJI
24.5282, 1905, Dec Average, Fiji, FJI
25.9027, 1906, Jan Average, Fiji, FJI
25.8862, 1906, Feb Average, Fiji, FJI
25.6965, 1906, Mar Average, Fiji, FJI
25.1678, 1906, Apr Average, Fiji, FJI
23.4603, 1906, May Average, Fiji, FJI
22.5797, 1906, Jun Average, Fiji, FJI
21.7161, 1906, Jul Average, Fiji, FJI
22.1747, 1906, Aug Average, Fiji, FJI
22.5994, 1906, Sep Average, Fiji, FJI
23.2445, 1906, Oct Average, Fiji, FJI
23.8594, 1906, Nov Average, Fiji, FJI
24.7335, 1906, Dec Average, Fiji, FJI
25.0129, 1907, Jan Average, Fiji, FJI
25.4071, 1907, Feb Average, Fiji, FJI
24.9436, 1907, Mar Average, Fiji, FJI
24.4833, 1907, Apr Average, Fiji, FJI
22.9812, 1907, May Average, Fiji, FJI
23.0588, 1907, Jun Average, Fiji, FJI
21.7846, 1907, Jul Average, Fiji, FJI
21.4903, 1907, Aug Average, Fiji, FJI
22.2572, 1907, Sep Average, Fiji, FJI
23.3814, 1907, Oct Average, Fiji, FJI
23.8594, 1907, Nov Average, Fiji, FJI
24.6651, 1907, Dec Average, Fiji, FJI
25.0129, 1908, Jan Average, Fiji, FJI
25.2018, 1908, Feb Average, Fiji, FJI
25.012, 1908, Mar Average, Fiji, FJI
24.6202, 1908, Apr Average, Fiji, FJI
23.3234, 1908, May Average, Fiji, FJI
23.0588, 1908, Jun Average, Fiji, FJI
21.237, 1908, Jul Average, Fiji, FJI
22.3801, 1908, Aug Average, Fiji, FJI
21.9834, 1908, Sep Average, Fiji, FJI
23.1077, 1908, Oct Average, Fiji, FJI
23.7909, 1908, Nov Average, Fiji, FJI
24.7335, 1908, Dec Average, Fiji, FJI
24.5338, 1909, Jan Average, Fiji, FJI
25.0649, 1909, Feb Average, Fiji, FJI
25.012, 1909, Mar Average, Fiji, FJI
24.0726, 1909, Apr Average, Fiji, FJI
22.9127, 1909, May Average, Fiji, FJI
22.4428, 1909, Jun Average, Fiji, FJI
21.3739, 1909, Jul Average, Fiji, FJI
22.3801, 1909, Aug Average, Fiji, FJI
22.394, 1909, Sep Average, Fiji, FJI
23.1761, 1909, Oct Average, Fiji, FJI
23.7909, 1909, Nov Average, Fiji, FJI
24.3228, 1909, Dec Average, Fiji, FJI
24.8761, 1910, Jan Average, Fiji, FJI
25.1333, 1910, Feb Average, Fiji, FJI
24.8067, 1910, Mar Average, Fiji, FJI
24.4149, 1910, Apr Average, Fiji, FJI
23.1181, 1910, May Average, Fiji, FJI
22.1006, 1910, Jun Average, Fiji, FJI
21.853, 1910, Jul Average, Fiji, FJI
22.3116, 1910, Aug Average, Fiji, FJI
22.4625, 1910, Sep Average, Fiji, FJI
22.8339, 1910, Oct Average, Fiji, FJI
23.8594, 1910, Nov Average, Fiji, FJI
24.5282, 1910, Dec Average, Fiji, FJI
25.0129, 1911, Jan Average, Fiji, FJI
25.8178, 1911, Feb Average, Fiji, FJI
25.2174, 1911, Mar Average, Fiji, FJI
24.8255, 1911, Apr Average, Fiji, FJI
23.255, 1911, May Average, Fiji, FJI
22.6482, 1911, Jun Average, Fiji, FJI
21.7161, 1911, Jul Average, Fiji, FJI
22.517, 1911, Aug Average, Fiji, FJI
22.5309, 1911, Sep Average, Fiji, FJI
23.5183, 1911, Oct Average, Fiji, FJI
24.27, 1911, Nov Average, Fiji, FJI
25.6917, 1911, Dec Average, Fiji, FJI
26.3134, 1912, Jan Average, Fiji, FJI
26.0231, 1912, Feb Average, Fiji, FJI
25.9703, 1912, Mar Average, Fiji, FJI
25.0993, 1912, Apr Average, Fiji, FJI
23.8025, 1912, May Average, Fiji, FJI
22.8535, 1912, Jun Average, Fiji, FJI
21.9899, 1912, Jul Average, Fiji, FJI
22.3801, 1912, Aug Average, Fiji, FJI
22.7363, 1912, Sep Average, Fiji, FJI
23.4499, 1912, Oct Average, Fiji, FJI
24.4069, 1912, Nov Average, Fiji, FJI
25.1442, 1912, Dec Average, Fiji, FJI
25.4236, 1913, Jan Average, Fiji, FJI
25.4071, 1913, Feb Average, Fiji, FJI
25.6965, 1913, Mar Average, Fiji, FJI
25.0993, 1913, Apr Average, Fiji, FJI
23.5287, 1913, May Average, Fiji, FJI
23.1273, 1913, Jun Average, Fiji, FJI
22.2637, 1913, Jul Average, Fiji, FJI
22.5854, 1913, Aug Average, Fiji, FJI
23.0785, 1913, Sep Average, Fiji, FJI
23.313, 1913, Oct Average, Fiji, FJI
24.3385, 1913, Nov Average, Fiji, FJI
24.8704, 1913, Dec Average, Fiji, FJI
25.629, 1914, Jan Average, Fiji, FJI
26.2969, 1914, Feb Average, Fiji, FJI
25.9018, 1914, Mar Average, Fiji, FJI
25.3731, 1914, Apr Average, Fiji, FJI
24.3501, 1914, May Average, Fiji, FJI
23.2642, 1914, Jun Average, Fiji, FJI
21.9214, 1914, Jul Average, Fiji, FJI
22.517, 1914, Aug Average, Fiji, FJI
22.7363, 1914, Sep Average, Fiji, FJI
23.5183, 1914, Oct Average, Fiji, FJI
24.2016, 1914, Nov Average, Fiji, FJI
25.0757, 1914, Dec Average, Fiji, FJI
25.5605, 1915, Jan Average, Fiji, FJI
25.6809, 1915, Feb Average, Fiji, FJI
25.8334, 1915, Mar Average, Fiji, FJI
25.0309, 1915, Apr Average, Fiji, FJI
23.4603, 1915, May Average, Fiji, FJI
22.6482, 1915, Jun Average, Fiji, FJI
21.237, 1915, Jul Average, Fiji, FJI
21.9694, 1915, Aug Average, Fiji, FJI
22.6678, 1915, Sep Average, Fiji, FJI
23.4499, 1915, Oct Average, Fiji, FJI
23.8594, 1915, Nov Average, Fiji, FJI
24.5282, 1915, Dec Average, Fiji, FJI
25.0814, 1916, Jan Average, Fiji, FJI
25.3387, 1916, Feb Average, Fiji, FJI
25.0805, 1916, Mar Average, Fiji, FJI
24.4149, 1916, Apr Average, Fiji, FJI
23.0496, 1916, May Average, Fiji, FJI
22.4428, 1916, Jun Average, Fiji, FJI
21.9899, 1916, Jul Average, Fiji, FJI
22.517, 1916, Aug Average, Fiji, FJI
22.4625, 1916, Sep Average, Fiji, FJI
23.1077, 1916, Oct Average, Fiji, FJI
23.7225, 1916, Nov Average, Fiji, FJI
24.5282, 1916, Dec Average, Fiji, FJI
24.6707, 1917, Jan Average, Fiji, FJI
24.928, 1917, Feb Average, Fiji, FJI
25.7649, 1917, Mar Average, Fiji, FJI
23.9358, 1917, Apr Average, Fiji, FJI
22.8443, 1917, May Average, Fiji, FJI
22.3744, 1917, Jun Average, Fiji, FJI
21.853, 1917, Jul Average, Fiji, FJI
21.7641, 1917, Aug Average, Fiji, FJI
22.2572, 1917, Sep Average, Fiji, FJI
23.5868, 1917, Oct Average, Fiji, FJI
23.654, 1917, Nov Average, Fiji, FJI
25.0757, 1917, Dec Average, Fiji, FJI
24.7392, 1918, Jan Average, Fiji, FJI
24.928, 1918, Feb Average, Fiji, FJI
24.9436, 1918, Mar Average, Fiji, FJI
24.278, 1918, Apr Average, Fiji, FJI
23.3918, 1918, May Average, Fiji, FJI
22.922, 1918, Jun Average, Fiji, FJI
21.6477, 1918, Jul Average, Fiji, FJI
22.0378, 1918, Aug Average, Fiji, FJI
22.4625, 1918, Sep Average, Fiji, FJI
23.5183, 1918, Oct Average, Fiji, FJI
24.4754, 1918, Nov Average, Fiji, FJI
24.9388, 1918, Dec Average, Fiji, FJI
25.2183, 1919, Jan Average, Fiji, FJI
25.8862, 1919, Feb Average, Fiji, FJI
25.7649, 1919, Mar Average, Fiji, FJI
25.2362, 1919, Apr Average, Fiji, FJI
23.5972, 1919, May Average, Fiji, FJI
22.7851, 1919, Jun Average, Fiji, FJI
22.1268, 1919, Jul Average, Fiji, FJI
22.2432, 1919, Aug Average, Fiji, FJI
23.2838, 1919, Sep Average, Fiji, FJI
23.9974, 1919, Oct Average, Fiji, FJI
24.886, 1919, Nov Average, Fiji, FJI
25.5548, 1919, Dec Average, Fiji, FJI
26.0396, 1920, Jan Average, Fiji, FJI
25.8862, 1920, Feb Average, Fiji, FJI
25.628, 1920, Mar Average, Fiji, FJI
25.2362, 1920, Apr Average, Fiji, FJI
24.0078, 1920, May Average, Fiji, FJI
22.7851, 1920, Jun Average, Fiji, FJI
22.5374, 1920, Jul Average, Fiji, FJI
22.3116, 1920, Aug Average, Fiji, FJI
23.2838, 1920, Sep Average, Fiji, FJI
23.313, 1920, Oct Average, Fiji, FJI
24.27, 1920, Nov Average, Fiji, FJI
24.8704, 1920, Dec Average, Fiji, FJI
