Temperature - (Celsius), Year, Statistics, Country, ISO3
27.0474, 1901, Jan Average, Federated States of Micronesia, FSM
27.077, 1901, Feb Average, Federated States of Micronesia, FSM
27.2183, 1901, Mar Average, Federated States of Micronesia, FSM
27.2336, 1901, Apr Average, Federated States of Micronesia, FSM
27.2376, 1901, May Average, Federated States of Micronesia, FSM
27.0591, 1901, Jun Average, Federated States of Micronesia, FSM
26.8219, 1901, Jul Average, Federated States of Micronesia, FSM
26.951, 1901, Aug Average, Federated States of Micronesia, FSM
26.9004, 1901, Sep Average, Federated States of Micronesia, FSM
26.9806, 1901, Oct Average, Federated States of Micronesia, FSM
27.0189, 1901, Nov Average, Federated States of Micronesia, FSM
27.1214, 1901, Dec Average, Federated States of Micronesia, FSM
27.0474, 1902, Jan Average, Federated States of Micronesia, FSM
27.077, 1902, Feb Average, Federated States of Micronesia, FSM
27.2183, 1902, Mar Average, Federated States of Micronesia, FSM
27.2336, 1902, Apr Average, Federated States of Micronesia, FSM
27.2376, 1902, May Average, Federated States of Micronesia, FSM
27.0591, 1902, Jun Average, Federated States of Micronesia, FSM
26.8219, 1902, Jul Average, Federated States of Micronesia, FSM
26.951, 1902, Aug Average, Federated States of Micronesia, FSM
26.9004, 1902, Sep Average, Federated States of Micronesia, FSM
26.9806, 1902, Oct Average, Federated States of Micronesia, FSM
27.0189, 1902, Nov Average, Federated States of Micronesia, FSM
27.1214, 1902, Dec Average, Federated States of Micronesia, FSM
27.0474, 1903, Jan Average, Federated States of Micronesia, FSM
27.077, 1903, Feb Average, Federated States of Micronesia, FSM
27.2183, 1903, Mar Average, Federated States of Micronesia, FSM
27.2336, 1903, Apr Average, Federated States of Micronesia, FSM
27.2376, 1903, May Average, Federated States of Micronesia, FSM
27.0591, 1903, Jun Average, Federated States of Micronesia, FSM
26.8219, 1903, Jul Average, Federated States of Micronesia, FSM
26.951, 1903, Aug Average, Federated States of Micronesia, FSM
26.9004, 1903, Sep Average, Federated States of Micronesia, FSM
26.9806, 1903, Oct Average, Federated States of Micronesia, FSM
27.0189, 1903, Nov Average, Federated States of Micronesia, FSM
27.1214, 1903, Dec Average, Federated States of Micronesia, FSM
27.0474, 1904, Jan Average, Federated States of Micronesia, FSM
27.077, 1904, Feb Average, Federated States of Micronesia, FSM
27.2183, 1904, Mar Average, Federated States of Micronesia, FSM
27.2336, 1904, Apr Average, Federated States of Micronesia, FSM
27.2376, 1904, May Average, Federated States of Micronesia, FSM
27.0591, 1904, Jun Average, Federated States of Micronesia, FSM
26.8219, 1904, Jul Average, Federated States of Micronesia, FSM
26.951, 1904, Aug Average, Federated States of Micronesia, FSM
26.9004, 1904, Sep Average, Federated States of Micronesia, FSM
26.9806, 1904, Oct Average, Federated States of Micronesia, FSM
27.0189, 1904, Nov Average, Federated States of Micronesia, FSM
27.1214, 1904, Dec Average, Federated States of Micronesia, FSM
27.0474, 1905, Jan Average, Federated States of Micronesia, FSM
27.077, 1905, Feb Average, Federated States of Micronesia, FSM
27.2183, 1905, Mar Average, Federated States of Micronesia, FSM
27.2336, 1905, Apr Average, Federated States of Micronesia, FSM
27.2376, 1905, May Average, Federated States of Micronesia, FSM
27.0591, 1905, Jun Average, Federated States of Micronesia, FSM
26.8219, 1905, Jul Average, Federated States of Micronesia, FSM
26.951, 1905, Aug Average, Federated States of Micronesia, FSM
26.9004, 1905, Sep Average, Federated States of Micronesia, FSM
26.9806, 1905, Oct Average, Federated States of Micronesia, FSM
27.0189, 1905, Nov Average, Federated States of Micronesia, FSM
27.1214, 1905, Dec Average, Federated States of Micronesia, FSM
27.0474, 1906, Jan Average, Federated States of Micronesia, FSM
27.077, 1906, Feb Average, Federated States of Micronesia, FSM
27.2183, 1906, Mar Average, Federated States of Micronesia, FSM
27.2336, 1906, Apr Average, Federated States of Micronesia, FSM
27.2376, 1906, May Average, Federated States of Micronesia, FSM
27.0591, 1906, Jun Average, Federated States of Micronesia, FSM
26.8219, 1906, Jul Average, Federated States of Micronesia, FSM
26.951, 1906, Aug Average, Federated States of Micronesia, FSM
