Temperature - (Celsius), Year, Statistics, Country, ISO3
24.821, 1901, Jan Average, Ghana, GHA
28.7097, 1901, Feb Average, Ghana, GHA
28.1344, 1901, Mar Average, Ghana, GHA
28.453, 1901, Apr Average, Ghana, GHA
26.561, 1901, May Average, Ghana, GHA
26.5507, 1901, Jun Average, Ghana, GHA
25.6731, 1901, Jul Average, Ghana, GHA
25.2724, 1901, Aug Average, Ghana, GHA
25.7929, 1901, Sep Average, Ghana, GHA
26.9179, 1901, Oct Average, Ghana, GHA
27.3749, 1901, Nov Average, Ghana, GHA
24.7284, 1901, Dec Average, Ghana, GHA
25.308, 1902, Jan Average, Ghana, GHA
28.3395, 1902, Feb Average, Ghana, GHA
28.9559, 1902, Mar Average, Ghana, GHA
30.0488, 1902, Apr Average, Ghana, GHA
28.4792, 1902, May Average, Ghana, GHA
24.9945, 1902, Jun Average, Ghana, GHA
25.7871, 1902, Jul Average, Ghana, GHA
25.6345, 1902, Aug Average, Ghana, GHA
25.5789, 1902, Sep Average, Ghana, GHA
25.1475, 1902, Oct Average, Ghana, GHA
27.5152, 1902, Nov Average, Ghana, GHA
26.4644, 1902, Dec Average, Ghana, GHA
27.0104, 1903, Jan Average, Ghana, GHA
29.1182, 1903, Feb Average, Ghana, GHA
29.5074, 1903, Mar Average, Ghana, GHA
29.1539, 1903, Apr Average, Ghana, GHA
28.1193, 1903, May Average, Ghana, GHA
26.5876, 1903, Jun Average, Ghana, GHA
25.4954, 1903, Jul Average, Ghana, GHA
25.2234, 1903, Aug Average, Ghana, GHA
25.699, 1903, Sep Average, Ghana, GHA
27.0615, 1903, Oct Average, Ghana, GHA
27.2256, 1903, Nov Average, Ghana, GHA
26.4902, 1903, Dec Average, Ghana, GHA
26.773, 1904, Jan Average, Ghana, GHA
28.5729, 1904, Feb Average, Ghana, GHA
29.4821, 1904, Mar Average, Ghana, GHA
29.0121, 1904, Apr Average, Ghana, GHA
28.2319, 1904, May Average, Ghana, GHA
26.7928, 1904, Jun Average, Ghana, GHA
25.5998, 1904, Jul Average, Ghana, GHA
25.3713, 1904, Aug Average, Ghana, GHA
25.9882, 1904, Sep Average, Ghana, GHA
27.0408, 1904, Oct Average, Ghana, GHA
27.4088, 1904, Nov Average, Ghana, GHA
26.672, 1904, Dec Average, Ghana, GHA
25.6231, 1905, Jan Average, Ghana, GHA
25.9637, 1905, Feb Average, Ghana, GHA
27.9259, 1905, Mar Average, Ghana, GHA
29.0402, 1905, Apr Average, Ghana, GHA
27.9996, 1905, May Average, Ghana, GHA
25.8432, 1905, Jun Average, Ghana, GHA
25.7334, 1905, Jul Average, Ghana, GHA
24.6435, 1905, Aug Average, Ghana, GHA
25.7075, 1905, Sep Average, Ghana, GHA
26.7608, 1905, Oct Average, Ghana, GHA
28.3556, 1905, Nov Average, Ghana, GHA
27.3901, 1905, Dec Average, Ghana, GHA
25.9753, 1906, Jan Average, Ghana, GHA
28.1628, 1906, Feb Average, Ghana, GHA
29.7057, 1906, Mar Average, Ghana, GHA
31.3496, 1906, Apr Average, Ghana, GHA
28.2661, 1906, May Average, Ghana, GHA
27.0428, 1906, Jun Average, Ghana, GHA
25.1586, 1906, Jul Average, Ghana, GHA
24.5401, 1906, Aug Average, Ghana, GHA
26.8865, 1906, Sep Average, Ghana, GHA
27.286, 1906, Oct Average, Ghana, GHA
27.692, 1906, Nov Average, Ghana, GHA
27.3651, 1906, Dec Average, Ghana, GHA
26.6265, 1907, Jan Average, Ghana, GHA
26.6601, 1907, Feb Average, Ghana, GHA
28.1897, 1907, Mar Average, Ghana, GHA
28.3332, 1907, Apr Average, Ghana, GHA
28.8795, 1907, May Average, Ghana, GHA
26.3794, 1907, Jun Average, Ghana, GHA
26.3318, 1907, Jul Average, Ghana, GHA
25.0577, 1907, Aug Average, Ghana, GHA
26.2097, 1907, Sep Average, Ghana, GHA
28.6978, 1907, Oct Average, Ghana, GHA
27.4935, 1907, Nov Average, Ghana, GHA
25.2231, 1907, Dec Average, Ghana, GHA
26.5904, 1908, Jan Average, Ghana, GHA
27.9275, 1908, Feb Average, Ghana, GHA
28.7702, 1908, Mar Average, Ghana, GHA
29.6282, 1908, Apr Average, Ghana, GHA
29.3105, 1908, May Average, Ghana, GHA
27.5743, 1908, Jun Average, Ghana, GHA
26.4032, 1908, Jul Average, Ghana, GHA
24.7241, 1908, Aug Average, Ghana, GHA
26.0735, 1908, Sep Average, Ghana, GHA
26.4971, 1908, Oct Average, Ghana, GHA
26.4588, 1908, Nov Average, Ghana, GHA
25.6783, 1908, Dec Average, Ghana, GHA
26.7571, 1909, Jan Average, Ghana, GHA
30.1217, 1909, Feb Average, Ghana, GHA
31.899, 1909, Mar Average, Ghana, GHA
29.0526, 1909, Apr Average, Ghana, GHA
27.6482, 1909, May Average, Ghana, GHA
24.8408, 1909, Jun Average, Ghana, GHA
24.3323, 1909, Jul Average, Ghana, GHA
23.3718, 1909, Aug Average, Ghana, GHA
25.8734, 1909, Sep Average, Ghana, GHA
25.4589, 1909, Oct Average, Ghana, GHA
27.5927, 1909, Nov Average, Ghana, GHA
26.4882, 1909, Dec Average, Ghana, GHA
25.307, 1910, Jan Average, Ghana, GHA
29.2014, 1910, Feb Average, Ghana, GHA
29.1077, 1910, Mar Average, Ghana, GHA
28.6579, 1910, Apr Average, Ghana, GHA
28.3661, 1910, May Average, Ghana, GHA
28.2129, 1910, Jun Average, Ghana, GHA
26.4568, 1910, Jul Average, Ghana, GHA
25.5991, 1910, Aug Average, Ghana, GHA
26.4003, 1910, Sep Average, Ghana, GHA
26.5043, 1910, Oct Average, Ghana, GHA
27.2018, 1910, Nov Average, Ghana, GHA
26.5814, 1910, Dec Average, Ghana, GHA
26.3737, 1911, Jan Average, Ghana, GHA
28.3766, 1911, Feb Average, Ghana, GHA
28.9734, 1911, Mar Average, Ghana, GHA
29.0177, 1911, Apr Average, Ghana, GHA
27.5125, 1911, May Average, Ghana, GHA
25.2408, 1911, Jun Average, Ghana, GHA
25.726, 1911, Jul Average, Ghana, GHA
24.8506, 1911, Aug Average, Ghana, GHA
25.4749, 1911, Sep Average, Ghana, GHA
26.1248, 1911, Oct Average, Ghana, GHA
27.2451, 1911, Nov Average, Ghana, GHA
25.1923, 1911, Dec Average, Ghana, GHA
26.9259, 1912, Jan Average, Ghana, GHA
28.851, 1912, Feb Average, Ghana, GHA
29.053, 1912, Mar Average, Ghana, GHA
30.0326, 1912, Apr Average, Ghana, GHA
28.2226, 1912, May Average, Ghana, GHA
26.7098, 1912, Jun Average, Ghana, GHA
26.5467, 1912, Jul Average, Ghana, GHA
25.8052, 1912, Aug Average, Ghana, GHA
26.5839, 1912, Sep Average, Ghana, GHA
26.5894, 1912, Oct Average, Ghana, GHA
26.1739, 1912, Nov Average, Ghana, GHA
26.3408, 1912, Dec Average, Ghana, GHA
27.2616, 1913, Jan Average, Ghana, GHA
28.8829, 1913, Feb Average, Ghana, GHA
27.1598, 1913, Mar Average, Ghana, GHA
28.6421, 1913, Apr Average, Ghana, GHA
28.757, 1913, May Average, Ghana, GHA
28.424, 1913, Jun Average, Ghana, GHA
27.7757, 1913, Jul Average, Ghana, GHA
27.4054, 1913, Aug Average, Ghana, GHA
27.9048, 1913, Sep Average, Ghana, GHA
26.291, 1913, Oct Average, Ghana, GHA
24.742, 1913, Nov Average, Ghana, GHA
24.9571, 1913, Dec Average, Ghana, GHA
29.4239, 1914, Jan Average, Ghana, GHA
28.3709, 1914, Feb Average, Ghana, GHA
28.4426, 1914, Mar Average, Ghana, GHA
28.7195, 1914, Apr Average, Ghana, GHA
29.6217, 1914, May Average, Ghana, GHA
28.369, 1914, Jun Average, Ghana, GHA
27.0763, 1914, Jul Average, Ghana, GHA
25.3032, 1914, Aug Average, Ghana, GHA
26.4108, 1914, Sep Average, Ghana, GHA
27.3699, 1914, Oct Average, Ghana, GHA
29.0287, 1914, Nov Average, Ghana, GHA
26.2504, 1914, Dec Average, Ghana, GHA
24.5052, 1915, Jan Average, Ghana, GHA
27.1302, 1915, Feb Average, Ghana, GHA
30.3747, 1915, Mar Average, Ghana, GHA
27.7522, 1915, Apr Average, Ghana, GHA
27.8988, 1915, May Average, Ghana, GHA
25.0902, 1915, Jun Average, Ghana, GHA
25.8159, 1915, Jul Average, Ghana, GHA
25.2506, 1915, Aug Average, Ghana, GHA
25.1314, 1915, Sep Average, Ghana, GHA
25.5339, 1915, Oct Average, Ghana, GHA
26.2, 1915, Nov Average, Ghana, GHA
25.0934, 1915, Dec Average, Ghana, GHA
24.3125, 1916, Jan Average, Ghana, GHA
26.0337, 1916, Feb Average, Ghana, GHA
28.9438, 1916, Mar Average, Ghana, GHA
27.2966, 1916, Apr Average, Ghana, GHA
26.6512, 1916, May Average, Ghana, GHA
25.3054, 1916, Jun Average, Ghana, GHA
25.862, 1916, Jul Average, Ghana, GHA
23.8892, 1916, Aug Average, Ghana, GHA
23.8377, 1916, Sep Average, Ghana, GHA
24.7119, 1916, Oct Average, Ghana, GHA
24.3557, 1916, Nov Average, Ghana, GHA
26.5441, 1916, Dec Average, Ghana, GHA
27.0708, 1917, Jan Average, Ghana, GHA
29.0378, 1917, Feb Average, Ghana, GHA
27.0778, 1917, Mar Average, Ghana, GHA
27.4764, 1917, Apr Average, Ghana, GHA
26.0704, 1917, May Average, Ghana, GHA
25.1407, 1917, Jun Average, Ghana, GHA
25.7352, 1917, Jul Average, Ghana, GHA
25.3804, 1917, Aug Average, Ghana, GHA
24.066, 1917, Sep Average, Ghana, GHA
24.958, 1917, Oct Average, Ghana, GHA
23.533, 1917, Nov Average, Ghana, GHA
25.7851, 1917, Dec Average, Ghana, GHA
25.6083, 1918, Jan Average, Ghana, GHA
25.0356, 1918, Feb Average, Ghana, GHA
25.8121, 1918, Mar Average, Ghana, GHA
27.6627, 1918, Apr Average, Ghana, GHA
26.5307, 1918, May Average, Ghana, GHA
26.5839, 1918, Jun Average, Ghana, GHA
25.5712, 1918, Jul Average, Ghana, GHA
23.2143, 1918, Aug Average, Ghana, GHA
23.877, 1918, Sep Average, Ghana, GHA
25.9039, 1918, Oct Average, Ghana, GHA
25.9503, 1918, Nov Average, Ghana, GHA
26.4684, 1918, Dec Average, Ghana, GHA
27.033, 1919, Jan Average, Ghana, GHA
29.1766, 1919, Feb Average, Ghana, GHA
29.476, 1919, Mar Average, Ghana, GHA
28.9757, 1919, Apr Average, Ghana, GHA
27.9806, 1919, May Average, Ghana, GHA
26.5839, 1919, Jun Average, Ghana, GHA
25.5459, 1919, Jul Average, Ghana, GHA
25.3299, 1919, Aug Average, Ghana, GHA
25.7503, 1919, Sep Average, Ghana, GHA
26.8548, 1919, Oct Average, Ghana, GHA
27.3497, 1919, Nov Average, Ghana, GHA
26.6072, 1919, Dec Average, Ghana, GHA
27.0253, 1920, Jan Average, Ghana, GHA
29.1766, 1920, Feb Average, Ghana, GHA
29.5265, 1920, Mar Average, Ghana, GHA
29.0515, 1920, Apr Average, Ghana, GHA
28.6925, 1920, May Average, Ghana, GHA
26.6343, 1920, Jun Average, Ghana, GHA
25.5964, 1920, Jul Average, Ghana, GHA
25.3299, 1920, Aug Average, Ghana, GHA
25.7882, 1920, Sep Average, Ghana, GHA
26.8296, 1920, Oct Average, Ghana, GHA
27.2613, 1920, Nov Average, Ghana, GHA
26.5694, 1920, Dec Average, Ghana, GHA
26.0291, 1921, Jan Average, Ghana, GHA
29.1388, 1921, Feb Average, Ghana, GHA
29.5517, 1921, Mar Average, Ghana, GHA
29.0262, 1921, Apr Average, Ghana, GHA
28.9995, 1921, May Average, Ghana, GHA
26.4829, 1921, Jun Average, Ghana, GHA
25.6595, 1921, Jul Average, Ghana, GHA
25.393, 1921, Aug Average, Ghana, GHA
25.8513, 1921, Sep Average, Ghana, GHA
26.9432, 1921, Oct Average, Ghana, GHA
27.2866, 1921, Nov Average, Ghana, GHA
26.5568, 1921, Dec Average, Ghana, GHA
27.0708, 1922, Jan Average, Ghana, GHA
29.1766, 1922, Feb Average, Ghana, GHA
29.6148, 1922, Mar Average, Ghana, GHA
29.0262, 1922, Apr Average, Ghana, GHA
28.3068, 1922, May Average, Ghana, GHA
26.6722, 1922, Jun Average, Ghana, GHA
25.6595, 1922, Jul Average, Ghana, GHA
23.3843, 1922, Aug Average, Ghana, GHA
23.4244, 1922, Sep Average, Ghana, GHA
25.3208, 1922, Oct Average, Ghana, GHA
26.0015, 1922, Nov Average, Ghana, GHA
25.451, 1922, Dec Average, Ghana, GHA
27.4921, 1923, Jan Average, Ghana, GHA
28.1348, 1923, Feb Average, Ghana, GHA
28.7531, 1923, Mar Average, Ghana, GHA
27.1644, 1923, Apr Average, Ghana, GHA
28.0333, 1923, May Average, Ghana, GHA
26.433, 1923, Jun Average, Ghana, GHA
25.6419, 1923, Jul Average, Ghana, GHA
24.5975, 1923, Aug Average, Ghana, GHA
25.4817, 1923, Sep Average, Ghana, GHA
26.6544, 1923, Oct Average, Ghana, GHA
26.8677, 1923, Nov Average, Ghana, GHA
27.0484, 1923, Dec Average, Ghana, GHA
27.7199, 1924, Jan Average, Ghana, GHA
29.995, 1924, Feb Average, Ghana, GHA
29.9897, 1924, Mar Average, Ghana, GHA
28.2418, 1924, Apr Average, Ghana, GHA
28.4862, 1924, May Average, Ghana, GHA
26.2344, 1924, Jun Average, Ghana, GHA
25.0149, 1924, Jul Average, Ghana, GHA
